"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","RT at Max Intensity","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Number of Scans","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Max Intensity","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Average m/z","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment"
"","DG(14:0_18:1)+NH4","0","1","1","1","1","0","1","0","0","8.04341388888889","8.34341388888889","1149","","DG(14:0_18:1)+NH4","0.000000"," 8.228711"," 8.228711"," 8.228711"," 8.228711"," 0.000000"," 8.228711","0.000000","8.228711","8.04341388888889","8.34341388888889","1149","","DG(14:0_18:1)+NH4","0","1","1","1","1","0","1","0","1","8.04341388888889","8.34341388888889","1149","","DG(14:0_18:1)+NH4","      0.0","  98499.1400"," 118103.5000","  6759.5420","  4339.2660","    0.0000","  1926.4320","    0.0000","  487.2157","8.04341388888889","8.34341388888889","1149","","DG(14:0_18:1)+NH4","  0.0000","339.2899","285.2427","211.2059","265.2530","  0.0000","247.2424","  0.0000","321.2805","8.04341388888889","8.34341388888889","1149","","DG(14:0_18:1)+NH4","584.5249","339.2894","285.2424","211.2056","265.2526","193.1951","247.2421","267.2319","321.2789","8.04341388888889","8.34341388888889","1149"
"","DG(16:0_16:1)+NH4","0","1","1","1","1","0","1","0","0","8.04341388888889","8.34341388888889","1149","","DG(16:0_16:1)+NH4","0.000000"," 8.228711"," 8.228711"," 8.228711"," 8.228711"," 0.000000"," 8.228711","0.000000","0.000000","8.04341388888889","8.34341388888889","1149","","DG(16:0_16:1)+NH4","0","1","1","1","1","0","1","0","0","8.04341388888889","8.34341388888889","1149","","DG(16:0_16:1)+NH4","      0.0"," 109032.3000"," 112797.8000","  6383.7820","  5954.2180","    0.0000","  1701.7110","    0.0000","    0.0000","8.04341388888889","8.34341388888889","1149","","DG(16:0_16:1)+NH4","  0.0000","311.2584","313.2740","239.2372","237.2217","  0.0000","219.2113","  0.0000","  0.0000","8.04341388888889","8.34341388888889","1149","","DG(16:0_16:1)+NH4","584.5249","311.2581","313.2737","239.2369","237.2213","221.2264","219.2108","295.2632","293.2476","8.04341388888889","8.34341388888889","1149"
"","DG(16:0_18:1)+NH4","0","1","1","1","1","1","1","0","0","9.121325","9.421325","274","","DG(16:0_18:1)+NH4","0.000000"," 9.236587"," 9.236587"," 9.236587"," 9.236587"," 9.236587"," 9.236587","0.000000","9.236587","9.121325","9.421325","274","","DG(16:0_18:1)+NH4","0","2","2","2","2","1","2","0","1","9.121325","9.421325","274","","DG(16:0_18:1)+NH4","      0.0"," 546876.7000"," 619562.5000"," 38381.0900"," 50477.0000"," 2915.2270"," 11372.4200","    0.0000","  814.9296","9.121325","9.421325","274","","DG(16:0_18:1)+NH4","  0.0000","339.2895","313.2738","239.2370","265.2527","221.2263","247.2421","  0.0000","321.2789","9.121325","9.421325","274","","DG(16:0_18:1)+NH4","612.5562","339.2894","313.2737","239.2369","265.2526","221.2264","247.2421","295.2632","321.2789","9.121325","9.421325","274"
"","DG(16:0_18:2)+NH4","0","1","1","1","1","1","1","0","1","8.25985138888889","8.55985138888889","249","","DG(16:0_18:2)+NH4","0.000000"," 8.433767"," 8.433767"," 8.433767"," 8.433767"," 8.433767"," 8.433767","0.000000","8.433767","8.25985138888889","8.55985138888889","249","","DG(16:0_18:2)+NH4","0","2","2","2","2","1","2","0","2","8.25985138888889","8.55985138888889","249","","DG(16:0_18:2)+NH4","      0.0","1593573.0000","1937027.0000"," 77777.2300","155570.1000"," 6140.1040","100954.9000","    0.0000","28602.0700","8.25985138888889","8.55985138888889","249","","DG(16:0_18:2)+NH4","  0.0000","337.2738","313.2738","239.2370","263.2372","221.2264","245.2265","  0.0000","319.2632","8.25985138888889","8.55985138888889","249","","DG(16:0_18:2)+NH4","610.5405","337.2737","313.2737","239.2369","263.2369","221.2264","245.2264","295.2632","319.2632","8.25985138888889","8.55985138888889","249"
"","DG(16:0_20:1)+NH4","0","1","1","0","0","0","0","0","0","10.1082944444444","10.4082944444444","1044","","DG(16:0_20:1)+NH4","0.000000","10.261170","10.261170"," 0.000000"," 0.000000"," 0.000000"," 0.000000","0.000000","0.000000","10.1082944444444","10.4082944444444","1044","","DG(16:0_20:1)+NH4","0","1","1","0","0","0","0","0","0","10.1082944444444","10.4082944444444","1044","","DG(16:0_20:1)+NH4","      0.0","   4971.4380","   6287.7600","     0.0000","     0.0000","    0.0000","     0.0000","    0.0000","    0.0000","10.1082944444444","10.4082944444444","1044","","DG(16:0_20:1)+NH4","  0.0000","367.3212","313.2741","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","10.1082944444444","10.4082944444444","1044","","DG(16:0_20:1)+NH4","640.5875","367.3207","313.2737","239.2369","293.2839","221.2264","275.2734","295.2632","349.3102","10.1082944444444","10.4082944444444","1044"
"","DG(16:0_20:2)+NH4","0","1","1","0","0","0","0","0","0","9.17200277777778","9.47200277777778","252","","DG(16:0_20:2)+NH4","0.000000"," 9.384407"," 9.384407"," 0.000000"," 0.000000"," 0.000000"," 9.384407","0.000000","0.000000","9.17200277777778","9.47200277777778","252","","DG(16:0_20:2)+NH4","0","1","1","0","0","0","1","0","0","9.17200277777778","9.47200277777778","252","","DG(16:0_20:2)+NH4","      0.0","  12926.1000","  16098.7200","     0.0000","     0.0000","    0.0000","   652.8242","    0.0000","    0.0000","9.17200277777778","9.47200277777778","252","","DG(16:0_20:2)+NH4","  0.0000","365.3056","313.2744","  0.0000","  0.0000","  0.0000","273.2579","  0.0000","  0.0000","9.17200277777778","9.47200277777778","252","","DG(16:0_20:2)+NH4","638.5718","365.305","313.2737","239.2369","291.2682","221.2264","273.2577","295.2632","347.2945","9.17200277777778","9.47200277777778","252"
"","DG(16:0_22:5)+NH4","0","1","1","1","1","0","1","0","0","8.0459625","8.3459625","609","","DG(16:0_22:5)+NH4","0.000000"," 8.182799"," 8.182799"," 8.182799"," 8.182799"," 0.000000"," 8.182799","0.000000","0.000000","8.0459625","8.3459625","609","","DG(16:0_22:5)+NH4","0","1","1","1","1","0","1","0","0","8.0459625","8.3459625","609","","DG(16:0_22:5)+NH4","      0.0","  13536.1700","  31826.5000","  2417.2410","  8220.9100","    0.0000","  3157.5830","    0.0000","    0.0000","8.0459625","8.3459625","609","","DG(16:0_22:5)+NH4","  0.0000","387.2899","313.2740","239.2370","313.2533","  0.0000","295.2424","  0.0000","  0.0000","8.0459625","8.3459625","609","","DG(16:0_22:5)+NH4","660.5562","387.2894","313.2737","239.2369","313.2526","221.2264","295.2421","295.2632","369.2789","8.0459625","8.3459625","609"
"","DG(16:1_18:0)+NH4","0","1","1","0","0","0","0","0","0","9.121325","9.421325","274","","DG(16:1_18:0)+NH4","0.000000"," 9.357933"," 9.357933"," 9.236587"," 0.000000"," 0.000000"," 0.000000","0.000000","0.000000","9.121325","9.421325","274","","DG(16:1_18:0)+NH4","0","2","2","1","0","0","0","0","0","9.121325","9.421325","274","","DG(16:1_18:0)+NH4","      0.0","   8267.2960","  10076.1200","   698.8170","     0.0000","    0.0000","     0.0000","    0.0000","    0.0000","9.121325","9.421325","274","","DG(16:1_18:0)+NH4","  0.0000","341.3052","311.2582","237.2209","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","9.121325","9.421325","274","","DG(16:1_18:0)+NH4","612.5562","341.305","311.2581","237.2213","267.2682","219.2108","249.2577","293.2476","323.2945","9.121325","9.421325","274"
"","DG(16:1_18:1)+NH4","0","1","1","1","1","1","1","0","0","8.25985138888889","8.55985138888889","249","","DG(16:1_18:1)+NH4","0.000000"," 8.316489"," 8.316489"," 8.316489"," 8.316489"," 8.316489"," 8.316489","0.000000","0.000000","8.25985138888889","8.55985138888889","249","","DG(16:1_18:1)+NH4","0","2","2","2","2","2","2","0","0","8.25985138888889","8.55985138888889","249","","DG(16:1_18:1)+NH4","      0.0"," 260400.5000"," 268019.6000","  9640.3620"," 10495.7400"," 4279.9110","  3244.7840","    0.0000","    0.0000","8.25985138888889","8.55985138888889","249","","DG(16:1_18:1)+NH4","  0.0000","339.2895","311.2582","237.2215","265.2526","219.2109","247.2423","  0.0000","  0.0000","8.25985138888889","8.55985138888889","249","","DG(16:1_18:1)+NH4","610.5406","339.2894","311.2581","237.2213","265.2526","219.2108","247.2421","293.2476","321.2789","8.25985138888889","8.55985138888889","249"
"","DG(16:1_20:1)+NH4","0","1","1","0","0","0","0","0","0","9.17200277777778","9.47200277777778","252","","DG(16:1_20:1)+NH4","0.000000"," 9.272959"," 9.272959"," 0.000000"," 0.000000"," 0.000000"," 0.000000","0.000000","0.000000","9.17200277777778","9.47200277777778","252","","DG(16:1_20:1)+NH4","0","2","1","0","0","0","0","0","0","9.17200277777778","9.47200277777778","252","","DG(16:1_20:1)+NH4","      0.0","   3277.8300","   3666.4270","     0.0000","     0.0000","    0.0000","     0.0000","    0.0000","    0.0000","9.17200277777778","9.47200277777778","252","","DG(16:1_20:1)+NH4","  0.0000","367.3209","311.2583","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","9.17200277777778","9.47200277777778","252","","DG(16:1_20:1)+NH4","638.5719","367.3207","311.2581","237.2213","293.2839","219.2108","275.2734","293.2476","349.3102","9.17200277777778","9.47200277777778","252"
