"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Number of Scans","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Max Intensity","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Average m/z","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment"
"","LPC(14:0)+H","1","1","1","1","1","1","1","0.484563888888889","0.784563888888889","189","","LPC(14:0)+H","0.6487598","0.6487598","0.6487598","0.6487598","0.6487598","0.6487598"," 0.6487598","0.484563888888889","0.784563888888889","189","","LPC(14:0)+H","1","1","1","1","1","1","1","0.484563888888889","0.784563888888889","189","","LPC(14:0)+H","3.672489e+06","  92764.8900","  85364.0600","4.404990e+06","  23556.0900","4.283194e+06"," 165288.000","0.484563888888889","0.784563888888889","189","","LPC(14:0)+H","468.3088","285.2425","258.1102","184.0734","124.9999","104.1070","86.09647","0.484563888888889","0.784563888888889","189","","LPC(14:0)+H","468.308505","285.242505","258.11015","184.07332","124.9994","104.1069","86.0963","0.484563888888889","0.784563888888889","189"
"","LPC(15:0)+H","1","1","1","1","1","1","1","0.608841666666667","0.908841666666667","254","","LPC(15:0)+H","0.7448988","0.7448988","0.7448988","0.7448988","0.7448988","0.7448988"," 0.7448988","0.608841666666667","0.908841666666667","254","","LPC(15:0)+H","2","2","2","2","1","2","2","0.608841666666667","0.908841666666667","254","","LPC(15:0)+H","2.360705e+06","  54178.8200","  51508.1500","2.805264e+06","  15846.6300","2.360755e+06","  85299.270","0.608841666666667","0.908841666666667","254","","LPC(15:0)+H","482.3247","299.2582","258.1104","184.0735","124.9999","104.1071","86.09654","0.608841666666667","0.908841666666667","254","","LPC(15:0)+H","482.324155","299.258155","258.11015","184.07332","124.9994","104.1069","86.0963","0.608841666666667","0.908841666666667","254"
"","LPC(15:0)+H","1","0","0","1","0","1","0","1.34317916666667","1.64317916666667","495","","LPC(15:0)+H","1.4784270","0.0000000","0.0000000","1.4784270","0.0000000","1.4784270"," 0.0000000","1.34317916666667","1.64317916666667","495","","LPC(15:0)+H","1","0","0","1","0","1","0","1.34317916666667","1.64317916666667","495","","LPC(15:0)+H","1.066227e+05","      0.0000","      0.0000","7.444226e+03","      0.0000","4.049567e+04","      0.000","1.34317916666667","1.64317916666667","495","","LPC(15:0)+H","482.3247","  0.0000","  0.0000","184.0735","  0.0000","104.1071"," 0.00000","1.34317916666667","1.64317916666667","495","","LPC(15:0)+H","482.324155","299.258155","258.11015","184.07332","124.9994","104.1069","86.0963","1.34317916666667","1.64317916666667","495"
"","LPC(15:1)+H","1","0","0","1","1","1","1","0.90731944444444","1.20731944444444","653","","LPC(15:1)+H","1.0691920","0.0000000","0.0000000","1.0691920","1.0691920","1.0691920"," 1.0691920","0.90731944444444","1.20731944444444","653","","LPC(15:1)+H","2","0","0","3","3","3","3","0.90731944444444","1.20731944444444","653","","LPC(15:1)+H","7.664984e+04","      0.0000","      0.0000","2.104677e+05","  55949.7400","1.243912e+06"," 245041.600","0.90731944444444","1.20731944444444","653","","LPC(15:1)+H","480.3095","  0.0000","  0.0000","184.0735","125.0000","104.1071","86.09652","0.90731944444444","1.20731944444444","653","","LPC(15:1)+H","480.308505","297.242505","258.11015","184.07332","124.9994","104.1069","86.0963","0.90731944444444","1.20731944444444","653"
"","LPC(16:0)+H","1","1","1","1","1","1","1","0.790172222222222","1.09017222222222","6","","LPC(16:0)+H","0.9400288","0.9400288","0.9400288","0.9400288","0.9400288","0.9400288"," 0.9400288","0.790172222222222","1.09017222222222","6","","LPC(16:0)+H","3","3","3","3","3","3","3","0.790172222222222","1.09017222222222","6","","LPC(16:0)+H","1.167172e+08","2587741.0000","3092265.0000","1.587167e+08","1017735.0000","1.648840e+08","6274874.000","0.790172222222222","1.09017222222222","6","","LPC(16:0)+H","496.3395","313.2734","258.1100","184.0732","124.9998","104.1069","86.09639","0.790172222222222","1.09017222222222","6","","LPC(16:0)+H","496.339805","313.273805","258.11015","184.07332","124.9994","104.1069","86.0963","0.790172222222222","1.09017222222222","6"
"","LPC(16:0)+H","1","0","0","1","0","1","0","2.97452575757576","3.27452575757576","5408","","LPC(16:0)+H","3.0069970","0.0000000","3.0069970","3.0069970","0.0000000","3.0069970"," 3.0069970","2.97452575757576","3.27452575757576","5408","","LPC(16:0)+H","1","0","1","1","0","1","1","2.97452575757576","3.27452575757576","5408","","LPC(16:0)+H","3.302491e+04","      0.0000","    775.0062","4.975125e+04","      0.0000","2.732410e+04","    797.687","2.97452575757576","3.27452575757576","5408","","LPC(16:0)+H","496.3403","  0.0000","258.1104","184.0735","  0.0000","104.1071","86.09652","2.97452575757576","3.27452575757576","5408","","LPC(16:0)+H","496.339805","313.273805","258.11015","184.07332","124.9994","104.1069","86.0963","2.97452575757576","3.27452575757576","5408"
"","LPC(16:1)+H","1","1","1","1","1","1","1","0.528548611111111","0.828548611111111","134","","LPC(16:1)+H","0.6840880","0.6840880","0.6840880","0.6840880","0.6840880","0.6840880"," 0.6840880","0.528548611111111","0.828548611111111","134","","LPC(16:1)+H","2","2","2","2","1","2","2","0.528548611111111","0.828548611111111","134","","LPC(16:1)+H","5.289869e+06"," 134046.7000"," 142388.5000","8.129231e+06","  49096.1300","7.369557e+06"," 318978.700","0.528548611111111","0.828548611111111","134","","LPC(16:1)+H","494.3243","311.2581","258.1102","184.0734","124.9998","104.1070","86.09647","0.528548611111111","0.828548611111111","134","","LPC(16:1)+H","494.324155","311.258155","258.11015","184.07332","124.9994","104.1069","86.0963","0.528548611111111","0.828548611111111","134"
"","LPC(17:0)+H","1","1","1","1","1","1","1","1.020075","1.320075","27","","LPC(17:0)+H","1.2131110","1.2131110","1.2131110","1.2131110","1.2131110","1.2131110"," 1.2131110","1.020075","1.320075","27","","LPC(17:0)+H","2","2","2","2","2","2","2","1.020075","1.320075","27","","LPC(17:0)+H","3.130329e+07"," 623305.0000"," 836044.9000","3.985880e+07"," 269506.2000","4.607992e+07","1658144.000","1.020075","1.320075","27","","LPC(17:0)+H","510.3548","327.2887","258.1097","184.0731","124.9997","104.1068","86.09631","1.020075","1.320075","27","","LPC(17:0)+H","510.355455","327.289455","258.11015","184.07332","124.9994","104.1069","86.0963","1.020075","1.320075","27"
"","LPC(17:1)+H","1","1","1","1","0","1","1","0.668827777777778","0.968827777777778","724","","LPC(17:1)+H","0.8480379","0.8480379","0.8480379","0.8480379","0.0000000","0.8480379"," 0.8480379","0.668827777777778","0.968827777777778","724","","LPC(17:1)+H","1","1","1","1","0","1","1","0.668827777777778","0.968827777777778","724","","LPC(17:1)+H","6.702418e+05","  11907.6600","  16571.8500","7.329979e+05","      0.0000","6.880077e+05","  27153.420","0.668827777777778","0.968827777777778","724","","LPC(17:1)+H","508.3405","325.2740","258.1103","184.0736","  0.0000","104.1071","86.09653","0.668827777777778","0.968827777777778","724","","LPC(17:1)+H","508.339805","325.273805","258.11015","184.07332","124.9994","104.1069","86.0963","0.668827777777778","0.968827777777778","724"
"","LPC(18:0)+H","1","1","1","1","1","1","1","1.26522361111111","1.56522361111111","14","","LPC(18:0)+H","1.4376780","1.4376780","1.4376780","1.4376780","1.4376780","1.4376780"," 1.4376780","1.26522361111111","1.56522361111111","14","","LPC(18:0)+H","4","4","4","4","4","4","4","1.26522361111111","1.56522361111111","14","","LPC(18:0)+H","7.143459e+07","1243566.0000","2034053.0000","8.464650e+07"," 523271.1000","9.677641e+07","3426221.000","1.26522361111111","1.56522361111111","14","","LPC(18:0)+H","524.3713","341.3051","258.1101","184.0733","124.9999","104.1070","86.09645","1.26522361111111","1.56522361111111","14","","LPC(18:0)+H","524.371105","341.305105","258.11015","184.07332","124.9994","104.1069","86.0963","1.26522361111111","1.56522361111111","14"
