"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","LPC(16:0)+Na","1","1","1","1","0","1","0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na","0.9355703","0.8117199","0.9355703","0.8117199","0","0.8117199","0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na","2","2","2","2","0","2","0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na","1234647.0","11719.6400","1298778.0000","203823.1000","0","7.010276e+04","0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na","518.3223","335.2558","459.2486","313.2739","0","184.0736","0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","0.738405555555556","1.03840555555556","295"
"","LPC(16:0)+Na","1","0","1","1","0","0","1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na","1.9893050","1.9893050","1.9893050","1.9893050","0","1.9893050","1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na","1","1","1","1","0","1","1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na"," 261399.9","  707.9921"," 246375.1000"," 14314.6600","0","9.010662e+02","1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na","518.3223","335.2558","459.2485","313.2738","0","184.0738","1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","1.82039027777778","2.12039027777778","999"
"","LPC(16:0)+Na","1","0","1","1","0","1","1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na","1.5199480","0.0000000","1.5199480","1.5199480","0","1.5199480","1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na","1","0","1","1","0","1","1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na"," 255034.3","    0.0000"," 260420.4000"," 11902.6600","0","1.856860e+03","1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na","518.3223","  0.0000","459.2484","313.2738","0","184.0735","1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","1.37974166666667","1.67974166666667","1222"
"","LPC(17:0)+Na","1","1","1","1","0","0","1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na","1.1616760","1.1616760","1.1616760","1.1616760","0","1.1616760","1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na","2","1","2","2","0","1","1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na","1581454.0"," 3520.4010","1704225.0000"," 36495.4300","0","8.534495e+02","1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na","532.3384","349.2713","473.2647","327.2898","0","184.0733","1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na","532.336835","349.270835","473.263335","327.288835","203.007435","184.07332","1.02527361111111","1.32527361111111","262"
"","LPC(18:0)+Na","1","1","1","1","0","1","1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na","1.4992970","1.4992970","1.4992970","1.4992970","0","1.3747320","1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na","2","2","2","2","0","2","1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na","3782465.0"," 6638.4730","3865034.0000","104703.4000","0","1.863122e+04","1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na","546.3530","363.2866","487.2795","341.3050","0","184.0733","1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","1.34317916666667","1.64317916666667","152"
"","LPC(18:0)+Na","1","0","1","1","0","1","1.811375","2.111375","964","","LPC(18:0)+Na","1.9727310","0.0000000","1.9727310","1.9727310","0","1.9727310","1.811375","2.111375","964","","LPC(18:0)+Na","1","0","1","1","0","1","1.811375","2.111375","964","","LPC(18:0)+Na"," 318816.4","    0.0000"," 299448.0000"," 11985.5000","0","9.549124e+03","1.811375","2.111375","964","","LPC(18:0)+Na","546.3537","  0.0000","487.2801","341.3054","0","184.0735","1.811375","2.111375","964","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","1.811375","2.111375","964"
"","LPC(18:0)+Na","1","0","1","1","0","1","1.56645","1.86645","12773","","LPC(18:0)+Na","1.6654490","0.0000000","1.6654490","1.6654490","0","1.6654490","1.56645","1.86645","12773","","LPC(18:0)+Na","1","0","1","1","0","1","1.56645","1.86645","12773","","LPC(18:0)+Na"," 132434.2","    0.0000"," 133788.7000","  3142.3940","0","7.109419e+03","1.56645","1.86645","12773","","LPC(18:0)+Na","546.3538","  0.0000","487.2801","341.3055","0","184.0735","1.56645","1.86645","12773","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","1.56645","1.86645","12773"
"","LPC(18:1)+Na","1","0","1","1","0","1","0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na","1.0848480","0.0000000","1.0848480","1.0848480","0","0.9504062","0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na","2","0","2","2","0","2","0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na"," 642533.1","    0.0000"," 539261.6000"," 13510.2000","0","2.243098e+05","0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na","544.3388","  0.0000","485.2644","339.2898","0","184.0735","0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na","544.336835","361.270835","485.263335","339.288835","215.007435","184.07332","0.89461944444444","1.19461944444444","425"
"","LPC(18:2)+Na","1","1","1","1","0","1","0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na","0.7144476","0.7144476","0.7144476","0.7144476","0","0.7144476","0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na","2","2","2","2","0","2","0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na","1477114.0","16928.3100","1609748.0000"," 48519.8400","0","9.639705e+04","0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na","542.3226","359.2562","483.2489","337.2740","0","184.0736","0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na","542.321185","359.255185","483.247685","337.273185","212.991785","184.07332","0.585777777777778","0.885777777777778","277"
"","LPC(19:0)+Na","1","1","1","1","0","0","1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na","1.7219650","1.7219650","1.7219650","1.7219650","0","0.0000000","1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na","2","2","2","2","0","0","1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na","2098288.0"," 2579.9200","2097576.0000"," 43335.2800","0","0.000000e+00","1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na","560.3694","377.3033","501.2957","355.3210","0","  0.0000","1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na","560.368135","377.302135","501.294635","355.320135","231.038735","184.07332","1.54914027777778","1.84914027777778","210"
"","LPC(19:0)+Na","1","1","1","1","0","0","1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na","1.8945260","1.8945260","1.8945260","1.8945260","0","0.0000000","1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na","2","1","2","2","0","0","1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na"," 638605.6"," 1048.6500"," 602064.6000"," 15161.1800","0","0.000000e+00","1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na","560.3695","377.3019","501.2957","355.3209","0","  0.0000","1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na","560.368135","377.302135","501.294635","355.320135","231.038735","184.07332","1.79438611111111","2.09438611111111","523"
