"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Average m/z","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment"
"","OxPC(17:0_15:0(COOH))+H","1","0","1","0","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:0(COOH))+H"," 7.867475","0.000000","7.867475","0.000000","7.867475","0.000000"," 7.867475","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:0(COOH))+H","1","0","1","0","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:0(COOH))+H","  4952.251","   0.000","34251.9100","   0.0000","30568.1000","    0.0000","  42281.0300","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:0(COOH))+H","764.5439","  0.0000","494.2880","  0.0000","512.2990","  0.0000","184.0735","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:0(COOH))+H","764.54366","581.4776","494.28776","492.34488","512.29834","510.35546","184.07332","7.68959027777778","7.98959027777778","200"
"","OxPC(19:0_16:3(COOH))+H","1","0","0","1","0","1","1","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_16:3(COOH))+H"," 8.161917","0.000000","0.000000","8.306120","0.000000","8.306120"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_16:3(COOH))+H","1","0","0","1","0","2","2","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_16:3(COOH))+H"," 48811.200","   0.000","    0.0000","4543.4140","    0.0000","13494.0900","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_16:3(COOH))+H","800.5413","  0.0000","  0.0000","520.3767","  0.0000","538.3865","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_16:3(COOH))+H","800.54367","617.47761","502.25647","520.37618","520.26705","538.38676","184.07332","8.01050416666666","8.31050416666666","2253"
"","OxPC(16:0_18:2(OH))","1","1","1","0","0","0","1","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:2(OH))"," 5.172553","5.172553","5.172553","0.000000","0.000000","0.000000"," 5.172553","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:2(OH))","2","1","1","0","0","0","2","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:2(OH))","494380.400","2983.893"," 1052.6870","   0.0000","    0.0000","    0.0000","3526427.0000","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:2(OH))","774.5666","591.4996","518.3256","  0.0000","  0.0000","  0.0000","184.0739","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:2(OH))","774.5644","591.49834","518.32415","478.32923","536.33473","496.33981","184.07332","5.07425277777778","5.37425277777778","330"
"","OxPC(14:0_20:1(OH))","0","0","0","1","0","0","1","4.86781666666667","5.16781666666667","13186","","OxPC(14:0_20:1(OH))"," 0.000000","0.000000","0.000000","5.073851","0.000000","0.000000"," 5.073851","4.86781666666667","5.16781666666667","13186","","OxPC(14:0_20:1(OH))","0","0","0","1","0","0","1","4.86781666666667","5.16781666666667","13186","","OxPC(14:0_20:1(OH))","     0.000","   0.000","    0.0000","8965.7940","    0.0000","    0.0000"," 151437.6000","4.86781666666667","5.16781666666667","13186","","OxPC(14:0_20:1(OH))","  0.0000","  0.0000","  0.0000","450.2990","  0.0000","  0.0000","184.0739","4.86781666666667","5.16781666666667","13186","","OxPC(14:0_20:1(OH))","776.58008","593.51402","548.37113","450.29793","566.38171","468.30851","184.07332","4.86781666666667","5.16781666666667","13186"
"","OxPC(16:1_18:1(OH))","1","1","1","0","0","1","1","5.07425277777778","5.37425277777778","330","","OxPC(16:1_18:1(OH))"," 5.172553","5.172553","5.172553","0.000000","0.000000","5.172553"," 5.172553","5.07425277777778","5.37425277777778","330","","OxPC(16:1_18:1(OH))","2","1","1","0","0","1","2","5.07425277777778","5.37425277777778","330","","OxPC(16:1_18:1(OH))","494380.400","2983.893"," 2889.2830","   0.0000","    0.0000"," 2658.1590","3526427.0000","5.07425277777778","5.37425277777778","330","","OxPC(16:1_18:1(OH))","774.5666","591.4996","520.3411","  0.0000","  0.0000","494.3261","184.0739","5.07425277777778","5.37425277777778","330","","OxPC(16:1_18:1(OH))","774.56443","591.49837","520.33983","476.31358","538.35041","494.32416","184.07332","5.07425277777778","5.37425277777778","330"
"","OxPC(16:0_18:1(Ke))","1","1","1","0","0","0","1","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:1(Ke))"," 5.172553","5.172553","5.172553","0.000000","0.000000","0.000000"," 5.172553","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:1(Ke))","2","1","1","0","0","0","2","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:1(Ke))","494380.400","2983.893"," 1052.6870","   0.0000","    0.0000","    0.0000","3526427.0000","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:1(Ke))","774.5666","591.4996","518.3256","  0.0000","  0.0000","  0.0000","184.0739","5.07425277777778","5.37425277777778","330","","OxPC(16:0_18:1(Ke))","774.56442","591.49836","518.32417","478.32923","536.33475","496.33981","184.07332","5.07425277777778","5.37425277777778","330"
"","OxPC(17:0_15:1(OO))","1","0","1","0","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:1(OO))"," 7.867475","0.000000","7.867475","0.000000","7.867475","0.000000"," 7.867475","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:1(OO))","1","0","1","0","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:1(OO))","  4952.251","   0.000","34251.9100","   0.0000","30568.1000","    0.0000","  42281.0300","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:1(OO))","764.5439","  0.0000","494.2880","  0.0000","512.2990","  0.0000","184.0735","7.68959027777778","7.98959027777778","200","","OxPC(17:0_15:1(OO))","764.54365","581.47759","494.28775","492.34488","512.29833","510.35546","184.07332","7.68959027777778","7.98959027777778","200"
"","OxPC(18:3_22:2(OH))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:2(OH))"," 0.000000","0.000000","0.000000","5.109774","0.000000","0.000000"," 5.109774","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:2(OH))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:2(OH))","     0.000","   0.000","    0.0000","3740.6110","    0.0000","    0.0000","  59865.3000","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:2(OH))","  0.0000","  0.0000","  0.0000","500.3127","  0.0000","  0.0000","184.0739","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:2(OH))","852.61133","669.54527","574.38673","500.31358","592.39731","518.32416","184.07332","4.85873611111111","5.15873611111111","14708"
"","OxPC(18:3_22:1(Ke))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:1(Ke))"," 0.000000","0.000000","0.000000","5.109774","0.000000","0.000000"," 5.109774","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:1(Ke))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:1(Ke))","     0.000","   0.000","    0.0000","3740.6110","    0.0000","    0.0000","  59865.3000","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:1(Ke))","  0.0000","  0.0000","  0.0000","500.3127","  0.0000","  0.0000","184.0739","4.85873611111111","5.15873611111111","14708","","OxPC(18:3_22:1(Ke))","852.61137","669.54531","574.38677","500.31358","592.39735","518.32416","184.07332","4.85873611111111","5.15873611111111","14708"
"","OxPC(18:2_22:3(OH))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:3(OH))"," 0.000000","0.000000","0.000000","5.109774","0.000000","0.000000"," 5.109774","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:3(OH))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:3(OH))","     0.000","   0.000","    0.0000","1158.0880","    0.0000","    0.0000","  59865.3000","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:3(OH))","  0.0000","  0.0000","  0.0000","502.3306","  0.0000","  0.0000","184.0739","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:3(OH))","852.61138","669.54532","572.37113","502.32923","590.38171","520.33981","184.07332","4.85873611111111","5.15873611111111","14708"
