"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","RT at Max Intensity","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Number of Scans","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Max Intensity","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Average m/z","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment"
"","PC(14:0_18:2)+Na","1","1","1","1","1","1","1","0","1","5.11699166666667","5.41699166666667","861","","PC(14:0_18:2)+Na"," 5.317206"," 5.317206"," 5.317206"," 5.317206"," 5.317206"," 5.317206"," 5.317206"," 5.317206"," 5.317206","5.11699166666667","5.41699166666667","861","","PC(14:0_18:2)+Na","1","1","1","1","1","1","1","1","1","5.11699166666667","5.41699166666667","861","","PC(14:0_18:2)+Na","  293391.50"," 171707.4000","151750.900"," 42523.150"," 5109.2920"," 1068.3760","  1175.7650","  595.5680"," 135926.8000","5.11699166666667","5.41699166666667","861","","PC(14:0_18:2)+Na","752.5223","569.4558","693.4489","547.4738","465.2389","413.2070","524.3121","472.2809","146.9822","5.11699166666667","5.41699166666667","861","","PC(14:0_18:2)+Na","752.52008","569.45404","693.446581","547.4721","465.237651","413.206351","524.31115","472.27985","146.98179","5.11699166666667","5.41699166666667","861"
"","PC(14:0_20:4)+Na","1","1","1","1","1","1","1","1","1","4.9153","5.2153","502","","PC(14:0_20:4)+Na"," 5.073851"," 5.073851"," 5.073851"," 5.073851"," 5.073851"," 5.073851"," 5.073851"," 5.073851"," 5.073851","4.9153","5.2153","502","","PC(14:0_20:4)+Na","1","1","1","1","1","1","1","1","1","4.9153","5.2153","502","","PC(14:0_20:4)+Na","  910724.30"," 951096.5000","581709.300"," 81218.180","22058.8100"," 9276.1010","  5857.2590"," 2929.8270"," 311956.8000","4.9153","5.2153","502","","PC(14:0_20:4)+Na","776.5220","593.4557","717.4485","571.4739","489.2393","413.2077","548.3124","472.2805","146.9822","4.9153","5.2153","502","","PC(14:0_20:4)+Na","776.52008","593.45404","717.446581","571.4721","489.237651","413.206351","548.31115","472.27985","146.98179","4.9153","5.2153","502"
"","PC(16:0_16:1)+Na","1","1","1","1","1","0","0","0","1","6.09123194444444","6.39123194444444","1172","","PC(16:0_16:1)+Na"," 6.297675"," 6.297675"," 6.297675"," 6.297675"," 6.297675"," 6.297675"," 6.297675"," 0.000000"," 6.297675","6.09123194444444","6.39123194444444","1172","","PC(16:0_16:1)+Na","1","1","1","1","1","1","1","0","1","6.09123194444444","6.39123194444444","1172","","PC(16:0_16:1)+Na","  137490.30","  73174.0700"," 73619.230"," 21111.780"," 1138.3440","  531.7292","   689.2201","    0.0000","  84598.5000","6.09123194444444","6.39123194444444","1172","","PC(16:0_16:1)+Na","754.5372","571.4709","695.4637","549.4892","439.2229","441.2359","498.2965","  0.0000","146.9820","6.09123194444444","6.39123194444444","1172","","PC(16:0_16:1)+Na","754.53578","571.46974","695.462281","549.4878","439.222051","441.237651","498.29555","500.31115","146.98179","6.09123194444444","6.39123194444444","1172"
"","PC(16:0_18:2)+Na","1","1","1","1","1","1","1","1","1","6.47969027777778","6.77969027777778","601","","PC(16:0_18:2)+Na"," 6.484857"," 6.484857"," 6.484857"," 6.484857"," 6.484857"," 6.484857"," 6.484857"," 6.643360"," 6.484857","6.47969027777778","6.77969027777778","601","","PC(16:0_18:2)+Na","2","2","2","2","2","2","2","2","2","6.47969027777778","6.77969027777778","601","","PC(16:0_18:2)+Na","  754364.40"," 519956.8000","447314.300","113426.800","13637.9400"," 3862.2630","  7863.8940"," 1238.4020"," 425502.3000","6.47969027777778","6.77969027777778","601","","PC(16:0_18:2)+Na","780.5527","597.4864","721.4790","575.5045","465.2386","441.2387","524.3122","500.3120","146.9821","6.47969027777778","6.77969027777778","601","","PC(16:0_18:2)+Na","780.55138","597.48534","721.477881","575.5034","465.237651","441.237651","524.31115","500.31115","146.98179","6.47969027777778","6.77969027777778","601"
"","PC(16:0_20:3)+Na","1","1","1","1","1","1","1","0","1","6.72995555555556","7.02995555555556","450","","PC(16:0_20:3)+Na"," 6.826602"," 6.826602"," 6.826602"," 6.826602"," 6.826602"," 6.826602"," 6.826602"," 6.826602"," 6.826602","6.72995555555556","7.02995555555556","450","","PC(16:0_20:3)+Na","2","2","2","2","2","2","2","1","2","6.72995555555556","7.02995555555556","450","","PC(16:0_20:3)+Na","  706500.70"," 535256.6000","378352.600"," 93154.370","13541.1600"," 3589.2880","  6334.1900","  889.6970"," 341202.8000","6.72995555555556","7.02995555555556","450","","PC(16:0_20:3)+Na","806.5678","623.5018","747.4943","601.5199","491.2538","441.2382","550.3274","500.3134","146.9819","6.72995555555556","7.02995555555556","450","","PC(16:0_20:3)+Na","806.56708","623.50104","747.493581","601.5191","491.253351","441.237651","550.32685","500.31115","146.98179","6.72995555555556","7.02995555555556","450"
"","PC(16:0_20:4)+Na","1","1","1","1","1","1","1","1","1","6.16809305555556","6.46809305555556","488","","PC(16:0_20:4)+Na"," 6.382530"," 6.382530"," 6.382530"," 6.382530"," 6.382530"," 6.382530"," 6.382530"," 6.382530"," 6.382530","6.16809305555556","6.46809305555556","488","","PC(16:0_20:4)+Na","2","2","2","2","2","2","2","2","2","6.16809305555556","6.46809305555556","488","","PC(16:0_20:4)+Na","  678111.40"," 711391.9000","455774.300"," 57706.790","19098.7700"," 4834.8210","  5565.0160"," 4156.2880"," 234089.1000","6.16809305555556","6.46809305555556","488","","PC(16:0_20:4)+Na","804.5523","621.4862","745.4788","599.5044","489.2385","441.2379","548.3122","500.3118","146.9819","6.16809305555556","6.46809305555556","488","","PC(16:0_20:4)+Na","804.55138","621.48534","745.477881","599.5034","489.237651","441.237651","548.31115","500.31115","146.98179","6.16809305555556","6.46809305555556","488"
"","PC(16:0_20:5)+Na","1","1","1","1","1","1","1","1","1","5.38028055555556","5.68028055555556","445","","PC(16:0_20:5)+Na"," 5.472057"," 5.472057"," 5.472057"," 5.472057"," 5.472057"," 5.472057"," 5.472057"," 5.472057"," 5.472057","5.38028055555556","5.68028055555556","445","","PC(16:0_20:5)+Na","2","2","2","2","2","2","2","1","2","5.38028055555556","5.68028055555556","445","","PC(16:0_20:5)+Na","  477766.30"," 536517.2000","329370.300"," 38775.730","10550.4900"," 4451.1450","  3490.3150"," 1339.9140"," 174656.6000","5.38028055555556","5.68028055555556","445","","PC(16:0_20:5)+Na","802.5371","619.4709","743.4637","597.4889","487.2230","441.2385","546.2971","500.3124","146.9821","5.38028055555556","5.68028055555556","445","","PC(16:0_20:5)+Na","802.53578","619.46974","743.462281","597.4878","487.222051","441.237651","546.29555","500.31115","146.98179","5.38028055555556","5.68028055555556","445"
"","PC(16:0_22:5)+Na","1","1","1","1","1","1","0","0","1","6.27630277777778","6.57630277777778","11279","","PC(16:0_22:5)+Na"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 0.000000"," 0.000000"," 6.424025","6.27630277777778","6.57630277777778","11279","","PC(16:0_22:5)+Na","1","1","1","1","1","1","0","0","1","6.27630277777778","6.57630277777778","11279","","PC(16:0_22:5)+Na","  276350.10"," 283839.9000","176985.500"," 29316.830"," 2299.1060"," 1037.0760","     0.0000","    0.0000"," 114183.5000","6.27630277777778","6.57630277777778","11279","","PC(16:0_22:5)+Na","830.5683","647.5023","771.4949","625.5203","515.2543","441.2388","  0.0000","  0.0000","146.9820","6.27630277777778","6.57630277777778","11279","","PC(16:0_22:5)+Na","830.56708","647.50104","771.493581","625.5191","515.253351","441.237651","574.32685","500.31115","146.98179","6.27630277777778","6.57630277777778","11279"
"","PC(16:0_22:6)+Na","1","1","1","1","1","1","1","1","1","5.83603333333333","6.13603333333333","410","","PC(16:0_22:6)+Na"," 5.969419"," 5.969419"," 5.969419"," 5.969419"," 5.969419"," 5.969419"," 5.969419"," 5.969419"," 5.969419","5.83603333333333","6.13603333333333","410","","PC(16:0_22:6)+Na","2","2","2","2","2","2","1","1","2","5.83603333333333","6.13603333333333","410","","PC(16:0_22:6)+Na","  925269.90","1118285.0000","744378.500","112877.700","24290.3300","14564.7300","  8904.5040"," 3138.0970"," 323323.0000","5.83603333333333","6.13603333333333","410","","PC(16:0_22:6)+Na","828.5527","645.4866","769.4791","623.5046","513.2385","441.2386","572.3126","500.3125","146.9821","5.83603333333333","6.13603333333333","410","","PC(16:0_22:6)+Na","828.55138","645.48534","769.477881","623.5034","513.237651","441.237651","572.31115","500.31115","146.98179","5.83603333333333","6.13603333333333","410"
"","PC(16:0_22:6)+Na","1","1","1","1","1","0","0","0","1","6.02765","6.32765","17806","","PC(16:0_22:6)+Na"," 6.091696"," 6.091696"," 6.091696"," 6.091696"," 6.091696"," 6.091696"," 0.000000"," 0.000000"," 6.091696","6.02765","6.32765","17806","","PC(16:0_22:6)+Na","1","1","1","1","1","1","0","0","1","6.02765","6.32765","17806","","PC(16:0_22:6)+Na","  130408.80"," 135882.0000"," 93346.520"," 14545.000"," 2702.7230","  594.5491","     0.0000","    0.0000","  44568.2300","6.02765","6.32765","17806","","PC(16:0_22:6)+Na","828.5528","645.4868","769.4793","623.5047","513.2384","441.2388","  0.0000","  0.0000","146.9821","6.02765","6.32765","17806","","PC(16:0_22:6)+Na","828.55138","645.48534","769.477881","623.5034","513.237651","441.237651","572.31115","500.31115","146.98179","6.02765","6.32765","17806"
