"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment"
"","PE(15:0_15:0)+H","1","1","1","1","1","1","1","6.30153194444444","6.60153194444444","97","","PE(15:0_15:0)+H"," 6.479667","6.479667"," 6.479667"," 6.479667"," 6.479667"," 6.479667","6.479667","6.30153194444444","6.60153194444444","97","","PE(15:0_15:0)+H","2","2","2","2","2","2","1","6.30153194444444","6.60153194444444","97","","PE(15:0_15:0)+H","   69924.220","16353570.00","370044.2000","370044.2000","1163361.0000","1163361.0000","8939.610","6.30153194444444","6.60153194444444","97","","PE(15:0_15:0)+H","664.4920","523.4727","299.2583","299.2583","225.2215","225.2215","142.0265","6.30153194444444","6.60153194444444","97","","PE(15:0_15:0)+H","664.49128","523.47217","299.25812","299.25812","225.22135","225.22135","142.02639","6.30153194444444","6.60153194444444","97"
"","PE(15:0_15:0)+H","1","1","1","1","1","1","0","6.48472083333333","6.78472083333333","15124","","PE(15:0_15:0)+H"," 6.597385","6.597385"," 6.597385"," 6.597385"," 6.597385"," 6.597385","0.000000","6.48472083333333","6.78472083333333","15124","","PE(15:0_15:0)+H","1","1","1","1","1","1","0","6.48472083333333","6.78472083333333","15124","","PE(15:0_15:0)+H","    6324.500"," 1614014.00"," 30779.2000"," 30779.2000","  89720.4800","  89720.4800","   0.000","6.48472083333333","6.78472083333333","15124","","PE(15:0_15:0)+H","664.4921","523.4730","299.2585","299.2585","225.2216","225.2216","  0.0000","6.48472083333333","6.78472083333333","15124","","PE(15:0_15:0)+H","664.49128","523.47217","299.25812","299.25812","225.22135","225.22135","142.02639","6.48472083333333","6.78472083333333","15124"
"","PE(16:0_18:1)+H","1","1","1","1","1","1","0","7.62599583333333","7.92599583333333","802","","PE(16:0_18:1)+H"," 7.810819","7.810819"," 7.810819"," 7.810819"," 7.810819"," 7.810819","0.000000","7.62599583333333","7.92599583333333","802","","PE(16:0_18:1)+H","1","2","2","1","2","2","0","7.62599583333333","7.92599583333333","802","","PE(16:0_18:1)+H","    6364.684","  934306.40"," 12366.6500","  7101.4840","  20423.3900","  20790.2600","   0.000","7.62599583333333","7.92599583333333","802","","PE(16:0_18:1)+H","718.5387","577.5197","339.2894","313.2740","239.2371","265.2528","  0.0000","7.62599583333333","7.92599583333333","802","","PE(16:0_18:1)+H","718.53818","577.51907","339.28942","313.27372","239.23695","265.25265","142.02639","7.62599583333333","7.92599583333333","802"
"","PE(16:0_18:2)+H","1","1","1","1","1","1","0","6.68251805555556","6.98251805555556","422","","PE(16:0_18:2)+H"," 6.856732","6.856732"," 6.856732"," 6.856732"," 6.856732"," 6.856732","0.000000","6.68251805555556","6.98251805555556","422","","PE(16:0_18:2)+H","1","1","1","1","1","1","0","6.68251805555556","6.98251805555556","422","","PE(16:0_18:2)+H","   20486.500"," 2198774.00"," 30450.9000"," 22285.8500","  58584.1100","  44819.6500","   0.000","6.68251805555556","6.98251805555556","422","","PE(16:0_18:2)+H","716.5242","575.5046","337.2742","313.2742","239.2373","263.2374","  0.0000","6.68251805555556","6.98251805555556","422","","PE(16:0_18:2)+H","716.52248","575.50337","337.27372","313.27372","239.23695","263.23695","142.02639","6.68251805555556","6.98251805555556","422"
"","PE(16:0_20:4)+H","1","1","1","1","1","1","0","6.49417777777778","6.79417777777778","510","","PE(16:0_20:4)+H"," 6.663421","6.663421"," 6.663421"," 6.663421"," 6.663421"," 6.663421","0.000000","6.49417777777778","6.79417777777778","510","","PE(16:0_20:4)+H","1","1","1","1","1","1","0","6.49417777777778","6.79417777777778","510","","PE(16:0_20:4)+H","   15678.960"," 1564707.00"," 20600.1200","505025.4000","  36529.8000","   6266.7600","   0.000","6.49417777777778","6.79417777777778","510","","PE(16:0_20:4)+H","740.5244","599.5046","361.2744","313.2742","239.2373","287.2373","  0.0000","6.49417777777778","6.79417777777778","510","","PE(16:0_20:4)+H","740.52248","599.50337","361.27372","313.27372","239.23695","287.23695","142.02639","6.49417777777778","6.79417777777778","510"
"","PE(16:0_22:5)+H","0","1","1","1","1","0","0","6.54070694444444","6.84070694444444","730","","PE(16:0_22:5)+H"," 0.000000","6.730028"," 6.735215"," 6.730028"," 6.730028"," 0.000000","0.000000","6.54070694444444","6.84070694444444","730","","PE(16:0_22:5)+H","0","2","2","1","2","0","0","6.54070694444444","6.84070694444444","730","","PE(16:0_22:5)+H","       0.000","  893936.30","  3197.0290","  1424.8870","   2667.0370","      0.0000","   0.000","6.54070694444444","6.84070694444444","730","","PE(16:0_22:5)+H","  0.0000","625.5199","387.2898","313.2738","239.2371","  0.0000","  0.0000","6.54070694444444","6.84070694444444","730","","PE(16:0_22:5)+H","766.53818","625.51907","387.28942","313.27372","239.23695","313.25265","142.02639","6.54070694444444","6.84070694444444","730"
"","PE(16:0_22:6)+H","1","1","1","1","1","1","1","6.12905972222222","6.42905972222222","491","","PE(16:0_22:6)+H"," 6.261979","6.261979"," 6.261979"," 6.261979"," 6.261979"," 6.261979","6.261979","6.12905972222222","6.42905972222222","491","","PE(16:0_22:6)+H","2","2","2","2","2","2","1","6.12905972222222","6.42905972222222","491","","PE(16:0_22:6)+H","   20059.700"," 1700118.00"," 25055.9100"," 48335.4800","  39270.5400","   5898.0860","1396.089","6.12905972222222","6.42905972222222","491","","PE(16:0_22:6)+H","764.5236","623.5044","385.2741","313.2740","239.2372","311.2373","142.0266","6.12905972222222","6.42905972222222","491","","PE(16:0_22:6)+H","764.52248","623.50337","385.27372","313.27372","239.23695","311.23695","142.02639","6.12905972222222","6.42905972222222","491"
"","PE(16:1_20:3)+H","1","1","0","1","0","0","0","6.49417777777778","6.79417777777778","510","","PE(16:1_20:3)+H"," 6.663421","6.663421"," 0.000000"," 6.663421"," 0.000000"," 0.000000","0.000000","6.49417777777778","6.79417777777778","510","","PE(16:1_20:3)+H","1","1","0","1","0","0","0","6.49417777777778","6.79417777777778","510","","PE(16:1_20:3)+H","   15678.960"," 1564707.00","     0.0000","  6663.5820","      0.0000","      0.0000","   0.000","6.49417777777778","6.79417777777778","510","","PE(16:1_20:3)+H","740.5244","599.5046","  0.0000","311.2582","  0.0000","  0.0000","  0.0000","6.49417777777778","6.79417777777778","510","","PE(16:1_20:3)+H","740.52258","599.50347","363.28942","311.25812","237.22135","289.25265","142.02639","6.49417777777778","6.79417777777778","510"
"","PE(17:0_17:0)+H","1","1","1","1","1","1","1","8.64666527777777","8.94666527777777","95","","PE(17:0_17:0)+H"," 8.815608","8.815608"," 8.815608"," 8.815608"," 8.815608"," 8.815608","8.815608","8.64666527777777","8.94666527777777","95","","PE(17:0_17:0)+H","2","2","2","2","2","2","2","8.64666527777777","8.94666527777777","95","","PE(17:0_17:0)+H","   73318.200","17832860.00","442402.2000","442402.2000","1015782.0000","1015782.0000","6879.517","8.64666527777777","8.94666527777777","95","","PE(17:0_17:0)+H","720.5545","579.5354","327.2896","327.2896","253.2528","253.2528","142.0267","8.64666527777777","8.94666527777777","95","","PE(17:0_17:0)+H","720.55388","579.53477","327.28942","327.28942","253.25265","253.25265","142.02639","8.64666527777777","8.94666527777777","95"
"","PE(18:0_18:1)+H","1","1","1","1","1","1","0","8.71344583333333","9.01344583333333","707","","PE(18:0_18:1)+H"," 8.923824","8.923824"," 8.923824"," 8.923824"," 8.923824"," 8.923824","0.000000","8.71344583333333","9.01344583333333","707","","PE(18:0_18:1)+H","1","1","1","1","1","1","0","8.71344583333333","9.01344583333333","707","","PE(18:0_18:1)+H","    3548.037","  648582.60","  4647.3030","  4656.1300","   9956.7310","  15700.5100","   0.000","8.71344583333333","9.01344583333333","707","","PE(18:0_18:1)+H","746.5717","605.5520","339.2905","341.3059","267.2689","265.2532","  0.0000","8.71344583333333","9.01344583333333","707","","PE(18:0_18:1)+H","746.56948","605.55037","339.28942","341.30502","267.26825","265.25265","142.02639","8.71344583333333","9.01344583333333","707"
