"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/16:0)+H","1","1","0","0","1","1","0","0","0","1","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H"," 8.125407"," 8.125407"," 0.000000","0.000000"," 8.125407"," 8.125407","0.000000"," 0.000000"," 0.000000"," 8.125407","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H","1","1","0","0","1","1","0","0","0","1","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H","1267757.000"," 11510.7400","     0.0000","    0.0000","24041.7600","3197.214","  0.0000","     0.0000","     0.000","1.019412e+07","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H","720.5903","537.5242","  0.0000","  0.0000","482.3609","464.3503","  0.0000","  0.0000","  0.0000","184.0733","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H","720.5901576","537.5241176","480.3449926","421.2714926","482.3605776","464.3500176","496.33979","313.27373","239.2375","184.07332","7.93372916666667","8.23372916666667","168"
"","Plasmanyl-PC(O-16:0/16:1)+H","1","0","1","1","0","0","0","0","0","1","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H"," 7.872663"," 0.000000"," 7.872663","7.872663"," 0.000000"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.872663","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H","2","0","2","1","0","0","0","0","0","2","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H"," 740660.800","     0.0000"," 50734.5800"," 5798.8090","    0.0000","   0.000","  0.0000","     0.0000","     0.000","6.397098e+06","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H","718.5752","  0.0000","478.3295","419.2560","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H","718.5745576","535.5085176","478.3293926","419.2558926","482.3605776","464.3500176","494.32419","311.25813","237.2219","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmanyl-PC(O-16:0/16:1)+H","1","1","0","0","1","0","0","0","0","1","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H"," 7.144014"," 7.144014"," 0.000000","0.000000"," 7.144014"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.144014","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H","1","1","0","0","1","0","0","0","0","1","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H"," 178567.100","  1051.5310","     0.0000","    0.0000"," 2566.5570","   0.000","  0.0000","     0.0000","     0.000","1.337785e+06","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H","718.5760","535.5106","  0.0000","  0.0000","482.3618","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H","718.5745576","535.5085176","478.3293926","419.2558926","482.3605776","464.3500176","494.32419","311.25813","237.2219","184.07332","6.86943888888889","7.16943888888889","699"
"","Plasmanyl-PC(O-16:0/18:1)+H","1","1","0","0","1","0","0","0","0","1","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(O-16:0/18:1)+H"," 8.120220"," 8.120220"," 0.000000","0.000000"," 8.120220"," 0.000000","0.000000"," 0.000000"," 0.000000"," 8.120220","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(O-16:0/18:1)+H","2","2","0","0","2","0","0","0","0","2","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(O-16:0/18:1)+H","2061740.000"," 15174.9100","     0.0000","    0.0000","10748.2400","   0.000","  0.0000","     0.0000","     0.000","2.005751e+07","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(O-16:0/18:1)+H","746.6059","563.5403","  0.0000","  0.0000","482.3605","  0.0000","  0.0000","  0.0000","  0.0000","184.0734","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(O-16:0/18:1)+H","746.6058576","563.5398176","506.3606926","447.2871926","482.3605776","464.3500176","522.35549","339.28943","265.2532","184.07332","7.97837916666667","8.27837916666667","130"
"","Plasmanyl-PC(O-16:0/18:2)+H","1","1","0","0","1","1","0","0","0","1","7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(O-16:0/18:2)+H"," 7.230513"," 7.230513"," 0.000000","0.000000"," 7.230513"," 7.230513","0.000000"," 0.000000"," 0.000000"," 7.230513","7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(O-16:0/18:2)+H","2","2","0","0","2","2","0","0","0","2","7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(O-16:0/18:2)+H","3348612.000"," 22286.1300","     0.0000","    0.0000","66712.5200","9732.222","  0.0000","     0.0000","     0.000","3.398704e+07","7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(O-16:0/18:2)+H","744.5904","561.5243","  0.0000","  0.0000","482.3611","464.3505","  0.0000","  0.0000","  0.0000","184.0734","7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(O-16:0/18:2)+H","744.5901576","561.5241176","504.3449926","445.2714926","482.3605776","464.3500176","520.33979","337.27373","263.2375","184.07332","7.08499861111111","7.38499861111111","107"
"","Plasmanyl-PC(O-16:0/18:2)+H","1","0","1","1","0","0","0","1","1","1","7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(O-16:0/18:2)+H"," 8.027212"," 0.000000"," 8.027212","8.027212"," 0.000000"," 0.000000","0.000000"," 8.027212"," 8.027212"," 8.027212","7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(O-16:0/18:2)+H","4","0","4","4","0","0","0","3","4","4","7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(O-16:0/18:2)+H"," 877574.100","     0.0000"," 67936.1800"," 6096.9250","    0.0000","   0.000","  0.0000"," 69653.8200","124665.400","7.966249e+06","7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(O-16:0/18:2)+H","744.5906","  0.0000","504.3453","445.2719","  0.0000","  0.0000","  0.0000","337.2741","263.2371","184.0735","7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(O-16:0/18:2)+H","744.5901576","561.5241176","504.3449926","445.2714926","482.3605776","464.3500176","520.33979","337.27373","263.2375","184.07332","7.82195138888889","8.12195138888889","162"
"","Plasmanyl-PC(O-16:0/18:3)+H","1","0","1","1","0","0","0","0","0","1","6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(O-16:0/18:3)+H"," 7.097293"," 0.000000"," 7.097293","7.097293"," 0.000000"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.097293","6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(O-16:0/18:3)+H","3","0","3","2","0","0","0","0","0","3","6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(O-16:0/18:3)+H","2427263.000","     0.0000","184206.3000","19683.0600","    0.0000","   0.000","  0.0000","     0.0000","     0.000","2.342384e+07","6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(O-16:0/18:3)+H","742.5750","  0.0000","502.3291","443.2557","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","184.0734","6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(O-16:0/18:3)+H","742.5745576","559.5085176","502.3293926","443.2558926","482.3605776","464.3500176","518.32419","335.25813","261.2219","184.07332","6.89165555555555","7.19165555555555","82"
"","Plasmanyl-PC(O-16:0/20:3)+H","1","1","0","0","1","1","0","0","0","1","7.39550694444444","7.69550694444444","356","","Plasmanyl-PC(O-16:0/20:3)+H"," 7.546336"," 7.546336"," 0.000000","0.000000"," 7.546336"," 7.546336","0.000000"," 0.000000"," 0.000000"," 7.546336","7.39550694444444","7.69550694444444","356","","Plasmanyl-PC(O-16:0/20:3)+H","1","1","0","0","1","1","0","0","0","1","7.39550694444444","7.69550694444444","356","","Plasmanyl-PC(O-16:0/20:3)+H"," 802398.300","  5609.8280","     0.0000","    0.0000","17800.5600","1088.646","  0.0000","     0.0000","     0.000","6.390902e+06","7.39550694444444","7.69550694444444","356","","Plasmanyl-PC(O-16:0/20:3)+H","770.6066","587.5394","  0.0000","  0.0000","482.3611","464.3497","  0.0000","  0.0000","  0.0000","184.0735","7.39550694444444","7.69550694444444","356","","Plasmanyl-PC(O-16:0/20:3)+H","770.6058576","587.5398176","530.3606926","471.2871926","482.3605776","464.3500176","546.35549","363.28943","289.2532","184.07332","7.39550694444444","7.69550694444444","356"
"","Plasmanyl-PC(O-16:0/20:4)+H","1","1","0","0","1","1","0","0","0","1","6.89165555555555","7.19165555555555","61","","Plasmanyl-PC(O-16:0/20:4)+H"," 7.004563"," 7.004563"," 0.000000","0.000000"," 7.004563"," 7.004563","0.000000"," 0.000000"," 0.000000"," 7.004563","6.89165555555555","7.19165555555555","61","","Plasmanyl-PC(O-16:0/20:4)+H","2","2","0","0","2","2","0","0","0","2","6.89165555555555","7.19165555555555","61","","Plasmanyl-PC(O-16:0/20:4)+H","4144052.000"," 25381.8600","     0.0000","    0.0000","97683.2700","8227.712","  0.0000","     0.0000","     0.000","5.368946e+07","6.89165555555555","7.19165555555555","61","","Plasmanyl-PC(O-16:0/20:4)+H","768.5897","585.5240","  0.0000","  0.0000","482.3606","464.3501","  0.0000","  0.0000","  0.0000","184.0731","6.89165555555555","7.19165555555555","61","","Plasmanyl-PC(O-16:0/20:4)+H","768.5901576","585.5241176","528.3449926","469.2714926","482.3605776","464.3500176","544.33979","361.27373","287.2375","184.07332","6.89165555555555","7.19165555555555","61"
"","Plasmanyl-PC(O-16:0/20:5)+H","1","0","1","1","0","0","0","0","0","1","6.66681805555556","6.96681805555556","87","","Plasmanyl-PC(O-16:0/20:5)+H"," 6.881677"," 0.000000"," 6.881677","6.881677"," 0.000000"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.881677","6.66681805555556","6.96681805555556","87","","Plasmanyl-PC(O-16:0/20:5)+H","3","0","3","2","0","0","0","0","0","3","6.66681805555556","6.96681805555556","87","","Plasmanyl-PC(O-16:0/20:5)+H","2451683.000","     0.0000","203125.8000"," 7016.0580","    0.0000","   0.000","  0.0000","     0.0000","     0.000","2.585488e+07","6.66681805555556","6.96681805555556","87","","Plasmanyl-PC(O-16:0/20:5)+H","766.5750","  0.0000","526.3299","467.2565","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","184.0734","6.66681805555556","6.96681805555556","87","","Plasmanyl-PC(O-16:0/20:5)+H","766.5745576","583.5085176","526.3293926","467.2558926","482.3605776","464.3500176","542.32419","359.25813","285.2219","184.07332","6.66681805555556","6.96681805555556","87"
