"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmenyl-PC(P-16:0/16:0)+H","1","0","1","1","1","0","0","1","1","1","7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H"," 7.872663"," 0.000000"," 7.872663","7.872663"," 7.872663"," 0.000000","0.000000"," 7.810819"," 7.810819"," 7.872663","7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H","2","0","2","1","1","0","0","1","2","2","7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H"," 740660.800","     0.0000"," 50734.5800"," 5798.8090","25278.1800","   0.000","  0.0000","  7101.4840","20423.390","6.397098e+06","7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H","718.5752","  0.0000","478.3295","419.2560","480.3454","  0.0000","  0.0000","313.2740","239.2371","184.0736","7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H","718.5744976","535.5084576","478.3293326","419.2558326","480.3449176","462.3343576","496.33979","313.27373","239.2375","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmenyl-PC(P-16:0/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H"," 6.856732"," 0.000000"," 6.856732","0.000000"," 6.856732"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.856732","6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H","  73595.970","     0.0000","  5145.9850","    0.0000"," 1187.5250","   0.000","  0.0000","     0.0000","    0.000","6.126628e+05","6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H","716.5604","  0.0000","476.3153","  0.0000","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.66181805555556","6.96181805555556","1083"
"","Plasmenyl-PC(P-16:0/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H"," 6.856732"," 0.000000"," 6.856732","0.000000"," 6.856732"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.856732","6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H","  73595.970","     0.0000","  5145.9850","    0.0000"," 1187.5250","   0.000","  0.0000","     0.0000","    0.000","6.126628e+05","6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H","716.5604","  0.0000","476.3153","  0.0000","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmenyl-PC(P-16:0/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H"," 6.856732"," 0.000000"," 6.856732","0.000000"," 6.856732"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.856732","6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H","  73595.970","     0.0000","  5145.9850","    0.0000"," 1187.5250","   0.000","  0.0000","     0.0000","    0.000","6.126628e+05","6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H","716.5604","  0.0000","476.3153","  0.0000","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.77170138888889","7.07170138888889","18325"
"","Plasmenyl-PC(P-16:0/18:1)+H","1","0","1","1","1","0","0","1","1","1","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:0/18:1)+H"," 8.027212"," 0.000000"," 8.027212","8.027212"," 8.027212"," 0.000000","0.000000"," 7.892835"," 7.892835"," 8.027212","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:0/18:1)+H","4","0","4","4","4","0","0","3","4","4","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:0/18:1)+H"," 877574.100","     0.0000"," 67936.1800"," 6096.9250","22077.8300","   0.000","  0.0000"," 12084.6400","29838.750","7.966249e+06","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:0/18:1)+H","744.5906","  0.0000","504.3453","445.2719","480.3453","  0.0000","  0.0000","339.2898","265.2529","184.0735","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:0/18:1)+H","744.5901976","561.5241576","504.3450326","445.2715326","480.3449176","462.3343576","522.35549","339.28943","265.2532","184.07332","7.82195138888889","8.12195138888889","162"
"","Plasmenyl-PC(P-16:0/18:2)+H","1","0","1","1","1","1","0","1","1","1","6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(P-16:0/18:2)+H"," 7.097293"," 0.000000"," 7.097293","7.097293"," 7.097293"," 7.097293","0.000000"," 6.923258"," 6.923258"," 7.097293","6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(P-16:0/18:2)+H","3","0","3","2","3","1","0","3","3","3","6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(P-16:0/18:2)+H","2427263.000","     0.0000","184206.3000","19683.0600","84994.2600","1383.268","  0.0000"," 24659.5600","43219.770","2.342384e+07","6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(P-16:0/18:2)+H","742.5750","  0.0000","502.3291","443.2557","480.3452","462.3343","  0.0000","337.2737","263.2371","184.0734","6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(P-16:0/18:2)+H","742.5744976","559.5084576","502.3293326","443.2558326","480.3449176","462.3343576","520.33979","337.27373","263.2375","184.07332","6.89165555555555","7.19165555555555","82"
"","Plasmenyl-PC(P-16:0/20:4)+H","1","0","1","1","1","1","0","1","1","1","6.66681805555556","6.96681805555556","87","","Plasmenyl-PC(P-16:0/20:4)+H"," 6.881677"," 0.000000"," 6.881677","6.881677"," 6.881677"," 6.881677","0.000000"," 6.730028"," 6.730028"," 6.881677","6.66681805555556","6.96681805555556","87","","Plasmenyl-PC(P-16:0/20:4)+H","3","0","3","2","3","1","0","3","2","3","6.66681805555556","6.96681805555556","87","","Plasmenyl-PC(P-16:0/20:4)+H","2451683.000","     0.0000","203125.8000"," 7016.0580","87538.6300","4792.396","  0.0000","  9774.2190"," 4002.433","2.585488e+07","6.66681805555556","6.96681805555556","87","","Plasmenyl-PC(P-16:0/20:4)+H","766.5750","  0.0000","526.3299","467.2565","480.3454","462.3342","  0.0000","361.2740","287.2372","184.0734","6.66681805555556","6.96681805555556","87","","Plasmenyl-PC(P-16:0/20:4)+H","766.5744976","583.5084576","526.3293326","467.2558326","480.3449176","462.3343576","544.33979","361.27373","287.2375","184.07332","6.66681805555556","6.96681805555556","87"
"","Plasmenyl-PC(P-16:0/20:5)+H","1","0","1","1","1","0","0","0","0","1","5.83603333333333","6.13603333333333","564","","Plasmenyl-PC(P-16:0/20:5)+H"," 5.974607"," 0.000000"," 5.974607","5.974607"," 5.974607"," 0.000000","0.000000"," 0.000000"," 0.000000"," 5.974607","5.83603333333333","6.13603333333333","564","","Plasmenyl-PC(P-16:0/20:5)+H","1","0","1","1","1","0","0","0","0","1","5.83603333333333","6.13603333333333","564","","Plasmenyl-PC(P-16:0/20:5)+H"," 344404.400","     0.0000"," 23659.5300"," 1413.8670","12157.2000","   0.000","  0.0000","     0.0000","    0.000","2.993826e+06","5.83603333333333","6.13603333333333","564","","Plasmenyl-PC(P-16:0/20:5)+H","764.5602","  0.0000","524.3145","465.2416","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","5.83603333333333","6.13603333333333","564","","Plasmenyl-PC(P-16:0/20:5)+H","764.5588976","581.4928576","524.3137326","465.2402326","480.3449176","462.3343576","542.32419","359.25813","285.2219","184.07332","5.83603333333333","6.13603333333333","564"
"","Plasmenyl-PC(P-16:0/22:4)+H","1","1","1","1","1","0","0","0","0","1","7.49951805555555","7.79951805555555","430","","Plasmenyl-PC(P-16:0/22:4)+H"," 7.642763"," 7.642763"," 7.642763","7.642763"," 7.642763"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.642763","7.49951805555555","7.79951805555555","430","","Plasmenyl-PC(P-16:0/22:4)+H","1","1","1","1","1","0","0","0","0","1","7.49951805555555","7.79951805555555","430","","Plasmenyl-PC(P-16:0/22:4)+H"," 654394.400","  1200.6100"," 48291.9300"," 4925.6210","25212.3200","   0.000","  0.0000","     0.0000","    0.000","5.823134e+06","7.49951805555555","7.79951805555555","430","","Plasmenyl-PC(P-16:0/22:4)+H","794.6068","611.5414","554.3615","495.2876","480.3456","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","7.49951805555555","7.79951805555555","430","","Plasmenyl-PC(P-16:0/22:4)+H","794.6057976","611.5397576","554.3606326","495.2871326","480.3449176","462.3343576","572.37109","389.30503","315.2688","184.07332","7.49951805555555","7.79951805555555","430"
"","Plasmenyl-PC(P-16:0/22:5)+H","1","1","1","0","1","0","0","0","0","1","6.73797361111111","7.03797361111111","186","","Plasmenyl-PC(P-16:0/22:5)+H"," 6.912878"," 6.912878"," 6.912878","0.000000"," 6.912878"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.912878","6.73797361111111","7.03797361111111","186","","Plasmenyl-PC(P-16:0/22:5)+H","2","1","2","0","2","0","0","0","0","2","6.73797361111111","7.03797361111111","186","","Plasmenyl-PC(P-16:0/22:5)+H","1591671.000","  1253.5470"," 22776.2500","    0.0000","11881.7800","   0.000","  0.0000","     0.0000","    0.000","1.665723e+07","6.73797361111111","7.03797361111111","186","","Plasmenyl-PC(P-16:0/22:5)+H","792.5910","609.5239","552.3460","  0.0000","480.3457","  0.0000","  0.0000","  0.0000","  0.0000","184.0734","6.73797361111111","7.03797361111111","186","","Plasmenyl-PC(P-16:0/22:5)+H","792.5901976","609.5241576","552.3450326","493.2715326","480.3449176","462.3343576","570.35549","387.28943","313.2532","184.07332","6.73797361111111","7.03797361111111","186"
