"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(d16:1/16:0)+H","1","1","0","1","1","1","1","1","1","4.53772727272727","4.83772727272727","138","","SM(d16:1/16:0)+H"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837"," 4.682837"," 4.682837"," 4.682837"," 4.682837","4.53772727272727","4.83772727272727","138","","SM(d16:1/16:0)+H","3","1","0","1","1","2","2","3","3","4.53772727272727","4.83772727272727","138","","SM(d16:1/16:0)+H","  744968.10","   1271.8310","      0.0","   1271.8310","  9799.3170"," 14444.2900"," 14444.2900","2.037493e+07"," 170543.400","4.53772727272727","4.83772727272727","138","","SM(d16:1/16:0)+H","675.5447","492.4794","  0.0000","492.4794","474.4677","236.2377","236.2377","184.0736","86.09657","4.53772727272727","4.83772727272727","138","","SM(d16:1/16:0)+H","675.54357","492.47753","616.47003","492.47745","474.46687","236.237245","236.237185","184.07332","86.09648","4.53772727272727","4.83772727272727","138"
"","SM(d16:1/16:0)+H","1","1","0","1","1","1","1","1","1","4.53785138888889","4.83785138888889","12642","","SM(d16:1/16:0)+H"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837"," 4.682837"," 4.682837"," 4.682837"," 4.682837","4.53785138888889","4.83785138888889","12642","","SM(d16:1/16:0)+H","3","1","0","1","1","2","2","3","3","4.53785138888889","4.83785138888889","12642","","SM(d16:1/16:0)+H","  744968.10","   1271.8310","      0.0","   1271.8310","  9799.3170"," 14444.2900"," 14444.2900","2.037493e+07"," 170543.400","4.53785138888889","4.83785138888889","12642","","SM(d16:1/16:0)+H","675.5447","492.4794","  0.0000","492.4794","474.4677","236.2377","236.2377","184.0736","86.09657","4.53785138888889","4.83785138888889","12642","","SM(d16:1/16:0)+H","675.54357","492.47753","616.47003","492.47745","474.46687","236.237245","236.237185","184.07332","86.09648","4.53785138888889","4.83785138888889","12642"
"","SM(d16:1/20:0)+H","1","1","0","1","1","1","0","1","1","7.21446388888889","7.51446388888889","58","","SM(d16:1/20:0)+H"," 7.414088"," 7.414088"," 0.000000"," 7.414088"," 7.414088"," 7.414088"," 0.000000"," 7.414088"," 7.414088","7.21446388888889","7.51446388888889","58","","SM(d16:1/20:0)+H","2","2","0","2","2","2","0","2","2","7.21446388888889","7.51446388888889","58","","SM(d16:1/20:0)+H"," 2402857.00","  11806.9400","      0.0","  11806.9400"," 26671.3500"," 11497.3200","     0.0000","6.894478e+07"," 615572.600","7.21446388888889","7.51446388888889","58","","SM(d16:1/20:0)+H","731.6062","548.5406","  0.0000","548.5406","530.5302","236.2371","  0.0000","184.0732","86.09642","7.21446388888889","7.51446388888889","58","","SM(d16:1/20:0)+H","731.60617","548.54013","672.53263","548.54005","530.52947","236.237245","292.299785","184.07332","86.09648","7.21446388888889","7.51446388888889","58"
"","SM(d16:1/20:0)+H","1","1","0","1","1","1","0","1","1","7.02082361111111","7.32082361111111","865","","SM(d16:1/20:0)+H"," 7.295663"," 7.295663"," 0.000000"," 7.295663"," 7.295663"," 7.295663"," 0.000000"," 7.295663"," 7.295663","7.02082361111111","7.32082361111111","865","","SM(d16:1/20:0)+H","1","1","0","1","1","1","0","1","1","7.02082361111111","7.32082361111111","865","","SM(d16:1/20:0)+H","  533940.90","   3613.9750","      0.0","   3613.9750","  8962.2510","  4565.9470","     0.0000","1.538865e+07"," 138544.300","7.02082361111111","7.32082361111111","865","","SM(d16:1/20:0)+H","731.6066","548.5405","  0.0000","548.5405","530.5306","236.2372","  0.0000","184.0733","86.09647","7.02082361111111","7.32082361111111","865","","SM(d16:1/20:0)+H","731.60617","548.54013","672.53263","548.54005","530.52947","236.237245","292.299785","184.07332","86.09648","7.02082361111111","7.32082361111111","865"
"","SM(d16:1/20:0)+H","1","1","0","1","1","1","0","1","1","7.02064722222222","7.32064722222222","12668","","SM(d16:1/20:0)+H"," 7.295663"," 7.295663"," 0.000000"," 7.295663"," 7.295663"," 7.295663"," 0.000000"," 7.295663"," 7.295663","7.02064722222222","7.32064722222222","12668","","SM(d16:1/20:0)+H","1","1","0","1","1","1","0","1","1","7.02064722222222","7.32064722222222","12668","","SM(d16:1/20:0)+H","  533940.90","   3613.9750","      0.0","   3613.9750","  8962.2510","  4565.9470","     0.0000","1.538865e+07"," 138544.300","7.02064722222222","7.32064722222222","12668","","SM(d16:1/20:0)+H","731.6066","548.5405","  0.0000","548.5405","530.5306","236.2372","  0.0000","184.0733","86.09647","7.02064722222222","7.32064722222222","12668","","SM(d16:1/20:0)+H","731.60617","548.54013","672.53263","548.54005","530.52947","236.237245","292.299785","184.07332","86.09648","7.02064722222222","7.32064722222222","12668"
"","SM(d16:1/22:0)+H","1","1","0","1","1","1","0","1","1","8.38228472222222","8.68228472222222","67","","SM(d16:1/22:0)+H"," 8.589641"," 8.589641"," 0.000000"," 8.589641"," 8.589641"," 8.589641"," 0.000000"," 8.589641"," 8.589641","8.38228472222222","8.68228472222222","67","","SM(d16:1/22:0)+H","2","2","0","2","2","2","0","2","2","8.38228472222222","8.68228472222222","67","","SM(d16:1/22:0)+H"," 1617538.00","   8574.1710","      0.0","   8574.1710"," 25081.8300"," 21045.9700","     0.0000","4.634443e+07"," 441899.900","8.38228472222222","8.68228472222222","67","","SM(d16:1/22:0)+H","759.6376","576.5720","  0.0000","576.5720","558.5613","236.2371","  0.0000","184.0732","86.09642","8.38228472222222","8.68228472222222","67","","SM(d16:1/22:0)+H","759.63747","576.57143","700.56393","576.57135","558.56077","236.237245","320.331085","184.07332","86.09648","8.38228472222222","8.68228472222222","67"
"","SM(d16:1/23:0)+H","1","1","0","1","1","1","0","1","1","8.92801111111111","9.22801111111111","156","","SM(d16:1/23:0)+H"," 9.108276"," 9.108276"," 0.000000"," 9.108276"," 9.108276"," 9.108276"," 0.000000"," 9.108276"," 9.108276","8.92801111111111","9.22801111111111","156","","SM(d16:1/23:0)+H","1","1","0","1","1","1","0","1","1","8.92801111111111","9.22801111111111","156","","SM(d16:1/23:0)+H","  724316.00","   1879.2030","      0.0","   1879.2030","  9117.2940","  7769.3850","     0.0000","2.086333e+07"," 185390.800","8.92801111111111","9.22801111111111","156","","SM(d16:1/23:0)+H","773.6526","590.5872","  0.0000","590.5872","572.5761","236.2370","  0.0000","184.0731","86.09634","8.92801111111111","9.22801111111111","156","","SM(d16:1/23:0)+H","773.65317","590.58713","714.57963","590.58705","572.57647","236.237245","334.346785","184.07332","86.09648","8.92801111111111","9.22801111111111","156"
"","SM(d16:1/24:0)+H","1","1","0","1","1","1","0","1","1","9.45189583333333","9.75189583333333","38","","SM(d16:1/24:0)+H"," 9.670409"," 9.670409"," 0.000000"," 9.670409"," 9.670409"," 9.546973"," 0.000000"," 9.670409"," 9.670409","9.45189583333333","9.75189583333333","38","","SM(d16:1/24:0)+H","2","2","0","2","2","2","0","2","2","9.45189583333333","9.75189583333333","38","","SM(d16:1/24:0)+H"," 2708392.00","  14323.8200","      0.0","  14323.8200"," 38928.0200","  8049.0890","     0.0000","9.183153e+07"," 883518.100","9.45189583333333","9.75189583333333","38","","SM(d16:1/24:0)+H","787.6686","604.6017","  0.0000","604.6017","586.5917","236.2371","  0.0000","184.0731","86.09637","9.45189583333333","9.75189583333333","38","","SM(d16:1/24:0)+H","787.66877","604.60273","728.59523","604.60265","586.59207","236.237245","348.362385","184.07332","86.09648","9.45189583333333","9.75189583333333","38"
"","SM(d16:1/24:0)+H","1","1","0","1","1","1","0","1","1","9.269875","9.569875","12674","","SM(d16:1/24:0)+H"," 9.546973"," 9.546973"," 0.000000"," 9.546973"," 9.546973"," 9.546973"," 0.000000"," 9.546973"," 9.546973","9.269875","9.569875","12674","","SM(d16:1/24:0)+H","2","1","0","1","1","1","0","2","2","9.269875","9.569875","12674","","SM(d16:1/24:0)+H"," 1239771.00","   5718.9730","      0.0","   5718.9730"," 17228.1600","  8049.0890","     0.0000","4.086636e+07"," 486576.400","9.269875","9.569875","12674","","SM(d16:1/24:0)+H","787.6696","604.6015","  0.0000","604.6015","586.5919","236.2372","  0.0000","184.0735","86.09651","9.269875","9.569875","12674","","SM(d16:1/24:0)+H","787.66877","604.60273","728.59523","604.60265","586.59207","236.237245","348.362385","184.07332","86.09648","9.269875","9.569875","12674"
"","SM(d16:1/24:1)+H","1","1","0","1","1","1","0","1","1","8.49541527777778","8.79541527777778","71","","SM(d16:1/24:1)+H"," 8.645359"," 8.645359"," 0.000000"," 8.645359"," 8.645359"," 8.528730"," 0.000000"," 8.645359"," 8.645359","8.49541527777778","8.79541527777778","71","","SM(d16:1/24:1)+H","4","3","0","3","4","1","0","4","4","8.49541527777778","8.79541527777778","71","","SM(d16:1/24:1)+H"," 2727073.00","   5739.4620","      0.0","   5739.4620"," 34254.2100"," 11062.9800","     0.0000","8.676488e+07"," 982715.300","8.49541527777778","8.79541527777778","71","","SM(d16:1/24:1)+H","785.6533","602.5873","  0.0000","602.5873","584.5766","236.2374","  0.0000","184.0733","86.09643","8.49541527777778","8.79541527777778","71","","SM(d16:1/24:1)+H","785.65317","602.58713","726.57963","602.58705","584.57647","236.237245","346.346785","184.07332","86.09648","8.49541527777778","8.79541527777778","71"
