"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","RT at Max Intensity","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Number of Scans","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Max Intensity","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Average m/z","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment"
"","TG(12:0_12:0_14:0)+Na","1","1","1","1","11.0434472222222","11.3434472222222","1555","","TG(12:0_12:0_14:0)+Na","11.186250","11.18625","11.18625","11.18625","11.0434472222222","11.3434472222222","1555","","TG(12:0_12:0_14:0)+Na","1","1","1","1","11.0434472222222","11.3434472222222","1555","","TG(12:0_12:0_14:0)+Na"," 286418.5"," 21182.6100"," 21182.6100"," 14440.9000","11.0434472222222","11.3434472222222","1555","","TG(12:0_12:0_14:0)+Na","689.5706","489.3925","489.3925","461.3612","11.0434472222222","11.3434472222222","1555","","TG(12:0_12:0_14:0)+Na","689.5690404","489.3915464","489.3915464","461.3602464","11.0434472222222","11.3434472222222","1555"
"","TG(10:0_12:0_16:0)+Na","1","1","1","1","11.0434472222222","11.3434472222222","1555","","TG(10:0_12:0_16:0)+Na","11.186250","11.18625","11.18625","11.18625","11.0434472222222","11.3434472222222","1555","","TG(10:0_12:0_16:0)+Na","1","1","1","1","11.0434472222222","11.3434472222222","1555","","TG(10:0_12:0_16:0)+Na"," 286418.5","  3134.0850"," 21182.6100","  2400.0530","11.0434472222222","11.3434472222222","1555","","TG(10:0_12:0_16:0)+Na","689.5706","517.4240","489.3925","433.3296","11.0434472222222","11.3434472222222","1555","","TG(10:0_12:0_16:0)+Na","689.5690404","517.4228464","489.3915464","433.3289464","11.0434472222222","11.3434472222222","1555"
"","TG(10:0_14:0_14:0)+Na","1","1","1","1","11.0434472222222","11.3434472222222","1555","","TG(10:0_14:0_14:0)+Na","11.186250","11.18625","11.18625","11.18625","11.0434472222222","11.3434472222222","1555","","TG(10:0_14:0_14:0)+Na","1","1","1","1","11.0434472222222","11.3434472222222","1555","","TG(10:0_14:0_14:0)+Na"," 286418.5","  3134.0850"," 14440.9000"," 14440.9000","11.0434472222222","11.3434472222222","1555","","TG(10:0_14:0_14:0)+Na","689.5706","517.4240","461.3612","461.3612","11.0434472222222","11.3434472222222","1555","","TG(10:0_14:0_14:0)+Na","689.5690404","517.4228464","461.3602464","461.3602464","11.0434472222222","11.3434472222222","1555"
"","TG(12:0_12:0_16:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(12:0_12:0_16:0)+Na","12.077210","12.07721","12.07721","12.07721","11.85265","12.15265","1135","","TG(12:0_12:0_16:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(12:0_12:0_16:0)+Na"," 208219.9","  4924.6960","  4924.6960","  8917.0000","11.85265","12.15265","1135","","TG(12:0_12:0_16:0)+Na","717.6025","517.4246","517.4246","461.3611","11.85265","12.15265","1135","","TG(12:0_12:0_16:0)+Na","717.6003404","517.4228464","517.4228464","461.3602464","11.85265","12.15265","1135"
"","TG(12:0_14:0_14:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(12:0_14:0_14:0)+Na","12.077210","12.07721","12.07721","12.07721","11.85265","12.15265","1135","","TG(12:0_14:0_14:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(12:0_14:0_14:0)+Na"," 208219.9","  4924.6960","  6383.6710","  6383.6710","11.85265","12.15265","1135","","TG(12:0_14:0_14:0)+Na","717.6025","517.4246","489.3934","489.3934","11.85265","12.15265","1135","","TG(12:0_14:0_14:0)+Na","717.6003404","517.4228464","489.3915464","489.3915464","11.85265","12.15265","1135"
"","TG(10:0_14:0_16:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(10:0_14:0_16:0)+Na","12.077210","12.07721","12.07721","12.07721","11.85265","12.15265","1135","","TG(10:0_14:0_16:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(10:0_14:0_16:0)+Na"," 208219.9","  2258.7680","  6383.6710","  8917.0000","11.85265","12.15265","1135","","TG(10:0_14:0_16:0)+Na","717.6025","545.4558","489.3934","461.3611","11.85265","12.15265","1135","","TG(10:0_14:0_16:0)+Na","717.6003404","545.4541464","489.3915464","461.3602464","11.85265","12.15265","1135"
"","TG(16:0_16:0_8:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(16:0_16:0_8:0)+Na","12.077210","12.07721","12.07721","12.07721","11.85265","12.15265","1135","","TG(16:0_16:0_8:0)+Na","1","1","1","1","11.85265","12.15265","1135","","TG(16:0_16:0_8:0)+Na"," 208219.9","  8917.0000","  8917.0000","  2483.2880","11.85265","12.15265","1135","","TG(16:0_16:0_8:0)+Na","717.6025","461.3611","461.3611","573.4863","11.85265","12.15265","1135","","TG(16:0_16:0_8:0)+Na","717.6003404","461.3602464","461.3602464","573.4854464","11.85265","12.15265","1135"
"","TG(12:0_12:0_18:2)+Na","1","1","1","1","11.2025388888889","11.5025388888889","1303","","TG(12:0_12:0_18:2)+Na","11.393460","11.39346","11.39346","11.39346","11.2025388888889","11.5025388888889","1303","","TG(12:0_12:0_18:2)+Na","1","1","1","1","11.2025388888889","11.5025388888889","1303","","TG(12:0_12:0_18:2)+Na"," 345492.5","  9858.4300","  9858.4300"," 10518.7400","11.2025388888889","11.5025388888889","1303","","TG(12:0_12:0_18:2)+Na","741.6019","541.4241","541.4241","461.3614","11.2025388888889","11.5025388888889","1303","","TG(12:0_12:0_18:2)+Na","741.6003404","541.4228464","541.4228464","461.3602464","11.2025388888889","11.5025388888889","1303"
"","TG(10:0_14:0_18:2)+Na","1","1","1","1","11.2025388888889","11.5025388888889","1303","","TG(10:0_14:0_18:2)+Na","11.393460","11.39346","11.39346","11.39346","11.2025388888889","11.5025388888889","1303","","TG(10:0_14:0_18:2)+Na","1","1","1","1","11.2025388888889","11.5025388888889","1303","","TG(10:0_14:0_18:2)+Na"," 345492.5","  2713.6270","  3226.6640"," 10518.7400","11.2025388888889","11.5025388888889","1303","","TG(10:0_14:0_18:2)+Na","741.6019","569.4548","513.3928","461.3614","11.2025388888889","11.5025388888889","1303","","TG(10:0_14:0_18:2)+Na","741.6003404","569.4541464","513.3915464","461.3602464","11.2025388888889","11.5025388888889","1303"
"","TG(16:0_18:2_8:0)+Na","1","1","1","1","11.2025388888889","11.5025388888889","1303","","TG(16:0_18:2_8:0)+Na","11.393460","11.39346","11.39346","11.39346","11.2025388888889","11.5025388888889","1303","","TG(16:0_18:2_8:0)+Na","1","1","1","1","11.2025388888889","11.5025388888889","1303","","TG(16:0_18:2_8:0)+Na"," 345492.5","  5419.3440"," 10518.7400","  5728.8370","11.2025388888889","11.5025388888889","1303","","TG(16:0_18:2_8:0)+Na","741.6019","485.3614","461.3614","597.4865","11.2025388888889","11.5025388888889","1303","","TG(16:0_18:2_8:0)+Na","741.6003404","485.3602464","461.3602464","597.4854464","11.2025388888889","11.5025388888889","1303"
