"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Number of Scans","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Max Intensity","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Average m/z","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment"
"","TG(10:0_8:0_8:0)+NH4","0","1","1","1","4.4895625","4.7895625","2926","","TG(10:0_8:0_8:0)+NH4"," 0.00000"," 4.703505"," 4.703505"," 4.703505","4.4895625","4.7895625","2926","","TG(10:0_8:0_8:0)+NH4","0","1","1","1","4.4895625","4.7895625","2926","","TG(10:0_8:0_8:0)+NH4","      0.000","2.493025e+04","4.105254e+04","4.105254e+04","4.4895625","4.7895625","2926","","TG(10:0_8:0_8:0)+NH4","   0.0000","327.2536","355.2849","355.2849","4.4895625","4.7895625","2926","","TG(10:0_8:0_8:0)+NH4","516.4258504","327.2529764","355.2842764","355.2842764","4.4895625","4.7895625","2926"
"","TG(12:0_12:0_12:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(12:0_12:0_12:0)+NH4"," 0.00000","10.335980","10.335980","10.335980","10.1447902777778","10.4447902777778","876","","TG(12:0_12:0_12:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(12:0_12:0_12:0)+NH4","      0.000","4.383494e+05","4.383494e+05","4.383494e+05","10.1447902777778","10.4447902777778","876","","TG(12:0_12:0_12:0)+NH4","   0.0000","439.3793","439.3793","439.3793","10.1447902777778","10.4447902777778","876","","TG(12:0_12:0_12:0)+NH4","656.5823504","439.3781764","439.3781764","439.3781764","10.1447902777778","10.4447902777778","876"
"","TG(10:0_10:0_16:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(10:0_10:0_16:0)+NH4"," 0.00000","10.335980","10.335980","10.335980","10.1447902777778","10.4447902777778","876","","TG(10:0_10:0_16:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(10:0_10:0_16:0)+NH4","      0.000","9.141802e+04","9.141802e+04","4.651369e+04","10.1447902777778","10.4447902777778","876","","TG(10:0_10:0_16:0)+NH4","   0.0000","467.4108","467.4108","383.3164","10.1447902777778","10.4447902777778","876","","TG(10:0_10:0_16:0)+NH4","656.5823504","467.4094764","467.4094764","383.3155764","10.1447902777778","10.4447902777778","876"
"","TG(10:0_12:0_14:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(10:0_12:0_14:0)+NH4"," 0.00000","10.335980","10.335980","10.335980","10.1447902777778","10.4447902777778","876","","TG(10:0_12:0_14:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(10:0_12:0_14:0)+NH4","      0.000","9.141802e+04","4.383494e+05","8.247341e+04","10.1447902777778","10.4447902777778","876","","TG(10:0_12:0_14:0)+NH4","   0.0000","467.4108","439.3793","411.3479","10.1447902777778","10.4447902777778","876","","TG(10:0_12:0_14:0)+NH4","656.5823504","467.4094764","439.3781764","411.3468764","10.1447902777778","10.4447902777778","876"
"","TG(12:0_16:0_8:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(12:0_16:0_8:0)+NH4"," 0.00000","10.335980","10.335980","10.335980","10.1447902777778","10.4447902777778","876","","TG(12:0_16:0_8:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(12:0_16:0_8:0)+NH4","      0.000","4.383494e+05","4.651369e+04","2.583530e+04","10.1447902777778","10.4447902777778","876","","TG(12:0_16:0_8:0)+NH4","   0.0000","439.3793","383.3164","495.4420","10.1447902777778","10.4447902777778","876","","TG(12:0_16:0_8:0)+NH4","656.5823504","439.3781764","383.3155764","495.4407764","10.1447902777778","10.4447902777778","876"
"","TG(14:0_14:0_8:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(14:0_14:0_8:0)+NH4"," 0.00000","10.335980","10.335980","10.335980","10.1447902777778","10.4447902777778","876","","TG(14:0_14:0_8:0)+NH4","0","1","1","1","10.1447902777778","10.4447902777778","876","","TG(14:0_14:0_8:0)+NH4","      0.000","8.247341e+04","8.247341e+04","2.583530e+04","10.1447902777778","10.4447902777778","876","","TG(14:0_14:0_8:0)+NH4","   0.0000","411.3479","411.3479","495.4420","10.1447902777778","10.4447902777778","876","","TG(14:0_14:0_8:0)+NH4","656.5823504","411.3468764","411.3468764","495.4407764","10.1447902777778","10.4447902777778","876"
"","TG(12:0_12:0_14:0)+NH4","0","1","1","1","11.0467375","11.3467375","676","","TG(12:0_12:0_14:0)+NH4"," 0.00000","11.154660","11.154660","11.154660","11.0467375","11.3467375","676","","TG(12:0_12:0_14:0)+NH4","0","2","2","2","11.0467375","11.3467375","676","","TG(12:0_12:0_14:0)+NH4","      0.000","5.385991e+05","5.385991e+05","3.055606e+05","11.0467375","11.3467375","676","","TG(12:0_12:0_14:0)+NH4","   0.0000","467.4106","467.4106","439.3791","11.0467375","11.3467375","676","","TG(12:0_12:0_14:0)+NH4","684.6136504","467.4094764","467.4094764","439.3781764","11.0467375","11.3467375","676"
"","TG(10:0_10:0_18:0)+NH4","0","1","1","1","11.0467375","11.3467375","676","","TG(10:0_10:0_18:0)+NH4"," 0.00000","11.278290","11.278290","11.278290","11.0467375","11.3467375","676","","TG(10:0_10:0_18:0)+NH4","0","2","2","2","11.0467375","11.3467375","676","","TG(10:0_10:0_18:0)+NH4","      0.000","5.921675e+04","5.921675e+04","2.393697e+04","11.0467375","11.3467375","676","","TG(10:0_10:0_18:0)+NH4","   0.0000","495.4419","495.4419","383.3165","11.0467375","11.3467375","676","","TG(10:0_10:0_18:0)+NH4","684.6136504","495.4407764","495.4407764","383.3155764","11.0467375","11.3467375","676"
"","TG(10:0_12:0_16:0)+NH4","0","1","1","1","11.0467375","11.3467375","676","","TG(10:0_12:0_16:0)+NH4"," 0.00000","11.278290","11.154660","11.278290","11.0467375","11.3467375","676","","TG(10:0_12:0_16:0)+NH4","0","2","2","2","11.0467375","11.3467375","676","","TG(10:0_12:0_16:0)+NH4","      0.000","5.921675e+04","5.385991e+05","1.479184e+05","11.0467375","11.3467375","676","","TG(10:0_12:0_16:0)+NH4","   0.0000","495.4419","467.4106","411.3478","11.0467375","11.3467375","676","","TG(10:0_12:0_16:0)+NH4","684.6136504","495.4407764","467.4094764","411.3468764","11.0467375","11.3467375","676"
"","TG(10:0_14:0_14:0)+NH4","0","1","1","1","11.0467375","11.3467375","676","","TG(10:0_14:0_14:0)+NH4"," 0.00000","11.278290","11.154660","11.154660","11.0467375","11.3467375","676","","TG(10:0_14:0_14:0)+NH4","0","2","2","2","11.0467375","11.3467375","676","","TG(10:0_14:0_14:0)+NH4","      0.000","5.921675e+04","3.055606e+05","3.055606e+05","11.0467375","11.3467375","676","","TG(10:0_14:0_14:0)+NH4","   0.0000","495.4419","439.3791","439.3791","11.0467375","11.3467375","676","","TG(10:0_14:0_14:0)+NH4","684.6136504","495.4407764","439.3781764","439.3781764","11.0467375","11.3467375","676"
