"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment"
"","MGDG(19:1)+NH4",0,0,0,"0.601119444444444","0.901119444444444","4778","","MGDG(19:1)+NH4",0,0,0,"0.601119444444444","0.901119444444444","4778","","MGDG(19:1)+NH4",0,0,0,"0.601119444444444","0.901119444444444","4778","","MGDG(19:1)+NH4",0,0,0,"0.601119444444444","0.901119444444444","4778","","MGDG(19:1)+NH4",0,0,0,"0.601119444444444","0.901119444444444","4778","","MGDG(19:1)+NH4","564.37422","385.29492","367.28435","0.601119444444444","0.901119444444444","4778"
"","MGDG(19:1)+NH4",1,0,0,"9.10187916666667","9.40187916666667","16118","","MGDG(19:1)+NH4",9.226224,0,0,"9.10187916666667","9.40187916666667","16118","","MGDG(19:1)+NH4",1,0,0,"9.10187916666667","9.40187916666667","16118","","MGDG(19:1)+NH4",35817.26,0,0,"9.10187916666667","9.40187916666667","16118","","MGDG(19:1)+NH4",564.3767,0,0,"9.10187916666667","9.40187916666667","16118","","MGDG(19:1)+NH4","564.37422","385.29492","367.28435","9.10187916666667","9.40187916666667","16118"
"","MGDG(19:1)+NH4",1,0,0,"9.10741666666667","9.40741666666667","18888","","MGDG(19:1)+NH4",9.226224,0,0,"9.10741666666667","9.40741666666667","18888","","MGDG(19:1)+NH4",1,0,0,"9.10741666666667","9.40741666666667","18888","","MGDG(19:1)+NH4",35817.26,0,0,"9.10741666666667","9.40741666666667","18888","","MGDG(19:1)+NH4",564.3767,0,0,"9.10741666666667","9.40741666666667","18888","","MGDG(19:1)+NH4","564.37422","385.29492","367.28435","9.10741666666667","9.40741666666667","18888"
"","MGDG(19:2)+NH4",0,0,0,"0.351452777777778","0.651452777777778","4950","","MGDG(19:2)+NH4",0,0,0,"0.351452777777778","0.651452777777778","4950","","MGDG(19:2)+NH4",0,0,0,"0.351452777777778","0.651452777777778","4950","","MGDG(19:2)+NH4",0,0,0,"0.351452777777778","0.651452777777778","4950","","MGDG(19:2)+NH4",0,0,0,"0.351452777777778","0.651452777777778","4950","","MGDG(19:2)+NH4","562.35859","383.27929","365.26872","0.351452777777778","0.651452777777778","4950"
"","MGDG(20:0)+NH4",0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(20:0)+NH4",0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(20:0)+NH4",0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(20:0)+NH4",0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(20:0)+NH4",0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(20:0)+NH4","580.40552","401.32622","383.31565","0.89715972222222","1.19715972222222","18398"
"","MGDG(20:1)+NH4",0,0,0,"0.588318055555556","0.888318055555556","3341","","MGDG(20:1)+NH4",0,0,0,"0.588318055555556","0.888318055555556","3341","","MGDG(20:1)+NH4",0,0,0,"0.588318055555556","0.888318055555556","3341","","MGDG(20:1)+NH4",0,0,0,"0.588318055555556","0.888318055555556","3341","","MGDG(20:1)+NH4",0,0,0,"0.588318055555556","0.888318055555556","3341","","MGDG(20:1)+NH4","578.38982","399.31052","381.29995","0.588318055555556","0.888318055555556","3341"
"","MGDG(20:2)+NH4",0,0,0,"0.3962125","0.6962125","5334","","MGDG(20:2)+NH4",0,0,0,"0.3962125","0.6962125","5334","","MGDG(20:2)+NH4",0,0,0,"0.3962125","0.6962125","5334","","MGDG(20:2)+NH4",0,0,0,"0.3962125","0.6962125","5334","","MGDG(20:2)+NH4",0,0,0,"0.3962125","0.6962125","5334","","MGDG(20:2)+NH4","576.37422","397.29492","379.28435","0.3962125","0.6962125","5334"
"","MGDG(21:2)+NH4",0,0,0,"0.448055555555556","0.748055555555556","9349","","MGDG(21:2)+NH4",0,0,0,"0.448055555555556","0.748055555555556","9349","","MGDG(21:2)+NH4",0,0,0,"0.448055555555556","0.748055555555556","9349","","MGDG(21:2)+NH4",0,0,0,"0.448055555555556","0.748055555555556","9349","","MGDG(21:2)+NH4",0,0,0,"0.448055555555556","0.748055555555556","9349","","MGDG(21:2)+NH4","590.38982","411.31052","393.29995","0.448055555555556","0.748055555555556","9349"
"","MGDG(22:1)+NH4",0,0,0,"0.375526388888889","0.675526388888889","5873","","MGDG(22:1)+NH4",0,0,0,"0.375526388888889","0.675526388888889","5873","","MGDG(22:1)+NH4",0,0,0,"0.375526388888889","0.675526388888889","5873","","MGDG(22:1)+NH4",0,0,0,"0.375526388888889","0.675526388888889","5873","","MGDG(22:1)+NH4",0,0,0,"0.375526388888889","0.675526388888889","5873","","MGDG(22:1)+NH4","606.42112","427.34182","409.33125","0.375526388888889","0.675526388888889","5873"
"","MGDG(22:2)+NH4",0,0,0,"0.486568055555556","0.786568055555556","4569","","MGDG(22:2)+NH4",0,0,0,"0.486568055555556","0.786568055555556","4569","","MGDG(22:2)+NH4",0,0,0,"0.486568055555556","0.786568055555556","4569","","MGDG(22:2)+NH4",0,0,0,"0.486568055555556","0.786568055555556","4569","","MGDG(22:2)+NH4",0,0,0,"0.486568055555556","0.786568055555556","4569","","MGDG(22:2)+NH4","604.40552","425.32622","407.31565","0.486568055555556","0.786568055555556","4569"
"","MGDG(22:3)+NH4",0,0,0,"0.540193939393939","0.840193939393939","5389","","MGDG(22:3)+NH4",0,0,0,"0.540193939393939","0.840193939393939","5389","","MGDG(22:3)+NH4",0,0,0,"0.540193939393939","0.840193939393939","5389","","MGDG(22:3)+NH4",0,0,0,"0.540193939393939","0.840193939393939","5389","","MGDG(22:3)+NH4",0,0,0,"0.540193939393939","0.840193939393939","5389","","MGDG(22:3)+NH4","602.38982","423.31052","405.29995","0.540193939393939","0.840193939393939","5389"
"","MGDG(23:1)+NH4",0,0,0,"0.445455555555556","0.745455555555556","5152","","MGDG(23:1)+NH4",0,0,0,"0.445455555555556","0.745455555555556","5152","","MGDG(23:1)+NH4",0,0,0,"0.445455555555556","0.745455555555556","5152","","MGDG(23:1)+NH4",0,0,0,"0.445455555555556","0.745455555555556","5152","","MGDG(23:1)+NH4",0,0,0,"0.445455555555556","0.745455555555556","5152","","MGDG(23:1)+NH4","620.43682","441.35752","423.34695","0.445455555555556","0.745455555555556","5152"
"","MGDG(23:2)+NH4",0,0,0,"0.478323611111111","0.778323611111111","9527","","MGDG(23:2)+NH4",0,0,0,"0.478323611111111","0.778323611111111","9527","","MGDG(23:2)+NH4",0,0,0,"0.478323611111111","0.778323611111111","9527","","MGDG(23:2)+NH4",0,0,0,"0.478323611111111","0.778323611111111","9527","","MGDG(23:2)+NH4",0,0,0,"0.478323611111111","0.778323611111111","9527","","MGDG(23:2)+NH4","618.42112","439.34182","421.33125","0.478323611111111","0.778323611111111","9527"
"","MGDG(23:3)+NH4",0,0,0,"0.384945454545455","0.684945454545455","7982","","MGDG(23:3)+NH4",0,0,0,"0.384945454545455","0.684945454545455","7982","","MGDG(23:3)+NH4",0,0,0,"0.384945454545455","0.684945454545455","7982","","MGDG(23:3)+NH4",0,0,0,"0.384945454545455","0.684945454545455","7982","","MGDG(23:3)+NH4",0,0,0,"0.384945454545455","0.684945454545455","7982","","MGDG(23:3)+NH4","616.40552","437.32622","419.31565","0.384945454545455","0.684945454545455","7982"
"","MGDG(24:1)+NH4",0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(24:1)+NH4",0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(24:1)+NH4",0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(24:1)+NH4",0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(24:1)+NH4",0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(24:1)+NH4","634.45246","455.37316","437.36259","0.518206944444445","0.818206944444445","1131"
"","MGDG(24:1)+NH4",0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(24:1)+NH4",0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(24:1)+NH4",0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(24:1)+NH4",0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(24:1)+NH4",0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(24:1)+NH4","634.45246","455.37316","437.36259","15.1049333333333","15.4049333333333","8784"
"","MGDG(24:1)+NH4",0,0,0,"12.5682375","12.8682375","16522","","MGDG(24:1)+NH4",0,0,0,"12.5682375","12.8682375","16522","","MGDG(24:1)+NH4",0,0,0,"12.5682375","12.8682375","16522","","MGDG(24:1)+NH4",0,0,0,"12.5682375","12.8682375","16522","","MGDG(24:1)+NH4",0,0,0,"12.5682375","12.8682375","16522","","MGDG(24:1)+NH4","634.45246","455.37316","437.36259","12.5682375","12.8682375","16522"
"","MGDG(24:1)+NH4",0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(24:1)+NH4",0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(24:1)+NH4",0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(24:1)+NH4",0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(24:1)+NH4",0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(24:1)+NH4","634.45246","455.37316","437.36259","14.6452319444444","14.9452319444444","17741"
"","MGDG(24:1)+NH4",0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(24:1)+NH4",0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(24:1)+NH4",0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(24:1)+NH4",0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(24:1)+NH4",0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(24:1)+NH4","634.45246","455.37316","437.36259","12.3154069444444","12.6154069444444","19121"
"","MGDG(24:2)+NH4",0,0,0,"0.478195833333333","0.778195833333333","7290","","MGDG(24:2)+NH4",0,0,0,"0.478195833333333","0.778195833333333","7290","","MGDG(24:2)+NH4",0,0,0,"0.478195833333333","0.778195833333333","7290","","MGDG(24:2)+NH4",0,0,0,"0.478195833333333","0.778195833333333","7290","","MGDG(24:2)+NH4",0,0,0,"0.478195833333333","0.778195833333333","7290","","MGDG(24:2)+NH4","632.43682","453.35752","435.34695","0.478195833333333","0.778195833333333","7290"
"","MGDG(25:1)+NH4",0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(25:1)+NH4",0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(25:1)+NH4",0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(25:1)+NH4",0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(25:1)+NH4",0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(25:1)+NH4","648.46812","469.38882","451.37825","0.527179166666667","0.827179166666667","9501"
"","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4","646.45246","467.37316","449.36259","1.17478333333333","1.47478333333333","10711"
