"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","OxPE(14:2(KeKeO))+H",0,0,1,"0.843557575757576","1.14355757575758","15231","","OxPE(14:2(KeKeO))+H",0,0,1.006677,"0.843557575757576","1.14355757575758","15231","","OxPE(14:2(KeKeO))+H",0,0,2,"0.843557575757576","1.14355757575758","15231","","OxPE(14:2(KeKeO))+H",0,0,4987.352,"0.843557575757576","1.14355757575758","15231","","OxPE(14:2(KeKeO))+H",0,0,142.02655,"0.843557575757576","1.14355757575758","15231","","OxPE(14:2(KeKeO))+H","480.16297","339.14386","142.02639","0.843557575757576","1.14355757575758","15231"
"","OxPE(17:2(Ke))+H",0,0,0,"14.7517902777778","15.0517902777778","5116","","OxPE(17:2(Ke))+H",0,0,0,"14.7517902777778","15.0517902777778","5116","","OxPE(17:2(Ke))+H",0,0,0,"14.7517902777778","15.0517902777778","5116","","OxPE(17:2(Ke))+H",0,0,0,"14.7517902777778","15.0517902777778","5116","","OxPE(17:2(Ke))+H",0,0,0,"14.7517902777778","15.0517902777778","5116","","OxPE(17:2(Ke))+H","492.23574","351.21663","142.02639","14.7517902777778","15.0517902777778","5116"
"","OxPE(17:2(Ke))+H",0,0,0,"12.4503097222222","12.7503097222222","6727","","OxPE(17:2(Ke))+H",0,0,0,"12.4503097222222","12.7503097222222","6727","","OxPE(17:2(Ke))+H",0,0,0,"12.4503097222222","12.7503097222222","6727","","OxPE(17:2(Ke))+H",0,0,0,"12.4503097222222","12.7503097222222","6727","","OxPE(17:2(Ke))+H",0,0,0,"12.4503097222222","12.7503097222222","6727","","OxPE(17:2(Ke))+H","492.23574","351.21663","142.02639","12.4503097222222","12.7503097222222","6727"
"","OxPE(17:2(Ke))+H",0,0,0,"14.983096969697","15.283096969697","9758","","OxPE(17:2(Ke))+H",0,0,0,"14.983096969697","15.283096969697","9758","","OxPE(17:2(Ke))+H",0,0,0,"14.983096969697","15.283096969697","9758","","OxPE(17:2(Ke))+H",0,0,0,"14.983096969697","15.283096969697","9758","","OxPE(17:2(Ke))+H",0,0,0,"14.983096969697","15.283096969697","9758","","OxPE(17:2(Ke))+H","492.23574","351.21663","142.02639","14.983096969697","15.283096969697","9758"
"","OxPE(17:2(Ke))+H",0,0,0,"12.5517638888889","12.8517638888889","15560","","OxPE(17:2(Ke))+H",0,0,0,"12.5517638888889","12.8517638888889","15560","","OxPE(17:2(Ke))+H",0,0,0,"12.5517638888889","12.8517638888889","15560","","OxPE(17:2(Ke))+H",0,0,0,"12.5517638888889","12.8517638888889","15560","","OxPE(17:2(Ke))+H",0,0,0,"12.5517638888889","12.8517638888889","15560","","OxPE(17:2(Ke))+H","492.23574","351.21663","142.02639","12.5517638888889","12.8517638888889","15560"
"","OxPE(17:2(Ke))+H",0,0,0,"15.1504513888889","15.4504513888889","16040","","OxPE(17:2(Ke))+H",0,0,0,"15.1504513888889","15.4504513888889","16040","","OxPE(17:2(Ke))+H",0,0,0,"15.1504513888889","15.4504513888889","16040","","OxPE(17:2(Ke))+H",0,0,0,"15.1504513888889","15.4504513888889","16040","","OxPE(17:2(Ke))+H",0,0,0,"15.1504513888889","15.4504513888889","16040","","OxPE(17:2(Ke))+H","492.23574","351.21663","142.02639","15.1504513888889","15.4504513888889","16040"
"","OxPE(17:2(Ke))+H",0,0,0,"13.1226833333333","13.4226833333333","17687","","OxPE(17:2(Ke))+H",0,0,0,"13.1226833333333","13.4226833333333","17687","","OxPE(17:2(Ke))+H",0,0,0,"13.1226833333333","13.4226833333333","17687","","OxPE(17:2(Ke))+H",0,0,0,"13.1226833333333","13.4226833333333","17687","","OxPE(17:2(Ke))+H",0,0,0,"13.1226833333333","13.4226833333333","17687","","OxPE(17:2(Ke))+H","492.23574","351.21663","142.02639","13.1226833333333","13.4226833333333","17687"
"","OxPE(18:1(KeKe))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:1(KeKe))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:1(KeKe))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:1(KeKe))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:1(KeKe))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:1(KeKe))+H","522.24632","381.22721","142.02639","0.359147222222222","0.659147222222222","3006"
"","OxPE(18:2(Ke))+H",0,0,0,"0.507062121212121","0.807062121212121","11882","","OxPE(18:2(Ke))+H",0,0,0,"0.507062121212121","0.807062121212121","11882","","OxPE(18:2(Ke))+H",0,0,0,"0.507062121212121","0.807062121212121","11882","","OxPE(18:2(Ke))+H",0,0,0,"0.507062121212121","0.807062121212121","11882","","OxPE(18:2(Ke))+H",0,0,0,"0.507062121212121","0.807062121212121","11882","","OxPE(18:2(Ke))+H","506.25139","365.23228","142.02639","0.507062121212121","0.807062121212121","11882"
"","OxPE(18:2(Ke))+H",0,0,0,"15.1581069444444","15.4581069444444","13525","","OxPE(18:2(Ke))+H",0,0,0,"15.1581069444444","15.4581069444444","13525","","OxPE(18:2(Ke))+H",0,0,0,"15.1581069444444","15.4581069444444","13525","","OxPE(18:2(Ke))+H",0,0,0,"15.1581069444444","15.4581069444444","13525","","OxPE(18:2(Ke))+H",0,0,0,"15.1581069444444","15.4581069444444","13525","","OxPE(18:2(Ke))+H","506.25139","365.23228","142.02639","15.1581069444444","15.4581069444444","13525"
