"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]","NL_head","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Average m/z","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]","NL_head","RT_min","RT_max","Comment"
"","PS(20:0)+H",0,0,"0.335309090909091","0.635309090909091","9300","","PS(20:0)+H",0,0,"0.335309090909091","0.635309090909091","9300","","PS(20:0)+H",0,0,"0.335309090909091","0.635309090909091","9300","","PS(20:0)+H",0,0,"0.335309090909091","0.635309090909091","9300","","PS(20:0)+H",0,0,"0.335309090909091","0.635309090909091","9300","","PS(20:0)+H","568.32456","383.31561","0.335309090909091","0.635309090909091","9300"
"","PS(23:0)+H",0,0,"0.769251388888889","1.06925138888889","14542","","PS(23:0)+H",0,0,"0.769251388888889","1.06925138888889","14542","","PS(23:0)+H",0,0,"0.769251388888889","1.06925138888889","14542","","PS(23:0)+H",0,0,"0.769251388888889","1.06925138888889","14542","","PS(23:0)+H",0,0,"0.769251388888889","1.06925138888889","14542","","PS(23:0)+H","610.37156","425.36261","0.769251388888889","1.06925138888889","14542"
"","PS(26:0)+H",0,0,"2.6957875","2.9957875","8069","","PS(26:0)+H",0,0,"2.6957875","2.9957875","8069","","PS(26:0)+H",0,0,"2.6957875","2.9957875","8069","","PS(26:0)+H",0,0,"2.6957875","2.9957875","8069","","PS(26:0)+H",0,0,"2.6957875","2.9957875","8069","","PS(26:0)+H","652.41846","467.40951","2.6957875","2.9957875","8069"
"","PS(26:1)+H",0,0,"0.92806527777778","1.22806527777778","5931","","PS(26:1)+H",0,0,"0.92806527777778","1.22806527777778","5931","","PS(26:1)+H",0,0,"0.92806527777778","1.22806527777778","5931","","PS(26:1)+H",0,0,"0.92806527777778","1.22806527777778","5931","","PS(26:1)+H",0,0,"0.92806527777778","1.22806527777778","5931","","PS(26:1)+H","650.40286","465.39391","0.92806527777778","1.22806527777778","5931"
"","PS(27:0)+H",0,0,"0.97390138888889","1.27390138888889","5474","","PS(27:0)+H",0,0,"0.97390138888889","1.27390138888889","5474","","PS(27:0)+H",0,0,"0.97390138888889","1.27390138888889","5474","","PS(27:0)+H",0,0,"0.97390138888889","1.27390138888889","5474","","PS(27:0)+H",0,0,"0.97390138888889","1.27390138888889","5474","","PS(27:0)+H","666.43416","481.42521","0.97390138888889","1.27390138888889","5474"
"","PS(28:0)+H",1,1,"3.85204848484848","4.15204848484848","264","","PS(28:0)+H",4.028213,4.028213,"3.85204848484848","4.15204848484848","264","","PS(28:0)+H",1,2,"3.85204848484848","4.15204848484848","264","","PS(28:0)+H",3461.459,4628533,"3.85204848484848","4.15204848484848","264","","PS(28:0)+H",680.4498,495.44145,"3.85204848484848","4.15204848484848","264","","PS(28:0)+H","680.44976","495.44081","3.85204848484848","4.15204848484848","264"
"","PS(28:0)+H",0,0,"4.899375","5.199375","2098","","PS(28:0)+H",0,0,"4.899375","5.199375","2098","","PS(28:0)+H",0,0,"4.899375","5.199375","2098","","PS(28:0)+H",0,0,"4.899375","5.199375","2098","","PS(28:0)+H",0,0,"4.899375","5.199375","2098","","PS(28:0)+H","680.44976","495.44081","4.899375","5.199375","2098"
"","PS(28:0)+H",1,1,"3.85645138888889","4.15645138888889","12646","","PS(28:0)+H",4.028213,4.028213,"3.85645138888889","4.15645138888889","12646","","PS(28:0)+H",1,2,"3.85645138888889","4.15645138888889","12646","","PS(28:0)+H",3461.459,4628533,"3.85645138888889","4.15645138888889","12646","","PS(28:0)+H",680.4498,495.44145,"3.85645138888889","4.15645138888889","12646","","PS(28:0)+H","680.44976","495.44081","3.85645138888889","4.15645138888889","12646"
"","PS(28:0)+H",0,0,"4.91009027777778","5.21009027777778","12764","","PS(28:0)+H",0,0,"4.91009027777778","5.21009027777778","12764","","PS(28:0)+H",0,0,"4.91009027777778","5.21009027777778","12764","","PS(28:0)+H",0,0,"4.91009027777778","5.21009027777778","12764","","PS(28:0)+H",0,0,"4.91009027777778","5.21009027777778","12764","","PS(28:0)+H","680.44976","495.44081","4.91009027777778","5.21009027777778","12764"
"","PS(28:1)+H",0,0,"1.40908333333333","1.70908333333333","10447","","PS(28:1)+H",0,0,"1.40908333333333","1.70908333333333","10447","","PS(28:1)+H",0,0,"1.40908333333333","1.70908333333333","10447","","PS(28:1)+H",0,0,"1.40908333333333","1.70908333333333","10447","","PS(28:1)+H",0,0,"1.40908333333333","1.70908333333333","10447","","PS(28:1)+H","678.43416","493.42521","1.40908333333333","1.70908333333333","10447"
"","PS(28:2)+H",0,0,"1.04389166666667","1.34389166666667","10733","","PS(28:2)+H",0,0,"1.04389166666667","1.34389166666667","10733","","PS(28:2)+H",0,0,"1.04389166666667","1.34389166666667","10733","","PS(28:2)+H",0,0,"1.04389166666667","1.34389166666667","10733","","PS(28:2)+H",0,0,"1.04389166666667","1.34389166666667","10733","","PS(28:2)+H","676.41846","491.40951","1.04389166666667","1.34389166666667","10733"
"","PS(29:0)+H",0,0,"5.00976527777778","5.30976527777778","981","","PS(29:0)+H",0,0,"5.00976527777778","5.30976527777778","981","","PS(29:0)+H",0,0,"5.00976527777778","5.30976527777778","981","","PS(29:0)+H",0,0,"5.00976527777778","5.30976527777778","981","","PS(29:0)+H",0,0,"5.00976527777778","5.30976527777778","981","","PS(29:0)+H","694.46546","509.45651","5.00976527777778","5.30976527777778","981"
"","PS(29:0)+H",0,0,"1.50699722222222","1.80699722222222","14667","","PS(29:0)+H",0,0,"1.50699722222222","1.80699722222222","14667","","PS(29:0)+H",0,0,"1.50699722222222","1.80699722222222","14667","","PS(29:0)+H",0,0,"1.50699722222222","1.80699722222222","14667","","PS(29:0)+H",0,0,"1.50699722222222","1.80699722222222","14667","","PS(29:0)+H","694.46546","509.45651","1.50699722222222","1.80699722222222","14667"
"","PS(29:2)+H",0,0,"1.15756944444444","1.45756944444444","6755","","PS(29:2)+H",0,0,"1.15756944444444","1.45756944444444","6755","","PS(29:2)+H",0,0,"1.15756944444444","1.45756944444444","6755","","PS(29:2)+H",0,0,"1.15756944444444","1.45756944444444","6755","","PS(29:2)+H",0,0,"1.15756944444444","1.45756944444444","6755","","PS(29:2)+H","690.43416","505.42521","1.15756944444444","1.45756944444444","6755"
"","PS(30:1)+H",0,0,"1.34317916666667","1.64317916666667","6183","","PS(30:1)+H",0,0,"1.34317916666667","1.64317916666667","6183","","PS(30:1)+H",0,0,"1.34317916666667","1.64317916666667","6183","","PS(30:1)+H",0,0,"1.34317916666667","1.64317916666667","6183","","PS(30:1)+H",0,0,"1.34317916666667","1.64317916666667","6183","","PS(30:1)+H","706.46546","521.45651","1.34317916666667","1.64317916666667","6183"
"","PS(30:2)+H",0,0,"1.05886111111111","1.35886111111111","7726","","PS(30:2)+H",0,0,"1.05886111111111","1.35886111111111","7726","","PS(30:2)+H",0,0,"1.05886111111111","1.35886111111111","7726","","PS(30:2)+H",0,0,"1.05886111111111","1.35886111111111","7726","","PS(30:2)+H",0,0,"1.05886111111111","1.35886111111111","7726","","PS(30:2)+H","704.44976","519.44081","1.05886111111111","1.35886111111111","7726"
"","PS(30:3)+H",0,0,"3.85204848484848","4.15204848484848","2390","","PS(30:3)+H",0,0,"3.85204848484848","4.15204848484848","2390","","PS(30:3)+H",0,0,"3.85204848484848","4.15204848484848","2390","","PS(30:3)+H",0,0,"3.85204848484848","4.15204848484848","2390","","PS(30:3)+H",0,0,"3.85204848484848","4.15204848484848","2390","","PS(30:3)+H","702.43416","517.42521","3.85204848484848","4.15204848484848","2390"
"","PS(30:3)+H",0,0,"3.85645138888889","4.15645138888889","12785","","PS(30:3)+H",0,0,"3.85645138888889","4.15645138888889","12785","","PS(30:3)+H",0,0,"3.85645138888889","4.15645138888889","12785","","PS(30:3)+H",0,0,"3.85645138888889","4.15645138888889","12785","","PS(30:3)+H",0,0,"3.85645138888889","4.15645138888889","12785","","PS(30:3)+H","702.43416","517.42521","3.85645138888889","4.15645138888889","12785"
"","PS(31:0)+H",0,0,"5.71002361111111","6.01002361111111","952","","PS(31:0)+H",0,0,"5.71002361111111","6.01002361111111","952","","PS(31:0)+H",0,0,"5.71002361111111","6.01002361111111","952","","PS(31:0)+H",0,0,"5.71002361111111","6.01002361111111","952","","PS(31:0)+H",0,0,"5.71002361111111","6.01002361111111","952","","PS(31:0)+H","722.49676","537.48781","5.71002361111111","6.01002361111111","952"
"","PS(31:2)+H",0,0,"1.74011944444444","2.04011944444444","8846","","PS(31:2)+H",0,0,"1.74011944444444","2.04011944444444","8846","","PS(31:2)+H",0,0,"1.74011944444444","2.04011944444444","8846","","PS(31:2)+H",0,0,"1.74011944444444","2.04011944444444","8846","","PS(31:2)+H",0,0,"1.74011944444444","2.04011944444444","8846","","PS(31:2)+H","718.46546","533.45651","1.74011944444444","2.04011944444444","8846"
"","PS(31:3)+H",0,0,"4.99630606060606","5.29630606060606","13568","","PS(31:3)+H",0,0,"4.99630606060606","5.29630606060606","13568","","PS(31:3)+H",0,0,"4.99630606060606","5.29630606060606","13568","","PS(31:3)+H",0,0,"4.99630606060606","5.29630606060606","13568","","PS(31:3)+H",0,0,"4.99630606060606","5.29630606060606","13568","","PS(31:3)+H","716.44986","531.44091","4.99630606060606","5.29630606060606","13568"
