"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(28:0)+Na",0,0,"3.85204848484848","4.15204848484848","2390","","PS(28:0)+Na",0,0,"3.85204848484848","4.15204848484848","2390","","PS(28:0)+Na",0,0,"3.85204848484848","4.15204848484848","2390","","PS(28:0)+Na",0,0,"3.85204848484848","4.15204848484848","2390","","PS(28:0)+Na",0,0,"3.85204848484848","4.15204848484848","2390","","PS(28:0)+Na","702.4316249","207.99872","3.85204848484848","4.15204848484848","2390"
"","PS(28:0)+Na",0,0,"3.85645138888889","4.15645138888889","12785","","PS(28:0)+Na",0,0,"3.85645138888889","4.15645138888889","12785","","PS(28:0)+Na",0,0,"3.85645138888889","4.15645138888889","12785","","PS(28:0)+Na",0,0,"3.85645138888889","4.15645138888889","12785","","PS(28:0)+Na",0,0,"3.85645138888889","4.15645138888889","12785","","PS(28:0)+Na","702.4316249","207.99872","3.85645138888889","4.15645138888889","12785"
"","PS(29:0)+Na",0,0,"4.99630606060606","5.29630606060606","13568","","PS(29:0)+Na",0,0,"4.99630606060606","5.29630606060606","13568","","PS(29:0)+Na",0,0,"4.99630606060606","5.29630606060606","13568","","PS(29:0)+Na",0,0,"4.99630606060606","5.29630606060606","13568","","PS(29:0)+Na",0,0,"4.99630606060606","5.29630606060606","13568","","PS(29:0)+Na","716.4473249","207.99872","4.99630606060606","5.29630606060606","13568"
"","PS(30:0)+Na",0,0,"1.47424166666667","1.77424166666667","7817","","PS(30:0)+Na",0,0,"1.47424166666667","1.77424166666667","7817","","PS(30:0)+Na",0,0,"1.47424166666667","1.77424166666667","7817","","PS(30:0)+Na",0,0,"1.47424166666667","1.77424166666667","7817","","PS(30:0)+Na",0,0,"1.47424166666667","1.77424166666667","7817","","PS(30:0)+Na","730.4629249","207.99872","1.47424166666667","1.77424166666667","7817"
"","PS(30:3)+Na",0,0,"3.85230416666667","4.15230416666667","4482","","PS(30:3)+Na",0,0,"3.85230416666667","4.15230416666667","4482","","PS(30:3)+Na",0,0,"3.85230416666667","4.15230416666667","4482","","PS(30:3)+Na",0,0,"3.85230416666667","4.15230416666667","4482","","PS(30:3)+Na",0,0,"3.85230416666667","4.15230416666667","4482","","PS(30:3)+Na","724.4160249","207.99872","3.85230416666667","4.15230416666667","4482"
"","PS(31:3)+Na",0,0,"1.5597","1.8597","6228","","PS(31:3)+Na",0,0,"1.5597","1.8597","6228","","PS(31:3)+Na",0,0,"1.5597","1.8597","6228","","PS(31:3)+Na",0,0,"1.5597","1.8597","6228","","PS(31:3)+Na",0,0,"1.5597","1.8597","6228","","PS(31:3)+Na","738.4317249","207.99872","1.5597","1.8597","6228"
"","PS(33:3)+Na",0,0,"5.71525555555556","6.01525555555556","9644","","PS(33:3)+Na",0,0,"5.71525555555556","6.01525555555556","9644","","PS(33:3)+Na",0,0,"5.71525555555556","6.01525555555556","9644","","PS(33:3)+Na",0,0,"5.71525555555556","6.01525555555556","9644","","PS(33:3)+Na",0,0,"5.71525555555556","6.01525555555556","9644","","PS(33:3)+Na","766.4630249","207.99872","5.71525555555556","6.01525555555556","9644"
"","PS(33:3)+Na",0,0,"5.72048888888889","6.02048888888889","13083","","PS(33:3)+Na",0,0,"5.72048888888889","6.02048888888889","13083","","PS(33:3)+Na",0,0,"5.72048888888889","6.02048888888889","13083","","PS(33:3)+Na",0,0,"5.72048888888889","6.02048888888889","13083","","PS(33:3)+Na",0,0,"5.72048888888889","6.02048888888889","13083","","PS(33:3)+Na","766.4630249","207.99872","5.72048888888889","6.02048888888889","13083"
"","PS(35:0)+Na",1,0,"8.01050416666666","8.31050416666666","2253","","PS(35:0)+Na",8.161917,0,"8.01050416666666","8.31050416666666","2253","","PS(35:0)+Na",1,0,"8.01050416666666","8.31050416666666","2253","","PS(35:0)+Na",48811.2,0,"8.01050416666666","8.31050416666666","2253","","PS(35:0)+Na",800.5413,0,"8.01050416666666","8.31050416666666","2253","","PS(35:0)+Na","800.5412249","207.99872","8.01050416666666","8.31050416666666","2253"
"","PS(35:3)+Na",0,0,"4.95417727272727","5.25417727272727","13576","","PS(35:3)+Na",0,0,"4.95417727272727","5.25417727272727","13576","","PS(35:3)+Na",0,0,"4.95417727272727","5.25417727272727","13576","","PS(35:3)+Na",0,0,"4.95417727272727","5.25417727272727","13576","","PS(35:3)+Na",0,0,"4.95417727272727","5.25417727272727","13576","","PS(35:3)+Na","794.4943249","207.99872","4.95417727272727","5.25417727272727","13576"
