"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(24:0)+H",1,0,1,"4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H",4.199957,4.199957,4.199957,"4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H",1,1,1,"4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H",124698.7,656.1175,98551.86,"4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H",608.4661,425.3999,184.0737,"4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H","608.4649576","425.3989176","184.07332","4.053675","4.353675","1986"
"","Plasmanyl-PC(24:1)+H",0,0,0,"2.79214305555556","3.09214305555556","5280","","Plasmanyl-PC(24:1)+H",0,0,0,"2.79214305555556","3.09214305555556","5280","","Plasmanyl-PC(24:1)+H",0,0,0,"2.79214305555556","3.09214305555556","5280","","Plasmanyl-PC(24:1)+H",0,0,0,"2.79214305555556","3.09214305555556","5280","","Plasmanyl-PC(24:1)+H",0,0,0,"2.79214305555556","3.09214305555556","5280","","Plasmanyl-PC(24:1)+H","606.4493576","423.3833176","184.07332","2.79214305555556","3.09214305555556","5280"
"","Plasmanyl-PC(26:0)+H",0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(26:0)+H",0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(26:0)+H",0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(26:0)+H",0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(26:0)+H",0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(26:0)+H","636.4962576","453.4302176","184.07332","5.48004027777778","5.78004027777778","3177"
"","Plasmanyl-PC(26:1)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmanyl-PC(26:1)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmanyl-PC(26:1)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmanyl-PC(26:1)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmanyl-PC(26:1)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmanyl-PC(26:1)+H","634.4806576","451.4146176","184.07332","4.01695138888889","4.31695138888889","7205"
"","Plasmanyl-PC(28:0)+H",0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(28:0)+H",0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(28:0)+H",0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(28:0)+H",0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(28:0)+H",0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(28:0)+H","664.5275576","481.4615176","184.07332","5.43967777777778","5.73967777777778","4536"
"","Plasmanyl-PC(29:1)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PC(29:1)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PC(29:1)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PC(29:1)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PC(29:1)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PC(29:1)+H","676.5276576","493.4616176","184.07332","8.11464074074074","8.41464074074074","16679"
"","Plasmanyl-PC(30:0)+H",0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(30:0)+H",0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(30:0)+H",0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(30:0)+H",0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(30:0)+H",0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(30:0)+H","692.5588576","509.4928176","184.07332","6.71965138888889","7.01965138888889","1066"
"","Plasmanyl-PC(30:1)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(30:1)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(30:1)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(30:1)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(30:1)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(30:1)+H","690.5432576","507.4772176","184.07332","6.54070833333333","6.84070833333333","1283"
"","Plasmanyl-PC(31:0)+H",0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(31:0)+H",0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(31:0)+H",0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(31:0)+H",0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(31:0)+H",0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(31:0)+H","706.5745576","523.5085176","184.07332","7.33104861111111","7.63104861111111","2469"
"","Plasmanyl-PC(31:0)+H",0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(31:0)+H",0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(31:0)+H",0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(31:0)+H",0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(31:0)+H",0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(31:0)+H","706.5745576","523.5085176","184.07332","9.31048194444444","9.61048194444444","13574"
