"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H","666.47052","481.46157","5.78775555555556","6.08775555555556","833"
"","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H","666.47052","481.46157","6.03436","6.33436","18543"
"","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H","694.50182","509.49287","5.75403472222222","6.05403472222222","2025"
"","Plasmanyl-PS(30:0)+H",0,0,"7.07977222222222","7.37977222222222","2083","","Plasmanyl-PS(30:0)+H",0,0,"7.07977222222222","7.37977222222222","2083","","Plasmanyl-PS(30:0)+H",0,0,"7.07977222222222","7.37977222222222","2083","","Plasmanyl-PS(30:0)+H",0,0,"7.07977222222222","7.37977222222222","2083","","Plasmanyl-PS(30:0)+H",0,0,"7.07977222222222","7.37977222222222","2083","","Plasmanyl-PS(30:0)+H","694.50182","509.49287","7.07977222222222","7.37977222222222","2083"
"","Plasmanyl-PS(30:0)+H",0,0,"5.28609848484848","5.58609848484848","12419","","Plasmanyl-PS(30:0)+H",0,0,"5.28609848484848","5.58609848484848","12419","","Plasmanyl-PS(30:0)+H",0,0,"5.28609848484848","5.58609848484848","12419","","Plasmanyl-PS(30:0)+H",0,0,"5.28609848484848","5.58609848484848","12419","","Plasmanyl-PS(30:0)+H",0,0,"5.28609848484848","5.58609848484848","12419","","Plasmanyl-PS(30:0)+H","694.50182","509.49287","5.28609848484848","5.58609848484848","12419"
"","Plasmanyl-PS(31:0)+H",0,0,"7.07238611111111","7.37238611111111","198","","Plasmanyl-PS(31:0)+H",0,0,"7.07238611111111","7.37238611111111","198","","Plasmanyl-PS(31:0)+H",0,0,"7.07238611111111","7.37238611111111","198","","Plasmanyl-PS(31:0)+H",0,0,"7.07238611111111","7.37238611111111","198","","Plasmanyl-PS(31:0)+H",0,0,"7.07238611111111","7.37238611111111","198","","Plasmanyl-PS(31:0)+H","708.51752","523.50857","7.07238611111111","7.37238611111111","198"
"","Plasmanyl-PS(31:0)+H",0,0,"8.78331805555556","9.08331805555556","2498","","Plasmanyl-PS(31:0)+H",0,0,"8.78331805555556","9.08331805555556","2498","","Plasmanyl-PS(31:0)+H",0,0,"8.78331805555556","9.08331805555556","2498","","Plasmanyl-PS(31:0)+H",0,0,"8.78331805555556","9.08331805555556","2498","","Plasmanyl-PS(31:0)+H",0,0,"8.78331805555556","9.08331805555556","2498","","Plasmanyl-PS(31:0)+H","708.51752","523.50857","8.78331805555556","9.08331805555556","2498"
"","Plasmanyl-PS(31:0)+H",0,0,"6.81569090909091","7.11569090909091","2922","","Plasmanyl-PS(31:0)+H",0,0,"6.81569090909091","7.11569090909091","2922","","Plasmanyl-PS(31:0)+H",0,0,"6.81569090909091","7.11569090909091","2922","","Plasmanyl-PS(31:0)+H",0,0,"6.81569090909091","7.11569090909091","2922","","Plasmanyl-PS(31:0)+H",0,0,"6.81569090909091","7.11569090909091","2922","","Plasmanyl-PS(31:0)+H","708.51752","523.50857","6.81569090909091","7.11569090909091","2922"
"","Plasmanyl-PS(31:0)+H",0,0,"9.71703484848485","10.0170348484849","9357","","Plasmanyl-PS(31:0)+H",0,0,"9.71703484848485","10.0170348484849","9357","","Plasmanyl-PS(31:0)+H",0,0,"9.71703484848485","10.0170348484849","9357","","Plasmanyl-PS(31:0)+H",0,0,"9.71703484848485","10.0170348484849","9357","","Plasmanyl-PS(31:0)+H",0,0,"9.71703484848485","10.0170348484849","9357","","Plasmanyl-PS(31:0)+H","708.51752","523.50857","9.71703484848485","10.0170348484849","9357"
"","Plasmanyl-PS(32:0)+H",0,0,"9.71431363636363","10.0143136363636","8867","","Plasmanyl-PS(32:0)+H",0,0,"9.71431363636363","10.0143136363636","8867","","Plasmanyl-PS(32:0)+H",0,0,"9.71431363636363","10.0143136363636","8867","","Plasmanyl-PS(32:0)+H",0,0,"9.71431363636363","10.0143136363636","8867","","Plasmanyl-PS(32:0)+H",0,0,"9.71431363636363","10.0143136363636","8867","","Plasmanyl-PS(32:0)+H","722.53312","537.52417","9.71431363636363","10.0143136363636","8867"
"","Plasmanyl-PS(32:0)+H",0,0,"9.72409722222222","10.0240972222222","13863","","Plasmanyl-PS(32:0)+H",0,0,"9.72409722222222","10.0240972222222","13863","","Plasmanyl-PS(32:0)+H",0,0,"9.72409722222222","10.0240972222222","13863","","Plasmanyl-PS(32:0)+H",0,0,"9.72409722222222","10.0240972222222","13863","","Plasmanyl-PS(32:0)+H",0,0,"9.72409722222222","10.0240972222222","13863","","Plasmanyl-PS(32:0)+H","722.53312","537.52417","9.72409722222222","10.0240972222222","13863"
"","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H","736.54882","551.53987","5.75925833333333","6.05925833333333","3186"
"","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H","736.54882","551.53987","5.3107625","5.6107625","13747"
"","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","9.17979722222222","9.47979722222222","691"
"","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","8.25990972222222","8.55990972222222","1138"
