"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment"
"","Plasmenyl-PE(26:0)+H",0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(26:0)+H",0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(26:0)+H",0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(26:0)+H",0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(26:0)+H",0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(26:0)+H","592.43366","493.4614876","142.02639","0.64275","0.94275","17315"
"","Plasmenyl-PE(29:0)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(29:0)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(29:0)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(29:0)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(29:0)+H",0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(29:0)+H","634.48066","535.5084876","142.02639","4.01695138888889","4.31695138888889","7205"
"","Plasmenyl-PE(30:0)+H",0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(30:0)+H",0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(30:0)+H",0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(30:0)+H",0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(30:0)+H",0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(30:0)+H","648.49626","549.5240876","142.02639","4.96316363636364","5.26316363636364","10481"
"","Plasmenyl-PE(31:1)+H",0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(31:1)+H",0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(31:1)+H",0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(31:1)+H",0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(31:1)+H",0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(31:1)+H","660.49626","561.5240876","142.02639","4.86655694444444","5.16655694444444","15469"
"","Plasmenyl-PE(32:0)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(32:0)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(32:0)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(32:0)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(32:0)+H",0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(32:0)+H","676.52756","577.5553876","142.02639","8.11464074074074","8.41464074074074","16679"
"","Plasmenyl-PE(33:0)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(33:0)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(33:0)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(33:0)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(33:0)+H",0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(33:0)+H","690.54326","591.5710876","142.02639","6.54070833333333","6.84070833333333","1283"
"","Plasmenyl-PE(34:0)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(34:0)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(34:0)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(34:0)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(34:0)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(34:0)+H","704.55886","605.5866876","142.02639","8.29211805555556","8.59211805555556","2770"
"","Plasmenyl-PE(34:0)+H",0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(34:0)+H",0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(34:0)+H",0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(34:0)+H",0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(34:0)+H",0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(34:0)+H","704.55886","605.5866876","142.02639","7.151225","7.451225","11381"
"","Plasmenyl-PE(34:0)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(34:0)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(34:0)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(34:0)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(34:0)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(34:0)+H","704.55886","605.5866876","142.02639","9.22618571428571","9.52618571428571","14373"
"","Plasmenyl-PE(34:1)+H",1,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(34:1)+H",8.352914,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(34:1)+H",1,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(34:1)+H",6032.236,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(34:1)+H",702.5429,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(34:1)+H","702.54326","603.5710876","142.02639","8.13996527777778","8.43996527777778","1023"
