"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(23:0)+H",0,0,0,0,0,0,0,"5.31319696969697","5.61319696969697","6661","","SM(23:0)+H",0,0,0,0,0,0,0,"5.31319696969697","5.61319696969697","6661","","SM(23:0)+H",0,0,0,0,0,0,0,"5.31319696969697","5.61319696969697","6661","","SM(23:0)+H",0,0,0,0,0,0,0,"5.31319696969697","5.61319696969697","6661","","SM(23:0)+H",0,0,0,0,0,0,0,"5.31319696969697","5.61319696969697","6661","","SM(23:0)+H","551.41837","368.35233","492.34483","368.35225","350.34167","184.07332","86.09648","5.31319696969697","5.61319696969697","6661"
"","SM(28:1)+H",0,0,0,0,0,0,0,"2.16351805555556","2.46351805555556","4796","","SM(28:1)+H",0,0,0,0,0,0,0,"2.16351805555556","2.46351805555556","4796","","SM(28:1)+H",0,0,0,0,0,0,0,"2.16351805555556","2.46351805555556","4796","","SM(28:1)+H",0,0,0,0,0,0,0,"2.16351805555556","2.46351805555556","4796","","SM(28:1)+H",0,0,0,0,0,0,0,"2.16351805555556","2.46351805555556","4796","","SM(28:1)+H","619.48097","436.41493","560.40743","436.41485","418.40427","184.07332","86.09648","2.16351805555556","2.46351805555556","4796"
"","SM(28:1)+H",0,0,0,0,0,0,0,"1.87151388888889","2.17151388888889","15690","","SM(28:1)+H",0,0,0,0,0,0,0,"1.87151388888889","2.17151388888889","15690","","SM(28:1)+H",0,0,0,0,0,0,0,"1.87151388888889","2.17151388888889","15690","","SM(28:1)+H",0,0,0,0,0,0,0,"1.87151388888889","2.17151388888889","15690","","SM(28:1)+H",0,0,0,0,0,0,0,"1.87151388888889","2.17151388888889","15690","","SM(28:1)+H","619.48097","436.41493","560.40743","436.41485","418.40427","184.07332","86.09648","1.87151388888889","2.17151388888889","15690"
"","SM(28:2)+H",0,0,0,0,0,0,0,"1.56479444444444","1.86479444444444","19209","","SM(28:2)+H",0,0,0,0,0,0,0,"1.56479444444444","1.86479444444444","19209","","SM(28:2)+H",0,0,0,0,0,0,0,"1.56479444444444","1.86479444444444","19209","","SM(28:2)+H",0,0,0,0,0,0,0,"1.56479444444444","1.86479444444444","19209","","SM(28:2)+H",0,0,0,0,0,0,0,"1.56479444444444","1.86479444444444","19209","","SM(28:2)+H","617.46527","434.39923","558.39173","434.39915","416.38857","184.07332","86.09648","1.56479444444444","1.86479444444444","19209"
"","SM(29:1)+H",0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","10600","","SM(29:1)+H",0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","10600","","SM(29:1)+H",0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","10600","","SM(29:1)+H",0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","10600","","SM(29:1)+H",0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","10600","","SM(29:1)+H","633.49657","450.43053","574.42303","450.43045","432.41987","184.07332","86.09648","2.62962916666667","2.92962916666667","10600"
"","SM(29:1)+H",0,0,0,0,0,0,0,"4.85164166666667","5.15164166666667","12435","","SM(29:1)+H",0,0,0,0,0,0,0,"4.85164166666667","5.15164166666667","12435","","SM(29:1)+H",0,0,0,0,0,0,0,"4.85164166666667","5.15164166666667","12435","","SM(29:1)+H",0,0,0,0,0,0,0,"4.85164166666667","5.15164166666667","12435","","SM(29:1)+H",0,0,0,0,0,0,0,"4.85164166666667","5.15164166666667","12435","","SM(29:1)+H","633.49657","450.43053","574.42303","450.43045","432.41987","184.07332","86.09648","4.85164166666667","5.15164166666667","12435"
"","SM(30:0)+H",0,0,0,0,0,0,0,"3.63984583333333","3.93984583333333","6712","","SM(30:0)+H",0,0,0,0,0,0,0,"3.63984583333333","3.93984583333333","6712","","SM(30:0)+H",0,0,0,0,0,0,0,"3.63984583333333","3.93984583333333","6712","","SM(30:0)+H",0,0,0,0,0,0,0,"3.63984583333333","3.93984583333333","6712","","SM(30:0)+H",0,0,0,0,0,0,0,"3.63984583333333","3.93984583333333","6712","","SM(30:0)+H","649.52787","466.46183","590.45433","466.46175","448.45117","184.07332","86.09648","3.63984583333333","3.93984583333333","6712"
"","SM(30:1)+H",1,0,0,0,0,1,1,"3.16513611111111","3.46513611111111","1278","","SM(30:1)+H",3.300935,0,0,0,0,3.300935,3.300935,"3.16513611111111","3.46513611111111","1278","","SM(30:1)+H",1,0,0,0,0,1,1,"3.16513611111111","3.46513611111111","1278","","SM(30:1)+H",32817.63,0,0,0,0,694512.6,5600.137,"3.16513611111111","3.46513611111111","1278","","SM(30:1)+H",647.5131,0,0,0,0,184.0736,86.09655,"3.16513611111111","3.46513611111111","1278","","SM(30:1)+H","647.51227","464.44623","588.43873","464.44615","446.43557","184.07332","86.09648","3.16513611111111","3.46513611111111","1278"
"","SM(30:1)+H",0,0,0,0,0,0,0,"2.77594305555556","3.07594305555556","6657","","SM(30:1)+H",0,0,0,0,0,0,0,"2.77594305555556","3.07594305555556","6657","","SM(30:1)+H",0,0,0,0,0,0,0,"2.77594305555556","3.07594305555556","6657","","SM(30:1)+H",0,0,0,0,0,0,0,"2.77594305555556","3.07594305555556","6657","","SM(30:1)+H",0,0,0,0,0,0,0,"2.77594305555556","3.07594305555556","6657","","SM(30:1)+H","647.51227","464.44623","588.43873","464.44615","446.43557","184.07332","86.09648","2.77594305555556","3.07594305555556","6657"
"","SM(30:2)+H",0,0,0,0,0,0,0,"2.28230416666667","2.58230416666667","4748","","SM(30:2)+H",0,0,0,0,0,0,0,"2.28230416666667","2.58230416666667","4748","","SM(30:2)+H",0,0,0,0,0,0,0,"2.28230416666667","2.58230416666667","4748","","SM(30:2)+H",0,0,0,0,0,0,0,"2.28230416666667","2.58230416666667","4748","","SM(30:2)+H",0,0,0,0,0,0,0,"2.28230416666667","2.58230416666667","4748","","SM(30:2)+H","645.49657","462.43053","586.42303","462.43045","444.41987","184.07332","86.09648","2.28230416666667","2.58230416666667","4748"
