"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Average m/z","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment"
"","OxPC(25:0(Ke))+H","1","1","1","1.18514444444444","1.48514444444444","872","","OxPC(25:0(Ke))+H"," 1.333837","1.333837"," 1.333837","1.18514444444444","1.48514444444444","872","","OxPC(25:0(Ke))+H","1","1","1","1.18514444444444","1.48514444444444","872","","OxPC(25:0(Ke))+H","286192.700","1948.866","1062927.0000","1.18514444444444","1.48514444444444","872","","OxPC(25:0(Ke))+H","650.4402","467.3727","184.0736","1.18514444444444","1.48514444444444","872","","OxPC(25:0(Ke))+H","650.43919","467.37313","184.07332","1.18514444444444","1.48514444444444","872"
"","OxPC(25:1(O))+H","1","1","1","1.18514444444444","1.48514444444444","872","","OxPC(25:1(O))+H"," 1.333837","1.333837"," 1.333837","1.18514444444444","1.48514444444444","872","","OxPC(25:1(O))+H","1","1","1","1.18514444444444","1.48514444444444","872","","OxPC(25:1(O))+H","286192.700","1948.866","1062927.0000","1.18514444444444","1.48514444444444","872","","OxPC(25:1(O))+H","650.4402","467.3727","184.0736","1.18514444444444","1.48514444444444","872","","OxPC(25:1(O))+H","650.43918","467.37312","184.07332","1.18514444444444","1.48514444444444","872"
"","OxPC(27:0(Ke))+H","1","1","1","1.75607361111111","2.05607361111111","1282","","OxPC(27:0(Ke))+H"," 1.904868","1.904868"," 1.904868","1.75607361111111","2.05607361111111","1282","","OxPC(27:0(Ke))+H","1","1","1","1.75607361111111","2.05607361111111","1282","","OxPC(27:0(Ke))+H","281176.200","2038.940"," 953882.9000","1.75607361111111","2.05607361111111","1282","","OxPC(27:0(Ke))+H","678.4712","495.4051","184.0735","1.75607361111111","2.05607361111111","1282","","OxPC(27:0(Ke))+H","678.47049","495.40443","184.07332","1.75607361111111","2.05607361111111","1282"
"","OxPC(27:1(O))+H","1","1","1","1.75607361111111","2.05607361111111","1282","","OxPC(27:1(O))+H"," 1.904868","1.904868"," 1.904868","1.75607361111111","2.05607361111111","1282","","OxPC(27:1(O))+H","1","1","1","1.75607361111111","2.05607361111111","1282","","OxPC(27:1(O))+H","281176.200","2038.940"," 953882.9000","1.75607361111111","2.05607361111111","1282","","OxPC(27:1(O))+H","678.4712","495.4051","184.0735","1.75607361111111","2.05607361111111","1282","","OxPC(27:1(O))+H","678.47048","495.40442","184.07332","1.75607361111111","2.05607361111111","1282"
"","OxPC(29:0(KeO))+H","0","0","1","5.71002361111111","6.01002361111111","952","","OxPC(29:0(KeO))+H"," 0.000000","0.000000"," 5.880608","5.71002361111111","6.01002361111111","952","","OxPC(29:0(KeO))+H","0","0","1","5.71002361111111","6.01002361111111","952","","OxPC(29:0(KeO))+H","     0.000","   0.000","   8761.6970","5.71002361111111","6.01002361111111","952","","OxPC(29:0(KeO))+H","  0.0000","  0.0000","184.0738","5.71002361111111","6.01002361111111","952","","OxPC(29:0(KeO))+H","722.49671","539.43065","184.07332","5.71002361111111","6.01002361111111","952"
"","OxPC(29:1(OO))+H","0","0","1","5.71002361111111","6.01002361111111","952","","OxPC(29:1(OO))+H"," 0.000000","0.000000"," 5.880608","5.71002361111111","6.01002361111111","952","","OxPC(29:1(OO))+H","0","0","1","5.71002361111111","6.01002361111111","952","","OxPC(29:1(OO))+H","     0.000","   0.000","   8761.6970","5.71002361111111","6.01002361111111","952","","OxPC(29:1(OO))+H","  0.0000","  0.0000","184.0738","5.71002361111111","6.01002361111111","952","","OxPC(29:1(OO))+H","722.4967","539.43064","184.07332","5.71002361111111","6.01002361111111","952"
"","OxPC(31:1(OKeO))+H","0","0","1","7.31831111111111","7.61831111111111","9481","","OxPC(31:1(OKeO))+H"," 0.000000","0.000000"," 7.388845","7.31831111111111","7.61831111111111","9481","","OxPC(31:1(OKeO))+H","0","0","1","7.31831111111111","7.61831111111111","9481","","OxPC(31:1(OKeO))+H","     0.000","   0.000"," 246408.5000","7.31831111111111","7.61831111111111","9481","","OxPC(31:1(OKeO))+H","  0.0000","  0.0000","184.0735","7.31831111111111","7.61831111111111","9481","","OxPC(31:1(OKeO))+H","764.50731","581.44125","184.07332","7.31831111111111","7.61831111111111","9481"
"","OxPC(31:2(OOO))+H","0","0","1","7.31831111111111","7.61831111111111","9481","","OxPC(31:2(OOO))+H"," 0.000000","0.000000"," 7.388845","7.31831111111111","7.61831111111111","9481","","OxPC(31:2(OOO))+H","0","0","1","7.31831111111111","7.61831111111111","9481","","OxPC(31:2(OOO))+H","     0.000","   0.000"," 246408.5000","7.31831111111111","7.61831111111111","9481","","OxPC(31:2(OOO))+H","  0.0000","  0.0000","184.0735","7.31831111111111","7.61831111111111","9481","","OxPC(31:2(OOO))+H","764.50727","581.44121","184.07332","7.31831111111111","7.61831111111111","9481"
"","OxPC(32:0(KeO))+H","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(32:0(KeO))+H"," 7.867475","0.000000"," 7.867475","7.68959027777778","7.98959027777778","200","","OxPC(32:0(KeO))+H","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(32:0(KeO))+H","  4952.251","   0.000","  42281.0300","7.68959027777778","7.98959027777778","200","","OxPC(32:0(KeO))+H","764.5439","  0.0000","184.0735","7.68959027777778","7.98959027777778","200","","OxPC(32:0(KeO))+H","764.54366","581.4776","184.07332","7.68959027777778","7.98959027777778","200"
"","OxPC(32:1(OO))+H","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(32:1(OO))+H"," 7.867475","0.000000"," 7.867475","7.68959027777778","7.98959027777778","200","","OxPC(32:1(OO))+H","1","0","1","7.68959027777778","7.98959027777778","200","","OxPC(32:1(OO))+H","  4952.251","   0.000","  42281.0300","7.68959027777778","7.98959027777778","200","","OxPC(32:1(OO))+H","764.5439","  0.0000","184.0735","7.68959027777778","7.98959027777778","200","","OxPC(32:1(OO))+H","764.5437","581.47764","184.07332","7.68959027777778","7.98959027777778","200"
