"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(28:0)+H","1","0","1","4.68950454545455","4.98950454545455","1155","","PC(28:0)+H"," 4.868633"," 0.000000"," 4.868633","4.68950454545455","4.98950454545455","1155","","PC(28:0)+H","1","0","1","4.68950454545455","4.98950454545455","1155","","PC(28:0)+H","  122538.700","      0.0000","8.402779e+05","4.68950454545455","4.98950454545455","1155","","PC(28:0)+H","678.5090","  0.0000","184.0739","4.68950454545455","4.98950454545455","1155","","PC(28:0)+H","678.50684","495.4408","184.07332","4.68950454545455","4.98950454545455","1155"
"","PC(28:0)+H","1","0","1","4.69344722222222","4.99344722222222","12687","","PC(28:0)+H"," 4.868633"," 0.000000"," 4.868633","4.69344722222222","4.99344722222222","12687","","PC(28:0)+H","1","0","1","4.69344722222222","4.99344722222222","12687","","PC(28:0)+H","  122538.700","      0.0000","8.402779e+05","4.69344722222222","4.99344722222222","12687","","PC(28:0)+H","678.5090","  0.0000","184.0739","4.69344722222222","4.99344722222222","12687","","PC(28:0)+H","678.50684","495.4408","184.07332","4.69344722222222","4.99344722222222","12687"
"","PC(30:0)+H","1","1","1","6.02765","6.32765","188","","PC(30:0)+H"," 6.168828"," 6.163639"," 6.168828","6.02765","6.32765","188","","PC(30:0)+H","3","3","3","6.02765","6.32765","188","","PC(30:0)+H"," 1563772.000","   8754.0050","1.801653e+07","6.02765","6.32765","188","","PC(30:0)+H","706.5388","523.4733","184.0734","6.02765","6.32765","188","","PC(30:0)+H","706.53814","523.4721","184.07332","6.02765","6.32765","188"
"","PC(30:1)+H","1","1","1","4.889025","5.189025","340","","PC(30:1)+H"," 5.068664"," 5.068664"," 5.068664","4.889025","5.189025","340","","PC(30:1)+H","2","2","2","4.889025","5.189025","340","","PC(30:1)+H","  570787.000","   4017.5010","5.020189e+06","4.889025","5.189025","340","","PC(30:1)+H","704.5241","521.4573","184.0738","4.889025","5.189025","340","","PC(30:1)+H","704.52254","521.4565","184.07332","4.889025","5.189025","340"
"","PC(31:0)+H","1","0","1","8.64666527777777","8.94666527777777","95","","PC(31:0)+H"," 8.815608"," 0.000000"," 8.815608","8.64666527777777","8.94666527777777","95","","PC(31:0)+H","2","0","2","8.64666527777777","8.94666527777777","95","","PC(31:0)+H","   73318.200","      0.0000","2.420671e+04","8.64666527777777","8.94666527777777","95","","PC(31:0)+H","720.5545","  0.0000","184.0736","8.64666527777777","8.94666527777777","95","","PC(31:0)+H","720.55384","537.4878","184.07332","8.64666527777777","8.94666527777777","95"
"","PC(31:0)+H","1","1","1","6.63066666666667","6.93066666666667","518","","PC(31:0)+H"," 6.821414"," 6.821414"," 6.821414","6.63066666666667","6.93066666666667","518","","PC(31:0)+H","1","1","1","6.63066666666667","6.93066666666667","518","","PC(31:0)+H","  360136.400","   2813.2720","2.626446e+06","6.63066666666667","6.93066666666667","518","","PC(31:0)+H","720.5547","537.4888","184.0736","6.63066666666667","6.93066666666667","518","","PC(31:0)+H","720.55384","537.4878","184.07332","6.63066666666667","6.93066666666667","518"
"","PC(31:0)+H","1","0","1","6.43381527777778","6.73381527777778","1486","","PC(31:0)+H"," 6.581820"," 0.000000"," 6.581820","6.43381527777778","6.73381527777778","1486","","PC(31:0)+H","1","0","1","6.43381527777778","6.73381527777778","1486","","PC(31:0)+H","   89414.060","      0.0000","5.886568e+05","6.43381527777778","6.73381527777778","1486","","PC(31:0)+H","720.5549","  0.0000","184.0736","6.43381527777778","6.73381527777778","1486","","PC(31:0)+H","720.55384","537.4878","184.07332","6.43381527777778","6.73381527777778","1486"
"","PC(31:1)+H","1","0","1","7.62599583333333","7.92599583333333","802","","PC(31:1)+H"," 7.810819"," 0.000000"," 7.872663","7.62599583333333","7.92599583333333","802","","PC(31:1)+H","1","0","2","7.62599583333333","7.92599583333333","802","","PC(31:1)+H","    6364.684","      0.0000","6.397098e+06","7.62599583333333","7.92599583333333","802","","PC(31:1)+H","718.5387","  0.0000","184.0736","7.62599583333333","7.92599583333333","802","","PC(31:1)+H","718.53824","535.4722","184.07332","7.62599583333333","7.92599583333333","802"
"","PC(31:1)+H","1","0","1","5.51697222222222","5.81697222222222","1575","","PC(31:1)+H"," 5.717829"," 5.717829"," 5.717829","5.51697222222222","5.81697222222222","1575","","PC(31:1)+H","1","1","1","5.51697222222222","5.81697222222222","1575","","PC(31:1)+H","   54893.420","    882.8192","3.690372e+05","5.51697222222222","5.81697222222222","1575","","PC(31:1)+H","718.5396","535.4733","184.0737","5.51697222222222","5.81697222222222","1575","","PC(31:1)+H","718.53824","535.4722","184.07332","5.51697222222222","5.81697222222222","1575"
"","PC(31:2)+H","1","0","1","6.68251805555556","6.98251805555556","422","","PC(31:2)+H"," 6.856732"," 0.000000"," 6.856732","6.68251805555556","6.98251805555556","422","","PC(31:2)+H","1","0","1","6.68251805555556","6.98251805555556","422","","PC(31:2)+H","   20486.500","      0.0000","6.126628e+05","6.68251805555556","6.98251805555556","422","","PC(31:2)+H","716.5242","  0.0000","184.0737","6.68251805555556","6.98251805555556","422","","PC(31:2)+H","716.52254","533.4565","184.07332","6.68251805555556","6.98251805555556","422"
