"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Number of Scans","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Average m/z","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment"
"","PI(34:1)+NH4","0","1","6.52925277777778","6.82925277777778","664","","PI(34:1)+NH4","0","6.704037","6.52925277777778","6.82925277777778","664","","PI(34:1)+NH4","0","1","6.52925277777778","6.82925277777778","664","","PI(34:1)+NH4","0"," 1891032.0","6.52925277777778","6.82925277777778","664","","PI(34:1)+NH4","0","577.5201","6.52925277777778","6.82925277777778","664","","PI(34:1)+NH4","854.5754","577.5192","6.52925277777778","6.82925277777778","664"
"","PI(34:2)+NH4","0","1","5.58739722222222","5.88739722222222","594","","PI(34:2)+NH4","0","5.707451","5.58739722222222","5.88739722222222","594","","PI(34:2)+NH4","0","2","5.58739722222222","5.88739722222222","594","","PI(34:2)+NH4","0"," 1824054.0","5.58739722222222","5.88739722222222","594","","PI(34:2)+NH4","0","575.5050","5.58739722222222","5.88739722222222","594","","PI(34:2)+NH4","852.5597","575.5035","5.58739722222222","5.88739722222222","594"
"","PI(36:1)+NH4","0","1","7.667625","7.967625","677","","PI(36:1)+NH4","0","7.877853","7.667625","7.967625","677","","PI(36:1)+NH4","0","1","7.667625","7.967625","677","","PI(36:1)+NH4","0"," 1075948.0","7.667625","7.967625","677","","PI(36:1)+NH4","0","605.5512","7.667625","7.967625","677","","PI(36:1)+NH4","882.6067","605.5505","7.667625","7.967625","677"
"","PI(36:2)+NH4","0","1","6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4","0","6.948798","6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4","0","1","6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4","0"," 7306930.0","6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4","0","603.5352","6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4","880.591","603.5348","6.77950277777778","7.07950277777778","243"
"","PI(36:3)+NH4","0","1","5.670375","5.970375","1106","","PI(36:3)+NH4","0","5.817645","5.670375","5.970375","1106","","PI(36:3)+NH4","0","1","5.670375","5.970375","1106","","PI(36:3)+NH4","0"," 1248757.0","5.670375","5.970375","1106","","PI(36:3)+NH4","0","601.5206","5.670375","5.970375","1106","","PI(36:3)+NH4","878.5754","601.5192","5.670375","5.970375","1106"
"","PI(36:3)+NH4","0","1","5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4","0","6.036028","5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4","0","1","5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4","0","  644957.5","5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4","0","601.5203","5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4","878.5754","601.5192","5.86812222222222","6.16812222222222","1395"
"","PI(36:4)+NH4","0","1","5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","0","5.503373","5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","0","2","5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","0","  790471.4","5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","0","599.5045","5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","876.5597","599.5035","5.40977777777778","5.70977777777778","592"
"","PI(38:4)+NH4","0","1","6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","0","6.790980","6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","0","1","6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","0","12124060.0","6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","0","627.5349","6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","904.591","627.5348","6.61006388888889","6.91006388888889","123"
"","PI(38:5)+NH4","0","1","5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","0","5.681646","5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","0","1","5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","0","  537383.0","5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","0","625.5199","5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","902.5754","625.5192","5.66719861111111","5.96719861111111","1072"
"","PI(38:5)+NH4","0","1","5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","0","5.681646","5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","0","1","5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","0","  537383.0","5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","0","625.5199","5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","902.5754","625.5192","5.50178194444444","5.80178194444444","11283"
"","PI(38:6)+NH4","0","1","5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","0","5.241697","5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","0","1","5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","0","  859802.4","5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","0","623.5051","5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","900.5597","623.5035","5.05591944444444","5.35591944444444","1159"
