"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(30:1)+H","1","0","0","0","0","1","1","3.16513611111111","3.46513611111111","1278","","SM(30:1)+H"," 3.300935"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 3.300935"," 3.300935","3.16513611111111","3.46513611111111","1278","","SM(30:1)+H","1","0","0","0","0","1","1","3.16513611111111","3.46513611111111","1278","","SM(30:1)+H","   32817.63","      0.0000","      0.0","      0.0000","     0.0000","6.945126e+05","   5600.137","3.16513611111111","3.46513611111111","1278","","SM(30:1)+H","647.5131","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","86.09655","3.16513611111111","3.46513611111111","1278","","SM(30:1)+H","647.51227","464.44623","588.43873","464.44615","446.43557","184.07332","86.09648","3.16513611111111","3.46513611111111","1278"
"","SM(31:1)+H","1","0","0","0","0","1","1","3.82235277777778","4.12235277777778","1858","","SM(31:1)+H"," 3.964678"," 0.000000"," 0.000000"," 0.000000"," 3.964678"," 3.964678"," 3.964678","3.82235277777778","4.12235277777778","1858","","SM(31:1)+H","1","0","0","0","1","1","1","3.82235277777778","4.12235277777778","1858","","SM(31:1)+H","   24125.56","      0.0000","      0.0","      0.0000","   743.7418","4.767437e+05","   3903.545","3.82235277777778","4.12235277777778","1858","","SM(31:1)+H","661.5286","  0.0000","  0.0000","  0.0000","460.4518","184.0736","86.09654","3.82235277777778","4.12235277777778","1858","","SM(31:1)+H","661.52797","478.46193","602.45443","478.46185","460.45127","184.07332","86.09648","3.82235277777778","4.12235277777778","1858"
"","SM(32:0)+H","1","0","0","0","0","1","1","5.05521212121212","5.35521212121212","302","","SM(32:0)+H"," 5.167365"," 5.301676"," 0.000000"," 5.301676"," 0.000000"," 5.167365"," 5.167365","5.05521212121212","5.35521212121212","302","","SM(32:0)+H","2","1","0","1","0","2","2","5.05521212121212","5.35521212121212","302","","SM(32:0)+H","  220517.20","    937.0054","      0.0","    937.0054","     0.0000","3.852737e+06","  30538.710","5.05521212121212","5.35521212121212","302","","SM(32:0)+H","677.5613","494.4945","  0.0000","494.4945","  0.0000","184.0739","86.09671","5.05521212121212","5.35521212121212","302","","SM(32:0)+H","677.55917","494.49313","618.48563","494.49305","476.48247","184.07332","86.09648","5.05521212121212","5.35521212121212","302"
"","SM(32:0)+H","1","0","0","0","0","1","1","5.06377638888889","5.36377638888889","12650","","SM(32:0)+H"," 5.167365"," 5.301676"," 0.000000"," 5.301676"," 0.000000"," 5.167365"," 5.167365","5.06377638888889","5.36377638888889","12650","","SM(32:0)+H","2","1","0","1","0","2","2","5.06377638888889","5.36377638888889","12650","","SM(32:0)+H","  220517.20","    937.0054","      0.0","    937.0054","     0.0000","3.852737e+06","  30538.710","5.06377638888889","5.36377638888889","12650","","SM(32:0)+H","677.5613","494.4945","  0.0000","494.4945","  0.0000","184.0739","86.09671","5.06377638888889","5.36377638888889","12650","","SM(32:0)+H","677.55917","494.49313","618.48563","494.49305","476.48247","184.07332","86.09648","5.06377638888889","5.36377638888889","12650"
"","SM(32:1)+H","1","1","0","1","1","1","1","4.53772727272727","4.83772727272727","138","","SM(32:1)+H"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837"," 4.682837"," 4.682837","4.53772727272727","4.83772727272727","138","","SM(32:1)+H","3","1","0","1","1","3","3","4.53772727272727","4.83772727272727","138","","SM(32:1)+H","  744968.10","   1271.8310","      0.0","   1271.8310","  9799.3170","2.037493e+07"," 170543.400","4.53772727272727","4.83772727272727","138","","SM(32:1)+H","675.5447","492.4794","  0.0000","492.4794","474.4677","184.0736","86.09657","4.53772727272727","4.83772727272727","138","","SM(32:1)+H","675.54357","492.47753","616.47003","492.47745","474.46687","184.07332","86.09648","4.53772727272727","4.83772727272727","138"
"","SM(32:1)+H","1","0","0","0","1","1","1","4.87822638888889","5.17822638888889","387","","SM(32:1)+H"," 5.099429"," 5.099429"," 0.000000"," 5.099429"," 4.965143"," 5.099429"," 5.099429","4.87822638888889","5.17822638888889","387","","SM(32:1)+H","2","1","0","1","2","2","2","4.87822638888889","5.17822638888889","387","","SM(32:1)+H","  119735.60","    795.2728","      0.0","    795.2728","  1021.1870","2.658142e+06","  20907.610","4.87822638888889","5.17822638888889","387","","SM(32:1)+H","675.5455","492.4784","  0.0000","492.4784","474.4683","184.0738","86.09668","4.87822638888889","5.17822638888889","387","","SM(32:1)+H","675.54357","492.47753","616.47003","492.47745","474.46687","184.07332","86.09648","4.87822638888889","5.17822638888889","387"
"","SM(32:1)+H","1","1","0","1","1","1","1","4.53785138888889","4.83785138888889","12642","","SM(32:1)+H"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837"," 4.682837"," 4.682837","4.53785138888889","4.83785138888889","12642","","SM(32:1)+H","3","1","0","1","1","3","3","4.53785138888889","4.83785138888889","12642","","SM(32:1)+H","  744968.10","   1271.8310","      0.0","   1271.8310","  9799.3170","2.037493e+07"," 170543.400","4.53785138888889","4.83785138888889","12642","","SM(32:1)+H","675.5447","492.4794","  0.0000","492.4794","474.4677","184.0736","86.09657","4.53785138888889","4.83785138888889","12642","","SM(32:1)+H","675.54357","492.47753","616.47003","492.47745","474.46687","184.07332","86.09648","4.53785138888889","4.83785138888889","12642"
"","SM(32:2)+H","1","0","0","0","0","1","1","3.34072638888889","3.64072638888889","923","","SM(32:2)+H"," 3.435009"," 0.000000"," 0.000000"," 0.000000"," 3.435009"," 3.435009"," 3.435009","3.34072638888889","3.64072638888889","923","","SM(32:2)+H","2","0","0","0","1","2","2","3.34072638888889","3.64072638888889","923","","SM(32:2)+H","   40661.13","      0.0000","      0.0","      0.0000","   605.0038","8.871533e+05","   7254.018","3.34072638888889","3.64072638888889","923","","SM(32:2)+H","673.5286","  0.0000","  0.0000","  0.0000","472.4514","184.0735","86.09651","3.34072638888889","3.64072638888889","923","","SM(32:2)+H","673.52787","490.46183","614.45433","490.46175","472.45117","184.07332","86.09648","3.34072638888889","3.64072638888889","923"
"","SM(33:1)+H","1","1","0","1","1","1","1","5.27238055555555","5.57238055555555","136","","SM(33:1)+H"," 5.399017"," 5.399017"," 0.000000"," 5.399017"," 5.399017"," 5.399017"," 5.399017","5.27238055555555","5.57238055555555","136","","SM(33:1)+H","3","2","0","2","2","3","3","5.27238055555555","5.57238055555555","136","","SM(33:1)+H","  725645.10","   4697.9710","      0.0","   4697.9710"," 10777.9600","1.994369e+07"," 166718.200","5.27238055555555","5.57238055555555","136","","SM(33:1)+H","689.5608","506.4945","  0.0000","506.4945","488.4837","184.0737","86.09663","5.27238055555555","5.57238055555555","136","","SM(33:1)+H","689.55927","506.49323","630.48573","506.49315","488.48257","184.07332","86.09648","5.27238055555555","5.57238055555555","136"
"","SM(33:1)+H","1","0","0","0","1","1","1","5.01430606060606","5.31430606060606","483","","SM(33:1)+H"," 5.146398"," 0.000000"," 0.000000"," 0.000000"," 5.146398"," 5.146398"," 5.146398","5.01430606060606","5.31430606060606","483","","SM(33:1)+H","2","0","0","0","1","2","2","5.01430606060606","5.31430606060606","483","","SM(33:1)+H","  121263.20","      0.0000","      0.0","      0.0000","  1206.3310","2.743860e+06","  15883.480","5.01430606060606","5.31430606060606","483","","SM(33:1)+H","689.5612","  0.0000","  0.0000","  0.0000","488.4843","184.0738","86.09668","5.01430606060606","5.31430606060606","483","","SM(33:1)+H","689.55927","506.49323","630.48573","506.49315","488.48257","184.07332","86.09648","5.01430606060606","5.31430606060606","483"
"","SM(33:1)+H","1","0","0","0","1","1","1","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H"," 5.146398"," 0.000000"," 0.000000"," 0.000000"," 5.146398"," 5.146398"," 5.146398","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","2","0","0","0","1","2","2","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","  121263.20","      0.0000","      0.0","      0.0000","  1206.3310","2.743860e+06","  15883.480","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","689.5612","  0.0000","  0.0000","  0.0000","488.4843","184.0738","86.09668","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","689.55927","506.49323","630.48573","506.49315","488.48257","184.07332","86.09648","5.02984305555556","5.32984305555556","12660"
"","SM(33:2)+H","1","0","0","0","0","1","1","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H"," 4.237036"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 4.237036"," 4.237036","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","1","0","0","0","0","1","1","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","   17327.66","      0.0000","      0.0","      0.0000","     0.0000","4.094198e+05","   2751.760","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","687.5446","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","86.09654","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","687.54357","504.47753","628.47003","504.47745","486.46687","184.07332","86.09648","4.06225606060606","4.36225606060606","2175"
"","SM(33:2)+H","1","0","0","0","0","1","1","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H"," 4.237036"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 4.237036"," 4.237036","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","1","0","0","0","0","1","1","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","   17327.66","      0.0000","      0.0","      0.0000","     0.0000","4.094198e+05","   2751.760","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","687.5446","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","86.09654","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","687.54357","504.47753","628.47003","504.47745","486.46687","184.07332","86.09648","4.06957638888889","4.36957638888889","12757"
