Ac2PIM1,[M-H]-,M-sn1-H,M-sn2,M-C6H10O5,M-C12H20O10,M-C12H20O10-sn1,M-C12H20O10-sn2,sn1 FA,sn2 FA
Ac2PIM1(14:0_14:0)-H,915.5082323,687.2994323,687.2994323,753.4554123,591.4025923,363.1937923,363.1937923,227.20098,227.20098
Ac2PIM1(14:0_15:0)-H,929.5238824,701.3150824,687.2994424,767.4710624,605.4182424,377.2094424,363.1938024,227.20098,241.21662
Ac2PIM1(14:0_16:0)-H,943.5395324,715.3307324,687.2994524,781.4867124,619.4338924,391.2250924,363.1938124,227.20098,255.23226
Ac2PIM1(14:0_16:1)-H,941.5238824,713.3150824,687.2994424,779.4710624,617.4182424,389.2094424,363.1938024,227.20098,253.21662
Ac2PIM1(14:0_17:0)-H,957.5551825,729.3463825,687.2994625,795.5023625,633.4495425,405.2407425,363.1938225,227.20098,269.2479
Ac2PIM1(14:0_17:1)-H,955.5395324,727.3307324,687.2994524,793.4867124,631.4338924,403.2250924,363.1938124,227.20098,267.23226
Ac2PIM1(14:0_18:0)-H,971.5708326,743.3620326,687.2994726,809.5180126,647.4651926,419.2563926,363.1938326,227.20098,283.26354
Ac2PIM1(14:0_18:1)-H,969.5551825,741.3463825,687.2994625,807.5023625,645.4495425,417.2407425,363.1938225,227.20098,281.2479
Ac2PIM1(14:0_18:2)-H,967.5395324,739.3307324,687.2994524,805.4867124,643.4338924,415.2250924,363.1938124,227.20098,279.23226
Ac2PIM1(14:0_19:0)-H,985.5864826,757.3776826,687.2994826,823.5336626,661.4808426,433.2720426,363.1938426,227.20098,297.27918
Ac2PIM1(14:0_20:0)-H,999.6021327,771.3933327,687.2994927,837.5493127,675.4964927,447.2876927,363.1938527,227.20098,311.29482
Ac2PIM1(15:0_15:0)-H,943.5395324,701.3150924,701.3150924,781.4867124,619.4338924,377.2094524,377.2094524,241.21662,241.21662
Ac2PIM1(15:0_16:0)-H,957.5551825,715.3307425,701.3151025,795.5023625,633.4495425,391.2251025,377.2094625,241.21662,255.23226
Ac2PIM1(15:0_16:1)-H,955.5395324,713.3150924,701.3150924,793.4867124,631.4338924,389.2094524,377.2094524,241.21662,253.21662
Ac2PIM1(15:0_17:0)-H,971.5708326,729.3463926,701.3151126,809.5180126,647.4651926,405.2407526,377.2094726,241.21662,269.2479
Ac2PIM1(15:0_17:1)-H,969.5551825,727.3307425,701.3151025,807.5023625,645.4495425,403.2251025,377.2094625,241.21662,267.23226
Ac2PIM1(15:0_18:0)-H,985.5864826,743.3620426,701.3151226,823.5336626,661.4808426,419.2564026,377.2094826,241.21662,283.26354
Ac2PIM1(15:0_18:1)-H,983.5708326,741.3463926,701.3151126,821.5180126,659.4651926,417.2407526,377.2094726,241.21662,281.2479
Ac2PIM1(15:0_18:2)-H,981.5551825,739.3307425,701.3151025,819.5023625,657.4495425,415.2251025,377.2094625,241.21662,279.23226
Ac2PIM1(15:0_19:0)-H,999.6021327,757.3776927,701.3151327,837.5493127,675.4964927,433.2720527,377.2094927,241.21662,297.27918
Ac2PIM1(15:0_20:0)-H,1013.617783,771.3933427,701.3151427,851.5649627,689.5121427,447.2877027,377.2095027,241.21662,311.29482
Ac2PIM1(16:0_16:0)-H,971.5708326,715.3307526,715.3307526,809.5180126,647.4651926,391.2251126,391.2251126,255.23226,255.23226
Ac2PIM1(16:0_16:1)-H,969.5551825,713.3151025,715.3307425,807.5023625,645.4495425,389.2094625,391.2251025,255.23226,253.21662
Ac2PIM1(16:0_17:0)-H,985.5864826,729.3464026,715.3307626,823.5336626,661.4808426,405.2407626,391.2251226,255.23226,269.2479
Ac2PIM1(16:0_17:1)-H,983.5708326,727.3307526,715.3307526,821.5180126,659.4651926,403.2251126,391.2251126,255.23226,267.23226
Ac2PIM1(16:0_18:0)-H,999.6021327,743.3620527,715.3307727,837.5493127,675.4964927,419.2564127,391.2251327,255.23226,283.26354
Ac2PIM1(16:0_18:1)-H,997.5864826,741.3464026,715.3307626,835.5336626,673.4808426,417.2407626,391.2251226,255.23226,281.2479
Ac2PIM1(16:0_18:2)-H,995.5708326,739.3307526,715.3307526,833.5180126,671.4651926,415.2251126,391.2251126,255.23226,279.23226
Ac2PIM1(16:0_19:0)-H,1013.617783,757.3777027,715.3307827,851.5649627,689.5121427,433.2720627,391.2251427,255.23226,297.27918
Ac2PIM1(16:0_20:0)-H,1027.633433,771.3933528,715.3307928,865.5806128,703.5277928,447.2877128,391.2251528,255.23226,311.29482
Ac2PIM1(16:1_16:1)-H,967.5395324,713.3150924,713.3150924,805.4867124,643.4338924,389.2094524,389.2094524,253.21662,253.21662
Ac2PIM1(16:1_17:0)-H,983.5708326,729.3463926,713.3151126,821.5180126,659.4651926,405.2407526,389.2094726,253.21662,269.2479
Ac2PIM1(16:1_17:1)-H,981.5551825,727.3307425,713.3151025,819.5023625,657.4495425,403.2251025,389.2094625,253.21662,267.23226
Ac2PIM1(16:1_18:0)-H,997.5864826,743.3620426,713.3151226,835.5336626,673.4808426,419.2564026,389.2094826,253.21662,283.26354
Ac2PIM1(16:1_18:1)-H,995.5708326,741.3463926,713.3151126,833.5180126,671.4651926,417.2407526,389.2094726,253.21662,281.2479
Ac2PIM1(16:1_18:2)-H,993.5551825,739.3307425,713.3151025,831.5023625,669.4495425,415.2251025,389.2094625,253.21662,279.23226
Ac2PIM1(16:1_19:0)-H,1011.602133,757.3776927,713.3151327,849.5493127,687.4964927,433.2720527,389.2094927,253.21662,297.27918
Ac2PIM1(16:1_20:0)-H,1025.617783,771.3933427,713.3151427,863.5649627,701.5121427,447.2877027,389.2095027,253.21662,311.29482
Ac2PIM1(17:0_17:0)-H,999.6021327,729.3464127,729.3464127,837.5493127,675.4964927,405.2407727,405.2407727,269.2479,269.2479
Ac2PIM1(17:0_17:1)-H,997.5864826,727.3307626,729.3464026,835.5336626,673.4808426,403.2251226,405.2407626,269.2479,267.23226
Ac2PIM1(17:0_18:0)-H,1013.617783,743.3620627,729.3464227,851.5649627,689.5121427,419.2564227,405.2407827,269.2479,283.26354
Ac2PIM1(17:0_18:1)-H,1011.602133,741.3464127,729.3464127,849.5493127,687.4964927,417.2407727,405.2407727,269.2479,281.2479
Ac2PIM1(17:0_18:2)-H,1009.586483,739.3307626,729.3464026,847.5336626,685.4808426,415.2251226,405.2407626,269.2479,279.23226
Ac2PIM1(17:0_19:0)-H,1027.633433,757.3777128,729.3464328,865.5806128,703.5277928,433.2720728,405.2407928,269.2479,297.27918
Ac2PIM1(17:0_20:0)-H,1041.649083,771.3933629,729.3464429,879.5962629,717.5434429,447.2877229,405.2408029,269.2479,311.29482
Ac2PIM1(17:1_17:1)-H,995.5708326,727.3307526,727.3307526,833.5180126,671.4651926,403.2251126,403.2251126,267.23226,267.23226
Ac2PIM1(17:1_18:0)-H,1011.602133,743.3620527,727.3307727,849.5493127,687.4964927,419.2564127,403.2251327,267.23226,283.26354
Ac2PIM1(17:1_18:1)-H,1009.586483,741.3464026,727.3307626,847.5336626,685.4808426,417.2407626,403.2251226,267.23226,281.2479
Ac2PIM1(17:1_18:2)-H,1007.570833,739.3307526,727.3307526,845.5180126,683.4651926,415.2251126,403.2251126,267.23226,279.23226
Ac2PIM1(17:1_19:0)-H,1025.617783,757.3777027,727.3307827,863.5649627,701.5121427,433.2720627,403.2251427,267.23226,297.27918
Ac2PIM1(17:1_20:0)-H,1039.633433,771.3933528,727.3307928,877.5806128,715.5277928,447.2877128,403.2251528,267.23226,311.29482
Ac2PIM1(18:0_18:0)-H,1027.633433,743.3620728,743.3620728,865.5806128,703.5277928,419.2564328,419.2564328,283.26354,283.26354
Ac2PIM1(18:0_18:1)-H,1025.617783,741.3464227,743.3620627,863.5649627,701.5121427,417.2407827,419.2564227,283.26354,281.2479
Ac2PIM1(18:0_18:2)-H,1023.602133,739.3307727,743.3620527,861.5493127,699.4964927,415.2251327,419.2564127,283.26354,279.23226
Ac2PIM1(18:0_19:0)-H,1041.649083,757.3777229,743.3620829,879.5962629,717.5434429,433.2720829,419.2564429,283.26354,297.27918
Ac2PIM1(18:0_20:0)-H,1055.664733,771.3933729,743.3620929,893.6119129,731.5590929,447.2877329,419.2564529,283.26354,311.29482
Ac2PIM1(18:1_18:1)-H,1023.602133,741.3464127,741.3464127,861.5493127,699.4964927,417.2407727,417.2407727,281.2479,281.2479
Ac2PIM1(18:1_18:2)-H,1021.586483,739.3307626,741.3464026,859.5336626,697.4808426,415.2251226,417.2407626,281.2479,279.23226
Ac2PIM1(18:1_19:0)-H,1039.633433,757.3777128,741.3464328,877.5806128,715.5277928,433.2720728,417.2407928,281.2479,297.27918
Ac2PIM1(18:1_20:0)-H,1053.649083,771.3933629,741.3464429,891.5962629,729.5434429,447.2877229,417.2408029,281.2479,311.29482
Ac2PIM1(18:2_18:2)-H,1019.570833,739.3307526,739.3307526,857.5180126,695.4651926,415.2251126,415.2251126,279.23226,279.23226
Ac2PIM1(18:2_19:0)-H,1037.617783,757.3777027,739.3307827,875.5649627,713.5121427,433.2720627,415.2251427,279.23226,297.27918
Ac2PIM1(18:2_20:0)-H,1051.633433,771.3933528,739.3307928,889.5806128,727.5277928,447.2877128,415.2251528,279.23226,311.29482
Ac2PIM1(19:0_19:0)-H,1055.664733,757.3777329,757.3777329,893.6119129,731.5590929,433.2720929,433.2720929,297.27918,297.27918
Ac2PIM1(19:0_20:0)-H,1069.680383,771.393383,757.377743,907.627563,745.574743,447.287743,433.272103,297.27918,311.29482
Ac2PIM1(20:0_20:0)-H,1083.696033,771.3933931,771.3933931,921.6432131,759.5903931,447.2877531,447.2877531,311.29482,311.29482
Ac2PIM1(14:0_methyl-18:0)-H,985.5864826,757.3776826,687.2994826,823.5336626,661.4808426,433.2720426,363.1938426,227.20098,297.27918
Ac2PIM1(15:0_methyl-18:0)-H,999.6021327,757.3776927,701.3151327,837.5493127,675.4964927,433.2720527,377.2094927,241.21662,297.27918
Ac2PIM1(16:0_methyl-18:0)-H,1013.617783,757.3777027,715.3307827,851.5649627,689.5121427,433.2720627,391.2251427,255.23226,297.27918
Ac2PIM1(16:1_methyl-18:0)-H,1011.602133,757.3776927,713.3151327,849.5493127,687.4964927,433.2720527,389.2094927,253.21662,297.27918
Ac2PIM1(17:0_methyl-18:0)-H,1027.633433,757.3777128,729.3464328,865.5806128,703.5277928,433.2720728,405.2407928,269.2479,297.27918
Ac2PIM1(17:1_methyl-18:0)-H,1025.617783,757.3777027,727.3307827,863.5649627,701.5121427,433.2720627,403.2251427,267.23226,297.27918
Ac2PIM1(18:0_methyl-18:0)-H,1041.649083,757.3777229,743.3620829,879.5962629,717.5434429,433.2720829,419.2564429,283.26354,297.27918
Ac2PIM1(18:1_methyl-18:0)-H,1039.633433,757.3777128,741.3464328,877.5806128,715.5277928,433.2720728,417.2407928,281.2479,297.27918
Ac2PIM1(18:2_methyl-18:0)-H,1037.617783,757.3777027,739.3307827,875.5649627,713.5121427,433.2720627,415.2251427,279.23226,297.27918
Ac2PIM1(19:0_methyl-18:0)-H,1055.664733,757.3777329,757.3777329,893.6119129,731.5590929,433.2720929,433.2720929,297.27918,297.27918
Ac2PIM1(20:0_methyl-18:0)-H,1069.680383,757.377743,771.393383,907.627563,745.574743,433.272103,447.287743,311.29482,297.27918
Ac2PIM1(methyl-18:0_methyl-18:0)-H,1055.664733,757.3777329,757.3777329,893.6119129,731.5590929,433.2720929,433.2720929,297.27918,297.27918
