Ac4PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn4,M-sn1-sn2,M-sn3-sn4,M-sn1-sn2-C3H5O,M-sn3-sn4-C3H5O
Ac4PIM2(14:0_14:0_14:0_14:0)-H,1497.957787,1269.748987,1269.748987,1269.748987,1269.748987,1041.540187,1041.540187,985.5139766,985.5139766
Ac4PIM2(14:0_14:0_14:0_15:0)-H,1511.973437,1283.764637,1283.764637,1283.764637,1269.748997,1055.555837,1041.540197,999.5296267,985.5139867
Ac4PIM2(14:0_14:0_14:0_16:0)-H,1525.989087,1297.780287,1297.780287,1297.780287,1269.749007,1069.571487,1041.540207,1013.545277,985.5139968
Ac4PIM2(14:0_14:0_14:0_17:0)-H,1540.004737,1311.795937,1311.795937,1311.795937,1269.749017,1083.587137,1041.540217,1027.560927,985.5140068
Ac4PIM2(14:0_14:0_14:0_18:0)-H,1554.020387,1325.811587,1325.811587,1325.811587,1269.749027,1097.602787,1041.540227,1041.576577,985.5140169
Ac4PIM2(14:0_14:0_14:0_19:0)-H,1568.036037,1339.827237,1339.827237,1339.827237,1269.749037,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_14:0_20:0)-H,1582.051687,1353.842887,1353.842887,1353.842887,1269.749047,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_14:0_16:1)-H,1523.973437,1295.764637,1295.764637,1295.764637,1269.748997,1067.555837,1041.540197,1011.529627,985.5139867
Ac4PIM2(14:0_14:0_14:0_17:1)-H,1537.989087,1309.780287,1309.780287,1309.780287,1269.749007,1081.571487,1041.540207,1025.545277,985.5139968
Ac4PIM2(14:0_14:0_14:0_18:1)-H,1552.004737,1323.795937,1323.795937,1323.795937,1269.749017,1095.587137,1041.540217,1039.560927,985.5140068
Ac4PIM2(14:0_14:0_14:0_18:2)-H,1549.989087,1321.780287,1321.780287,1321.780287,1269.749007,1093.571487,1041.540207,1037.545277,985.5139968
Ac4PIM2(14:0_14:0_14:0_methyl-18:0)-H,1568.036037,1339.827237,1339.827237,1339.827237,1269.749037,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_15:0_14:0)-H,1511.973437,1283.764637,1283.764637,1269.748997,1283.764637,1055.555837,1041.540197,999.5296267,985.5139867
Ac4PIM2(14:0_14:0_15:0_15:0)-H,1525.989087,1297.780287,1297.780287,1283.764647,1283.764647,1069.571487,1041.540207,1013.545277,985.5139968
Ac4PIM2(14:0_14:0_15:0_16:0)-H,1540.004737,1311.795937,1311.795937,1297.780297,1283.764657,1083.587137,1041.540217,1027.560927,985.5140068
Ac4PIM2(14:0_14:0_15:0_17:0)-H,1554.020387,1325.811587,1325.811587,1311.795947,1283.764667,1097.602787,1041.540227,1041.576577,985.5140169
Ac4PIM2(14:0_14:0_15:0_18:0)-H,1568.036037,1339.827237,1339.827237,1325.811597,1283.764677,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_15:0_19:0)-H,1582.051687,1353.842887,1353.842887,1339.827247,1283.764687,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_15:0_20:0)-H,1596.067337,1367.858537,1367.858537,1353.842897,1283.764697,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_15:0_16:1)-H,1537.989087,1309.780287,1309.780287,1295.764647,1283.764647,1081.571487,1041.540207,1025.545277,985.5139968
Ac4PIM2(14:0_14:0_15:0_17:1)-H,1552.004737,1323.795937,1323.795937,1309.780297,1283.764657,1095.587137,1041.540217,1039.560927,985.5140068
Ac4PIM2(14:0_14:0_15:0_18:1)-H,1566.020387,1337.811587,1337.811587,1323.795947,1283.764667,1109.602787,1041.540227,1053.576577,985.5140169
Ac4PIM2(14:0_14:0_15:0_18:2)-H,1564.004737,1335.795937,1335.795937,1321.780297,1283.764657,1107.587137,1041.540217,1051.560927,985.5140068
Ac4PIM2(14:0_14:0_15:0_methyl-18:0)-H,1582.051687,1353.842887,1353.842887,1339.827247,1283.764687,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_16:0_14:0)-H,1525.989087,1297.780287,1297.780287,1269.749007,1297.780287,1069.571487,1041.540207,1013.545277,985.5139968
Ac4PIM2(14:0_14:0_16:0_15:0)-H,1540.004737,1311.795937,1311.795937,1283.764657,1297.780297,1083.587137,1041.540217,1027.560927,985.5140068
Ac4PIM2(14:0_14:0_16:0_16:0)-H,1554.020387,1325.811587,1325.811587,1297.780307,1297.780307,1097.602787,1041.540227,1041.576577,985.5140169
Ac4PIM2(14:0_14:0_16:0_17:0)-H,1568.036037,1339.827237,1339.827237,1311.795957,1297.780317,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_16:0_18:0)-H,1582.051687,1353.842887,1353.842887,1325.811607,1297.780327,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_16:0_19:0)-H,1596.067337,1367.858537,1367.858537,1339.827257,1297.780337,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_16:0_20:0)-H,1610.082987,1381.874187,1381.874187,1353.842907,1297.780347,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_16:0_16:1)-H,1552.004737,1323.795937,1323.795937,1295.764657,1297.780297,1095.587137,1041.540217,1039.560927,985.5140068
Ac4PIM2(14:0_14:0_16:0_17:1)-H,1566.020387,1337.811587,1337.811587,1309.780307,1297.780307,1109.602787,1041.540227,1053.576577,985.5140169
Ac4PIM2(14:0_14:0_16:0_18:1)-H,1580.036037,1351.827237,1351.827237,1323.795957,1297.780317,1123.618437,1041.540237,1067.592227,985.514027
Ac4PIM2(14:0_14:0_16:0_18:2)-H,1578.020387,1349.811587,1349.811587,1321.780307,1297.780307,1121.602787,1041.540227,1065.576577,985.5140169
Ac4PIM2(14:0_14:0_16:0_methyl-18:0)-H,1596.067337,1367.858537,1367.858537,1339.827257,1297.780337,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_17:0_14:0)-H,1540.004737,1311.795937,1311.795937,1269.749017,1311.795937,1083.587137,1041.540217,1027.560927,985.5140068
Ac4PIM2(14:0_14:0_17:0_15:0)-H,1554.020387,1325.811587,1325.811587,1283.764667,1311.795947,1097.602787,1041.540227,1041.576577,985.5140169
Ac4PIM2(14:0_14:0_17:0_16:0)-H,1568.036037,1339.827237,1339.827237,1297.780317,1311.795957,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_17:0_17:0)-H,1582.051687,1353.842887,1353.842887,1311.795967,1311.795967,1125.634087,1041.540247,1069.607877,985.514037
