AcylGlcADG,[M+NH4]+,[M-SN3-C6H10O7+H]+,[C6H6O67+SN3+H]+,[SN2+C3H4O2+H]+,[SN1+C3H4O2+H]+,[SN3-H]+
AcylGlcADG(12:0_12:0_12:0)+NH4,832.615,439.3782,359.2064,257.2112,257.2112,183.1754
AcylGlcADG(12:0_12:0_14:0)+NH4,860.6463,439.3782,387.2377,257.2112,257.2112,211.2067
AcylGlcADG(12:0_12:0_14:1)+NH4,858.6307,439.3782,385.2221,257.2112,257.2112,209.1911
AcylGlcADG(12:0_12:0_16:0)+NH4,888.6776,439.3782,415.269,257.2112,257.2112,239.238
AcylGlcADG(12:0_12:0_16:1)+NH4,886.6619,439.3782,413.2534,257.2112,257.2112,237.2224
AcylGlcADG(12:0_12:0_16:2)+NH4,884.6463,439.3782,411.2377,257.2112,257.2112,235.2067
AcylGlcADG(12:0_12:0_16:3)+NH4,882.6307,439.3782,409.2221,257.2112,257.2112,233.1911
AcylGlcADG(12:0_12:0_16:4)+NH4,880.615,439.3782,407.2064,257.2112,257.2112,231.1754
AcylGlcADG(12:0_12:0_18:0)+NH4,916.7089,439.3782,443.3003,257.2112,257.2112,267.2693
AcylGlcADG(12:0_12:0_18:1)+NH4,914.6932,439.3782,441.2847,257.2112,257.2112,265.2537
AcylGlcADG(12:0_12:0_18:2)+NH4,912.6776,439.3782,439.269,257.2112,257.2112,263.238
AcylGlcADG(12:0_12:0_18:3)+NH4,910.6619,439.3782,437.2534,257.2112,257.2112,261.2224
AcylGlcADG(12:0_12:0_18:4)+NH4,908.6463,439.3782,435.2377,257.2112,257.2112,259.2067
AcylGlcADG(12:0_12:0_18:5)+NH4,906.6307,439.3782,433.2221,257.2112,257.2112,257.1911
AcylGlcADG(12:0_12:0_20:0)+NH4,944.7402,439.3782,471.3316,257.2112,257.2112,295.3006
AcylGlcADG(12:0_12:0_20:1)+NH4,942.7245,439.3782,469.316,257.2112,257.2112,293.285
AcylGlcADG(12:0_12:0_20:2)+NH4,940.7089,439.3782,467.3003,257.2112,257.2112,291.2693
AcylGlcADG(12:0_12:0_20:3)+NH4,938.6932,439.3782,465.2847,257.2112,257.2112,289.2537
AcylGlcADG(12:0_12:0_20:4)+NH4,936.6776,439.3782,463.269,257.2112,257.2112,287.238
AcylGlcADG(12:0_12:0_20:5)+NH4,934.6619,439.3782,461.2534,257.2112,257.2112,285.2224
AcylGlcADG(12:0_12:0_22:0)+NH4,972.7715,439.3782,499.3629,257.2112,257.2112,323.3319
AcylGlcADG(12:0_12:0_22:1)+NH4,970.7559,439.3782,497.3473,257.2112,257.2112,321.3163
AcylGlcADG(12:0_12:0_22:2)+NH4,968.7402,439.3782,495.3316,257.2112,257.2112,319.3006
AcylGlcADG(12:0_12:0_22:3)+NH4,966.7245,439.3782,493.316,257.2112,257.2112,317.285
AcylGlcADG(12:0_12:0_22:4)+NH4,964.7089,439.3782,491.3003,257.2112,257.2112,315.2693
AcylGlcADG(12:0_12:0_22:5)+NH4,962.6932,439.3782,489.2847,257.2112,257.2112,313.2537
AcylGlcADG(12:0_12:0_22:6)+NH4,960.6776,439.3782,487.269,257.2112,257.2112,311.238
AcylGlcADG(12:0_14:0_12:0)+NH4,860.6463,467.4095,359.2064,285.2424,257.2112,183.1754
AcylGlcADG(12:0_14:0_14:0)+NH4,888.6776,467.4095,387.2377,285.2424,257.2112,211.2067
AcylGlcADG(12:0_14:0_14:1)+NH4,886.6619,467.4095,385.2221,285.2424,257.2112,209.1911
AcylGlcADG(12:0_14:0_16:0)+NH4,916.7089,467.4095,415.269,285.2424,257.2112,239.238
AcylGlcADG(12:0_14:0_16:1)+NH4,914.6932,467.4095,413.2534,285.2424,257.2112,237.2224
AcylGlcADG(12:0_14:0_16:2)+NH4,912.6776,467.4095,411.2377,285.2424,257.2112,235.2067
AcylGlcADG(12:0_14:0_16:3)+NH4,910.6619,467.4095,409.2221,285.2424,257.2112,233.1911
AcylGlcADG(12:0_14:0_16:4)+NH4,908.6463,467.4095,407.2064,285.2424,257.2112,231.1754
AcylGlcADG(12:0_14:0_18:0)+NH4,944.7402,467.4095,443.3003,285.2424,257.2112,267.2693
AcylGlcADG(12:0_14:0_18:1)+NH4,942.7245,467.4095,441.2847,285.2424,257.2112,265.2537
AcylGlcADG(12:0_14:0_18:2)+NH4,940.7089,467.4095,439.269,285.2424,257.2112,263.238
AcylGlcADG(12:0_14:0_18:3)+NH4,938.6932,467.4095,437.2534,285.2424,257.2112,261.2224
AcylGlcADG(12:0_14:0_18:4)+NH4,936.6776,467.4095,435.2377,285.2424,257.2112,259.2067
AcylGlcADG(12:0_14:0_18:5)+NH4,934.6619,467.4095,433.2221,285.2424,257.2112,257.1911
AcylGlcADG(12:0_14:0_20:0)+NH4,972.7715,467.4095,471.3316,285.2424,257.2112,295.3006
AcylGlcADG(12:0_14:0_20:1)+NH4,970.7559,467.4095,469.316,285.2424,257.2112,293.285
AcylGlcADG(12:0_14:0_20:2)+NH4,968.7402,467.4095,467.3003,285.2424,257.2112,291.2693
AcylGlcADG(12:0_14:0_20:3)+NH4,966.7245,467.4095,465.2847,285.2424,257.2112,289.2537
AcylGlcADG(12:0_14:0_20:4)+NH4,964.7089,467.4095,463.269,285.2424,257.2112,287.238
AcylGlcADG(12:0_14:0_20:5)+NH4,962.6932,467.4095,461.2534,285.2424,257.2112,285.2224
AcylGlcADG(12:0_14:0_22:0)+NH4,1000.803,467.4095,499.3629,285.2424,257.2112,323.3319
AcylGlcADG(12:0_14:0_22:1)+NH4,998.7872,467.4095,497.3473,285.2424,257.2112,321.3163
AcylGlcADG(12:0_14:0_22:2)+NH4,996.7715,467.4095,495.3316,285.2424,257.2112,319.3006
AcylGlcADG(12:0_14:0_22:3)+NH4,994.7559,467.4095,493.316,285.2424,257.2112,317.285
AcylGlcADG(12:0_14:0_22:4)+NH4,992.7402,467.4095,491.3003,285.2424,257.2112,315.2693
AcylGlcADG(12:0_14:0_22:5)+NH4,990.7245,467.4095,489.2847,285.2424,257.2112,313.2537
AcylGlcADG(12:0_14:0_22:6)+NH4,988.7089,467.4095,487.269,285.2424,257.2112,311.238
AcylGlcADG(12:0_14:1_12:0)+NH4,858.6307,465.3938,359.2064,283.2268,257.2112,183.1754
AcylGlcADG(12:0_14:1_14:0)+NH4,886.6619,465.3938,387.2377,283.2268,257.2112,211.2067
AcylGlcADG(12:0_14:1_14:1)+NH4,884.6463,465.3938,385.2221,283.2268,257.2112,209.1911
AcylGlcADG(12:0_14:1_16:0)+NH4,914.6932,465.3938,415.269,283.2268,257.2112,239.238
AcylGlcADG(12:0_14:1_16:1)+NH4,912.6776,465.3938,413.2534,283.2268,257.2112,237.2224
AcylGlcADG(12:0_14:1_16:2)+NH4,910.6619,465.3938,411.2377,283.2268,257.2112,235.2067
AcylGlcADG(12:0_14:1_16:3)+NH4,908.6463,465.3938,409.2221,283.2268,257.2112,233.1911
AcylGlcADG(12:0_14:1_16:4)+NH4,906.6307,465.3938,407.2064,283.2268,257.2112,231.1754
AcylGlcADG(12:0_14:1_18:0)+NH4,942.7245,465.3938,443.3003,283.2268,257.2112,267.2693
AcylGlcADG(12:0_14:1_18:1)+NH4,940.7089,465.3938,441.2847,283.2268,257.2112,265.2537
AcylGlcADG(12:0_14:1_18:2)+NH4,938.6932,465.3938,439.269,283.2268,257.2112,263.238
AcylGlcADG(12:0_14:1_18:3)+NH4,936.6776,465.3938,437.2534,283.2268,257.2112,261.2224
AcylGlcADG(12:0_14:1_18:4)+NH4,934.6619,465.3938,435.2377,283.2268,257.2112,259.2067
AcylGlcADG(12:0_14:1_18:5)+NH4,932.6463,465.3938,433.2221,283.2268,257.2112,257.1911
AcylGlcADG(12:0_14:1_20:0)+NH4,970.7559,465.3938,471.3316,283.2268,257.2112,295.3006
AcylGlcADG(12:0_14:1_20:1)+NH4,968.7402,465.3938,469.316,283.2268,257.2112,293.285
AcylGlcADG(12:0_14:1_20:2)+NH4,966.7245,465.3938,467.3003,283.2268,257.2112,291.2693
AcylGlcADG(12:0_14:1_20:3)+NH4,964.7089,465.3938,465.2847,283.2268,257.2112,289.2537
AcylGlcADG(12:0_14:1_20:4)+NH4,962.6932,465.3938,463.269,283.2268,257.2112,287.238
AcylGlcADG(12:0_14:1_20:5)+NH4,960.6776,465.3938,461.2534,283.2268,257.2112,285.2224
AcylGlcADG(12:0_14:1_22:0)+NH4,998.7872,465.3938,499.3629,283.2268,257.2112,323.3319
AcylGlcADG(12:0_14:1_22:1)+NH4,996.7715,465.3938,497.3473,283.2268,257.2112,321.3163
AcylGlcADG(12:0_14:1_22:2)+NH4,994.7559,465.3938,495.3316,283.2268,257.2112,319.3006
AcylGlcADG(12:0_14:1_22:3)+NH4,992.7402,465.3938,493.316,283.2268,257.2112,317.285
AcylGlcADG(12:0_14:1_22:4)+NH4,990.7245,465.3938,491.3003,283.2268,257.2112,315.2693
AcylGlcADG(12:0_14:1_22:5)+NH4,988.7089,465.3938,489.2847,283.2268,257.2112,313.2537
AcylGlcADG(12:0_14:1_22:6)+NH4,986.6932,465.3938,487.269,283.2268,257.2112,311.238
AcylGlcADG(12:0_16:0_12:0)+NH4,888.6776,495.4408,359.2064,313.2737,257.2112,183.1754
AcylGlcADG(12:0_16:0_14:0)+NH4,916.7089,495.4408,387.2377,313.2737,257.2112,211.2067
AcylGlcADG(12:0_16:0_14:1)+NH4,914.6932,495.4408,385.2221,313.2737,257.2112,209.1911
AcylGlcADG(12:0_16:0_16:0)+NH4,944.7402,495.4408,415.269,313.2737,257.2112,239.238
AcylGlcADG(12:0_16:0_16:1)+NH4,942.7245,495.4408,413.2534,313.2737,257.2112,237.2224
AcylGlcADG(12:0_16:0_16:2)+NH4,940.7089,495.4408,411.2377,313.2737,257.2112,235.2067
AcylGlcADG(12:0_16:0_16:3)+NH4,938.6932,495.4408,409.2221,313.2737,257.2112,233.1911
AcylGlcADG(12:0_16:0_16:4)+NH4,936.6776,495.4408,407.2064,313.2737,257.2112,231.1754
AcylGlcADG(12:0_16:0_18:0)+NH4,972.7715,495.4408,443.3003,313.2737,257.2112,267.2693
AcylGlcADG(12:0_16:0_18:1)+NH4,970.7559,495.4408,441.2847,313.2737,257.2112,265.2537
AcylGlcADG(12:0_16:0_18:2)+NH4,968.7402,495.4408,439.269,313.2737,257.2112,263.238
AcylGlcADG(12:0_16:0_18:3)+NH4,966.7245,495.4408,437.2534,313.2737,257.2112,261.2224
AcylGlcADG(12:0_16:0_18:4)+NH4,964.7089,495.4408,435.2377,313.2737,257.2112,259.2067
AcylGlcADG(12:0_16:0_18:5)+NH4,962.6932,495.4408,433.2221,313.2737,257.2112,257.1911
AcylGlcADG(12:0_16:0_20:0)+NH4,1000.803,495.4408,471.3316,313.2737,257.2112,295.3006
AcylGlcADG(12:0_16:0_20:1)+NH4,998.7872,495.4408,469.316,313.2737,257.2112,293.285
AcylGlcADG(12:0_16:0_20:2)+NH4,996.7715,495.4408,467.3003,313.2737,257.2112,291.2693
AcylGlcADG(12:0_16:0_20:3)+NH4,994.7559,495.4408,465.2847,313.2737,257.2112,289.2537
AcylGlcADG(12:0_16:0_20:4)+NH4,992.7402,495.4408,463.269,313.2737,257.2112,287.238
AcylGlcADG(12:0_16:0_20:5)+NH4,990.7245,495.4408,461.2534,313.2737,257.2112,285.2224
AcylGlcADG(12:0_16:0_22:0)+NH4,1028.834,495.4408,499.3629,313.2737,257.2112,323.3319
AcylGlcADG(12:0_16:0_22:1)+NH4,1026.818,495.4408,497.3473,313.2737,257.2112,321.3163
AcylGlcADG(12:0_16:0_22:2)+NH4,1024.803,495.4408,495.3316,313.2737,257.2112,319.3006
AcylGlcADG(12:0_16:0_22:3)+NH4,1022.787,495.4408,493.316,313.2737,257.2112,317.285
AcylGlcADG(12:0_16:0_22:4)+NH4,1020.771,495.4408,491.3003,313.2737,257.2112,315.2693
AcylGlcADG(12:0_16:0_22:5)+NH4,1018.756,495.4408,489.2847,313.2737,257.2112,313.2537
AcylGlcADG(12:0_16:0_22:6)+NH4,1016.74,495.4408,487.269,313.2737,257.2112,311.238
AcylGlcADG(12:0_16:1_12:0)+NH4,886.6619,493.4251,359.2064,311.2581,257.2112,183.1754
AcylGlcADG(12:0_16:1_14:0)+NH4,914.6932,493.4251,387.2377,311.2581,257.2112,211.2067
AcylGlcADG(12:0_16:1_14:1)+NH4,912.6776,493.4251,385.2221,311.2581,257.2112,209.1911
AcylGlcADG(12:0_16:1_16:0)+NH4,942.7245,493.4251,415.269,311.2581,257.2112,239.238
AcylGlcADG(12:0_16:1_16:1)+NH4,940.7089,493.4251,413.2534,311.2581,257.2112,237.2224
AcylGlcADG(12:0_16:1_16:2)+NH4,938.6932,493.4251,411.2377,311.2581,257.2112,235.2067
AcylGlcADG(12:0_16:1_16:3)+NH4,936.6776,493.4251,409.2221,311.2581,257.2112,233.1911
AcylGlcADG(12:0_16:1_16:4)+NH4,934.6619,493.4251,407.2064,311.2581,257.2112,231.1754
AcylGlcADG(12:0_16:1_18:0)+NH4,970.7559,493.4251,443.3003,311.2581,257.2112,267.2693
AcylGlcADG(12:0_16:1_18:1)+NH4,968.7402,493.4251,441.2847,311.2581,257.2112,265.2537
AcylGlcADG(12:0_16:1_18:2)+NH4,966.7245,493.4251,439.269,311.2581,257.2112,263.238
AcylGlcADG(12:0_16:1_18:3)+NH4,964.7089,493.4251,437.2534,311.2581,257.2112,261.2224
AcylGlcADG(12:0_16:1_18:4)+NH4,962.6932,493.4251,435.2377,311.2581,257.2112,259.2067
AcylGlcADG(12:0_16:1_18:5)+NH4,960.6776,493.4251,433.2221,311.2581,257.2112,257.1911
AcylGlcADG(12:0_16:1_20:0)+NH4,998.7872,493.4251,471.3316,311.2581,257.2112,295.3006
AcylGlcADG(12:0_16:1_20:1)+NH4,996.7715,493.4251,469.316,311.2581,257.2112,293.285
AcylGlcADG(12:0_16:1_20:2)+NH4,994.7559,493.4251,467.3003,311.2581,257.2112,291.2693
AcylGlcADG(12:0_16:1_20:3)+NH4,992.7402,493.4251,465.2847,311.2581,257.2112,289.2537
AcylGlcADG(12:0_16:1_20:4)+NH4,990.7245,493.4251,463.269,311.2581,257.2112,287.238
AcylGlcADG(12:0_16:1_20:5)+NH4,988.7089,493.4251,461.2534,311.2581,257.2112,285.2224
AcylGlcADG(12:0_16:1_22:0)+NH4,1026.818,493.4251,499.3629,311.2581,257.2112,323.3319
AcylGlcADG(12:0_16:1_22:1)+NH4,1024.803,493.4251,497.3473,311.2581,257.2112,321.3163
AcylGlcADG(12:0_16:1_22:2)+NH4,1022.787,493.4251,495.3316,311.2581,257.2112,319.3006
AcylGlcADG(12:0_16:1_22:3)+NH4,1020.771,493.4251,493.316,311.2581,257.2112,317.285
AcylGlcADG(12:0_16:1_22:4)+NH4,1018.756,493.4251,491.3003,311.2581,257.2112,315.2693
AcylGlcADG(12:0_16:1_22:5)+NH4,1016.74,493.4251,489.2847,311.2581,257.2112,313.2537
AcylGlcADG(12:0_16:1_22:6)+NH4,1014.725,493.4251,487.269,311.2581,257.2112,311.238
AcylGlcADG(12:0_16:2_12:0)+NH4,884.6463,491.4095,359.2064,309.2424,257.2112,183.1754
AcylGlcADG(12:0_16:2_14:0)+NH4,912.6776,491.4095,387.2377,309.2424,257.2112,211.2067
AcylGlcADG(12:0_16:2_14:1)+NH4,910.6619,491.4095,385.2221,309.2424,257.2112,209.1911
AcylGlcADG(12:0_16:2_16:0)+NH4,940.7089,491.4095,415.269,309.2424,257.2112,239.238
AcylGlcADG(12:0_16:2_16:1)+NH4,938.6932,491.4095,413.2534,309.2424,257.2112,237.2224
AcylGlcADG(12:0_16:2_16:2)+NH4,936.6776,491.4095,411.2377,309.2424,257.2112,235.2067
AcylGlcADG(12:0_16:2_16:3)+NH4,934.6619,491.4095,409.2221,309.2424,257.2112,233.1911
AcylGlcADG(12:0_16:2_16:4)+NH4,932.6463,491.4095,407.2064,309.2424,257.2112,231.1754
AcylGlcADG(12:0_16:2_18:0)+NH4,968.7402,491.4095,443.3003,309.2424,257.2112,267.2693
AcylGlcADG(12:0_16:2_18:1)+NH4,966.7245,491.4095,441.2847,309.2424,257.2112,265.2537
AcylGlcADG(12:0_16:2_18:2)+NH4,964.7089,491.4095,439.269,309.2424,257.2112,263.238
AcylGlcADG(12:0_16:2_18:3)+NH4,962.6932,491.4095,437.2534,309.2424,257.2112,261.2224
AcylGlcADG(12:0_16:2_18:4)+NH4,960.6776,491.4095,435.2377,309.2424,257.2112,259.2067
AcylGlcADG(12:0_16:2_18:5)+NH4,958.6619,491.4095,433.2221,309.2424,257.2112,257.1911
AcylGlcADG(12:0_16:2_20:0)+NH4,996.7715,491.4095,471.3316,309.2424,257.2112,295.3006
AcylGlcADG(12:0_16:2_20:1)+NH4,994.7559,491.4095,469.316,309.2424,257.2112,293.285
AcylGlcADG(12:0_16:2_20:2)+NH4,992.7402,491.4095,467.3003,309.2424,257.2112,291.2693
AcylGlcADG(12:0_16:2_20:3)+NH4,990.7245,491.4095,465.2847,309.2424,257.2112,289.2537
AcylGlcADG(12:0_16:2_20:4)+NH4,988.7089,491.4095,463.269,309.2424,257.2112,287.238
AcylGlcADG(12:0_16:2_20:5)+NH4,986.6932,491.4095,461.2534,309.2424,257.2112,285.2224
AcylGlcADG(12:0_16:2_22:0)+NH4,1024.803,491.4095,499.3629,309.2424,257.2112,323.3319
AcylGlcADG(12:0_16:2_22:1)+NH4,1022.787,491.4095,497.3473,309.2424,257.2112,321.3163
AcylGlcADG(12:0_16:2_22:2)+NH4,1020.771,491.4095,495.3316,309.2424,257.2112,319.3006
AcylGlcADG(12:0_16:2_22:3)+NH4,1018.756,491.4095,493.316,309.2424,257.2112,317.285
AcylGlcADG(12:0_16:2_22:4)+NH4,1016.74,491.4095,491.3003,309.2424,257.2112,315.2693
AcylGlcADG(12:0_16:2_22:5)+NH4,1014.725,491.4095,489.2847,309.2424,257.2112,313.2537
AcylGlcADG(12:0_16:2_22:6)+NH4,1012.709,491.4095,487.269,309.2424,257.2112,311.238
AcylGlcADG(12:0_16:3_12:0)+NH4,882.6307,489.3938,359.2064,307.2268,257.2112,183.1754
AcylGlcADG(12:0_16:3_14:0)+NH4,910.6619,489.3938,387.2377,307.2268,257.2112,211.2067
AcylGlcADG(12:0_16:3_14:1)+NH4,908.6463,489.3938,385.2221,307.2268,257.2112,209.1911
AcylGlcADG(12:0_16:3_16:0)+NH4,938.6932,489.3938,415.269,307.2268,257.2112,239.238
AcylGlcADG(12:0_16:3_16:1)+NH4,936.6776,489.3938,413.2534,307.2268,257.2112,237.2224
AcylGlcADG(12:0_16:3_16:2)+NH4,934.6619,489.3938,411.2377,307.2268,257.2112,235.2067
AcylGlcADG(12:0_16:3_16:3)+NH4,932.6463,489.3938,409.2221,307.2268,257.2112,233.1911
AcylGlcADG(12:0_16:3_16:4)+NH4,930.6307,489.3938,407.2064,307.2268,257.2112,231.1754
AcylGlcADG(12:0_16:3_18:0)+NH4,966.7245,489.3938,443.3003,307.2268,257.2112,267.2693
AcylGlcADG(12:0_16:3_18:1)+NH4,964.7089,489.3938,441.2847,307.2268,257.2112,265.2537
AcylGlcADG(12:0_16:3_18:2)+NH4,962.6932,489.3938,439.269,307.2268,257.2112,263.238
AcylGlcADG(12:0_16:3_18:3)+NH4,960.6776,489.3938,437.2534,307.2268,257.2112,261.2224
AcylGlcADG(12:0_16:3_18:4)+NH4,958.6619,489.3938,435.2377,307.2268,257.2112,259.2067
AcylGlcADG(12:0_16:3_18:5)+NH4,956.6463,489.3938,433.2221,307.2268,257.2112,257.1911
AcylGlcADG(12:0_16:3_20:0)+NH4,994.7559,489.3938,471.3316,307.2268,257.2112,295.3006
AcylGlcADG(12:0_16:3_20:1)+NH4,992.7402,489.3938,469.316,307.2268,257.2112,293.285
AcylGlcADG(12:0_16:3_20:2)+NH4,990.7245,489.3938,467.3003,307.2268,257.2112,291.2693
AcylGlcADG(12:0_16:3_20:3)+NH4,988.7089,489.3938,465.2847,307.2268,257.2112,289.2537
AcylGlcADG(12:0_16:3_20:4)+NH4,986.6932,489.3938,463.269,307.2268,257.2112,287.238
AcylGlcADG(12:0_16:3_20:5)+NH4,984.6776,489.3938,461.2534,307.2268,257.2112,285.2224
AcylGlcADG(12:0_16:3_22:0)+NH4,1022.787,489.3938,499.3629,307.2268,257.2112,323.3319
AcylGlcADG(12:0_16:3_22:1)+NH4,1020.771,489.3938,497.3473,307.2268,257.2112,321.3163
AcylGlcADG(12:0_16:3_22:2)+NH4,1018.756,489.3938,495.3316,307.2268,257.2112,319.3006
AcylGlcADG(12:0_16:3_22:3)+NH4,1016.74,489.3938,493.316,307.2268,257.2112,317.285
AcylGlcADG(12:0_16:3_22:4)+NH4,1014.725,489.3938,491.3003,307.2268,257.2112,315.2693
AcylGlcADG(12:0_16:3_22:5)+NH4,1012.709,489.3938,489.2847,307.2268,257.2112,313.2537
