AcylGlcADG,[M-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
AcylGlcADG(12:0_12:0_12:0)-H,813.5734,199.1704,199.1704,199.1704
AcylGlcADG(12:0_12:0_14:0)-H,841.6047,199.1704,227.2017,199.1704
AcylGlcADG(12:0_12:0_14:1)-H,839.589,199.1704,225.186,199.1704
AcylGlcADG(12:0_12:0_16:0)-H,869.6359,199.1704,255.233,199.1704
AcylGlcADG(12:0_12:0_16:1)-H,867.6203,199.1704,253.2173,199.1704
AcylGlcADG(12:0_12:0_16:2)-H,865.6047,199.1704,251.2017,199.1704
AcylGlcADG(12:0_12:0_16:3)-H,863.589,199.1704,249.186,199.1704
AcylGlcADG(12:0_12:0_16:4)-H,861.5734,199.1704,247.1704,199.1704
AcylGlcADG(12:0_12:0_18:0)-H,897.6672,199.1704,283.2643,199.1704
AcylGlcADG(12:0_12:0_18:1)-H,895.6516,199.1704,281.2486,199.1704
AcylGlcADG(12:0_12:0_18:2)-H,893.6359,199.1704,279.233,199.1704
AcylGlcADG(12:0_12:0_18:3)-H,891.6203,199.1704,277.2173,199.1704
AcylGlcADG(12:0_12:0_18:4)-H,889.6047,199.1704,275.2017,199.1704
AcylGlcADG(12:0_12:0_18:5)-H,887.589,199.1704,273.186,199.1704
AcylGlcADG(12:0_12:0_20:0)-H,925.6985,199.1704,311.2956,199.1704
AcylGlcADG(12:0_12:0_20:1)-H,923.6829,199.1704,309.2799,199.1704
AcylGlcADG(12:0_12:0_20:2)-H,921.6672,199.1704,307.2643,199.1704
AcylGlcADG(12:0_12:0_20:3)-H,919.6516,199.1704,305.2486,199.1704
AcylGlcADG(12:0_12:0_20:4)-H,917.6359,199.1704,303.233,199.1704
AcylGlcADG(12:0_12:0_20:5)-H,915.6203,199.1704,301.2173,199.1704
AcylGlcADG(12:0_12:0_22:0)-H,953.7299,199.1704,339.3269,199.1704
AcylGlcADG(12:0_12:0_22:1)-H,951.7142,199.1704,337.3112,199.1704
AcylGlcADG(12:0_12:0_22:2)-H,949.6985,199.1704,335.2956,199.1704
AcylGlcADG(12:0_12:0_22:3)-H,947.6829,199.1704,333.2799,199.1704
AcylGlcADG(12:0_12:0_22:4)-H,945.6672,199.1704,331.2643,199.1704
AcylGlcADG(12:0_12:0_22:5)-H,943.6516,199.1704,329.2486,199.1704
AcylGlcADG(12:0_12:0_22:6)-H,941.6359,199.1704,327.233,199.1704
