BA_Taurine,[M-H]-,[M-H-H2O]-,Taurine - H (C2H6NO3S-),CH2CHSO3-,SO3-
Taurolithocholic acid (TLCA)-H,482.2945534,464.2839834,124.0074,0,79.95738
Taurochenodeoxycholic acid (TCDCA)-H,498.2894684,480.2788984,124.0074,0,79.95738
Taurodeoxycholic acid (TDCA)-H,498.2894684,480.2788984,124.0074,0,79.95738
Taurohyodeoxyocholic acid (THDCA)-H,498.2894684,480.2788984,124.0074,0,79.95738
Tauroursodeoxycholic acid (TUDCA)-H,498.2894684,480.2788984,124.0074,0,79.95738
Taurocholic acid  (TCA)-H,514.2843834,496.2738134,124.0074,106.98086,79.95738
Tauro-muricholic acid (TMCA)-H,514.2843834,496.2738134,124.0074,106.98086,79.95738
Tauroallocholic acid-H,514.2843834,496.2738134,124.0074,106.98086,79.95738
Tauro-tetrahydroxyl bile acid-H,530.2792984,512.2687284,124.0074,0,79.95738
Taurolithocholic acid-3-sulfate (TLCA-3S)-H,562.2513704,544.2408004,124.0074,0,79.95738
Taurochenodeoxycholic acid-3-sulfate (TCDCA-3S)-H,578.2462854,560.2357154,124.0074,0,79.95738
Taurodeoxycholic acid-3-sulfate (TDCA-3S)-H,578.2462854,560.2357154,124.0074,0,79.95738
Tauroursodeoxycholic acid-3-sulfate (TUDCA-3S)-H,578.2462854,560.2357154,124.0074,0,79.95738
