Cer_AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t16:0/14:0)+HCO2,560.45315,514.44765,298.23825,243.19715,197.19165,197.19055
Cer_AP(t16:0/14:1)+HCO2,558.43755,512.43205,296.22255,241.18145,195.17595,197.19055
Cer_AP(t16:0/14:2)+HCO2,556.42185,510.41645,294.20695,239.16585,193.16035,197.19055
Cer_AP(t16:0/14:3)+HCO2,554.40625,508.40075,292.19125,237.15015,191.14465,197.19055
Cer_AP(t16:0/15:0)+HCO2,574.46885,528.46335,312.25385,257.21275,211.20725,197.19055
Cer_AP(t16:0/15:1)+HCO2,572.45315,526.44765,310.23825,255.19715,209.19165,197.19055
Cer_AP(t16:0/15:2)+HCO2,570.43755,524.43205,308.22255,253.18145,207.17595,197.19055
Cer_AP(t16:0/15:3)+HCO2,568.42185,522.41635,306.20695,251.16585,205.16035,197.19055
Cer_AP(t16:0/16:0)+HCO2,588.48445,542.47905,326.26955,271.22845,225.22295,197.19055
Cer_AP(t16:0/16:1)+HCO2,586.46885,540.46335,324.25385,269.21275,223.20725,197.19055
Cer_AP(t16:0/16:2)+HCO2,584.45315,538.44765,322.23825,267.19715,221.19165,197.19055
Cer_AP(t16:0/16:3)+HCO2,582.43755,536.43205,320.22255,265.18145,219.17595,197.19055
Cer_AP(t16:0/16:4)+HCO2,580.42185,534.41635,318.20695,263.16585,217.16035,197.19055
Cer_AP(t16:0/17:0)+HCO2,602.50015,556.49465,340.28515,285.24405,239.23855,197.19055
Cer_AP(t16:0/17:1)+HCO2,600.48445,554.47905,338.26955,283.22845,237.22295,197.19055
Cer_AP(t16:0/17:2)+HCO2,598.46885,552.46335,336.25385,281.21275,235.20725,197.19055
Cer_AP(t16:0/17:3)+HCO2,596.45315,550.44765,334.23825,279.19715,233.19165,197.19055
Cer_AP(t16:0/18:0)+HCO2,616.51585,570.51035,354.30085,299.25975,253.25425,197.19055
Cer_AP(t16:0/18:1)+HCO2,614.50015,568.49465,352.28515,297.24405,251.23855,197.19055
Cer_AP(t16:0/18:2)+HCO2,612.48445,566.47905,350.26955,295.22845,249.22295,197.19055
Cer_AP(t16:0/18:3)+HCO2,610.46885,564.46335,348.25385,293.21275,247.20725,197.19055
Cer_AP(t16:0/18:4)+HCO2,608.45315,562.44765,346.23825,291.19715,245.19165,197.19055
Cer_AP(t16:0/19:0)+HCO2,630.53145,584.52595,368.31645,313.27535,267.26985,197.19055
Cer_AP(t16:0/19:1)+HCO2,628.51585,582.51035,366.30085,311.25975,265.25425,197.19055
Cer_AP(t16:0/19:2)+HCO2,626.50015,580.49465,364.28515,309.24405,263.23855,197.19055
Cer_AP(t16:0/19:3)+HCO2,624.48445,578.47905,362.26955,307.22845,261.22295,197.19055
Cer_AP(t16:0/19:4)+HCO2,622.46885,576.46335,360.25385,305.21275,259.20725,197.19055
Cer_AP(t16:0/20:0)+HCO2,644.54705,598.54165,382.33215,327.29105,281.28555,197.19055
Cer_AP(t16:0/20:1)+HCO2,642.53145,596.52595,380.31645,325.27535,279.26985,197.19055
Cer_AP(t16:0/20:2)+HCO2,640.51585,594.51035,378.30085,323.25975,277.25425,197.19055
Cer_AP(t16:0/20:3)+HCO2,638.50015,592.49465,376.28515,321.24405,275.23855,197.19055
Cer_AP(t16:0/20:4)+HCO2,636.48445,590.47905,374.26955,319.22845,273.22295,197.19055
Cer_AP(t16:0/21:0)+HCO2,658.56275,612.55725,396.34775,341.30665,295.30115,197.19055
Cer_AP(t16:0/21:1)+HCO2,656.54705,610.54165,394.33215,339.29105,293.28555,197.19055
Cer_AP(t16:0/21:2)+HCO2,654.53145,608.52595,392.31645,337.27535,291.26985,197.19055
