Cer_AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_AS(d16:1/14:0)-H,496.43715,478.42655,464.41095,448.41595,268.22875,252.23385,243.19715,242.21315,240.23385,225.18655,211.20725,209.19165,197.19165
Cer_AS(d16:1/14:1)-H,494.42145,476.41095,462.39525,446.40035,268.22875,252.23385,241.18145,240.19745,240.23385,223.17095,211.20725,209.19165,195.17595
Cer_AS(d16:1/14:2)-H,492.40585,474.39525,460.37965,444.38475,268.22875,252.23385,239.16585,238.18185,240.23385,221.15525,211.20725,209.19165,193.16035
Cer_AS(d16:1/14:3)-H,490.39015,472.37965,458.36395,442.36905,268.22875,252.23385,237.15015,236.16615,240.23385,219.13965,211.20725,209.19165,191.14465
Cer_AS(d16:1/15:0)-H,510.45275,492.44225,478.42655,462.43165,268.22875,252.23385,257.21275,256.22875,240.23385,239.20225,211.20725,209.19165,211.20725
Cer_AS(d16:1/15:1)-H,508.43715,490.42655,476.41095,460.41595,268.22875,252.23385,255.19715,254.21315,240.23385,237.18655,211.20725,209.19165,209.19165
Cer_AS(d16:1/15:2)-H,506.42145,488.41095,474.39525,458.40035,268.22875,252.23385,253.18145,252.19745,240.23385,235.17095,211.20725,209.19165,207.17595
Cer_AS(d16:1/15:3)-H,504.40585,486.39525,472.37965,456.38475,268.22875,252.23385,251.16585,250.18185,240.23385,233.15525,211.20725,209.19165,205.16035
Cer_AS(d16:1/16:0)-H,524.46845,506.45785,492.44225,476.44725,268.22875,252.23385,271.22845,270.24445,240.23385,253.21785,211.20725,209.19165,225.22295
Cer_AS(d16:1/16:1)-H,522.45285,504.44225,490.42655,474.43165,268.22875,252.23385,269.21275,268.22875,240.23385,251.20225,211.20725,209.19165,223.20725
Cer_AS(d16:1/16:2)-H,520.43715,502.42655,488.41095,472.41595,268.22875,252.23385,267.19715,266.21315,240.23385,249.18655,211.20725,209.19165,221.19165
Cer_AS(d16:1/16:3)-H,518.42155,500.41095,486.39525,470.40035,268.22875,252.23385,265.18145,264.19745,240.23385,247.17095,211.20725,209.19165,219.17595
Cer_AS(d16:1/16:4)-H,516.40585,498.39525,484.37965,468.38475,268.22875,252.23385,263.16585,262.18185,240.23385,245.15525,211.20725,209.19165,217.16035
Cer_AS(d16:1/17:0)-H,538.48405,520.47355,506.45785,490.46295,268.22875,252.23385,285.24405,284.26005,240.23385,267.23355,211.20725,209.19165,239.23855
Cer_AS(d16:1/17:1)-H,536.46845,518.45785,504.44225,488.44725,268.22875,252.23385,283.22845,282.24445,240.23385,265.21785,211.20725,209.19165,237.22295
Cer_AS(d16:1/17:2)-H,534.45285,516.44225,502.42655,486.43165,268.22875,252.23385,281.21275,280.22875,240.23385,263.20225,211.20725,209.19165,235.20725
Cer_AS(d16:1/17:3)-H,532.43715,514.42655,500.41095,484.41595,268.22875,252.23385,279.19715,278.21315,240.23385,261.18655,211.20725,209.19165,233.19165
Cer_AS(d16:1/18:0)-H,552.49975,534.48915,520.47355,504.47865,268.22875,252.23385,299.25975,298.27565,240.23385,281.24915,211.20725,209.19165,253.25425
Cer_AS(d16:1/18:1)-H,550.48405,532.47355,518.45785,502.46295,268.22875,252.23385,297.24405,296.26005,240.23385,279.23355,211.20725,209.19165,251.23855
Cer_AS(d16:1/18:2)-H,548.46845,530.45785,516.44225,500.44725,268.22875,252.23385,295.22845,294.24445,240.23385,277.21785,211.20725,209.19165,249.22295
Cer_AS(d16:1/18:3)-H,546.45285,528.44225,514.42655,498.43165,268.22875,252.23385,293.21275,292.22875,240.23385,275.20225,211.20725,209.19165,247.20725
Cer_AS(d16:1/18:4)-H,544.43715,526.42655,512.41095,496.41595,268.22875,252.23385,291.19715,290.21315,240.23385,273.18655,211.20725,209.19165,245.19165
Cer_AS(d16:1/19:0)-H,566.51535,548.50485,534.48915,518.49425,268.22875,252.23385,313.27535,312.29135,240.23385,295.26485,211.20725,209.19165,267.26985
Cer_AS(d16:1/19:1)-H,564.49975,546.48915,532.47355,516.47855,268.22875,252.23385,311.25975,310.27565,240.23385,293.24915,211.20725,209.19165,265.25425
Cer_AS(d16:1/19:2)-H,562.48405,544.47355,530.45785,514.46295,268.22875,252.23385,309.24405,308.26005,240.23385,291.23355,211.20725,209.19165,263.23855
Cer_AS(d16:1/19:3)-H,560.46845,542.45785,528.44225,512.44735,268.22875,252.23385,307.22845,306.24445,240.23385,289.21785,211.20725,209.19165,261.22295
Cer_AS(d16:1/19:4)-H,558.45285,540.44225,526.42655,510.43165,268.22875,252.23385,305.21275,304.22875,240.23385,287.20225,211.20725,209.19165,259.20725
Cer_AS(d16:1/20:0)-H,580.53105,562.52045,548.50485,532.50985,268.22875,252.23385,327.29105,326.30705,240.23385,309.28045,211.20725,209.19165,281.28555
Cer_AS(d16:1/20:1)-H,578.51535,560.50485,546.48915,530.49425,268.22875,252.23385,325.27535,324.29135,240.23385,307.26485,211.20725,209.19165,279.26985
Cer_AS(d16:1/20:2)-H,576.49975,558.48915,544.47355,528.47855,268.22875,252.23385,323.25975,322.27565,240.23385,305.24915,211.20725,209.19165,277.25425
Cer_AS(d16:1/20:3)-H,574.48405,556.47355,542.45785,526.46295,268.22875,252.23385,321.24405,320.26005,240.23385,303.23355,211.20725,209.19165,275.23855
Cer_AS(d16:1/20:4)-H,572.46845,554.45785,540.44225,524.44735,268.22875,252.23385,319.22845,318.24445,240.23385,301.21785,211.20725,209.19165,273.22295
Cer_AS(d16:1/21:0)-H,594.54665,576.53615,562.52045,546.52555,268.22875,252.23385,341.30665,340.32265,240.23385,323.29615,211.20725,209.19165,295.30115
Cer_AS(d16:1/21:1)-H,592.53105,574.52045,560.50485,544.50985,268.22875,252.23385,339.29105,338.30705,240.23385,321.28045,211.20725,209.19165,293.28555
Cer_AS(d16:1/21:2)-H,590.51535,572.50485,558.48915,542.49425,268.22875,252.23385,337.27535,336.29135,240.23385,319.26485,211.20725,209.19165,291.26985
Cer_AS(d16:1/21:3)-H,588.49975,570.48915,556.47355,540.47855,268.22875,252.23385,335.25975,334.27565,240.23385,317.24915,211.20725,209.19165,289.25425
