Cer_BDS,[M+HCO2]-,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer_BDS(d16:0/14:0)+HCO2,544.45825,498.45275,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/14:1)+HCO2,542.44265,496.43715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/14:2)+HCO2,540.42695,494.42145,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/14:3)+HCO2,538.41135,492.40585,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:0)+HCO2,558.47395,512.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:1)+HCO2,556.45825,510.45275,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:2)+HCO2,554.44265,508.43715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:3)+HCO2,552.42695,506.42145,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:0)+HCO2,572.48955,526.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:1)+HCO2,570.47395,524.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:2)+HCO2,568.45825,522.45285,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:3)+HCO2,566.44265,520.43715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:4)+HCO2,564.42695,518.42155,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:0)+HCO2,586.50515,540.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:1)+HCO2,584.48955,538.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:2)+HCO2,582.47395,536.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:3)+HCO2,580.45825,534.45285,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:0)+HCO2,600.52085,554.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:1)+HCO2,598.50515,552.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:2)+HCO2,596.48955,550.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:3)+HCO2,594.47395,548.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:4)+HCO2,592.45825,546.45285,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:0)+HCO2,614.53645,568.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:1)+HCO2,612.52085,566.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:2)+HCO2,610.50515,564.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:3)+HCO2,608.48955,562.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:4)+HCO2,606.47395,560.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:0)+HCO2,628.55215,582.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:1)+HCO2,626.53645,580.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:2)+HCO2,624.52085,578.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:3)+HCO2,622.50515,576.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:4)+HCO2,620.48955,574.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:0)+HCO2,642.56785,596.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:1)+HCO2,640.55215,594.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:2)+HCO2,638.53645,592.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:3)+HCO2,636.52085,590.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:4)+HCO2,634.50515,588.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:0)+HCO2,656.58345,610.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:1)+HCO2,654.56785,608.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:2)+HCO2,652.55215,606.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:3)+HCO2,650.53645,604.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:4)+HCO2,648.52085,602.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:0)+HCO2,670.59915,624.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:1)+HCO2,668.58345,622.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:2)+HCO2,666.56785,620.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:3)+HCO2,664.55215,618.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:4)+HCO2,662.53645,616.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:0)+HCO2,684.61475,638.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:1)+HCO2,682.59915,636.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:2)+HCO2,680.58345,634.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:3)+HCO2,678.56785,632.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:4)+HCO2,676.55215,630.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:0)+HCO2,698.63045,652.62495,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:1)+HCO2,696.61475,650.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:2)+HCO2,694.59915,648.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:3)+HCO2,692.58345,646.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:4)+HCO2,690.56785,644.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:0)+HCO2,712.64605,666.64055,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:1)+HCO2,710.63045,664.62495,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:2)+HCO2,708.61475,662.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:3)+HCO2,706.59915,660.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:4)+HCO2,704.58345,658.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/27:0)+HCO2,726.66165,680.65625,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/27:1)+HCO2,724.64605,678.64055,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/27:2)+HCO2,722.63045,676.62495,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/27:3)+HCO2,720.61475,674.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/27:4)+HCO2,718.59915,672.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/28:0)+HCO2,740.67735,694.67185,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/28:1)+HCO2,738.66165,692.65625,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/28:2)+HCO2,736.64605,690.64055,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/28:3)+HCO2,734.63045,688.62495,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/28:4)+HCO2,732.61475,686.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/29:0)+HCO2,754.69295,708.68755,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/29:1)+HCO2,752.67735,706.67185,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/29:2)+HCO2,750.66165,704.65625,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/29:3)+HCO2,748.64605,702.64055,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/29:4)+HCO2,746.63045,700.62495,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/30:0)+HCO2,768.70865,722.70315,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/30:1)+HCO2,766.69295,720.68755,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/30:2)+HCO2,764.67735,718.67185,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/30:3)+HCO2,762.66165,716.65625,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/30:4)+HCO2,760.64605,714.64055,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/31:0)+HCO2,782.72435,736.71885,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/31:1)+HCO2,780.70865,734.70315,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/31:2)+HCO2,778.69295,732.68755,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/31:3)+HCO2,776.67735,730.67185,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/31:4)+HCO2,774.66165,728.65625,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/32:0)+HCO2,796.73995,750.73445,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/32:1)+HCO2,794.72435,748.71885,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/32:2)+HCO2,792.70865,746.70315,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/32:3)+HCO2,790.69295,744.68755,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/32:4)+HCO2,788.67735,742.67185,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/33:0)+HCO2,810.75565,764.75015,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/33:1)+HCO2,808.73995,762.73445,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/33:2)+HCO2,806.72435,760.71885,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/33:3)+HCO2,804.70865,758.70315,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/33:4)+HCO2,802.69295,756.68755,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/34:0)+HCO2,824.77125,778.76585,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/34:1)+HCO2,822.75565,776.75015,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/34:2)+HCO2,820.73995,774.73445,314.27065,282.24445,272.26005,211.20735
