Cer_BDS,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer_BDS(d16:0/14:0)-H,498.45275,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/14:1)-H,496.43715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/14:2)-H,494.42145,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/14:3)-H,492.40585,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:0)-H,512.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:1)-H,510.45275,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:2)-H,508.43715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/15:3)-H,506.42145,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:0)-H,526.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:1)-H,524.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:2)-H,522.45285,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:3)-H,520.43715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/16:4)-H,518.42155,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:0)-H,540.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:1)-H,538.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:2)-H,536.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/17:3)-H,534.45285,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:0)-H,554.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:1)-H,552.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:2)-H,550.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:3)-H,548.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/18:4)-H,546.45285,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:0)-H,568.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:1)-H,566.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:2)-H,564.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:3)-H,562.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/19:4)-H,560.46845,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:0)-H,582.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:1)-H,580.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:2)-H,578.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:3)-H,576.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/20:4)-H,574.48405,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:0)-H,596.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:1)-H,594.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:2)-H,592.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:3)-H,590.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/21:4)-H,588.49975,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:0)-H,610.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:1)-H,608.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:2)-H,606.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:3)-H,604.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/22:4)-H,602.51535,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:0)-H,624.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:1)-H,622.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:2)-H,620.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:3)-H,618.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/23:4)-H,616.53105,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:0)-H,638.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:1)-H,636.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:2)-H,634.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:3)-H,632.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/24:4)-H,630.54665,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:0)-H,652.62495,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:1)-H,650.60935,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:2)-H,648.59365,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:3)-H,646.57805,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/25:4)-H,644.56235,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:0)-H,666.64055,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/26:1)-H,664.62495,314.27065,282.24445,272.26005,211.20735
