Cer_BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer_BS(d16:2/14:0)-H,494.42145,494.42145,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/14:1)-H,492.40585,492.40585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/14:2)-H,490.39015,490.39015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/14:3)-H,488.37455,488.37455,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:0)-H,508.43715,508.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:1)-H,506.42145,506.42145,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:2)-H,504.40585,504.40585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:3)-H,502.39015,502.39015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:0)-H,522.45285,522.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:1)-H,520.43715,520.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:2)-H,518.42155,518.42155,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:3)-H,516.40585,516.40585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:4)-H,514.39015,514.39015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:0)-H,536.46845,536.46845,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:1)-H,534.45285,534.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:2)-H,532.43715,532.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:3)-H,530.42155,530.42155,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:0)-H,550.48405,550.48405,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:1)-H,548.46845,548.46845,310.23935,278.21315,268.22875,207.17595
