Cer_EODS,[M+HCO2]-,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[FAA-H]-,[EFA-H]-,[Sph-C2H8NO]-
Cer_EODS(d16:0/16:0/O-16:0)+HCO2,810.71925,764.71375,526.48405,296.26005,270.24445,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-16:1)+HCO2,808.70355,762.69815,524.46845,294.24445,268.22875,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-16:2)+HCO2,806.68795,760.68245,522.45285,292.22875,266.21315,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-16:3)+HCO2,804.67235,758.66685,520.43715,290.21315,264.19745,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-16:4)+HCO2,802.65665,756.65115,518.42155,288.19745,262.18185,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-17:0)+HCO2,824.73485,778.72945,540.49975,310.27565,284.26005,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-17:1)+HCO2,822.71925,776.71375,538.48405,308.26005,282.24445,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-17:2)+HCO2,820.70355,774.69815,536.46845,306.24445,280.22875,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-17:3)+HCO2,818.68795,772.68245,534.45285,304.22875,278.21315,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-18:0)+HCO2,838.75055,792.74505,554.51535,324.29135,298.27565,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-18:1)+HCO2,836.73485,790.72945,552.49975,322.27565,296.26005,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-18:2)+HCO2,834.71925,788.71375,550.48405,320.26005,294.24445,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-18:3)+HCO2,832.70355,786.69815,548.46845,318.24445,292.22875,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-18:4)+HCO2,830.68795,784.68245,546.45285,316.22875,290.21315,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-19:0)+HCO2,852.76615,806.76065,568.53105,338.30705,312.29135,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-19:1)+HCO2,850.75055,804.74505,566.51535,336.29135,310.27565,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-19:2)+HCO2,848.73485,802.72945,564.49975,334.27565,308.26005,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-19:3)+HCO2,846.71925,800.71375,562.48405,332.26005,306.24445,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-19:4)+HCO2,844.70355,798.69815,560.46845,330.24445,304.22875,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-20:0)+HCO2,866.78185,820.77635,582.54665,352.32265,326.30705,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-20:1)+HCO2,864.76615,818.76065,580.53105,350.30705,324.29135,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-20:2)+HCO2,862.75055,816.74505,578.51535,348.29135,322.27565,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-20:3)+HCO2,860.73485,814.72945,576.49975,346.27565,320.26005,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-20:4)+HCO2,858.71925,812.71375,574.48405,344.26005,318.24445,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-21:0)+HCO2,880.79745,834.79195,596.56235,366.33835,340.32265,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-21:1)+HCO2,878.78185,832.77635,594.54665,364.32265,338.30705,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-21:2)+HCO2,876.76615,830.76065,592.53105,362.30705,336.29135,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-21:3)+HCO2,874.75055,828.74505,590.51535,360.29135,334.27565,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-21:4)+HCO2,872.73485,826.72945,588.49975,358.27565,332.26005,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-22:0)+HCO2,894.81315,848.80765,610.57805,380.35395,354.33835,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-22:1)+HCO2,892.79745,846.79195,608.56235,378.33835,352.32265,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-22:2)+HCO2,890.78185,844.77635,606.54665,376.32265,350.30705,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-22:3)+HCO2,888.76615,842.76065,604.53105,374.30705,348.29135,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-22:4)+HCO2,886.75055,840.74505,602.51535,372.29135,346.27565,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-23:0)+HCO2,908.82875,862.82335,624.59365,394.36955,368.35395,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-23:1)+HCO2,906.81315,860.80765,622.57805,392.35395,366.33835,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-23:2)+HCO2,904.79745,858.79195,620.56235,390.33835,364.32265,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-23:3)+HCO2,902.78185,856.77635,618.54665,388.32265,362.30705,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-23:4)+HCO2,900.76615,854.76065,616.53105,386.30705,360.29135,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-24:0)+HCO2,922.84445,876.83895,638.60935,408.38525,382.36955,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-24:1)+HCO2,920.82875,874.82335,636.59365,406.36955,380.35395,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-24:2)+HCO2,918.81315,872.80765,634.57805,404.35395,378.33835,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-24:3)+HCO2,916.79745,870.79195,632.56235,402.33835,376.32265,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-24:4)+HCO2,914.78185,868.77635,630.54665,400.32265,374.30705,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-25:0)+HCO2,936.86015,890.85465,652.62495,422.40095,396.38525,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-25:1)+HCO2,934.84445,888.83895,650.60935,420.38525,394.36955,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-25:2)+HCO2,932.82875,886.82335,648.59365,418.36955,392.35395,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-25:3)+HCO2,930.81315,884.80765,646.57805,416.35395,390.33835,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-25:4)+HCO2,928.79745,882.79195,644.56235,414.33835,388.32265,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-26:0)+HCO2,950.87575,904.87025,666.64055,436.41655,410.40095,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-26:1)+HCO2,948.86015,902.85465,664.62495,434.40095,408.38525,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-26:2)+HCO2,946.84445,900.83895,662.60935,432.38525,406.36955,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-26:3)+HCO2,944.82875,898.82335,660.59365,430.36955,404.35395,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-26:4)+HCO2,942.81315,896.80765,658.57805,428.35395,402.33835,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-27:0)+HCO2,964.89135,918.88595,680.65625,450.43225,424.41655,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-27:1)+HCO2,962.87575,916.87025,678.64055,448.41655,422.40095,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-27:2)+HCO2,960.86015,914.85465,676.62495,446.40095,420.38525,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-27:3)+HCO2,958.84445,912.83895,674.60935,444.38525,418.36955,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-27:4)+HCO2,956.82875,910.82335,672.59365,442.36955,416.35395,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-28:0)+HCO2,978.90705,932.90155,694.67185,464.44785,438.43225,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-28:1)+HCO2,976.89135,930.88595,692.65625,462.43225,436.41655,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-28:2)+HCO2,974.87575,928.87025,690.64055,460.41655,434.40095,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-28:3)+HCO2,972.86015,926.85465,688.62495,458.40095,432.38525,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-28:4)+HCO2,970.84445,924.83895,686.60935,456.38525,430.36955,255.23355,211.20725
Cer_EODS(d16:0/16:0/O-29:0)+HCO2,992.92265,946.91725,708.68755,478.46355,452.44785,255.23355,211.20725
