Cer_NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer_NDS(d16:0/14:0)+H,484.47185,466.46135,448.45075,256.26295,238.25235,228.23165,226.25235
Cer_NDS(d16:0/14:1)+H,482.45625,464.44565,446.43505,256.26295,238.25235,226.21605,226.25235
Cer_NDS(d16:0/14:2)+H,480.44055,462.42995,444.41945,256.26295,238.25235,224.20035,226.25235
Cer_NDS(d16:0/14:3)+H,478.42495,460.41435,442.40375,256.26295,238.25235,222.18475,226.25235
Cer_NDS(d16:0/15:0)+H,498.48755,480.47695,462.46635,256.26295,238.25235,242.24725,226.25235
Cer_NDS(d16:0/15:1)+H,496.47185,478.46135,460.45075,256.26295,238.25235,240.23165,226.25235
Cer_NDS(d16:0/15:2)+H,494.45625,476.44565,458.43505,256.26295,238.25235,238.21605,226.25235
Cer_NDS(d16:0/15:3)+H,492.44055,474.42995,456.41945,256.26295,238.25235,236.20035,226.25235
Cer_NDS(d16:0/16:0)+H,512.50315,494.49265,476.48205,256.26295,238.25235,256.26295,226.25235
Cer_NDS(d16:0/16:1)+H,510.48755,492.47695,474.46635,256.26295,238.25235,254.24725,226.25235
Cer_NDS(d16:0/16:2)+H,508.47185,490.46135,472.45075,256.26295,238.25235,252.23165,226.25235
Cer_NDS(d16:0/16:3)+H,506.45625,488.44565,470.43505,256.26295,238.25235,250.21605,226.25235
Cer_NDS(d16:0/16:4)+H,504.44055,486.42995,468.41945,256.26295,238.25235,248.20035,226.25235
Cer_NDS(d16:0/17:0)+H,526.51875,508.50825,490.49765,256.26295,238.25235,270.27855,226.25235
Cer_NDS(d16:0/17:1)+H,524.50315,506.49265,488.48205,256.26295,238.25235,268.26295,226.25235
Cer_NDS(d16:0/17:2)+H,522.48755,504.47695,486.46635,256.26295,238.25235,266.24735,226.25235
Cer_NDS(d16:0/17:3)+H,520.47185,502.46135,484.45075,256.26295,238.25235,264.23165,226.25235
Cer_NDS(d16:0/18:0)+H,540.53445,522.52395,504.51335,256.26295,238.25235,284.29425,226.25235
Cer_NDS(d16:0/18:1)+H,538.51875,520.50825,502.49765,256.26295,238.25235,282.27855,226.25235
Cer_NDS(d16:0/18:2)+H,536.50315,518.49265,500.48205,256.26295,238.25235,280.26295,226.25235
Cer_NDS(d16:0/18:3)+H,534.48755,516.47695,498.46635,256.26295,238.25235,278.24735,226.25235
Cer_NDS(d16:0/18:4)+H,532.47185,514.46135,496.45075,256.26295,238.25235,276.23165,226.25235
Cer_NDS(d16:0/19:0)+H,554.55015,536.53955,518.52895,256.26295,238.25235,298.30995,226.25235
Cer_NDS(d16:0/19:1)+H,552.53445,534.52395,516.51335,256.26295,238.25235,296.29425,226.25235
Cer_NDS(d16:0/19:2)+H,550.51875,532.50825,514.49765,256.26295,238.25235,294.27855,226.25235
Cer_NDS(d16:0/19:3)+H,548.50315,530.49265,512.48205,256.26295,238.25235,292.26295,226.25235
Cer_NDS(d16:0/19:4)+H,546.48755,528.47695,510.46635,256.26295,238.25235,290.24735,226.25235
Cer_NDS(d16:0/20:0)+H,568.56575,550.55515,532.54465,256.26295,238.25235,312.32555,226.25235
Cer_NDS(d16:0/20:1)+H,566.55015,548.53955,530.52895,256.26295,238.25235,310.30995,226.25235
Cer_NDS(d16:0/20:2)+H,564.53445,546.52395,528.51335,256.26295,238.25235,308.29425,226.25235
Cer_NDS(d16:0/20:3)+H,562.51875,544.50825,526.49765,256.26295,238.25235,306.27855,226.25235
Cer_NDS(d16:0/20:4)+H,560.50315,542.49265,524.48205,256.26295,238.25235,304.26295,226.25235
Cer_NDS(d16:0/21:0)+H,582.58145,564.57085,546.56035,256.26295,238.25235,326.34115,226.25235
Cer_NDS(d16:0/21:1)+H,580.56575,562.55515,544.54465,256.26295,238.25235,324.32555,226.25235
Cer_NDS(d16:0/21:2)+H,578.55015,560.53955,542.52895,256.26295,238.25235,322.30995,226.25235
Cer_NDS(d16:0/21:3)+H,576.53445,558.52395,540.51335,256.26295,238.25235,320.29425,226.25235
Cer_NDS(d16:0/21:4)+H,574.51875,556.50825,538.49765,256.26295,238.25235,318.27855,226.25235
Cer_NDS(d16:0/22:0)+H,596.59705,578.58645,560.57595,256.26295,238.25235,340.35685,226.25235
Cer_NDS(d16:0/22:1)+H,594.58145,576.57085,558.56035,256.26295,238.25235,338.34115,226.25235
Cer_NDS(d16:0/22:2)+H,592.56575,574.55515,556.54465,256.26295,238.25235,336.32555,226.25235
Cer_NDS(d16:0/22:3)+H,590.55015,572.53955,554.52895,256.26295,238.25235,334.30995,226.25235
Cer_NDS(d16:0/22:4)+H,588.53445,570.52395,552.51335,256.26295,238.25235,332.29425,226.25235
Cer_NDS(d16:0/23:0)+H,610.61275,592.60215,574.59155,256.26295,238.25235,354.37245,226.25235
Cer_NDS(d16:0/23:1)+H,608.59705,590.58645,572.57595,256.26295,238.25235,352.35685,226.25235
Cer_NDS(d16:0/23:2)+H,606.58145,588.57085,570.56035,256.26295,238.25235,350.34115,226.25235
Cer_NDS(d16:0/23:3)+H,604.56575,586.55515,568.54465,256.26295,238.25235,348.32555,226.25235
Cer_NDS(d16:0/23:4)+H,602.55015,584.53955,566.52895,256.26295,238.25235,346.30995,226.25235
Cer_NDS(d16:0/24:0)+H,624.62835,606.61775,588.60725,256.26295,238.25235,368.38815,226.25235
Cer_NDS(d16:0/24:1)+H,622.61275,604.60215,586.59155,256.26295,238.25235,366.37245,226.25235
Cer_NDS(d16:0/24:2)+H,620.59705,602.58645,584.57595,256.26295,238.25235,364.35685,226.25235
Cer_NDS(d16:0/24:3)+H,618.58145,600.57085,582.56035,256.26295,238.25235,362.34115,226.25235
Cer_NDS(d16:0/24:4)+H,616.56575,598.55515,580.54465,256.26295,238.25235,360.32555,226.25235
Cer_NDS(d16:0/25:0)+H,638.64405,620.63345,602.62285,256.26295,238.25235,382.40385,226.25235
Cer_NDS(d16:0/25:1)+H,636.62835,618.61775,600.60725,256.26295,238.25235,380.38815,226.25235
Cer_NDS(d16:0/25:2)+H,634.61275,616.60215,598.59155,256.26295,238.25235,378.37245,226.25235
Cer_NDS(d16:0/25:3)+H,632.59705,614.58645,596.57595,256.26295,238.25235,376.35685,226.25235
Cer_NDS(d16:0/25:4)+H,630.58145,612.57085,594.56035,256.26295,238.25235,374.34115,226.25235
Cer_NDS(d16:0/26:0)+H,652.65965,634.64915,616.63855,256.26295,238.25235,396.41945,226.25235
Cer_NDS(d16:0/26:1)+H,650.64405,632.63345,614.62285,256.26295,238.25235,394.40385,226.25235
Cer_NDS(d16:0/26:2)+H,648.62835,630.61775,612.60725,256.26295,238.25235,392.38815,226.25235
Cer_NDS(d16:0/26:3)+H,646.61275,628.60215,610.59155,256.26295,238.25235,390.37245,226.25235
Cer_NDS(d16:0/26:4)+H,644.59705,626.58645,608.57595,256.26295,238.25235,388.35685,226.25235
Cer_NDS(d16:0/27:0)+H,666.67525,648.66475,630.65415,256.26295,238.25235,410.43505,226.25235
Cer_NDS(d16:0/27:1)+H,664.65965,646.64915,628.63855,256.26295,238.25235,408.41945,226.25235
Cer_NDS(d16:0/27:2)+H,662.64405,644.63345,626.62285,256.26295,238.25235,406.40385,226.25235
Cer_NDS(d16:0/27:3)+H,660.62835,642.61775,624.60725,256.26295,238.25235,404.38815,226.25235
Cer_NDS(d16:0/27:4)+H,658.61275,640.60215,622.59155,256.26295,238.25235,402.37245,226.25235
Cer_NDS(d16:0/28:0)+H,680.69095,662.68045,644.66985,256.26295,238.25235,424.45075,226.25235
Cer_NDS(d16:0/28:1)+H,678.67525,660.66475,642.65415,256.26295,238.25235,422.43505,226.25235
Cer_NDS(d16:0/28:2)+H,676.65965,658.64915,640.63855,256.26295,238.25235,420.41945,226.25235
Cer_NDS(d16:0/28:3)+H,674.64405,656.63345,638.62285,256.26295,238.25235,418.40385,226.25235
Cer_NDS(d16:0/28:4)+H,672.62835,654.61775,636.60725,256.26295,238.25235,416.38815,226.25235
Cer_NDS(d16:0/29:0)+H,694.70665,676.69605,658.68545,256.26295,238.25235,438.46635,226.25235
Cer_NDS(d16:0/29:1)+H,692.69095,674.68045,656.66985,256.26295,238.25235,436.45075,226.25235
Cer_NDS(d16:0/29:2)+H,690.67525,672.66475,654.65415,256.26295,238.25235,434.43505,226.25235
Cer_NDS(d16:0/29:3)+H,688.65965,670.64915,652.63855,256.26295,238.25235,432.41945,226.25235
Cer_NDS(d16:0/29:4)+H,686.64405,668.63345,650.62285,256.26295,238.25235,430.40385,226.25235
Cer_NDS(d16:0/30:0)+H,708.72225,690.71175,672.70115,256.26295,238.25235,452.48205,226.25235
Cer_NDS(d16:0/30:1)+H,706.70665,688.69605,670.68545,256.26295,238.25235,450.46635,226.25235
Cer_NDS(d16:0/30:2)+H,704.69095,686.68045,668.66985,256.26295,238.25235,448.45075,226.25235
Cer_NDS(d16:0/30:3)+H,702.67525,684.66475,666.65415,256.26295,238.25235,446.43505,226.25235
Cer_NDS(d16:0/30:4)+H,700.65965,682.64915,664.63855,256.26295,238.25235,444.41945,226.25235
Cer_NDS(d16:0/31:0)+H,722.73795,704.72735,686.71675,256.26295,238.25235,466.49775,226.25235
Cer_NDS(d16:0/31:1)+H,720.72225,702.71175,684.70115,256.26295,238.25235,464.48205,226.25235
Cer_NDS(d16:0/31:2)+H,718.70665,700.69605,682.68545,256.26295,238.25235,462.46635,226.25235
Cer_NDS(d16:0/31:3)+H,716.69095,698.68045,680.66985,256.26295,238.25235,460.45075,226.25235
Cer_NDS(d16:0/31:4)+H,714.67525,696.66475,678.65415,256.26295,238.25235,458.43505,226.25235
Cer_NDS(d16:0/32:0)+H,736.75365,718.74295,700.73245,256.26295,238.25235,480.51335,226.25235
Cer_NDS(d16:0/32:1)+H,734.73795,716.72735,698.71675,256.26295,238.25235,478.49775,226.25235
Cer_NDS(d16:0/32:2)+H,732.72225,714.71175,696.70115,256.26295,238.25235,476.48205,226.25235
Cer_NDS(d16:0/32:3)+H,730.70665,712.69605,694.68545,256.26295,238.25235,474.46635,226.25235
Cer_NDS(d16:0/32:4)+H,728.69095,710.68045,692.66985,256.26295,238.25235,472.45075,226.25235
Cer_NDS(d16:0/33:0)+H,750.76925,732.75865,714.74815,256.26295,238.25235,494.52895,226.25235
Cer_NDS(d16:0/33:1)+H,748.75365,730.74295,712.73245,256.26295,238.25235,492.51335,226.25235
Cer_NDS(d16:0/33:2)+H,746.73795,728.72735,710.71675,256.26295,238.25235,490.49775,226.25235
Cer_NDS(d16:0/33:3)+H,744.72225,726.71175,708.70115,256.26295,238.25235,488.48205,226.25235
Cer_NDS(d16:0/33:4)+H,742.70665,724.69605,706.68545,256.26295,238.25235,486.46635,226.25235
Cer_NDS(d16:0/34:0)+H,764.78485,746.77425,728.76375,256.26295,238.25235,508.54465,226.25235
Cer_NDS(d16:0/34:1)+H,762.76925,744.75865,726.74815,256.26295,238.25235,506.52895,226.25235
Cer_NDS(d16:0/34:2)+H,760.75365,742.74295,724.73245,256.26295,238.25235,504.51335,226.25235
Cer_NDS(d16:0/34:3)+H,758.73795,740.72735,722.71675,256.26295,238.25235,502.49775,226.25235
Cer_NDS(d16:0/34:4)+H,756.72225,738.71175,720.70115,256.26295,238.25235,500.48205,226.25235
Cer_NDS(d16:0/35:0)+H,778.80055,760.78995,742.77935,256.26295,238.25235,522.56035,226.25235
Cer_NDS(d16:0/35:1)+H,776.78485,758.77425,740.76375,256.26295,238.25235,520.54465,226.25235
Cer_NDS(d16:0/35:2)+H,774.76925,756.75865,738.74815,256.26295,238.25235,518.52895,226.25235
Cer_NDS(d16:0/35:3)+H,772.75365,754.74295,736.73245,256.26295,238.25235,516.51335,226.25235
Cer_NDS(d16:0/35:4)+H,770.73795,752.72735,734.71675,256.26295,238.25235,514.49765,226.25235
Cer_NDS(d16:0/36:0)+H,792.81615,774.80565,756.79505,256.26295,238.25235,536.57595,226.25235
Cer_NDS(d16:0/36:1)+H,790.80055,772.78995,754.77935,256.26295,238.25235,534.56035,226.25235
Cer_NDS(d16:0/36:2)+H,788.78485,770.77425,752.76375,256.26295,238.25235,532.54465,226.25235
Cer_NDS(d16:0/36:3)+H,786.76925,768.75865,750.74815,256.26295,238.25235,530.52895,226.25235
Cer_NDS(d16:0/36:4)+H,784.75365,766.74295,748.73245,256.26295,238.25235,528.51335,226.25235
Cer_NDS(d17:0/14:0)+H,498.48755,480.47695,462.46635,270.27855,252.26805,228.23165,240.26805
Cer_NDS(d17:0/14:1)+H,496.47185,478.46135,460.45075,270.27855,252.26805,226.21605,240.26805
Cer_NDS(d17:0/14:2)+H,494.45625,476.44565,458.43505,270.27855,252.26805,224.20035,240.26805
