Cer-NDS,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer-NDS(d14:0/12:0)-H,426.3947,394.3685,378.3736,244.2282,240.1964,224.2014,198.1863,183.1754,181.1836
Cer-NDS(d14:0/12:1)-H,424.3791,392.3528,376.3579,244.2282,238.1807,222.1858,196.1707,183.1754,179.168
Cer-NDS(d14:0/13:0)-H,440.4104,408.3842,392.3892,244.2282,254.212,238.2171,212.202,183.1754,195.1992
Cer-NDS(d14:0/13:1)-H,438.3947,406.3685,390.3736,244.2282,252.1964,236.2014,210.1863,183.1754,193.1836
Cer-NDS(d14:0/14:0)-H,454.426,422.3998,406.4049,244.2282,268.2277,252.2328,226.2176,183.1754,209.2149
Cer-NDS(d14:0/14:1)-H,452.4104,420.3842,404.3892,244.2282,266.212,250.2171,224.202,183.1754,207.1992
Cer-NDS(d14:0/15:0)-H,468.4417,436.4154,420.4205,244.2282,282.2433,266.2484,240.2333,183.1754,223.2305
Cer-NDS(d14:0/15:1)-H,466.426,434.3998,418.4049,244.2282,280.2277,264.2328,238.2176,183.1754,221.2149
Cer-NDS(d14:0/16:0)-H,482.4573,450.4311,434.4362,244.2282,296.259,280.264,254.2489,183.1754,237.2462
Cer-NDS(d14:0/16:1)-H,480.4417,448.4154,432.4205,244.2282,294.2433,278.2484,252.2333,183.1754,235.2305
Cer-NDS(d14:0/16:2)-H,478.426,446.3998,430.4049,244.2282,292.2277,276.2328,250.2176,183.1754,233.2149
Cer-NDS(d14:0/17:0)-H,496.473,464.4467,448.4518,244.2282,310.2746,294.2797,268.2646,183.1754,251.2619
Cer-NDS(d14:0/18:0)-H,510.4886,478.4624,462.4675,244.2282,324.2903,308.2953,282.2802,183.1754,265.2775
Cer-NDS(d14:0/18:1)-H,508.473,476.4467,460.4518,244.2282,322.2746,306.2797,280.2646,183.1754,263.2618
Cer-NDS(d14:0/18:2)-H,506.4573,474.4311,458.4362,244.2282,320.259,304.264,278.2489,183.1754,261.2462
Cer-NDS(d14:0/19:0)-H,524.5043,492.4781,476.4832,244.2282,338.3059,322.311,296.2959,183.1754,279.2932
Cer-NDS(d14:0/19:1)-H,522.4886,490.4624,474.4675,244.2282,336.2903,320.2953,294.2802,183.1754,277.2775
Cer-NDS(d14:0/20:0)-H,538.52,506.4937,490.4988,244.2282,352.3216,336.3267,310.3116,183.1754,293.3088
Cer-NDS(d14:0/20:1)-H,536.5043,504.4781,488.4832,244.2282,350.3059,334.311,308.2959,183.1754,291.2932
Cer-NDS(d14:0/20:2)-H,534.4886,502.4624,486.4675,244.2282,348.2903,332.2953,306.2802,183.1754,289.2775
Cer-NDS(d14:0/21:0)-H,552.5356,520.5093,504.5144,244.2282,366.3372,350.3423,324.3272,183.1754,307.3245
Cer-NDS(d14:0/21:1)-H,550.52,518.4937,502.4988,244.2282,364.3216,348.3267,322.3116,183.1754,305.3088
Cer-NDS(d14:0/22:0)-H,566.5512,534.525,518.5301,244.2282,380.3529,364.3579,338.3428,183.1754,321.3401
Cer-NDS(d14:0/22:1)-H,564.5356,532.5093,516.5145,244.2282,378.3372,362.3423,336.3272,183.1754,319.3245
Cer-NDS(d14:0/22:2)-H,562.52,530.4937,514.4988,244.2282,376.3216,360.3267,334.3116,183.1754,317.3088
Cer-NDS(d14:0/23:0)-H,580.5669,548.5406,532.5457,244.2282,394.3685,378.3736,352.3585,183.1754,335.3557
Cer-NDS(d14:0/23:1)-H,578.5512,546.525,530.5301,244.2282,392.3529,376.3579,350.3428,183.1754,333.3401
Cer-NDS(d14:0/24:0)-H,594.5825,562.5563,546.5614,244.2282,408.3842,392.3893,366.3741,183.1754,349.3714
Cer-NDS(d14:0/24:1)-H,592.5669,560.5406,544.5457,244.2282,406.3685,390.3736,364.3585,183.1754,347.3557
Cer-NDS(d14:0/24:2)-H,590.5512,558.525,542.5301,244.2282,404.3529,388.3579,362.3428,183.1754,345.3401
Cer-NDS(d14:0/25:0)-H,608.5982,576.572,560.577,244.2282,422.3998,406.4049,380.3898,183.1754,363.3871
Cer-NDS(d14:0/25:1)-H,606.5825,574.5563,558.5614,244.2282,420.3842,404.3893,378.3741,183.1754,361.3714
Cer-NDS(d14:0/26:0)-H,622.6138,590.5876,574.5927,244.2282,436.4155,420.4206,394.4054,183.1754,377.4027
Cer-NDS(d14:0/26:1)-H,620.5982,588.572,572.577,244.2282,434.3998,418.4049,392.3898,183.1754,375.3871
Cer-NDS(d14:0/26:2)-H,618.5825,586.5563,570.5614,244.2282,432.3842,416.3893,390.3741,183.1754,373.3714
Cer-NDS(d14:0/27:0)-H,636.6295,604.6033,588.6083,244.2282,450.4311,434.4362,408.4211,183.1754,391.4183
Cer-NDS(d14:0/27:1)-H,634.6138,602.5876,586.5927,244.2282,448.4155,432.4206,406.4054,183.1754,389.4027
Cer-NDS(d14:0/28:0)-H,650.6451,618.6189,602.624,244.2282,464.4468,448.4518,422.4367,183.1754,405.434
Cer-NDS(d14:0/28:1)-H,648.6295,616.6033,600.6083,244.2282,462.4311,446.4362,420.4211,183.1754,403.4183
Cer-NDS(d14:0/28:2)-H,646.6138,614.5876,598.5927,244.2282,460.4155,444.4206,418.4054,183.1754,401.4027
Cer-NDS(d14:0/29:0)-H,664.6608,632.6346,616.6396,244.2282,478.4624,462.4675,436.4524,183.1754,419.4496
Cer-NDS(d14:0/29:1)-H,662.6451,630.6189,614.624,244.2282,476.4468,460.4518,434.4367,183.1754,417.434
Cer-NDS(d14:0/30:0)-H,678.6765,646.6502,630.6553,244.2282,492.4781,476.4832,450.468,183.1754,433.4653
Cer-NDS(d14:0/30:1)-H,676.6608,644.6346,628.6396,244.2282,490.4624,474.4675,448.4524,183.1754,431.4496
Cer-NDS(d14:0/30:2)-H,674.6451,642.6189,626.624,244.2282,488.4468,472.4518,446.4367,183.1754,429.434
Cer-NDS(d14:0/31:0)-H,692.6921,660.6658,644.671,244.2282,506.4937,490.4988,464.4837,183.1754,447.481
Cer-NDS(d14:0/31:1)-H,690.6765,658.6502,642.6553,244.2282,504.4781,488.4832,462.468,183.1754,445.4653
Cer-NDS(d14:0/32:0)-H,706.7077,674.6815,658.6866,244.2282,520.5094,504.5144,478.4993,183.1754,461.4966
Cer-NDS(d14:0/32:1)-H,704.6921,672.6658,656.671,244.2282,518.4937,502.4988,476.4837,183.1754,459.481
Cer-NDS(d14:0/32:2)-H,702.6765,670.6502,654.6553,244.2282,516.4781,500.4832,474.468,183.1754,457.4653
Cer-NDS(d14:0/33:0)-H,720.7234,688.6971,672.7023,244.2282,534.525,518.5301,492.515,183.1754,475.5122
Cer-NDS(d14:0/33:1)-H,718.7077,686.6815,670.6866,244.2282,532.5094,516.5145,490.4993,183.1754,473.4966
