Cer_NP,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer_NP(t16:0/14:0)-H,498.45275,480.44225,462.43165,282.24335,270.24335,270.24335,252.23275,239.20115,227.20225,227.20115,226.21765,197.19055
Cer_NP(t16:0/14:1)-H,496.43715,478.42655,460.41595,280.22765,268.22765,268.22765,250.21715,239.20115,225.18655,227.20115,224.20195,197.19055
Cer_NP(t16:0/14:2)-H,494.42145,476.41095,458.40035,278.21205,266.21205,266.21205,248.20145,239.20115,223.17095,227.20115,222.18635,197.19055
Cer_NP(t16:0/14:3)-H,492.40585,474.39525,456.38475,276.19635,264.19635,264.19635,246.18585,239.20115,221.15525,227.20115,220.17065,197.19055
Cer_NP(t16:0/15:0)-H,512.46845,494.45785,476.44725,296.25895,284.25895,284.25895,266.24845,239.20115,241.21785,227.20115,240.23325,197.19055
Cer_NP(t16:0/15:1)-H,510.45275,492.44225,474.43165,294.24335,282.24335,282.24335,264.23275,239.20115,239.20225,227.20115,238.21765,197.19055
Cer_NP(t16:0/15:2)-H,508.43715,490.42655,472.41595,292.22765,280.22765,280.22765,262.21715,239.20115,237.18655,227.20115,236.20195,197.19055
Cer_NP(t16:0/15:3)-H,506.42145,488.41095,470.40035,290.21205,278.21205,278.21205,260.20145,239.20115,235.17095,227.20115,234.18635,197.19055
Cer_NP(t16:0/16:0)-H,526.48405,508.47355,490.46295,310.27465,298.27465,298.27465,280.26405,239.20115,255.23355,227.20115,254.24895,197.19055
Cer_NP(t16:0/16:1)-H,524.46845,506.45785,488.44725,308.25895,296.25895,296.25895,278.24845,239.20115,253.21785,227.20115,252.23325,197.19055
Cer_NP(t16:0/16:2)-H,522.45285,504.44225,486.43165,306.24335,294.24335,294.24335,276.23275,239.20115,251.20225,227.20115,250.21765,197.19055
Cer_NP(t16:0/16:3)-H,520.43715,502.42655,484.41595,304.22765,292.22765,292.22765,274.21715,239.20115,249.18655,227.20115,248.20195,197.19055
Cer_NP(t16:0/16:4)-H,518.42155,500.41095,482.40035,302.21205,290.21205,290.21205,272.20145,239.20115,247.17095,227.20115,246.18635,197.19055
