Cer-NS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NS(d14:1/12:0)+H,426.3942,408.3836,390.373,226.2166,208.206,200.2009,196.206
Cer-NS(d14:1/12:1)+H,424.3785,406.368,388.3574,226.2166,208.206,198.1853,196.206
Cer-NS(d14:1/13:0)+H,440.4098,422.3993,404.3887,226.2166,208.206,214.2166,196.206
Cer-NS(d14:1/13:1)+H,438.3942,420.3836,402.373,226.2166,208.206,212.2009,196.206
Cer-NS(d14:1/14:0)+H,454.4255,436.4149,418.4043,226.2166,208.206,228.2322,196.206
Cer-NS(d14:1/14:1)+H,452.4098,434.3993,416.3887,226.2166,208.206,226.2166,196.206
Cer-NS(d14:1/15:0)+H,468.4411,450.4305,432.42,226.2166,208.206,242.2478,196.206
Cer-NS(d14:1/15:1)+H,466.4255,448.4149,430.4043,226.2166,208.206,240.2322,196.206
Cer-NS(d14:1/16:0)+H,482.4568,464.4462,446.4356,226.2166,208.206,256.2635,196.206
Cer-NS(d14:1/16:1)+H,480.4411,462.4305,444.42,226.2166,208.206,254.2478,196.206
Cer-NS(d14:1/16:2)+H,478.4255,460.4149,442.4043,226.2166,208.206,252.2322,196.206
Cer-NS(d14:1/17:0)+H,496.4724,478.4619,460.4513,226.2166,208.206,270.2791,196.206
Cer-NS(d14:1/18:0)+H,510.4881,492.4775,474.4669,226.2166,208.206,284.2948,196.206
Cer-NS(d14:1/18:1)+H,508.4724,490.4619,472.4513,226.2166,208.206,282.2791,196.206
Cer-NS(d14:1/18:2)+H,506.4568,488.4462,470.4356,226.2166,208.206,280.2635,196.206
Cer-NS(d14:1/19:0)+H,524.5037,506.4932,488.4826,226.2166,208.206,298.3105,196.206
Cer-NS(d14:1/19:1)+H,522.4881,504.4775,486.4669,226.2166,208.206,296.2948,196.206
Cer-NS(d14:1/20:0)+H,538.5193,520.5088,502.4982,226.2166,208.206,312.3261,196.206
Cer-NS(d14:1/20:1)+H,536.5037,518.4932,500.4826,226.2166,208.206,310.3105,196.206
Cer-NS(d14:1/20:2)+H,534.4881,516.4775,498.4669,226.2166,208.206,308.2948,196.206
Cer-NS(d14:1/21:0)+H,552.535,534.5245,516.5139,226.2166,208.206,326.3417,196.206
Cer-NS(d14:1/21:1)+H,550.5193,532.5088,514.4982,226.2166,208.206,324.3261,196.206
Cer-NS(d14:1/22:0)+H,566.5507,548.5401,530.5295,226.2166,208.206,340.3574,196.206
Cer-NS(d14:1/22:1)+H,564.535,546.5245,528.5139,226.2166,208.206,338.3417,196.206
Cer-NS(d14:1/22:2)+H,562.5193,544.5088,526.4982,226.2166,208.206,336.3261,196.206
Cer-NS(d14:1/23:0)+H,580.5663,562.5557,544.5452,226.2166,208.206,354.373,196.206
Cer-NS(d14:1/23:1)+H,578.5507,560.5401,542.5295,226.2166,208.206,352.3574,196.206
Cer-NS(d14:1/24:0)+H,594.582,576.5714,558.5609,226.2166,208.206,368.3887,196.206
Cer-NS(d14:1/24:1)+H,592.5663,574.5557,556.5452,226.2166,208.206,366.373,196.206
Cer-NS(d14:1/24:2)+H,590.5507,572.5401,554.5295,226.2166,208.206,364.3574,196.206
Cer-NS(d14:1/25:0)+H,608.5976,590.587,572.5765,226.2166,208.206,382.4044,196.206
Cer-NS(d14:1/25:1)+H,606.582,588.5714,570.5609,226.2166,208.206,380.3887,196.206
Cer-NS(d14:1/26:0)+H,622.6133,604.6027,586.5921,226.2166,208.206,396.42,196.206
Cer-NS(d14:1/26:1)+H,620.5976,602.587,584.5765,226.2166,208.206,394.4044,196.206
Cer-NS(d14:1/26:2)+H,618.582,600.5714,582.5609,226.2166,208.206,392.3887,196.206
Cer-NS(d14:1/27:0)+H,636.6289,618.6183,600.6078,226.2166,208.206,410.4356,196.206
