Cer_NS,[M+HCO2]-,[M-H]-,[M-CO-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[FA+NCCO-3H]-,[FA+NCCO-3H]-,[Sph-N-O-5H]-,[FA+N-H]-,[Sph-NCC-3H]-,[FA-3H]-
Cer_NS(d16:1/14:0)+HCO2,526.44763,480.44225,450.43165,448.41595,432.42105,268.22825,252.23335,235.20725,226.21815,209.19162,209.19165
Cer_NS(d16:1/14:1)+HCO2,524.43197,478.42659,448.41599,446.40029,430.40539,266.21259,250.21769,235.20725,224.20249,209.19162,207.17599
Cer_NS(d16:1/14:2)+HCO2,522.41631,476.41093,446.40033,444.38463,428.38973,264.19693,248.20203,235.20725,222.18683,209.19162,205.16033
Cer_NS(d16:1/14:3)+HCO2,520.40065,474.39527,444.38467,442.36897,426.37407,262.18127,246.18637,235.20725,220.17117,209.19162,203.14467
Cer_NS(d16:1/15:0)+HCO2,540.46329,494.45791,464.44731,462.43161,446.43671,282.24391,266.24901,235.20725,240.23381,209.19162,223.20731
Cer_NS(d16:1/15:1)+HCO2,538.44763,492.44225,462.43165,460.41595,444.42105,280.22825,264.23335,235.20725,238.21815,209.19162,221.19165
Cer_NS(d16:1/15:2)+HCO2,536.43197,490.42659,460.41599,458.40029,442.40539,278.21259,262.21769,235.20725,236.20249,209.19162,219.17599
Cer_NS(d16:1/15:3)+HCO2,534.41631,488.41093,458.40033,456.38463,440.38973,276.19693,260.20203,235.20725,234.18683,209.19162,217.16033
Cer_NS(d16:1/16:0)+HCO2,554.47895,508.47357,478.46297,476.44727,460.45237,296.25957,280.26467,235.20725,254.24947,209.19162,237.22297
Cer_NS(d16:1/16:1)+HCO2,552.46329,506.45791,476.44731,474.43161,458.43671,294.24391,278.24901,235.20725,252.23381,209.19162,235.20731
Cer_NS(d16:1/16:2)+HCO2,550.44763,504.44225,474.43165,472.41595,456.42105,292.22825,276.23335,235.20725,250.21815,209.19162,233.19165
Cer_NS(d16:1/16:3)+HCO2,548.43197,502.42659,472.41599,470.40029,454.40539,290.21259,274.21769,235.20725,248.20249,209.19162,231.17599
Cer_NS(d16:1/16:4)+HCO2,546.41631,500.41093,470.40033,468.38463,452.38973,288.19693,272.20203,235.20725,246.18683,209.19162,229.16033
Cer_NS(d16:1/17:0)+HCO2,568.49461,522.48923,492.47863,490.46293,474.46803,310.27523,294.28033,235.20725,268.26513,209.19162,251.23863
