DGDG,[M+HCO2]-,[M-H]-,C15H27O13,C15H25O12,C15H23O11
DGDG(4:0)+HCO2,545.1718,499.1663,415.1457,397.1352,379.1246
DGDG(5:0)+HCO2,559.1874,513.1819,415.1457,397.1352,379.1246
DGDG(6:0)+HCO2,573.2031,527.1976,415.1457,397.1352,379.1246
DGDG(7:0)+HCO2,587.2188,541.2133,415.1457,397.1352,379.1246
DGDG(8:0)+HCO2,601.2344,555.2289,415.1457,397.1352,379.1246
DGDG(9:0)+HCO2,615.25,569.2446,415.1457,397.1352,379.1246
DGDG(10:0)+HCO2,629.2657,583.2602,415.1457,397.1352,379.1246
DGDG(11:0)+HCO2,643.2813,597.2759,415.1457,397.1352,379.1246
DGDG(12:0)+HCO2,657.297,611.2915,415.1457,397.1352,379.1246
DGDG(13:0)+HCO2,671.3126,625.3071,415.1457,397.1352,379.1246
DGDG(14:0)+HCO2,685.3283,639.3228,415.1457,397.1352,379.1246
DGDG(15:0)+HCO2,699.3439,653.3384,415.1457,397.1352,379.1246
DGDG(15:1)+HCO2,697.3283,651.3228,415.1457,397.1352,379.1246
DGDG(16:0)+HCO2,713.3596,667.3541,415.1457,397.1352,379.1246
DGDG(16:1)+HCO2,711.3439,665.3384,415.1457,397.1352,379.1246
DGDG(17:0)+HCO2,727.3752,681.3698,415.1457,397.1352,379.1246
DGDG(17:1)+HCO2,725.3596,679.3541,415.1457,397.1352,379.1246
DGDG(18:0)+HCO2,741.3909,695.3854,415.1457,397.1352,379.1246
DGDG(18:1)+HCO2,739.3752,693.3698,415.1457,397.1352,379.1246
DGDG(18:2)+HCO2,737.3596,691.3541,415.1457,397.1352,379.1246
DGDG(18:3)+HCO2,735.3439,689.3384,415.1457,397.1352,379.1246
DGDG(18:4)+HCO2,733.3283,687.3228,415.1457,397.1352,379.1246
DGDG(19:0)+HCO2,755.4066,709.4011,415.1457,397.1352,379.1246
DGDG(19:1)+HCO2,753.3909,707.3854,415.1457,397.1352,379.1246
DGDG(19:2)+HCO2,751.3752,705.3698,415.1457,397.1352,379.1246
DGDG(20:0)+HCO2,769.4222,723.4167,415.1457,397.1352,379.1246
DGDG(20:1)+HCO2,767.4066,721.4011,415.1457,397.1352,379.1246
DGDG(20:2)+HCO2,765.3909,719.3854,415.1457,397.1352,379.1246
DGDG(20:3)+HCO2,763.3752,717.3698,415.1457,397.1352,379.1246
DGDG(20:4)+HCO2,761.3596,715.3541,415.1457,397.1352,379.1246
DGDG(20:5)+HCO2,759.3439,713.3384,415.1457,397.1352,379.1246
DGDG(21:0)+HCO2,783.4378,737.4324,415.1457,397.1352,379.1246
DGDG(21:1)+HCO2,781.4222,735.4167,415.1457,397.1352,379.1246
DGDG(21:2)+HCO2,779.4066,733.4011,415.1457,397.1352,379.1246
DGDG(22:0)+HCO2,797.4535,751.448,415.1457,397.1352,379.1246
DGDG(22:1)+HCO2,795.4378,749.4324,415.1457,397.1352,379.1246
DGDG(22:2)+HCO2,793.4222,747.4167,415.1457,397.1352,379.1246
DGDG(22:3)+HCO2,791.4066,745.4011,415.1457,397.1352,379.1246
DGDG(22:4)+HCO2,789.3909,743.3854,415.1457,397.1352,379.1246
DGDG(22:5)+HCO2,787.3752,741.3698,415.1457,397.1352,379.1246
DGDG(23:0)+HCO2,811.4691,765.4636,415.1457,397.1352,379.1246
DGDG(23:1)+HCO2,809.4535,763.448,415.1457,397.1352,379.1246
DGDG(23:2)+HCO2,807.4378,761.4324,415.1457,397.1352,379.1246
DGDG(24:0)+HCO2,825.4848,779.4793,415.1457,397.1352,379.1246
DGDG(24:1)+HCO2,823.4691,777.4636,415.1457,397.1352,379.1246
DGDG(24:2)+HCO2,821.4535,775.448,415.1457,397.1352,379.1246
DGDG(24:3)+HCO2,819.4378,773.4324,415.1457,397.1352,379.1246
DGDG(24:4)+HCO2,817.4222,771.4167,415.1457,397.1352,379.1246
DGDG(24:5)+HCO2,815.4066,769.4011,415.1457,397.1352,379.1246
DGDG(24:6)+HCO2,813.3909,767.3854,415.1457,397.1352,379.1246
DGDG(25:0)+HCO2,839.5004,793.4949,415.1457,397.1352,379.1246
DGDG(26:0)+HCO2,853.5161,807.5106,415.1457,397.1352,379.1246
DGDG(26:1)+HCO2,851.5004,805.4949,415.1457,397.1352,379.1246
DGDG(26:2)+HCO2,849.4848,803.4793,415.1457,397.1352,379.1246
DGDG(26:4)+HCO2,845.4535,799.448,415.1457,397.1352,379.1246
DGDG(27:0)+HCO2,867.5317,821.5262,415.1457,397.1352,379.1246
DGDG(28:0)+HCO2,881.5474,835.5419,415.1457,397.1352,379.1246
DGDG(28:1)+HCO2,879.5317,833.5262,415.1457,397.1352,379.1246
DGDG(28:2)+HCO2,877.5161,831.5106,415.1457,397.1352,379.1246
DGDG(28:4)+HCO2,873.4848,827.4793,415.1457,397.1352,379.1246
DGDG(29:0)+HCO2,895.563,849.5576,415.1457,397.1352,379.1246
DGDG(19:3)+HCO2,749.3596,703.3541,415.1457,397.1352,379.1246
DGDG(19:4)+HCO2,747.3439,701.3384,415.1457,397.1352,379.1246
DGDG(21:3)+HCO2,777.3909,731.3854,415.1457,397.1352,379.1246
DGDG(21:4)+HCO2,775.3752,729.3698,415.1457,397.1352,379.1246
DGDG(21:5)+HCO2,773.3596,727.3541,415.1457,397.1352,379.1246
DGDG(23:3)+HCO2,805.4222,759.4167,415.1457,397.1352,379.1246
DGDG(23:4)+HCO2,803.4066,757.4011,415.1457,397.1352,379.1246
DGDG(23:5)+HCO2,801.3909,755.3854,415.1457,397.1352,379.1246
DGDG(25:1)+HCO2,837.4848,791.4793,415.1457,397.1352,379.1246
DGDG(25:2)+HCO2,835.4691,789.4636,415.1457,397.1352,379.1246
DGDG(25:3)+HCO2,833.4535,787.448,415.1457,397.1352,379.1246
DGDG(25:4)+HCO2,831.4378,785.4324,415.1457,397.1352,379.1246
DGDG(25:5)+HCO2,829.4222,783.4167,415.1457,397.1352,379.1246
DGDG(25:6)+HCO2,827.4066,781.4011,415.1457,397.1352,379.1246
DGDG(27:1)+HCO2,865.5161,819.5106,415.1457,397.1352,379.1246
DGDG(27:2)+HCO2,863.5004,817.4949,415.1457,397.1352,379.1246
DGDG(27:4)+HCO2,859.4691,813.4636,415.1457,397.1352,379.1246
DGDG(29:1)+HCO2,893.5474,847.5419,415.1457,397.1352,379.1246
DGDG(29:2)+HCO2,891.5317,845.5262,415.1457,397.1352,379.1246
DGDG(29:4)+HCO2,887.5004,841.4949,415.1457,397.1352,379.1246
DGDG(30:0)+HCO2,909.5787,863.5732,415.1457,397.1352,379.1246
DGDG(26:3)+HCO2,847.4691,801.4636,415.1457,397.1352,379.1246
DGDG(26:5)+HCO2,843.4378,797.4324,415.1457,397.1352,379.1246
DGDG(26:6)+HCO2,841.4222,795.4167,415.1457,397.1352,379.1246
DGDG(30:1)+HCO2,907.563,861.5576,415.1457,397.1352,379.1246
DGDG(30:2)+HCO2,905.5474,859.5419,415.1457,397.1352,379.1246
DGDG(30:4)+HCO2,901.5161,855.5106,415.1457,397.1352,379.1246
DGDG(31:0)+HCO2,923.5944,877.5889,415.1457,397.1352,379.1246
DGDG(27:3)+HCO2,861.4848,815.4793,415.1457,397.1352,379.1246
DGDG(27:5)+HCO2,857.4535,811.448,415.1457,397.1352,379.1246
DGDG(27:6)+HCO2,855.4378,809.4324,415.1457,397.1352,379.1246
DGDG(31:1)+HCO2,921.5787,875.5732,415.1457,397.1352,379.1246
DGDG(31:2)+HCO2,919.563,873.5576,415.1457,397.1352,379.1246
DGDG(31:4)+HCO2,915.5317,869.5262,415.1457,397.1352,379.1246
DGDG(32:0)+HCO2,937.61,891.6045,415.1457,397.1352,379.1246
DGDG(28:3)+HCO2,875.5004,829.4949,415.1457,397.1352,379.1246
DGDG(28:5)+HCO2,871.4691,825.4636,415.1457,397.1352,379.1246
DGDG(28:6)+HCO2,869.4535,823.448,415.1457,397.1352,379.1246
DGDG(32:1)+HCO2,935.5944,889.5889,415.1457,397.1352,379.1246
DGDG(32:2)+HCO2,933.5787,887.5732,415.1457,397.1352,379.1246
DGDG(32:4)+HCO2,929.5474,883.5419,415.1457,397.1352,379.1246
DGDG(33:0)+HCO2,951.6256,905.6202,415.1457,397.1352,379.1246
DGDG(29:3)+HCO2,889.5161,843.5106,415.1457,397.1352,379.1246
DGDG(29:5)+HCO2,885.4848,839.4793,415.1457,397.1352,379.1246
DGDG(29:6)+HCO2,883.4691,837.4636,415.1457,397.1352,379.1246
DGDG(33:1)+HCO2,949.61,903.6045,415.1457,397.1352,379.1246
DGDG(33:2)+HCO2,947.5944,901.5889,415.1457,397.1352,379.1246
DGDG(33:4)+HCO2,943.563,897.5576,415.1457,397.1352,379.1246
DGDG(34:0)+HCO2,965.6413,919.6358,415.1457,397.1352,379.1246
DGDG(30:3)+HCO2,903.5317,857.5262,415.1457,397.1352,379.1246
DGDG(30:5)+HCO2,899.5004,853.4949,415.1457,397.1352,379.1246
DGDG(30:6)+HCO2,897.4848,851.4793,415.1457,397.1352,379.1246
DGDG(34:1)+HCO2,963.6256,917.6202,415.1457,397.1352,379.1246
DGDG(34:2)+HCO2,961.61,915.6045,415.1457,397.1352,379.1246
DGDG(34:4)+HCO2,957.5787,911.5732,415.1457,397.1352,379.1246
DGDG(35:0)+HCO2,979.6569,933.6514,415.1457,397.1352,379.1246
DGDG(31:3)+HCO2,917.5474,871.5419,415.1457,397.1352,379.1246
DGDG(31:5)+HCO2,913.5161,867.5106,415.1457,397.1352,379.1246
DGDG(31:6)+HCO2,911.5004,865.4949,415.1457,397.1352,379.1246
DGDG(35:1)+HCO2,977.6413,931.6358,415.1457,397.1352,379.1246
DGDG(35:2)+HCO2,975.6256,929.6202,415.1457,397.1352,379.1246
DGDG(35:4)+HCO2,971.5944,925.5889,415.1457,397.1352,379.1246
DGDG(36:0)+HCO2,993.6726,947.6671,415.1457,397.1352,379.1246
DGDG(32:3)+HCO2,931.563,885.5576,415.1457,397.1352,379.1246
DGDG(32:5)+HCO2,927.5317,881.5262,415.1457,397.1352,379.1246
DGDG(32:6)+HCO2,925.5161,879.5106,415.1457,397.1352,379.1246
DGDG(36:1)+HCO2,991.6569,945.6514,415.1457,397.1352,379.1246
DGDG(36:2)+HCO2,989.6413,943.6358,415.1457,397.1352,379.1246
DGDG(36:4)+HCO2,985.61,939.6045,415.1457,397.1352,379.1246
DGDG(37:0)+HCO2,1007.688,961.6827,415.1457,397.1352,379.1246
DGDG(33:3)+HCO2,945.5787,899.5732,415.1457,397.1352,379.1246
DGDG(33:5)+HCO2,941.5474,895.5419,415.1457,397.1352,379.1246
DGDG(33:6)+HCO2,939.5317,893.5262,415.1457,397.1352,379.1246
DGDG(37:1)+HCO2,1005.673,959.6671,415.1457,397.1352,379.1246
DGDG(37:2)+HCO2,1003.657,957.6514,415.1457,397.1352,379.1246
DGDG(37:4)+HCO2,999.6256,953.6202,415.1457,397.1352,379.1246
DGDG(38:0)+HCO2,1021.704,975.6984,415.1457,397.1352,379.1246
DGDG(34:3)+HCO2,959.5944,913.5889,415.1457,397.1352,379.1246
DGDG(34:5)+HCO2,955.563,909.5576,415.1457,397.1352,379.1246
DGDG(34:6)+HCO2,953.5474,907.5419,415.1457,397.1352,379.1246
DGDG(38:1)+HCO2,1019.688,973.6827,415.1457,397.1352,379.1246
DGDG(38:2)+HCO2,1017.673,971.6671,415.1457,397.1352,379.1246
DGDG(38:4)+HCO2,1013.641,967.6358,415.1457,397.1352,379.1246
DGDG(39:0)+HCO2,1035.719,989.7141,415.1457,397.1352,379.1246
DGDG(35:3)+HCO2,973.61,927.6045,415.1457,397.1352,379.1246
DGDG(35:5)+HCO2,969.5787,923.5732,415.1457,397.1352,379.1246
DGDG(35:6)+HCO2,967.563,921.5576,415.1457,397.1352,379.1246
DGDG(39:1)+HCO2,1033.704,987.6984,415.1457,397.1352,379.1246
DGDG(39:2)+HCO2,1031.688,985.6827,415.1457,397.1352,379.1246
DGDG(39:4)+HCO2,1027.657,981.6514,415.1457,397.1352,379.1246
DGDG(40:0)+HCO2,1049.735,1003.73,415.1457,397.1352,379.1246
DGDG(35:7)+HCO2,965.5474,919.5419,415.1457,397.1352,379.1246
DGDG(37:3)+HCO2,1001.641,955.6358,415.1457,397.1352,379.1246
DGDG(37:5)+HCO2,997.61,951.6045,415.1457,397.1352,379.1246
DGDG(39:3)+HCO2,1029.673,983.6671,415.1457,397.1352,379.1246
DGDG(39:5)+HCO2,1025.641,979.6358,415.1457,397.1352,379.1246
DGDG(40:1)+HCO2,1047.719,1001.714,415.1457,397.1352,379.1246
DGDG(36:3)+HCO2,987.6256,941.6202,415.1457,397.1352,379.1246
DGDG(36:5)+HCO2,983.5944,937.5889,415.1457,397.1352,379.1246
DGDG(36:6)+HCO2,981.5787,935.5732,415.1457,397.1352,379.1246
DGDG(40:2)+HCO2,1045.704,999.6984,415.1457,397.1352,379.1246
DGDG(40:4)+HCO2,1041.673,995.6671,415.1457,397.1352,379.1246
DGDG(41:0)+HCO2,1063.751,1017.745,415.1457,397.1352,379.1246
DGDG(36:7)+HCO2,979.563,933.5576,415.1457,397.1352,379.1246
DGDG(38:3)+HCO2,1015.657,969.6514,415.1457,397.1352,379.1246
DGDG(38:5)+HCO2,1011.626,965.6202,415.1457,397.1352,379.1246
DGDG(40:3)+HCO2,1043.688,997.6827,415.1457,397.1352,379.1246
DGDG(40:5)+HCO2,1039.657,993.6514,415.1457,397.1352,379.1246
DGDG(41:1)+HCO2,1061.735,1015.73,415.1457,397.1352,379.1246
DGDG(37:6)+HCO2,995.5944,949.5889,415.1457,397.1352,379.1246
DGDG(41:2)+HCO2,1059.719,1013.714,415.1457,397.1352,379.1246
DGDG(41:4)+HCO2,1055.688,1009.683,415.1457,397.1352,379.1246
