Ganglioside,[M-H]-,Ceramide,M-NeuAc-H,M-Cer-C6H10O5,ion_C11H16NO8
NeuAcalpha2-3Galbeta-Cer(d18:1_16:0)-H,989.653065,536.5045,698.557655,698.55732,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_18:0)-H,1017.684365,564.53578,726.5889551,726.5886,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_20:0)-H,1045.715665,592.56706,754.6202552,754.61988,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_22:0)-H,1073.746965,620.59834,782.6515554,782.65116,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_24:0)-H,1101.778265,648.62962,810.6828555,810.68244,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_26:0)-H,1129.809566,676.6609,838.7141556,838.71372,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_24:1)-H,1099.762615,646.61398,808.6672054,808.6668,290.08814
NeuAcalpha2-3Galbeta-Cer(d18:1_26:1)-H,1127.793916,674.64526,836.6985055,836.69808,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1678.890908,536.5045,1387.795498,698.55732,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1706.922208,564.53578,1415.826798,726.5886,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1734.953508,592.56706,1443.858098,754.61988,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1762.984808,620.59834,1471.889398,782.65116,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1791.016108,648.62962,1499.920698,810.68244,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1819.047408,676.6609,1527.951998,838.71372,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1789.000458,646.61398,1497.905048,808.6668,290.08814
