HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t14:0/12:0)+HCO2,666.4429,620.4374,458.3846,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t14:0/12:1)+HCO2,664.4272,618.4218,456.3689,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t14:0/13:0)+HCO2,680.4585,634.453,472.4002,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t14:0/13:1)+HCO2,678.4429,632.4374,470.3846,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t14:0/14:0)+HCO2,694.4741,648.4687,486.4158,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t14:0/14:1)+HCO2,692.4585,646.453,484.4002,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t14:0/15:0)+HCO2,708.4898,662.4843,500.4315,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t14:0/15:1)+HCO2,706.4741,660.4687,498.4158,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t14:0/16:0)+HCO2,722.5054,676.5,514.4471,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t14:0/16:1)+HCO2,720.4898,674.4843,512.4315,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t14:0/16:2)+HCO2,718.4741,672.4687,510.4158,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t14:0/17:0)+HCO2,736.5211,690.5156,528.4628,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t14:0/18:0)+HCO2,750.5367,704.5313,542.4785,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t14:0/18:1)+HCO2,748.5211,702.5156,540.4628,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t14:0/18:2)+HCO2,746.5054,700.5,538.4471,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t14:0/19:0)+HCO2,764.5524,718.5469,556.4941,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t14:0/19:1)+HCO2,762.5367,716.5313,554.4785,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t14:0/20:0)+HCO2,778.5681,732.5626,570.5098,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t14:0/20:1)+HCO2,776.5524,730.5469,568.4941,380.3159,350.3054,325.2748,179.0556,279.2693
