GlcCer_NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NDS(d16:0/14:0)+H,646.52525,484.47245,466.46185,448.45125,256.26295,238.25235,228.23165,226.25235
GlcCer_NDS(d16:0/14:1)+H,644.50955,482.45675,464.44615,446.43565,256.26295,238.25235,226.21605,226.25235
GlcCer_NDS(d16:0/14:2)+H,642.49395,480.44115,462.43055,444.41995,256.26295,238.25235,224.20035,226.25235
GlcCer_NDS(d16:0/14:3)+H,640.47825,478.42545,460.41485,442.40435,256.26295,238.25235,222.18475,226.25235
GlcCer_NDS(d16:0/15:0)+H,660.54085,498.48805,480.47745,462.46695,256.26295,238.25235,242.24725,226.25235
GlcCer_NDS(d16:0/15:1)+H,658.52525,496.47245,478.46185,460.45125,256.26295,238.25235,240.23165,226.25235
GlcCer_NDS(d16:0/15:2)+H,656.50955,494.45675,476.44615,458.43565,256.26295,238.25235,238.21605,226.25235
GlcCer_NDS(d16:0/15:3)+H,654.49395,492.44115,474.43055,456.41995,256.26295,238.25235,236.20035,226.25235
GlcCer_NDS(d16:0/16:0)+H,674.55655,512.50375,494.49315,476.48255,256.26295,238.25235,256.26295,226.25235
GlcCer_NDS(d16:0/16:1)+H,672.54085,510.48805,492.47745,474.46695,256.26295,238.25235,254.24725,226.25235
GlcCer_NDS(d16:0/16:2)+H,670.52525,508.47245,490.46185,472.45125,256.26295,238.25235,252.23165,226.25235
GlcCer_NDS(d16:0/16:3)+H,668.50955,506.45675,488.44615,470.43565,256.26295,238.25235,250.21605,226.25235
GlcCer_NDS(d16:0/16:4)+H,666.49395,504.44115,486.43055,468.41995,256.26295,238.25235,248.20035,226.25235
GlcCer_NDS(d16:0/17:0)+H,688.57225,526.51935,508.50875,490.49825,256.26295,238.25235,270.27855,226.25235
GlcCer_NDS(d16:0/17:1)+H,686.55655,524.50375,506.49315,488.48255,256.26295,238.25235,268.26295,226.25235
GlcCer_NDS(d16:0/17:2)+H,684.54085,522.48805,504.47745,486.46695,256.26295,238.25235,266.24735,226.25235
GlcCer_NDS(d16:0/17:3)+H,682.52525,520.47245,502.46185,484.45125,256.26295,238.25235,264.23165,226.25235
GlcCer_NDS(d16:0/18:0)+H,702.58785,540.53505,522.52445,504.51385,256.26295,238.25235,284.29425,226.25235
GlcCer_NDS(d16:0/18:1)+H,700.57225,538.51935,520.50875,502.49825,256.26295,238.25235,282.27855,226.25235
GlcCer_NDS(d16:0/18:2)+H,698.55655,536.50375,518.49315,500.48255,256.26295,238.25235,280.26295,226.25235
GlcCer_NDS(d16:0/18:3)+H,696.54085,534.48805,516.47745,498.46695,256.26295,238.25235,278.24735,226.25235
GlcCer_NDS(d16:0/18:4)+H,694.52525,532.47245,514.46185,496.45125,256.26295,238.25235,276.23165,226.25235
GlcCer_NDS(d16:0/19:0)+H,716.60355,554.55065,536.54005,518.52955,256.26295,238.25235,298.30995,226.25235
GlcCer_NDS(d16:0/19:1)+H,714.58785,552.53505,534.52445,516.51385,256.26295,238.25235,296.29425,226.25235
GlcCer_NDS(d16:0/19:2)+H,712.57225,550.51935,532.50875,514.49825,256.26295,238.25235,294.27855,226.25235
GlcCer_NDS(d16:0/19:3)+H,710.55655,548.50375,530.49315,512.48255,256.26295,238.25235,292.26295,226.25235
GlcCer_NDS(d16:0/19:4)+H,708.54085,546.48805,528.47745,510.46695,256.26295,238.25235,290.24735,226.25235
GlcCer_NDS(d16:0/20:0)+H,730.61915,568.56625,550.55575,532.54515,256.26295,238.25235,312.32555,226.25235
GlcCer_NDS(d16:0/20:1)+H,728.60355,566.55065,548.54005,530.52955,256.26295,238.25235,310.30995,226.25235
GlcCer_NDS(d16:0/20:2)+H,726.58785,564.53505,546.52445,528.51385,256.26295,238.25235,308.29425,226.25235
GlcCer_NDS(d16:0/20:3)+H,724.57225,562.51935,544.50875,526.49825,256.26295,238.25235,306.27855,226.25235
GlcCer_NDS(d16:0/20:4)+H,722.55655,560.50375,542.49315,524.48255,256.26295,238.25235,304.26295,226.25235
GlcCer_NDS(d16:0/21:0)+H,744.63475,582.58195,564.57145,546.56075,256.26295,238.25235,326.34115,226.25235
GlcCer_NDS(d16:0/21:1)+H,742.61915,580.56625,562.55575,544.54515,256.26295,238.25235,324.32555,226.25235
GlcCer_NDS(d16:0/21:2)+H,740.60355,578.55065,560.54005,542.52955,256.26295,238.25235,322.30995,226.25235
GlcCer_NDS(d16:0/21:3)+H,738.58785,576.53505,558.52445,540.51385,256.26295,238.25235,320.29425,226.25235
GlcCer_NDS(d16:0/21:4)+H,736.57225,574.51935,556.50875,538.49825,256.26295,238.25235,318.27855,226.25235
GlcCer_NDS(d16:0/22:0)+H,758.65045,596.59755,578.58705,560.57645,256.26295,238.25235,340.35685,226.25235
GlcCer_NDS(d16:0/22:1)+H,756.63475,594.58195,576.57145,558.56075,256.26295,238.25235,338.34115,226.25235
GlcCer_NDS(d16:0/22:2)+H,754.61915,592.56625,574.55575,556.54515,256.26295,238.25235,336.32555,226.25235
GlcCer_NDS(d16:0/22:3)+H,752.60355,590.55065,572.54005,554.52955,256.26295,238.25235,334.30995,226.25235
GlcCer_NDS(d16:0/22:4)+H,750.58785,588.53505,570.52445,552.51385,256.26295,238.25235,332.29425,226.25235
GlcCer_NDS(d16:0/23:0)+H,772.66605,610.61325,592.60265,574.59215,256.26295,238.25235,354.37245,226.25235
GlcCer_NDS(d16:0/23:1)+H,770.65045,608.59755,590.58705,572.57645,256.26295,238.25235,352.35685,226.25235
GlcCer_NDS(d16:0/23:2)+H,768.63475,606.58195,588.57145,570.56075,256.26295,238.25235,350.34115,226.25235
GlcCer_NDS(d16:0/23:3)+H,766.61915,604.56625,586.55575,568.54515,256.26295,238.25235,348.32555,226.25235
GlcCer_NDS(d16:0/23:4)+H,764.60355,602.55065,584.54005,566.52955,256.26295,238.25235,346.30995,226.25235
GlcCer_NDS(d16:0/24:0)+H,786.68175,624.62895,606.61835,588.60775,256.26295,238.25235,368.38815,226.25235
GlcCer_NDS(d16:0/24:1)+H,784.66605,622.61325,604.60265,586.59215,256.26295,238.25235,366.37245,226.25235
GlcCer_NDS(d16:0/24:2)+H,782.65045,620.59755,602.58705,584.57645,256.26295,238.25235,364.35685,226.25235
GlcCer_NDS(d16:0/24:3)+H,780.63475,618.58195,600.57145,582.56075,256.26295,238.25235,362.34115,226.25235
GlcCer_NDS(d16:0/24:4)+H,778.61915,616.56625,598.55575,580.54515,256.26295,238.25235,360.32555,226.25235
GlcCer_NDS(d16:0/25:0)+H,800.69735,638.64455,620.63395,602.62345,256.26295,238.25235,382.40385,226.25235
GlcCer_NDS(d16:0/25:1)+H,798.68175,636.62895,618.61835,600.60775,256.26295,238.25235,380.38815,226.25235
GlcCer_NDS(d16:0/25:2)+H,796.66605,634.61325,616.60265,598.59215,256.26295,238.25235,378.37245,226.25235
GlcCer_NDS(d16:0/25:3)+H,794.65045,632.59755,614.58705,596.57645,256.26295,238.25235,376.35685,226.25235
GlcCer_NDS(d16:0/25:4)+H,792.63475,630.58195,612.57145,594.56075,256.26295,238.25235,374.34115,226.25235
