GlcCer_NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
GlcCer_NDS(d16:0/14:0)-H,644.51065,482.45785,252.23335,211.20725,209.21545,179.05615
GlcCer_NDS(d16:0/14:1)-H,642.49505,480.44225,250.21765,211.20725,207.19975,179.05615
GlcCer_NDS(d16:0/14:2)-H,640.47935,478.42655,248.20195,211.20725,205.18415,179.05615
GlcCer_NDS(d16:0/14:3)-H,638.46375,476.41095,246.18635,211.20725,203.16855,179.05615
GlcCer_NDS(d16:0/15:0)-H,658.52635,496.47355,266.24895,211.20725,223.23105,179.05615
GlcCer_NDS(d16:0/15:1)-H,656.51065,494.45785,264.23335,211.20725,221.21545,179.05615
GlcCer_NDS(d16:0/15:2)-H,654.49505,492.44225,262.21765,211.20725,219.19975,179.05615
GlcCer_NDS(d16:0/15:3)-H,652.47935,490.42655,260.20195,211.20725,217.18415,179.05615
GlcCer_NDS(d16:0/16:0)-H,672.54195,510.48915,280.26455,211.20725,237.24675,179.05615
GlcCer_NDS(d16:0/16:1)-H,670.52635,508.47355,278.24895,211.20725,235.23105,179.05615
GlcCer_NDS(d16:0/16:2)-H,668.51065,506.45785,276.23335,211.20725,233.21545,179.05615
GlcCer_NDS(d16:0/16:3)-H,666.49505,504.44225,274.21765,211.20725,231.19975,179.05615
GlcCer_NDS(d16:0/16:4)-H,664.47935,502.42655,272.20195,211.20725,229.18415,179.05615
GlcCer_NDS(d16:0/17:0)-H,686.55765,524.50485,294.28025,211.20725,251.26245,179.05615
GlcCer_NDS(d16:0/17:1)-H,684.54195,522.48915,292.26455,211.20725,249.24675,179.05615
GlcCer_NDS(d16:0/17:2)-H,682.52635,520.47355,290.24895,211.20725,247.23105,179.05615
GlcCer_NDS(d16:0/17:3)-H,680.51065,518.45785,288.23335,211.20725,245.21545,179.05615
GlcCer_NDS(d16:0/18:0)-H,700.57335,538.52045,308.29585,211.20725,265.27805,179.05615
GlcCer_NDS(d16:0/18:1)-H,698.55765,536.50485,306.28025,211.20725,263.26235,179.05615
