GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d16:1/14:0)+HCO2,688.50053,642.49503,480.44223,252.23335,209.21525,209.19162,179.05615
GlcCer_NS(d16:1/14:1)+HCO2,686.48487,640.47937,478.42657,250.21769,207.19959,209.19162,179.05615
GlcCer_NS(d16:1/14:2)+HCO2,684.46921,638.46371,476.41091,248.20203,205.18393,209.19162,179.05615
GlcCer_NS(d16:1/14:3)+HCO2,682.45355,636.44805,474.39525,246.18637,203.16827,209.19162,179.05615
GlcCer_NS(d16:1/15:0)+HCO2,702.51619,656.51069,494.45789,266.24901,223.23091,209.19162,179.05615
GlcCer_NS(d16:1/15:1)+HCO2,700.50053,654.49503,492.44223,264.23335,221.21525,209.19162,179.05615
GlcCer_NS(d16:1/15:2)+HCO2,698.48487,652.47937,490.42657,262.21769,219.19959,209.19162,179.05615
GlcCer_NS(d16:1/15:3)+HCO2,696.46921,650.46371,488.41091,260.20203,217.18393,209.19162,179.05615
GlcCer_NS(d16:1/16:0)+HCO2,716.53185,670.52635,508.47355,280.26467,237.24657,209.19162,179.05615
GlcCer_NS(d16:1/16:1)+HCO2,714.51619,668.51069,506.45789,278.24901,235.23091,209.19162,179.05615
GlcCer_NS(d16:1/16:2)+HCO2,712.50053,666.49503,504.44223,276.23335,233.21525,209.19162,179.05615
GlcCer_NS(d16:1/16:3)+HCO2,710.48487,664.47937,502.42657,274.21769,231.19959,209.19162,179.05615
GlcCer_NS(d16:1/16:4)+HCO2,708.46921,662.46371,500.41091,272.20203,229.18393,209.19162,179.05615
GlcCer_NS(d16:1/17:0)+HCO2,730.54751,684.54201,522.48921,294.28033,251.26223,209.19162,179.05615
GlcCer_NS(d16:1/17:1)+HCO2,728.53185,682.52635,520.47355,292.26467,249.24657,209.19162,179.05615
GlcCer_NS(d16:1/17:2)+HCO2,726.51619,680.51069,518.45789,290.24901,247.23091,209.19162,179.05615
GlcCer_NS(d16:1/17:3)+HCO2,724.50053,678.49503,516.44223,288.23335,245.21525,209.19162,179.05615
GlcCer_NS(d16:1/18:0)+HCO2,744.56317,698.55767,536.50487,308.29599,265.27789,209.19162,179.05615
GlcCer_NS(d16:1/18:1)+HCO2,742.54751,696.54201,534.48921,306.28033,263.26223,209.19162,179.05615
GlcCer_NS(d16:1/18:2)+HCO2,740.53185,694.52635,532.47355,304.26467,261.24657,209.19162,179.05615
GlcCer_NS(d16:1/18:3)+HCO2,738.51619,692.51069,530.45789,302.24901,259.23091,209.19162,179.05615
GlcCer_NS(d16:1/18:4)+HCO2,736.50053,690.49503,528.44223,300.23335,257.21525,209.19162,179.05615
GlcCer_NS(d16:1/19:0)+HCO2,758.57883,712.57333,550.52053,322.31165,279.29355,209.19162,179.05615
GlcCer_NS(d16:1/19:1)+HCO2,756.56317,710.55767,548.50487,320.29599,277.27789,209.19162,179.05615
GlcCer_NS(d16:1/19:2)+HCO2,754.54751,708.54201,546.48921,318.28033,275.26223,209.19162,179.05615
GlcCer_NS(d16:1/19:3)+HCO2,752.53185,706.52635,544.47355,316.26467,273.24657,209.19162,179.05615
GlcCer_NS(d16:1/19:4)+HCO2,750.51619,704.51069,542.45789,314.24901,271.23091,209.19162,179.05615
GlcCer_NS(d16:1/20:0)+HCO2,772.59449,726.58899,564.53619,336.32731,293.30921,209.19162,179.05615
GlcCer_NS(d16:1/20:1)+HCO2,770.57883,724.57333,562.52053,334.31165,291.29355,209.19162,179.05615
GlcCer_NS(d16:1/20:2)+HCO2,768.56317,722.55767,560.50487,332.29599,289.27789,209.19162,179.05615
GlcCer_NS(d16:1/20:3)+HCO2,766.54751,720.54201,558.48921,330.28033,287.26223,209.19162,179.05615
GlcCer_NS(d16:1/20:4)+HCO2,764.53185,718.52635,556.47355,328.26467,285.24657,209.19162,179.05615
GlcCer_NS(d16:1/21:0)+HCO2,786.61015,740.60465,578.55185,350.34297,307.32487,209.19162,179.05615
GlcCer_NS(d16:1/21:1)+HCO2,784.59449,738.58899,576.53619,348.32731,305.30921,209.19162,179.05615
GlcCer_NS(d16:1/21:2)+HCO2,782.57883,736.57333,574.52053,346.31165,303.29355,209.19162,179.05615
GlcCer_NS(d16:1/21:3)+HCO2,780.56317,734.55767,572.50487,344.29599,301.27789,209.19162,179.05615
GlcCer_NS(d16:1/21:4)+HCO2,778.54751,732.54201,570.48921,342.28033,299.26223,209.19162,179.05615
GlcCer_NS(d16:1/22:0)+HCO2,800.62581,754.62031,592.56751,364.35863,321.34053,209.19162,179.05615
GlcCer_NS(d16:1/22:1)+HCO2,798.61015,752.60465,590.55185,362.34297,319.32487,209.19162,179.05615
GlcCer_NS(d16:1/22:2)+HCO2,796.59449,750.58899,588.53619,360.32731,317.30921,209.19162,179.05615
GlcCer_NS(d16:1/22:3)+HCO2,794.57883,748.57333,586.52053,358.31165,315.29355,209.19162,179.05615
GlcCer_NS(d16:1/22:4)+HCO2,792.56317,746.55767,584.50487,356.29599,313.27789,209.19162,179.05615
