CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
Ac2PIM1_neg_minH.csv,2,3;4,TRUE,FALSE,FALSE,Neg,[M-H]-,Diacylated phosphatidylinositol monomannoside
Ac2PIM2_neg_minH.csv,2,3;4,TRUE,FALSE,FALSE,Neg,[M-H]-,Diacylated phosphatidylinositol dimannoside
Ac3PIM2_neg_minH.csv,3;4;5,,TRUE,FALSE,FALSE,Neg,[M-H]-,Triacylated phosphatidylinositol dimannoside
Ac4PIM2_neg_minH.csv,3;4;5;6,,TRUE,FALSE,FALSE,Neg,[M-H]-,Tetraacylated phosphatidylinositol dimannoside
AcCa_H.csv,2;6,,TRUE,TRUE,FALSE,Pos,[M+H]+,Acylcarnitine
BA_Glycine_neg_minH.csv,2,4;5,TRUE,TRUE,FALSE,Neg,[M-H]-,Bial Acid Glycine Conjugate
BA_neg_minH.csv,2;4,,TRUE,TRUE,FALSE,Neg,[M-H]-,Beta: Bial Acid
BA_Taurine_neg_minH.csv,,4;5,TRUE,TRUE,FALSE,Neg,[M-H]-,Bial Acid Taurine Conjugate
CE_NH4.csv,3;9,,TRUE,TRUE,FALSE,Pos,[M+NH4]+,Cholesterol Ester
CerP_H.csv,2;3,4;5;6;7,TRUE,FALSE,FALSE,Pos,[M+H]+,Ceramide-1-phosphate
CerP_neg_minH.csv,3,,TRUE,FALSE,FALSE,Neg,[M-H]-,Ceramide-1-phosphate
CL_3Na_min2H.csv,3;4;5;6,,TRUE,TRUE,FALSE,Pos,[M+3Na-2H]+,Cardiolipin: further fragments known
CL_neg_min2H.csv,11;12;13;14,,TRUE,TRUE,FALSE,Neg,[M-2H]-,Cardiolipin
CL_neg_minH.csv,9;10;11;12,,TRUE,TRUE,FALSE,Neg,[M-H]-,Cardiolipin: 13;14;15;16 may also be good fragments for confirmation
CL_NH4.csv,3;4,,TRUE,TRUE,FALSE,Pos,[M+NH4]+,Cardiolipin
CoQ_NH4.csv,3,,TRUE,TRUE,FALSE,Pos,[M+NH4]+,Coenzyme Q
DG_NH4.csv,3;4,,TRUE,TRUE,FALSE,Pos,[M+NH4]+,Diacylglyceride or Diacylglycerol
DGDG_neg_HCO2.csv,3;4,,TRUE,FALSE,FALSE,Neg,[M+HCO2]-,Digalactosyldiacylglycerol
