LPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,phosphoethanolamine+Na
LPE(8:0)+Na,364.148475,321.106275,223.1293807,176.99139,164.00888
LPE(10:0)+Na,392.179775,349.137575,251.1606807,176.99139,164.00888
LPE(12:0)+Na,420.211075,377.168875,279.1919807,176.99139,164.00888
LPE(13:0)+Na,434.226725,391.184525,293.2076307,176.99139,164.00888
LPE(14:0)+Na,448.242375,405.200175,307.2232807,176.99139,164.00888
LPE(14:1)+Na,446.226725,403.184525,305.2076307,176.99139,164.00888
LPE(15:0)+Na,462.258025,419.215825,321.2389307,176.99139,164.00888
LPE(15:1)+Na,460.242375,417.200175,319.2232807,176.99139,164.00888
LPE(16:0)+Na,476.273675,433.231475,335.2545807,176.99139,164.00888
LPE(16:1)+Na,474.258025,431.215825,333.2389307,176.99139,164.00888
LPE(17:0)+Na,490.289325,447.247125,349.2702307,176.99139,164.00888
LPE(17:1)+Na,488.273675,445.231475,347.2545807,176.99139,164.00888
LPE(17:2)+Na,486.258025,443.215825,345.2389307,176.99139,164.00888
LPE(18:0)+Na,504.304975,461.262775,363.2858807,176.99139,164.00888
LPE(18:1)+Na,502.289325,459.247125,361.2702307,176.99139,164.00888
LPE(18:2)+Na,500.273675,457.231475,359.2545807,176.99139,164.00888
LPE(18:3)+Na,498.258025,455.215825,357.2389307,176.99139,164.00888
LPE(18:4)+Na,496.242375,453.200175,355.2232807,176.99139,164.00888
LPE(19:0)+Na,518.320625,475.278425,377.3015307,176.99139,164.00888
LPE(20:0)+Na,532.336275,489.294075,391.3171807,176.99139,164.00888
LPE(20:1)+Na,530.320625,487.278425,389.3015307,176.99139,164.00888
LPE(20:2)+Na,528.304975,485.262775,387.2858807,176.99139,164.00888
LPE(20:3)+Na,526.289325,483.247125,385.2702307,176.99139,164.00888
LPE(20:4)+Na,524.273675,481.231475,383.2545807,176.99139,164.00888
LPE(20:5)+Na,522.258025,479.215825,381.2389307,176.99139,164.00888
LPE(21:0)+Na,546.351925,503.309725,405.3328307,176.99139,164.00888
LPE(22:0)+Na,560.367575,517.325375,419.3484807,176.99139,164.00888
LPE(22:1)+Na,558.351925,515.309725,417.3328307,176.99139,164.00888
LPE(22:2)+Na,556.336275,513.294075,415.3171807,176.99139,164.00888
LPE(22:3)+Na,554.320625,511.278425,413.3015307,176.99139,164.00888
LPE(22:4)+Na,552.304975,509.262775,411.2858807,176.99139,164.00888
LPE(22:5)+Na,550.289325,507.247125,409.2702307,176.99139,164.00888
LPE(22:6)+Na,548.273675,505.231475,407.2545807,176.99139,164.00888
LPE(23:0)+Na,574.383225,531.341025,433.3641307,176.99139,164.00888
LPE(24:0)+Na,588.398875,545.356675,447.3797807,176.99139,164.00888
LPE(24:1)+Na,586.383225,543.341025,445.3641307,176.99139,164.00888
LPE(25:0)+Na,602.414525,559.372325,461.3954307,176.99139,164.00888
LPE(26:0)+Na,616.430175,573.387975,475.4110807,176.99139,164.00888
