LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-PO4H3-R2'-O-FA,[M-H]-PO4H3-R3'-O-FA,[M-H]-(R2'-O-FA)-R2',[M-H]-(R3'-O-FA)-R3',[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [10_10_10_10_3O-(10)_3O-(10)],1487.867271,1405.885291,1389.890371,1299.726111,1299.726111,1217.744131,1217.744131,1315.721031,1315.721031,1201.749211,1201.749211
LipidA-PP [10_10_10_10_3O-(10)_3O-(12)],1515.898571,1433.916591,1417.921671,1327.757411,1327.757411,1245.775431,1217.744151,1343.752331,1315.721051,1229.780511,1229.780511
LipidA-PP [10_10_10_10_3O-(10)_3O-(14)],1543.929871,1461.947891,1445.952971,1355.788711,1355.788711,1273.806731,1217.744171,1371.783631,1315.721071,1257.811811,1257.811811
LipidA-PP [10_10_10_10_3O-(10)_3O-(16)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1301.838031,1217.744191,1399.814931,1315.721091,1285.843111,1285.843111
LipidA-PP [10_10_10_10_3O-(10)_3O-(18)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1329.869331,1217.744211,1427.846231,1315.721111,1313.874411,1313.874411
LipidA-PP [10_10_10_10_3O-(12)_3O-(10)],1515.898571,1433.916591,1417.921671,1327.757411,1327.757411,1217.744151,1245.775431,1315.721051,1343.752331,1229.780511,1229.780511
LipidA-PP [10_10_10_10_3O-(12)_3O-(12)],1543.929871,1461.947891,1445.952971,1355.788711,1355.788711,1245.775451,1245.775451,1343.752351,1343.752351,1257.811811,1257.811811
LipidA-PP [10_10_10_10_3O-(12)_3O-(14)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1273.806751,1245.775471,1371.783651,1343.752371,1285.843111,1285.843111
LipidA-PP [10_10_10_10_3O-(12)_3O-(16)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1301.838051,1245.775491,1399.814951,1343.752391,1313.874411,1313.874411
LipidA-PP [10_10_10_10_3O-(12)_3O-(18)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1329.869352,1245.775512,1427.846252,1343.752412,1341.905712,1341.905712
LipidA-PP [10_10_10_10_3O-(14)_3O-(10)],1543.929871,1461.947891,1445.952971,1355.788711,1355.788711,1217.744171,1273.806731,1315.721071,1371.783631,1257.811811,1257.811811
LipidA-PP [10_10_10_10_3O-(14)_3O-(12)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1245.775471,1273.806751,1343.752371,1371.783651,1285.843111,1285.843111
