MG,[M+NH4]+,M-18+H,M-18,M-18+H-sn1,M-18-sn1
MG(2:0)+NH4,152.0917288,135.0889888,117.0784288,61.0522,43.04164
MG(3:0)+NH4,166.1073789,149.1046389,131.0940789,75.06784,57.05728
MG(4:0)+NH4,180.1230289,163.1202889,145.1097289,89.08348,71.07292
MG(5:0)+NH4,194.138679,177.135939,159.125379,103.09912,85.08856
MG(6:0)+NH4,208.1543291,191.1515891,173.1410291,117.11476,99.1042
MG(7:0)+NH4,222.1699791,205.1672391,187.1566791,131.1304,113.11984
MG(8:0)+NH4,236.1856292,219.1828892,201.1723292,145.14604,127.13548
MG(9:0)+NH4,250.2012793,233.1985393,215.1879793,159.16168,141.15112
MG(10:0)+NH4,264.2169293,247.2141893,229.2036293,173.17732,155.16676
MG(11:0)+NH4,278.2325794,261.2298394,243.2192794,187.19296,169.1824
MG(12:0)+NH4,292.2482294,275.2454894,257.2349294,201.2086,183.19804
MG(13:0)+NH4,306.2638795,289.2611395,271.2505795,215.22424,197.21368
MG(14:0)+NH4,320.2795296,303.2767896,285.2662296,229.23988,211.22932
MG(14:1)+NH4,318.2638795,301.2611395,283.2505795,227.22424,209.21368
MG(15:0)+NH4,334.2951796,317.2924396,299.2818796,243.25552,225.24496
MG(15:1)+NH4,332.2795296,315.2767896,297.2662296,241.23988,223.22932
MG(16:0)+NH4,348.3108297,331.3080897,313.2975297,257.27116,239.2606
MG(16:1)+NH4,346.2951796,329.2924396,311.2818796,255.25552,237.24496
MG(16:1)+NH4,346.2951796,329.2924396,311.2818796,255.25552,237.24496
MG(17:0)+NH4,362.3264798,345.3237398,327.3131798,271.2868,253.27624
MG(17:1)+NH4,360.3108297,343.3080897,325.2975297,269.27116,251.2606
MG(17:2)+NH4,358.2951796,341.2924396,323.2818796,267.25552,249.24496
MG(18:0)+NH4,376.3421298,359.3393898,341.3288298,285.30244,267.29188
MG(18:1)+NH4,374.3264798,357.3237398,339.3131798,283.2868,265.27624
MG(18:2)+NH4,372.3108297,355.3080897,337.2975297,281.27116,263.2606
MG(18:3)+NH4,370.2951796,353.2924396,335.2818796,279.25552,261.24496
MG(18:4)+NH4,368.2795296,351.2767896,333.2662296,277.23988,259.22932
MG(19:0)+NH4,390.3577799,373.3550399,355.3444799,299.31808,281.30752
MG(20:0)+NH4,404.37343,387.37069,369.36013,313.33372,295.32316
MG(20:1)+NH4,402.3577799,385.3550399,367.3444799,311.31808,293.30752
MG(20:2)+NH4,400.3421298,383.3393898,365.3288298,309.30244,291.29188
MG(20:3)+NH4,398.3264798,381.3237398,363.3131798,307.2868,289.27624
MG(20:4)+NH4,396.3108297,379.3080897,361.2975297,305.27116,287.2606
MG(20:5)+NH4,394.2951796,377.2924396,359.2818796,303.25552,285.24496
MG(21:0)+NH4,418.38908,401.38634,383.37578,327.34936,309.3388
MG(22:0)+NH4,432.4047301,415.4019901,397.3914301,341.365,323.35444
MG(22:1)+NH4,430.38908,413.38634,395.37578,339.34936,321.3388
MG(22:2)+NH4,428.37343,411.37069,393.36013,337.33372,319.32316
MG(22:4)+NH4,424.3421298,407.3393898,389.3288298,333.30244,315.29188
MG(22:5)+NH4,422.3264798,405.3237398,387.3131798,331.2868,313.27624
MG(22:6)+NH4,420.3108297,403.3080897,385.2975297,329.27116,311.2606
MG(23:0)+NH4,446.4203802,429.4176402,411.4070802,355.38064,337.37008
MG(24:0)+NH4,460.4360302,443.4332902,425.4227302,369.39628,351.38572
MG(24:1)+NH4,458.4203802,441.4176402,423.4070802,367.38064,349.37008
MG(24:4)+NH4,452.37343,435.37069,417.36013,361.33372,343.32316
MG(25:0)+NH4,474.4516803,457.4489403,439.4383803,383.41192,365.40136
MG(26:0)+NH4,488.4673303,471.4645903,453.4540303,397.42756,379.417
MG(26:1)+NH4,486.4516803,469.4489403,451.4383803,395.41192,377.40136
MG(26:2)+NH4,484.4360302,467.4332902,449.4227302,393.39628,375.38572
