OxLPE,[M+H]+,NL_head,NL_R1CO,R1CO+,R1COO+58,head
OxLPE(3:0(CHO))+H,286.06866,145.04955,75.04407,71.01278,145.04956,142.02639
OxLPE(4:0(CHO))+H,300.08431,159.0652,75.04407,85.02843,159.06521,142.02639
OxLPE(5:0(CHO))+H,314.09996,173.08085,75.04407,99.04408,173.08086,142.02639
OxLPE(6:0(CHO))+H,328.11561,187.0965,75.04407,113.05973,187.09651,142.02639
OxLPE(7:0(CHO))+H,342.13126,201.11215,75.04407,127.07538,201.11216,142.02639
OxLPE(8:0(CHO))+H,356.14691,215.1278,75.04407,141.09103,215.12781,142.02639
OxLPE(9:0(CHO))+H,370.16256,229.14345,75.04407,155.10668,229.14346,142.02639
OxLPE(10:0(CHO))+H,384.17821,243.1591,75.04407,169.12233,243.15911,142.02639
OxLPE(11:0(CHO))+H,398.19386,257.17475,75.04407,183.13798,257.17476,142.02639
OxLPE(12:0(CHO))+H,412.20951,271.1904,75.04407,197.15363,271.19041,142.02639
OxLPE(13:0(CHO))+H,426.22516,285.20605,75.04407,211.16928,285.20606,142.02639
OxLPE(14:0(CHO))+H,440.24081,299.2217,75.04407,225.18493,299.22171,142.02639
OxLPE(15:0(CHO))+H,454.25646,313.23735,75.04407,239.20058,313.23736,142.02639
OxLPE(6:1(CHO))+H,326.09997,185.08086,75.04407,111.04409,185.08087,142.02639
OxLPE(7:1(CHO))+H,340.11562,199.09651,75.04407,125.05974,199.09652,142.02639
OxLPE(8:1(CHO))+H,354.13127,213.11216,75.04407,139.07539,213.11217,142.02639
OxLPE(9:1(CHO))+H,368.14692,227.12781,75.04407,153.09104,227.12782,142.02639
OxLPE(9:2(CHO))+H,366.13127,225.11216,75.04407,151.07539,225.11217,142.02639
OxLPE(10:1(CHO))+H,382.16257,241.14346,75.04407,167.10669,241.14347,142.02639
OxLPE(10:2(CHO))+H,380.14692,239.12781,75.04407,165.09104,239.12782,142.02639
OxLPE(11:1(CHO))+H,396.17822,255.15911,75.04407,181.12234,255.15912,142.02639
OxLPE(11:2(CHO))+H,394.16257,253.14346,75.04407,179.10669,253.14347,142.02639
OxLPE(12:1(CHO))+H,410.19387,269.17476,75.04407,195.13799,269.17477,142.02639
OxLPE(12:2(CHO))+H,408.17822,267.15911,75.04407,193.12234,267.15912,142.02639
OxLPE(12:3(CHO))+H,406.16257,265.14346,75.04407,191.10669,265.14347,142.02639
OxLPE(13:1(CHO))+H,424.20952,283.19041,75.04407,209.15364,283.19042,142.02639
OxLPE(13:2(CHO))+H,422.19387,281.17476,75.04407,207.13799,281.17477,142.02639
OxLPE(13:3(CHO))+H,420.17822,279.15911,75.04407,205.12234,279.15912,142.02639
OxLPE(14:1(CHO))+H,438.22517,297.20606,75.04407,223.16929,297.20607,142.02639
OxLPE(14:2(CHO))+H,436.20952,295.19041,75.04407,221.15364,295.19042,142.02639
OxLPE(14:3(CHO))+H,434.19387,293.17476,75.04407,219.13799,293.17477,142.02639
OxLPE(15:1(CHO))+H,452.24082,311.22171,75.04407,237.18494,311.22172,142.02639
OxLPE(15:2(CHO))+H,450.22517,309.20606,75.04407,235.16929,309.20607,142.02639
OxLPE(15:3(CHO))+H,448.20952,307.19041,75.04407,233.15364,307.19042,142.02639
OxLPE(15:4(CHO))+H,446.19387,305.17476,75.04407,231.13799,305.17477,142.02639
OxLPE(16:1(CHO))+H,466.25647,325.23736,75.04407,251.20059,325.23737,142.02639
OxLPE(16:2(CHO))+H,464.24082,323.22171,75.04407,249.18494,323.22172,142.02639
OxLPE(16:3(CHO))+H,462.22517,321.20606,75.04407,247.16929,321.20607,142.02639
OxLPE(16:4(CHO))+H,460.20952,319.19041,75.04407,245.15364,319.19042,142.02639
OxLPE(17:4(CHO))+H,474.22517,333.20606,75.04407,259.16929,333.20607,142.02639
OxLPE(18:4(CHO))+H,488.24082,347.22171,75.04407,273.18494,347.22172,142.02639
OxLPE(18:5(CHO))+H,486.22517,345.20606,75.04407,271.16929,345.20607,142.02639
OxLPE(19:4(CHO))+H,502.25647,361.23736,75.04407,287.20059,361.23737,142.02639
OxLPE(19:5(CHO))+H,500.24082,359.22171,75.04407,285.18494,359.22172,142.02639
OxLPE(3:0(COOH))+H,302.06358,161.04447,75.04407,87.0077,161.04448,142.02639
OxLPE(4:0(COOH))+H,316.07923,175.06012,75.04407,101.02335,175.06013,142.02639
OxLPE(5:0(COOH))+H,330.09488,189.07577,75.04407,115.039,189.07578,142.02639
OxLPE(6:0(COOH))+H,344.11053,203.09142,75.04407,129.05465,203.09143,142.02639
OxLPE(7:0(COOH))+H,358.12618,217.10707,75.04407,143.0703,217.10708,142.02639
OxLPE(8:0(COOH))+H,372.14183,231.12272,75.04407,157.08595,231.12273,142.02639
OxLPE(9:0(COOH))+H,386.15748,245.13837,75.04407,171.1016,245.13838,142.02639
OxLPE(10:0(COOH))+H,400.17313,259.15402,75.04407,185.11725,259.15403,142.02639
OxLPE(11:0(COOH))+H,414.18878,273.16967,75.04407,199.1329,273.16968,142.02639
OxLPE(12:0(COOH))+H,428.20443,287.18532,75.04407,213.14855,287.18533,142.02639
OxLPE(13:0(COOH))+H,442.22008,301.20097,75.04407,227.1642,301.20098,142.02639
OxLPE(14:0(COOH))+H,456.23573,315.21662,75.04407,241.17985,315.21663,142.02639
OxLPE(15:0(COOH))+H,470.25138,329.23227,75.04407,255.1955,329.23228,142.02639
OxLPE(6:1(COOH))+H,342.09489,201.07578,75.04407,127.03901,201.07579,142.02639
OxLPE(7:1(COOH))+H,356.11054,215.09143,75.04407,141.05466,215.09144,142.02639
OxLPE(8:1(COOH))+H,370.12619,229.10708,75.04407,155.07031,229.10709,142.02639
OxLPE(9:1(COOH))+H,384.14184,243.12273,75.04407,169.08596,243.12274,142.02639
OxLPE(9:2(COOH))+H,382.12619,241.10708,75.04407,167.07031,241.10709,142.02639
OxLPE(10:1(COOH))+H,398.15749,257.13838,75.04407,183.10161,257.13839,142.02639
OxLPE(10:2(COOH))+H,396.14184,255.12273,75.04407,181.08596,255.12274,142.02639
OxLPE(11:1(COOH))+H,412.17314,271.15403,75.04407,197.11726,271.15404,142.02639
OxLPE(11:2(COOH))+H,410.15749,269.13838,75.04407,195.10161,269.13839,142.02639
OxLPE(12:1(COOH))+H,426.18879,285.16968,75.04407,211.13291,285.16969,142.02639
OxLPE(12:2(COOH))+H,424.17314,283.15403,75.04407,209.11726,283.15404,142.02639
OxLPE(12:3(COOH))+H,422.15749,281.13838,75.04407,207.10161,281.13839,142.02639
OxLPE(13:1(COOH))+H,440.20444,299.18533,75.04407,225.14856,299.18534,142.02639
OxLPE(13:2(COOH))+H,438.18879,297.16968,75.04407,223.13291,297.16969,142.02639
OxLPE(13:3(COOH))+H,436.17314,295.15403,75.04407,221.11726,295.15404,142.02639
OxLPE(14:1(COOH))+H,454.22009,313.20098,75.04407,239.16421,313.20099,142.02639
OxLPE(14:2(COOH))+H,452.20444,311.18533,75.04407,237.14856,311.18534,142.02639
OxLPE(14:3(COOH))+H,450.18879,309.16968,75.04407,235.13291,309.16969,142.02639
OxLPE(15:1(COOH))+H,468.23574,327.21663,75.04407,253.17986,327.21664,142.02639
OxLPE(15:2(COOH))+H,466.22009,325.20098,75.04407,251.16421,325.20099,142.02639
OxLPE(15:3(COOH))+H,464.20444,323.18533,75.04407,249.14856,323.18534,142.02639
OxLPE(15:4(COOH))+H,462.18879,321.16968,75.04407,247.13291,321.16969,142.02639
OxLPE(16:1(COOH))+H,482.25139,341.23228,75.04407,267.19551,341.23229,142.02639
OxLPE(16:2(COOH))+H,480.23574,339.21663,75.04407,265.17986,339.21664,142.02639
OxLPE(16:3(COOH))+H,478.22009,337.20098,75.04407,263.16421,337.20099,142.02639
OxLPE(16:4(COOH))+H,476.20444,335.18533,75.04407,261.14856,335.18534,142.02639
OxLPE(17:4(COOH))+H,490.22009,349.20098,75.04407,275.16421,349.20099,142.02639
OxLPE(18:4(COOH))+H,504.23574,363.21663,75.04407,289.17986,363.21664,142.02639
OxLPE(18:5(COOH))+H,502.22009,361.20098,75.04407,287.16421,361.20099,142.02639
OxLPE(19:4(COOH))+H,518.25139,377.23228,75.04407,303.19551,377.23229,142.02639
OxLPE(19:5(COOH))+H,516.23574,375.21663,75.04407,301.17986,375.21664,142.02639
OxLPE(20:4(Ke))+H,516.27211,375.253,75.04407,301.21623,375.25301,142.02639
OxLPE(20:4(OOH))+H,534.28269,393.26358,75.04407,319.22681,393.26359,142.02639
OxLPE(20:4(OH))+H,518.28777,377.26866,75.04407,303.23189,377.26867,142.02639
OxLPE(18:2(OOH))+H,510.28269,369.26358,75.04407,295.22681,369.26359,142.02639
OxLPE(18:2(OH))+H,494.28777,353.26866,75.04407,279.23189,353.26867,142.02639
OxLPE(14:1(OH))+H,440.24085,299.22174,75.04407,225.18497,299.22175,143.02639
OxLPE(15:1(OH))+H,454.25645,313.23734,75.04407,239.20057,313.23735,144.02639
OxLPE(16:1(OH))+H,468.27215,327.25304,75.04407,253.21627,327.25305,145.02639
OxLPE(17:1(OH))+H,482.28775,341.26864,75.04407,267.23187,341.26865,146.02639
OxLPE(17:2(OH))+H,480.27215,339.25304,75.04407,265.21627,339.25305,147.02639
OxLPE(18:1(OH))+H,496.30345,355.28434,75.04407,281.24757,355.28435,148.02639
OxLPE(18:3(OH))+H,492.27215,351.25304,75.04407,277.21627,351.25305,149.02639
OxLPE(18:4(OH))+H,490.25645,349.23734,75.04407,275.20057,349.23735,150.02639
OxLPE(20:1(OH))+H,524.33475,383.31564,75.04407,309.27887,383.31565,151.02639
OxLPE(20:2(OH))+H,522.31905,381.29994,75.04407,307.26317,381.29995,152.02639
OxLPE(20:3(OH))+H,520.30345,379.28434,75.04407,305.24757,379.28435,153.02639
OxLPE(20:5(OH))+H,516.27215,375.25304,75.04407,301.21627,375.25305,154.02639
OxLPE(22:1(OH))+H,552.36605,411.34694,75.04407,337.31017,411.34695,155.02639
OxLPE(22:2(OH))+H,550.35035,409.33124,75.04407,335.29447,409.33125,156.02639
OxLPE(22:3(OH))+H,548.33475,407.31564,75.04407,333.27887,407.31565,157.02639
OxLPE(22:4(OH))+H,546.31905,405.29994,75.04407,331.26317,405.29995,158.02639
OxLPE(22:5(OH))+H,544.30345,403.28434,75.04407,329.24757,403.28435,159.02639
OxLPE(22:6(OH))+H,542.28775,401.26864,75.04407,327.23187,401.26865,160.02639
OxLPE(24:1(OH))+H,580.39735,439.37824,75.04407,365.34147,439.37825,161.02639
OxLPE(14:1(OO))+H,456.23577,315.21666,75.04407,241.17989,315.21667,162.02639
OxLPE(15:1(OO))+H,470.25137,329.23226,75.04407,255.19549,329.23227,163.02639
OxLPE(16:1(OO))+H,484.26707,343.24796,75.04407,269.21119,343.24797,164.02639
OxLPE(17:1(OO))+H,498.28267,357.26356,75.04407,283.22679,357.26357,165.02639
OxLPE(17:2(OO))+H,496.26707,355.24796,75.04407,281.21119,355.24797,166.02639
OxLPE(18:1(OO))+H,512.29837,371.27926,75.04407,297.24249,371.27927,167.02639
OxLPE(18:3(OO))+H,508.26707,367.24796,75.04407,293.21119,367.24797,168.02639
OxLPE(18:4(OO))+H,506.25137,365.23226,75.04407,291.19549,365.23227,169.02639
OxLPE(20:1(OO))+H,540.32967,399.31056,75.04407,325.27379,399.31057,170.02639
OxLPE(20:2(OO))+H,538.31397,397.29486,75.04407,323.25809,397.29487,171.02639
OxLPE(20:3(OO))+H,536.29837,395.27926,75.04407,321.24249,395.27927,172.02639
OxLPE(20:5(OO))+H,532.26707,391.24796,75.04407,317.21119,391.24797,173.02639
OxLPE(22:1(OO))+H,568.36097,427.34186,75.04407,353.30509,427.34187,174.02639
OxLPE(22:2(OO))+H,566.34527,425.32616,75.04407,351.28939,425.32617,175.02639
OxLPE(22:3(OO))+H,564.32967,423.31056,75.04407,349.27379,423.31057,176.02639
OxLPE(22:4(OO))+H,562.31397,421.29486,75.04407,347.25809,421.29487,177.02639
OxLPE(22:5(OO))+H,560.29837,419.27926,75.04407,345.24249,419.27927,178.02639
OxLPE(22:6(OO))+H,558.28267,417.26356,75.04407,343.22679,417.26357,179.02639
OxLPE(24:1(OO))+H,596.39227,455.37316,75.04407,381.33639,455.37317,180.02639
OxLPE(14:1(OOO))+H,472.23069,331.21158,75.04407,257.17481,331.21159,181.02639
OxLPE(15:1(OOO))+H,486.24629,345.22718,75.04407,271.19041,345.22719,182.02639
OxLPE(16:1(OOO))+H,500.26199,359.24288,75.04407,285.20611,359.24289,183.02639
OxLPE(17:1(OOO))+H,514.27759,373.25848,75.04407,299.22171,373.25849,184.02639
OxLPE(17:2(OOO))+H,512.26199,371.24288,75.04407,297.20611,371.24289,185.02639
OxLPE(18:1(OOO))+H,528.29329,387.27418,75.04407,313.23741,387.27419,186.02639
OxLPE(18:2(OOO))+H,526.27759,385.25848,75.04407,311.22171,385.25849,187.02639
OxLPE(18:3(OOO))+H,524.26199,383.24288,75.04407,309.20611,383.24289,188.02639
OxLPE(18:4(OOO))+H,522.24629,381.22718,75.04407,307.19041,381.22719,189.02639
OxLPE(20:1(OOO))+H,556.32459,415.30548,75.04407,341.26871,415.30549,190.02639
OxLPE(20:2(OOO))+H,554.30889,413.28978,75.04407,339.25301,413.28979,191.02639
OxLPE(20:3(OOO))+H,552.29329,411.27418,75.04407,337.23741,411.27419,192.02639
OxLPE(20:4(OOO))+H,550.27759,409.25848,75.04407,335.22171,409.25849,193.02639
OxLPE(20:5(OOO))+H,548.26199,407.24288,75.04407,333.20611,407.24289,194.02639
OxLPE(22:1(OOO))+H,584.35589,443.33678,75.04407,369.30001,443.33679,195.02639
OxLPE(22:2(OOO))+H,582.34019,441.32108,75.04407,367.28431,441.32109,196.02639
OxLPE(22:3(OOO))+H,580.32459,439.30548,75.04407,365.26871,439.30549,197.02639
OxLPE(22:4(OOO))+H,578.30889,437.28978,75.04407,363.25301,437.28979,198.02639
