OxLPE,[M-H]-,NL_T1Ketene&serene,NL_T1RCOOH,T1_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
OxLPE(3:0(CHO))-H,284.0541,214.048615,196.038055,87.00878,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(4:0(CHO))-H,298.06975,214.048615,196.038055,101.02443,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(5:0(CHO))-H,312.0854,214.048615,196.038055,115.04008,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(6:0(CHO))-H,326.10105,214.048615,196.038055,129.05573,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(7:0(CHO))-H,340.1167,214.048615,196.038055,143.07138,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(8:0(CHO))-H,354.13235,214.048615,196.038055,157.08703,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(9:0(CHO))-H,368.148,214.048615,196.038055,171.10268,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(10:0(CHO))-H,382.16365,214.048615,196.038055,185.11833,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(11:0(CHO))-H,396.1793,214.048615,196.038055,199.13398,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:0(CHO))-H,410.19495,214.048615,196.038055,213.14963,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:0(CHO))-H,424.2106,214.048615,196.038055,227.16528,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:0(CHO))-H,438.22625,214.048615,196.038055,241.18093,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:0(CHO))-H,452.2419,214.048615,196.038055,255.19658,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(6:1(CHO))-H,324.08541,214.048615,196.038055,127.04009,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(7:1(CHO))-H,338.10106,214.048615,196.038055,141.05574,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(8:1(CHO))-H,352.11671,214.048615,196.038055,155.07139,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(9:1(CHO))-H,366.13236,214.048615,196.038055,169.08704,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(9:2(CHO))-H,364.11671,214.048615,196.038055,167.07139,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(10:1(CHO))-H,380.14801,214.048615,196.038055,183.10269,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(10:2(CHO))-H,378.13236,214.048615,196.038055,181.08704,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(11:1(CHO))-H,394.16366,214.048615,196.038055,197.11834,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(11:2(CHO))-H,392.14801,214.048615,196.038055,195.10269,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:1(CHO))-H,408.17931,214.048615,196.038055,211.13399,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:2(CHO))-H,406.16366,214.048615,196.038055,209.11834,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:3(CHO))-H,404.14801,214.048615,196.038055,207.10269,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:1(CHO))-H,422.19496,214.048615,196.038055,225.14964,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:2(CHO))-H,420.17931,214.048615,196.038055,223.13399,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:3(CHO))-H,418.16366,214.048615,196.038055,221.11834,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:1(CHO))-H,436.21061,214.048615,196.038055,239.16529,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:2(CHO))-H,434.19496,214.048615,196.038055,237.14964,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:3(CHO))-H,432.17931,214.048615,196.038055,235.13399,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:1(CHO))-H,450.22626,214.048615,196.038055,253.18094,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:2(CHO))-H,448.21061,214.048615,196.038055,251.16529,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:3(CHO))-H,446.19496,214.048615,196.038055,249.14964,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:4(CHO))-H,444.17931,214.048615,196.038055,247.13399,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:1(CHO))-H,464.24191,214.048615,196.038055,267.19659,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:2(CHO))-H,462.22626,214.048615,196.038055,265.18094,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:3(CHO))-H,460.21061,214.048615,196.038055,263.16529,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:4(CHO))-H,458.19496,214.048615,196.038055,261.14964,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:4(CHO))-H,472.21061,214.048615,196.038055,275.16529,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:4(CHO))-H,486.22626,214.048615,196.038055,289.18094,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:5(CHO))-H,484.21061,214.048615,196.038055,287.16529,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(19:4(CHO))-H,500.24191,214.048615,196.038055,303.19659,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(19:5(CHO))-H,498.22626,214.048615,196.038055,301.18094,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(3:0(COOH))-H,300.04902,214.048615,196.038055,103.0037,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(4:0(COOH))-H,314.06467,214.048615,196.038055,117.01935,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(5:0(COOH))-H,328.08032,214.048615,196.038055,131.035,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(6:0(COOH))-H,342.09597,214.048615,196.038055,145.05065,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(7:0(COOH))-H,356.11162,214.048615,196.038055,159.0663,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(8:0(COOH))-H,370.12727,214.048615,196.038055,173.08195,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(9:0(COOH))-H,384.14292,214.048615,196.038055,187.0976,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(10:0(COOH))-H,398.15857,214.048615,196.038055,201.11325,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(11:0(COOH))-H,412.17422,214.048615,196.038055,215.1289,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:0(COOH))-H,426.18987,214.048615,196.038055,229.14455,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:0(COOH))-H,440.20552,214.048615,196.038055,243.1602,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:0(COOH))-H,454.22117,214.048615,196.038055,257.17585,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:0(COOH))-H,468.23682,214.048615,196.038055,271.1915,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(6:1(COOH))-H,340.08033,214.048615,196.038055,143.03501,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(7:1(COOH))-H,354.09598,214.048615,196.038055,157.05066,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(8:1(COOH))-H,368.11163,214.048615,196.038055,171.06631,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(9:1(COOH))-H,382.12728,214.048615,196.038055,185.08196,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(9:2(COOH))-H,380.11163,214.048615,196.038055,183.06631,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(10:1(COOH))-H,396.14293,214.048615,196.038055,199.09761,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(10:2(COOH))-H,394.12728,214.048615,196.038055,197.08196,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(11:1(COOH))-H,410.15858,214.048615,196.038055,213.11326,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(11:2(COOH))-H,408.14293,214.048615,196.038055,211.09761,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:1(COOH))-H,424.17423,214.048615,196.038055,227.12891,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:2(COOH))-H,422.15858,214.048615,196.038055,225.11326,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(12:3(COOH))-H,420.14293,214.048615,196.038055,223.09761,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:1(COOH))-H,438.18988,214.048615,196.038055,241.14456,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:2(COOH))-H,436.17423,214.048615,196.038055,239.12891,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(13:3(COOH))-H,434.15858,214.048615,196.038055,237.11326,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:1(COOH))-H,452.20553,214.048615,196.038055,255.16021,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:2(COOH))-H,450.18988,214.048615,196.038055,253.14456,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:3(COOH))-H,448.17423,214.048615,196.038055,251.12891,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:1(COOH))-H,466.22118,214.048615,196.038055,269.17586,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:2(COOH))-H,464.20553,214.048615,196.038055,267.16021,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:3(COOH))-H,462.18988,214.048615,196.038055,265.14456,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:4(COOH))-H,460.17423,214.048615,196.038055,263.12891,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:1(COOH))-H,480.23683,214.048615,196.038055,283.19151,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:2(COOH))-H,478.22118,214.048615,196.038055,281.17586,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:3(COOH))-H,476.20553,214.048615,196.038055,279.16021,152.99586,96.96964,78.95852,140.01128,122.0007
