OxPI,[M-H]-,FA SN2,FA SN2-H2O,C9H14O9P,FA SN2-2H2O,FA SN1,C6H10O8P
OxPI(16:0_18:0(1O))-H,853.5443,299.2592,281.2486,297.0381,0.01,255.2323,241.0119
OxPI(16:0_18:0(1O(1Cyc)))-H,851.5286,297.2435,0.01,297.0381,0.01,255.2323,241.0119
OxPI(16:0_18:0(2O))-H,869.5391,315.2541,297.2435,297.0381,279.233,255.2323,241.0119
OxPI(16:0_18:1(1O))-H,851.5286,297.2435,279.233,297.0381,0.01,255.2323,241.0119
OxPI(16:0_18:1(1O(1Cyc)))-H,849.5129,295.2279,0.01,297.0381,0.01,255.2323,241.0119
OxPI(16:0_18:1(2O))-H,867.5235,313.2384,295.2279,297.0381,277.2173,255.2323,241.0119
OxPI(16:0_18:1(3O))-H,883.5184,329.2333,311.2228,297.0381,293.2122,255.2323,241.0119
OxPI(16:0_18:2(1O))-H,849.5129,295.2279,277.2173,297.0381,0.01,255.2323,241.0119
OxPI(16:0_18:2(2O))-H,865.5078,311.2228,293.2122,297.0381,275.2017,255.2323,241.0119
OxPI(16:0_18:3(1O))-H,847.4973,293.2122,275.2017,297.0381,0.01,255.2323,241.0119
OxPI(16:0_20:3(1O))-H,875.5286,321.2435,303.233,297.0381,0.01,255.2323,241.0119
OxPI(16:0_20:3(1O(1Cyc)))-H,873.5129,319.2279,0.01,297.0381,0.01,255.2323,241.0119
OxPI(16:0_20:3(2O))-H,891.5235,337.2384,319.2279,297.0381,301.2173,255.2323,241.0119
OxPI(16:0_20:3(2O(1Cyc)))-H,889.5078,335.2228,317.2122,297.0381,0.01,255.2323,241.0119
OxPI(16:0_20:3(3O))-H,907.5184,353.2333,335.2228,297.0381,317.2122,255.2323,241.0119
OxPI(16:0_20:3(4O(1Cyc)))-H,923.5133,369.2283,351.2177,297.0381,333.2072,255.2323,241.0119
OxPI(16:0_20:4(1O))-H,873.5129,319.2279,301.2173,297.0381,0.01,255.2323,241.0119
