PA,[M+H]+,NL_Head
PA(16:0)+H,425.2299,327.25299
PA(18:0)+H,453.2612,355.28429
PA(20:0)+H,481.2925,383.31559
PA(21:0)+H,495.3082,397.33129
PA(22:0)+H,509.3238,411.34689
PA(22:1)+H,507.3082,409.33129
PA(23:0)+H,523.3395,425.36259
PA(23:1)+H,521.3238,423.34689
PA(24:0)+H,537.3551,439.37819
PA(24:1)+H,535.3395,437.36259
PA(25:0)+H,551.3708,453.39389
PA(25:1)+H,549.3551,451.37819
PA(25:2)+H,547.3395,449.36259
PA(26:0)+H,565.3864,467.40949
PA(26:1)+H,563.3708,465.39389
PA(26:2)+H,561.3551,463.37819
PA(26:3)+H,559.3395,461.36259
PA(26:4)+H,557.3238,459.34689
PA(27:0)+H,579.4021,481.42519
PA(27:1)+H,577.3864,479.40949
PA(27:2)+H,575.3708,477.39389
PA(28:0)+H,593.4177,495.44079
PA(28:1)+H,591.4021,493.42519
PA(28:2)+H,589.3864,491.40949
PA(28:3)+H,587.3708,489.39389
PA(28:4)+H,585.3551,487.37819
PA(28:5)+H,583.3395,485.36259
PA(29:0)+H,607.4334,509.45649
PA(29:1)+H,605.4177,507.44079
PA(29:2)+H,603.4021,505.42519
PA(30:0)+H,621.449,523.47209
PA(30:1)+H,619.4334,521.45649
PA(30:2)+H,617.4177,519.44079
PA(30:3)+H,615.4021,517.42519
PA(30:4)+H,613.3864,515.40949
PA(30:5)+H,611.3708,513.39389
PA(30:6)+H,609.3551,511.37819
PA(31:0)+H,635.4647,537.48779
PA(31:1)+H,633.4491,535.47219
PA(31:2)+H,631.4334,533.45649
PA(31:3)+H,629.4178,531.44089
PA(31:4)+H,627.4021,529.42519
PA(32:0)+H,649.4803,551.50339
PA(32:1)+H,647.4647,549.48779
PA(32:2)+H,645.449,547.47209
PA(32:3)+H,643.4334,545.45649
PA(32:4)+H,641.4177,543.44079
PA(32:5)+H,639.4021,541.42519
PA(32:6)+H,637.3864,539.40949
PA(33:0)+H,663.496,565.51909
PA(33:1)+H,661.4804,563.50349
PA(33:2)+H,659.4647,561.48779
PA(33:3)+H,657.4491,559.47219
PA(33:4)+H,655.4334,557.45649
PA(33:5)+H,653.4178,555.44089
PA(34:0)+H,677.5116,579.53469
PA(34:1)+H,675.496,577.51909
PA(34:2)+H,673.4803,575.50339
PA(34:3)+H,671.4647,573.48779
PA(34:4)+H,669.449,571.47209
PA(34:5)+H,667.4334,569.45649
PA(34:6)+H,665.4177,567.44079
PA(35:0)+H,691.5273,593.55039
PA(35:1)+H,689.5117,591.53479
PA(35:2)+H,687.496,589.51909
PA(35:3)+H,685.4804,587.50349
PA(35:4)+H,683.4647,585.48779
PA(35:5)+H,681.4491,583.47219
PA(35:6)+H,679.4334,581.45649
PA(36:0)+H,705.5429,607.56599
PA(36:1)+H,703.5273,605.55039
PA(36:2)+H,701.5116,603.53469
PA(36:3)+H,699.496,601.51909
PA(36:4)+H,697.4803,599.50339
PA(36:5)+H,695.4647,597.48779
PA(36:6)+H,693.449,595.47209
PA(36:7)+H,691.4334,593.45649
PA(36:8)+H,689.4177,591.44079
PA(37:0)+H,719.5586,621.58169
PA(37:1)+H,717.543,619.56609
PA(37:2)+H,715.5273,617.55039
PA(37:3)+H,713.5117,615.53479
PA(37:4)+H,711.496,613.51909
PA(37:5)+H,709.4804,611.50349
PA(37:6)+H,707.4647,609.48779
PA(37:7)+H,705.449,607.47209
PA(38:0)+H,733.5742,635.59729
PA(38:1)+H,731.5586,633.58169
PA(38:2)+H,729.543,631.56609
PA(38:3)+H,727.5273,629.55039
PA(38:4)+H,725.5116,627.53469
PA(38:5)+H,723.496,625.51909
PA(38:6)+H,721.4803,623.50339
PA(38:7)+H,719.4647,621.48779
PA(38:8)+H,717.4491,619.47219
PA(38:9)+H,715.4334,617.45649
PA(39:0)+H,747.5899,649.61299
PA(39:1)+H,745.5743,647.59739
PA(39:2)+H,743.5586,645.58169
PA(39:3)+H,741.543,643.56609
PA(39:4)+H,739.5273,641.55039
PA(39:5)+H,737.5117,639.53479
PA(39:6)+H,735.496,637.51909
PA(39:7)+H,733.4803,635.50339
PA(39:8)+H,731.4647,633.48779
PA(40:0)+H,761.6055,663.62859
PA(40:1)+H,759.5899,661.61299
PA(40:10)+H,741.449,643.47209
PA(40:2)+H,757.5743,659.59739
PA(40:3)+H,755.5586,657.58169
PA(40:4)+H,753.5429,655.56599
PA(40:5)+H,751.5273,653.55039
PA(40:6)+H,749.5116,651.53469
PA(40:7)+H,747.496,649.51909
PA(40:8)+H,745.4803,647.50339
PA(40:9)+H,743.4647,645.48779
PA(41:0)+H,775.6212,677.64429
PA(41:1)+H,773.6055,675.62859
PA(41:2)+H,771.5899,673.61299
PA(41:3)+H,769.5743,671.59739
PA(41:4)+H,767.5586,669.58169
PA(41:5)+H,765.543,667.56609
PA(41:6)+H,763.5273,665.55039
PA(42:0)+H,789.6368,691.65989
PA(42:1)+H,787.6212,689.64429
PA(42:10)+H,769.4803,671.50339
PA(42:11)+H,767.4647,669.48779
PA(42:2)+H,785.6056,687.62869
PA(42:3)+H,783.5899,685.61299
PA(42:4)+H,781.5743,683.59739
PA(42:5)+H,779.5586,681.58169
PA(42:6)+H,777.5429,679.56599
PA(42:7)+H,775.5273,677.55039
PA(42:8)+H,773.5116,675.53469
PA(42:9)+H,771.496,673.51909
PA(43:0)+H,803.6525,705.67559
PA(43:1)+H,801.6368,703.65989
PA(43:2)+H,799.6212,701.64429
PA(43:3)+H,797.6056,699.62869
PA(43:4)+H,795.5899,697.61299
PA(43:5)+H,793.5743,695.59739
PA(43:6)+H,791.5586,693.58169
PA(44:0)+H,817.6681,719.69119
PA(44:1)+H,815.6525,717.67559
PA(44:10)+H,797.5116,699.53469
PA(44:11)+H,795.496,697.51909
PA(44:12)+H,793.4803,695.50339
PA(44:2)+H,813.6368,715.65989
PA(44:3)+H,811.6212,713.64429
PA(44:4)+H,809.6055,711.62859
PA(44:5)+H,807.5899,709.61299
PA(44:6)+H,805.5743,707.59739
PA(44:7)+H,803.5586,705.58169
PA(44:8)+H,801.5429,703.56599
PA(44:9)+H,799.5273,701.55039
PA(45:0)+H,831.6838,733.70689
PA(45:1)+H,829.6682,731.69129
PA(45:2)+H,827.6525,729.67559
PA(45:3)+H,825.6369,727.65999
PA(45:4)+H,823.6212,725.64429
PA(45:5)+H,821.6056,723.62869
PA(45:6)+H,819.5899,721.61299
PA(46:0)+H,845.6994,747.72249
PA(46:1)+H,843.6838,745.70689
PA(46:2)+H,841.6681,743.69119
PA(46:3)+H,839.6525,741.67559
PA(46:4)+H,837.6368,739.65989
PA(46:5)+H,835.6212,737.64429
PA(46:6)+H,833.6056,735.62869
PA(46:7)+H,831.5899,733.61299
PA(47:0)+H,859.7151,761.73819
PA(47:1)+H,857.6995,759.72259
PA(47:2)+H,855.6838,757.70689
PA(47:3)+H,853.6682,755.69129
PA(47:4)+H,851.6525,753.67559
PA(47:5)+H,849.6369,751.65999
PA(47:6)+H,847.6212,749.64429
PA(48:0)+H,873.7307,775.75379
PA(48:1)+H,871.7151,773.73819
PA(48:2)+H,869.6994,771.72249
PA(48:3)+H,867.6838,769.70689
PA(48:4)+H,865.6681,767.69119
PA(48:5)+H,863.6525,765.67559
PA(48:6)+H,861.6368,763.65989
PA(49:0)+H,887.7464,789.76949
PA(49:1)+H,885.7308,787.75389
PA(50:0)+H,901.762,803.78509
PA(50:1)+H,899.7464,801.76949
PA(51:0)+H,915.7777,817.80079
PA(52:0)+H,929.7933,831.81639
