PC,[M+H]+,MH-PC,PC Head
PC(16:0)+H,510.31904,327.253,184.07332
PC(18:0)+H,538.35034,355.2843,184.07332
PC(20:0)+H,566.38164,383.3156,184.07332
PC(21:0)+H,580.39734,397.3313,184.07332
PC(22:0)+H,594.41294,411.3469,184.07332
PC(22:1)+H,592.39734,409.3313,184.07332
PC(23:0)+H,608.42864,425.3626,184.07332
PC(23:1)+H,606.41294,423.3469,184.07332
PC(24:0)+H,622.44424,439.3782,184.07332
PC(24:1)+H,620.42864,437.3626,184.07332
PC(25:0)+H,636.45994,453.3939,184.07332
PC(25:1)+H,634.44424,451.3782,184.07332
PC(25:2)+H,632.42864,449.3626,184.07332
PC(26:0)+H,650.47554,467.4095,184.07332
PC(26:1)+H,648.45994,465.3939,184.07332
PC(26:2)+H,646.44424,463.3782,184.07332
PC(26:3)+H,644.42864,461.3626,184.07332
PC(26:4)+H,642.41294,459.3469,184.07332
PC(27:0)+H,664.49124,481.4252,184.07332
PC(27:1)+H,662.47554,479.4095,184.07332
PC(27:2)+H,660.45994,477.3939,184.07332
PC(28:0)+H,678.50684,495.4408,184.07332
PC(28:1)+H,676.49124,493.4252,184.07332
PC(28:2)+H,674.47554,491.4095,184.07332
PC(28:3)+H,672.45994,489.3939,184.07332
PC(28:4)+H,670.44424,487.3782,184.07332
PC(28:5)+H,668.42864,485.3626,184.07332
PC(29:0)+H,692.52254,509.4565,184.07332
PC(29:1)+H,690.50684,507.4408,184.07332
PC(29:2)+H,688.49124,505.4252,184.07332
PC(30:0)+H,706.53814,523.4721,184.07332
PC(30:1)+H,704.52254,521.4565,184.07332
PC(30:2)+H,702.50684,519.4408,184.07332
PC(30:3)+H,700.49124,517.4252,184.07332
PC(30:4)+H,698.47554,515.4095,184.07332
PC(30:5)+H,696.45994,513.3939,184.07332
PC(30:6)+H,694.44424,511.3782,184.07332
PC(31:0)+H,720.55384,537.4878,184.07332
PC(31:1)+H,718.53824,535.4722,184.07332
PC(31:2)+H,716.52254,533.4565,184.07332
PC(31:3)+H,714.50694,531.4409,184.07332
PC(31:4)+H,712.49124,529.4252,184.07332
PC(32:0)+H,734.56944,551.5034,184.07332
PC(32:1)+H,732.55384,549.4878,184.07332
PC(32:2)+H,730.53814,547.4721,184.07332
PC(32:3)+H,728.52254,545.4565,184.07332
PC(32:4)+H,726.50684,543.4408,184.07332
PC(32:5)+H,724.49124,541.4252,184.07332
PC(32:6)+H,722.47554,539.4095,184.07332
PC(33:0)+H,748.58514,565.5191,184.07332
PC(33:1)+H,746.56954,563.5035,184.07332
PC(33:2)+H,744.55384,561.4878,184.07332
PC(33:3)+H,742.53824,559.4722,184.07332
PC(33:4)+H,740.52254,557.4565,184.07332
PC(33:5)+H,738.50694,555.4409,184.07332
PC(34:0)+H,762.60074,579.5347,184.07332
PC(34:1)+H,760.58514,577.5191,184.07332
PC(34:2)+H,758.56944,575.5034,184.07332
PC(34:3)+H,756.55384,573.4878,184.07332
PC(34:4)+H,754.53814,571.4721,184.07332
PC(34:5)+H,752.52254,569.4565,184.07332
PC(34:6)+H,750.50684,567.4408,184.07332
PC(35:0)+H,776.61644,593.5504,184.07332
PC(35:1)+H,774.60084,591.5348,184.07332
PC(35:2)+H,772.58514,589.5191,184.07332
PC(35:3)+H,770.56954,587.5035,184.07332
PC(35:4)+H,768.55384,585.4878,184.07332
PC(35:5)+H,766.53824,583.4722,184.07332
PC(35:6)+H,764.52254,581.4565,184.07332
PC(36:0)+H,790.63204,607.566,184.07332
PC(36:1)+H,788.61644,605.5504,184.07332
PC(36:2)+H,786.60074,603.5347,184.07332
PC(36:3)+H,784.58514,601.5191,184.07332
PC(36:4)+H,782.56944,599.5034,184.07332
PC(36:5)+H,780.55384,597.4878,184.07332
PC(36:6)+H,778.53814,595.4721,184.07332
PC(36:7)+H,776.52254,593.4565,184.07332
PC(36:8)+H,774.50684,591.4408,184.07332
PC(37:0)+H,804.64774,621.5817,184.07332
PC(37:1)+H,802.63214,619.5661,184.07332
PC(37:2)+H,800.61644,617.5504,184.07332
PC(37:3)+H,798.60084,615.5348,184.07332
PC(37:4)+H,796.58514,613.5191,184.07332
PC(37:5)+H,794.56954,611.5035,184.07332
PC(37:6)+H,792.55384,609.4878,184.07332
PC(37:7)+H,790.53814,607.4721,184.07332
PC(38:0)+H,818.66334,635.5973,184.07332
PC(38:1)+H,816.64774,633.5817,184.07332
PC(38:2)+H,814.63214,631.5661,184.07332
PC(38:3)+H,812.61644,629.5504,184.07332
PC(38:4)+H,810.60074,627.5347,184.07332
PC(38:5)+H,808.58514,625.5191,184.07332
PC(38:6)+H,806.56944,623.5034,184.07332
PC(38:7)+H,804.55384,621.4878,184.07332
PC(38:8)+H,802.53824,619.4722,184.07332
PC(38:9)+H,800.52254,617.4565,184.07332
PC(39:0)+H,832.67904,649.613,184.07332
PC(39:1)+H,830.66344,647.5974,184.07332
PC(39:2)+H,828.64774,645.5817,184.07332
PC(39:3)+H,826.63214,643.5661,184.07332
PC(39:4)+H,824.61644,641.5504,184.07332
PC(39:5)+H,822.60084,639.5348,184.07332
PC(39:6)+H,820.58514,637.5191,184.07332
PC(39:7)+H,818.56944,635.5034,184.07332
PC(39:8)+H,816.55384,633.4878,184.07332
PC(40:0)+H,846.69464,663.6286,184.07332
PC(40:1)+H,844.67904,661.613,184.07332
PC(40:10)+H,826.53814,643.4721,184.07332
PC(40:2)+H,842.66344,659.5974,184.07332
PC(40:3)+H,840.64774,657.5817,184.07332
PC(40:4)+H,838.63204,655.566,184.07332
PC(40:5)+H,836.61644,653.5504,184.07332
PC(40:6)+H,834.60074,651.5347,184.07332
PC(40:7)+H,832.58514,649.5191,184.07332
PC(40:8)+H,830.56944,647.5034,184.07332
PC(40:9)+H,828.55384,645.4878,184.07332
PC(41:0)+H,860.71034,677.6443,184.07332
PC(41:1)+H,858.69464,675.6286,184.07332
PC(41:2)+H,856.67904,673.613,184.07332
PC(41:3)+H,854.66344,671.5974,184.07332
PC(41:4)+H,852.64774,669.5817,184.07332
PC(41:5)+H,850.63214,667.5661,184.07332
PC(41:6)+H,848.61644,665.5504,184.07332
PC(42:0)+H,874.72594,691.6599,184.07332
PC(42:1)+H,872.71034,689.6443,184.07332
PC(42:10)+H,854.56944,671.5034,184.07332
PC(42:11)+H,852.55384,669.4878,184.07332
PC(42:2)+H,870.69474,687.6287,184.07332
PC(42:3)+H,868.67904,685.613,184.07332
PC(42:4)+H,866.66344,683.5974,184.07332
PC(42:5)+H,864.64774,681.5817,184.07332
PC(42:6)+H,862.63204,679.566,184.07332
PC(42:7)+H,860.61644,677.5504,184.07332
PC(42:8)+H,858.60074,675.5347,184.07332
PC(42:9)+H,856.58514,673.5191,184.07332
PC(43:0)+H,888.74164,705.6756,184.07332
PC(43:1)+H,886.72594,703.6599,184.07332
PC(43:2)+H,884.71034,701.6443,184.07332
PC(43:3)+H,882.69474,699.6287,184.07332
PC(43:4)+H,880.67904,697.613,184.07332
PC(43:5)+H,878.66344,695.5974,184.07332
PC(43:6)+H,876.64774,693.5817,184.07332
PC(44:0)+H,902.75724,719.6912,184.07332
PC(44:1)+H,900.74164,717.6756,184.07332
PC(44:10)+H,882.60074,699.5347,184.07332
PC(44:11)+H,880.58514,697.5191,184.07332
PC(44:12)+H,878.56944,695.5034,184.07332
PC(44:2)+H,898.72594,715.6599,184.07332
PC(44:3)+H,896.71034,713.6443,184.07332
PC(44:4)+H,894.69464,711.6286,184.07332
PC(44:5)+H,892.67904,709.613,184.07332
PC(44:6)+H,890.66344,707.5974,184.07332
PC(44:7)+H,888.64774,705.5817,184.07332
PC(44:8)+H,886.63204,703.566,184.07332
PC(44:9)+H,884.61644,701.5504,184.07332
PC(45:0)+H,916.77294,733.7069,184.07332
PC(45:1)+H,914.75734,731.6913,184.07332
PC(45:2)+H,912.74164,729.6756,184.07332
PC(45:3)+H,910.72604,727.66,184.07332
PC(45:4)+H,908.71034,725.6443,184.07332
PC(45:5)+H,906.69474,723.6287,184.07332
PC(45:6)+H,904.67904,721.613,184.07332
PC(46:0)+H,930.78854,747.7225,184.07332
PC(46:1)+H,928.77294,745.7069,184.07332
PC(46:2)+H,926.75724,743.6912,184.07332
PC(46:3)+H,924.74164,741.6756,184.07332
PC(46:4)+H,922.72594,739.6599,184.07332
PC(46:5)+H,920.71034,737.6443,184.07332
PC(46:6)+H,918.69474,735.6287,184.07332
PC(46:7)+H,916.67904,733.613,184.07332
PC(47:0)+H,944.80424,761.7382,184.07332
PC(47:1)+H,942.78864,759.7226,184.07332
PC(47:2)+H,940.77294,757.7069,184.07332
PC(47:3)+H,938.75734,755.6913,184.07332
PC(47:4)+H,936.74164,753.6756,184.07332
PC(47:5)+H,934.72604,751.66,184.07332
PC(47:6)+H,932.71034,749.6443,184.07332
PC(48:0)+H,958.81984,775.7538,184.07332
PC(48:1)+H,956.80424,773.7382,184.07332
PC(48:2)+H,954.78854,771.7225,184.07332
PC(48:3)+H,952.77294,769.7069,184.07332
PC(48:4)+H,950.75724,767.6912,184.07332
PC(48:5)+H,948.74164,765.6756,184.07332
PC(48:6)+H,946.72594,763.6599,184.07332
PC(49:0)+H,972.83554,789.7695,184.07332
PC(49:1)+H,970.81994,787.7539,184.07332
PC(50:0)+H,986.85114,803.7851,184.07332
PC(50:1)+H,984.83554,801.7695,184.07332
PC(51:0)+H,1000.86684,817.8008,184.07332
PC(52:0)+H,1014.88244,831.8164,184.07332
