PC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,C2H5O4NaP
PC(16:0)+Na,532.30098,349.23494,473.227481,327.253,146.98179
PC(18:0)+Na,560.33228,377.26624,501.258781,355.2843,146.98179
PC(20:0)+Na,588.36358,405.29754,529.290081,383.3156,146.98179
PC(21:0)+Na,602.37928,419.31324,543.305781,397.3313,146.98179
PC(22:0)+Na,616.39488,433.32884,557.321381,411.3469,146.98179
PC(22:1)+Na,614.37928,431.31324,555.305781,409.3313,146.98179
PC(23:0)+Na,630.41058,447.34454,571.337081,425.3626,146.98179
PC(23:1)+Na,628.39488,445.32884,569.321381,423.3469,146.98179
PC(24:0)+Na,644.42618,461.36014,585.352681,439.3782,146.98179
PC(24:1)+Na,642.41058,459.34454,583.337081,437.3626,146.98179
PC(25:0)+Na,658.44188,475.37584,599.368381,453.3939,146.98179
PC(25:1)+Na,656.42618,473.36014,597.352681,451.3782,146.98179
PC(25:2)+Na,654.41058,471.34454,595.337081,449.3626,146.98179
PC(26:0)+Na,672.45748,489.39144,613.383981,467.4095,146.98179
PC(26:1)+Na,670.44188,487.37584,611.368381,465.3939,146.98179
PC(26:2)+Na,668.42618,485.36014,609.352681,463.3782,146.98179
PC(26:3)+Na,666.41058,483.34454,607.337081,461.3626,146.98179
PC(26:4)+Na,664.39488,481.32884,605.321381,459.3469,146.98179
PC(27:0)+Na,686.47318,503.40714,627.399681,481.4252,146.98179
PC(27:1)+Na,684.45748,501.39144,625.383981,479.4095,146.98179
PC(27:2)+Na,682.44188,499.37584,623.368381,477.3939,146.98179
PC(28:0)+Na,700.48878,517.42274,641.415281,495.4408,146.98179
PC(28:1)+Na,698.47318,515.40714,639.399681,493.4252,146.98179
PC(28:2)+Na,696.45748,513.39144,637.383981,491.4095,146.98179
PC(28:3)+Na,694.44188,511.37584,635.368381,489.3939,146.98179
PC(28:4)+Na,692.42618,509.36014,633.352681,487.3782,146.98179
PC(28:5)+Na,690.41058,507.34454,631.337081,485.3626,146.98179
PC(29:0)+Na,714.50448,531.43844,655.430981,509.4565,146.98179
PC(29:1)+Na,712.48878,529.42274,653.415281,507.4408,146.98179
PC(29:2)+Na,710.47318,527.40714,651.399681,505.4252,146.98179
PC(30:0)+Na,728.52008,545.45404,669.446581,523.4721,146.98179
PC(30:1)+Na,726.50448,543.43844,667.430981,521.4565,146.98179
PC(30:2)+Na,724.48878,541.42274,665.415281,519.4408,146.98179
PC(30:3)+Na,722.47318,539.40714,663.399681,517.4252,146.98179
PC(30:4)+Na,720.45748,537.39144,661.383981,515.4095,146.98179
PC(30:5)+Na,718.44188,535.37584,659.368381,513.3939,146.98179
PC(30:6)+Na,716.42618,533.36014,657.352681,511.3782,146.98179
PC(31:0)+Na,742.53578,559.46974,683.462281,537.4878,146.98179
PC(31:1)+Na,740.52018,557.45414,681.446681,535.4722,146.98179
PC(31:2)+Na,738.50448,555.43844,679.430981,533.4565,146.98179
PC(31:3)+Na,736.48888,553.42284,677.415381,531.4409,146.98179
PC(31:4)+Na,734.47318,551.40714,675.399681,529.4252,146.98179
PC(32:0)+Na,756.55138,573.48534,697.477881,551.5034,146.98179
PC(32:1)+Na,754.53578,571.46974,695.462281,549.4878,146.98179
PC(32:2)+Na,752.52008,569.45404,693.446581,547.4721,146.98179
PC(32:3)+Na,750.50448,567.43844,691.430981,545.4565,146.98179
PC(32:4)+Na,748.48878,565.42274,689.415281,543.4408,146.98179
PC(32:5)+Na,746.47318,563.40714,687.399681,541.4252,146.98179
PC(32:6)+Na,744.45748,561.39144,685.383981,539.4095,146.98179
PC(33:0)+Na,770.56708,587.50104,711.493581,565.5191,146.98179
PC(33:1)+Na,768.55148,585.48544,709.477981,563.5035,146.98179
PC(33:2)+Na,766.53578,583.46974,707.462281,561.4878,146.98179
PC(33:3)+Na,764.52018,581.45414,705.446681,559.4722,146.98179
PC(33:4)+Na,762.50448,579.43844,703.430981,557.4565,146.98179
PC(33:5)+Na,760.48888,577.42284,701.415381,555.4409,146.98179
PC(34:0)+Na,784.58268,601.51664,725.509181,579.5347,146.98179
PC(34:1)+Na,782.56708,599.50104,723.493581,577.5191,146.98179
PC(34:2)+Na,780.55138,597.48534,721.477881,575.5034,146.98179
PC(34:3)+Na,778.53578,595.46974,719.462281,573.4878,146.98179
PC(34:4)+Na,776.52008,593.45404,717.446581,571.4721,146.98179
PC(34:5)+Na,774.50448,591.43844,715.430981,569.4565,146.98179
PC(34:6)+Na,772.48878,589.42274,713.415281,567.4408,146.98179
PC(35:0)+Na,798.59838,615.53234,739.524881,593.5504,146.98179
PC(35:1)+Na,796.58278,613.51674,737.509281,591.5348,146.98179
PC(35:2)+Na,794.56708,611.50104,735.493581,589.5191,146.98179
PC(35:3)+Na,792.55148,609.48544,733.477981,587.5035,146.98179
PC(35:4)+Na,790.53578,607.46974,731.462281,585.4878,146.98179
PC(35:5)+Na,788.52018,605.45414,729.446681,583.4722,146.98179
PC(35:6)+Na,786.50448,603.43844,727.430981,581.4565,146.98179
PC(36:0)+Na,812.61398,629.54794,753.540481,607.566,146.98179
PC(36:1)+Na,810.59838,627.53234,751.524881,605.5504,146.98179
PC(36:2)+Na,808.58268,625.51664,749.509181,603.5347,146.98179
PC(36:3)+Na,806.56708,623.50104,747.493581,601.5191,146.98179
PC(36:4)+Na,804.55138,621.48534,745.477881,599.5034,146.98179
PC(36:5)+Na,802.53578,619.46974,743.462281,597.4878,146.98179
PC(36:6)+Na,800.52008,617.45404,741.446581,595.4721,146.98179
PC(36:7)+Na,798.50448,615.43844,739.430981,593.4565,146.98179
PC(36:8)+Na,796.48878,613.42274,737.415281,591.4408,146.98179
PC(37:0)+Na,826.62968,643.56364,767.556181,621.5817,146.98179
PC(37:1)+Na,824.61408,641.54804,765.540581,619.5661,146.98179
PC(37:2)+Na,822.59838,639.53234,763.524881,617.5504,146.98179
PC(37:3)+Na,820.58278,637.51674,761.509281,615.5348,146.98179
PC(37:4)+Na,818.56708,635.50104,759.493581,613.5191,146.98179
PC(37:5)+Na,816.55148,633.48544,757.477981,611.5035,146.98179
PC(37:6)+Na,814.53578,631.46974,755.462281,609.4878,146.98179
PC(37:7)+Na,812.52008,629.45404,753.446581,607.4721,146.98179
PC(38:0)+Na,840.64528,657.57924,781.571781,635.5973,146.98179
PC(38:1)+Na,838.62968,655.56364,779.556181,633.5817,146.98179
PC(38:2)+Na,836.61408,653.54804,777.540581,631.5661,146.98179
PC(38:3)+Na,834.59838,651.53234,775.524881,629.5504,146.98179
PC(38:4)+Na,832.58268,649.51664,773.509181,627.5347,146.98179
PC(38:5)+Na,830.56708,647.50104,771.493581,625.5191,146.98179
PC(38:6)+Na,828.55138,645.48534,769.477881,623.5034,146.98179
PC(38:7)+Na,826.53578,643.46974,767.462281,621.4878,146.98179
PC(38:8)+Na,824.52018,641.45414,765.446681,619.4722,146.98179
PC(38:9)+Na,822.50448,639.43844,763.430981,617.4565,146.98179
PC(39:0)+Na,854.66098,671.59494,795.587481,649.613,146.98179
PC(39:1)+Na,852.64538,669.57934,793.571881,647.5974,146.98179
PC(39:2)+Na,850.62968,667.56364,791.556181,645.5817,146.98179
PC(39:3)+Na,848.61408,665.54804,789.540581,643.5661,146.98179
PC(39:4)+Na,846.59838,663.53234,787.524881,641.5504,146.98179
PC(39:5)+Na,844.58278,661.51674,785.509281,639.5348,146.98179
PC(39:6)+Na,842.56708,659.50104,783.493581,637.5191,146.98179
PC(39:7)+Na,840.55138,657.48534,781.477881,635.5034,146.98179
PC(39:8)+Na,838.53578,655.46974,779.462281,633.4878,146.98179
PC(40:0)+Na,868.67658,685.61054,809.603081,663.6286,146.98179
PC(40:1)+Na,866.66098,683.59494,807.587481,661.613,146.98179
PC(40:10)+Na,848.52008,665.45404,789.446581,643.4721,146.98179
PC(40:2)+Na,864.64538,681.57934,805.571881,659.5974,146.98179
PC(40:3)+Na,862.62968,679.56364,803.556181,657.5817,146.98179
PC(40:4)+Na,860.61398,677.54794,801.540481,655.566,146.98179
PC(40:5)+Na,858.59838,675.53234,799.524881,653.5504,146.98179
PC(40:6)+Na,856.58268,673.51664,797.509181,651.5347,146.98179
PC(40:7)+Na,854.56708,671.50104,795.493581,649.5191,146.98179
PC(40:8)+Na,852.55138,669.48534,793.477881,647.5034,146.98179
PC(40:9)+Na,850.53578,667.46974,791.462281,645.4878,146.98179
PC(41:0)+Na,882.69228,699.62624,823.618781,677.6443,146.98179
PC(41:1)+Na,880.67658,697.61054,821.603081,675.6286,146.98179
PC(41:2)+Na,878.66098,695.59494,819.587481,673.613,146.98179
PC(41:3)+Na,876.64538,693.57934,817.571881,671.5974,146.98179
PC(41:4)+Na,874.62968,691.56364,815.556181,669.5817,146.98179
PC(41:5)+Na,872.61408,689.54804,813.540581,667.5661,146.98179
PC(41:6)+Na,870.59838,687.53234,811.524881,665.5504,146.98179
PC(42:0)+Na,896.70788,713.64184,837.634381,691.6599,146.98179
PC(42:1)+Na,894.69228,711.62624,835.618781,689.6443,146.98179
PC(42:10)+Na,876.55138,693.48534,817.477881,671.5034,146.98179
PC(42:11)+Na,874.53578,691.46974,815.462281,669.4878,146.98179
PC(42:2)+Na,892.67668,709.61064,833.603181,687.6287,146.98179
PC(42:3)+Na,890.66098,707.59494,831.587481,685.613,146.98179
PC(42:4)+Na,888.64538,705.57934,829.571881,683.5974,146.98179
PC(42:5)+Na,886.62968,703.56364,827.556181,681.5817,146.98179
PC(42:6)+Na,884.61398,701.54794,825.540481,679.566,146.98179
PC(42:7)+Na,882.59838,699.53234,823.524881,677.5504,146.98179
PC(42:8)+Na,880.58268,697.51664,821.509181,675.5347,146.98179
PC(42:9)+Na,878.56708,695.50104,819.493581,673.5191,146.98179
PC(43:0)+Na,910.72358,727.65754,851.650081,705.6756,146.98179
PC(43:1)+Na,908.70788,725.64184,849.634381,703.6599,146.98179
PC(43:2)+Na,906.69228,723.62624,847.618781,701.6443,146.98179
PC(43:3)+Na,904.67668,721.61064,845.603181,699.6287,146.98179
PC(43:4)+Na,902.66098,719.59494,843.587481,697.613,146.98179
PC(43:5)+Na,900.64538,717.57934,841.571881,695.5974,146.98179
PC(43:6)+Na,898.62968,715.56364,839.556181,693.5817,146.98179
PC(44:0)+Na,924.73918,741.67314,865.665681,719.6912,146.98179
PC(44:1)+Na,922.72358,739.65754,863.650081,717.6756,146.98179
PC(44:10)+Na,904.58268,721.51664,845.509181,699.5347,146.98179
PC(44:11)+Na,902.56708,719.50104,843.493581,697.5191,146.98179
PC(44:12)+Na,900.55138,717.48534,841.477881,695.5034,146.98179
PC(44:2)+Na,920.70788,737.64184,861.634381,715.6599,146.98179
PC(44:3)+Na,918.69228,735.62624,859.618781,713.6443,146.98179
PC(44:4)+Na,916.67658,733.61054,857.603081,711.6286,146.98179
PC(44:5)+Na,914.66098,731.59494,855.587481,709.613,146.98179
PC(44:6)+Na,912.64538,729.57934,853.571881,707.5974,146.98179
PC(44:7)+Na,910.62968,727.56364,851.556181,705.5817,146.98179
PC(44:8)+Na,908.61398,725.54794,849.540481,703.566,146.98179
PC(44:9)+Na,906.59838,723.53234,847.524881,701.5504,146.98179
PC(45:0)+Na,938.75488,755.68884,879.681381,733.7069,146.98179
PC(45:1)+Na,936.73928,753.67324,877.665781,731.6913,146.98179
