PE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,head
PE(8:0_8:0)+H,468.27208,327.25297,201.14852,201.14852,127.11175,127.11175,142.02639
PE(8:0_10:0)+H,496.30338,355.28427,229.17982,201.14852,127.11175,155.14305,142.02639
PE(8:0_12:0)+H,524.33468,383.31557,257.21112,201.14852,127.11175,183.17435,142.02639
PE(8:0_13:0)+H,538.35038,397.33127,271.22682,201.14852,127.11175,197.19005,142.02639
PE(8:0_14:0)+H,552.36598,411.34687,285.24242,201.14852,127.11175,211.20565,142.02639
PE(8:0_14:1)+H,550.35038,409.33127,283.22682,201.14852,127.11175,209.19005,142.02639
PE(8:0_15:0)+H,566.38168,425.36257,299.25812,201.14852,127.11175,225.22135,142.02639
PE(8:0_15:1)+H,564.36598,423.34687,297.24242,201.14852,127.11175,223.20565,142.02639
PE(8:0_16:0)+H,580.39728,439.37817,313.27372,201.14852,127.11175,239.23695,142.02639
PE(8:0_16:1)+H,578.38168,437.36257,311.25812,201.14852,127.11175,237.22135,142.02639
PE(8:0_17:0)+H,594.41298,453.39387,327.28942,201.14852,127.11175,253.25265,142.02639
PE(8:0_17:1)+H,592.39728,451.37817,325.27372,201.14852,127.11175,251.23695,142.02639
PE(8:0_17:2)+H,590.38168,449.36257,323.25812,201.14852,127.11175,249.22135,142.02639
PE(8:0_18:0)+H,608.42858,467.40947,341.30502,201.14852,127.11175,267.26825,142.02639
PE(8:0_18:1)+H,606.41298,465.39387,339.28942,201.14852,127.11175,265.25265,142.02639
PE(8:0_18:2)+H,604.39728,463.37817,337.27372,201.14852,127.11175,263.23695,142.02639
PE(8:0_18:3)+H,602.38168,461.36257,335.25812,201.14852,127.11175,261.22135,142.02639
PE(8:0_18:4)+H,600.36598,459.34687,333.24242,201.14852,127.11175,259.20565,142.02639
PE(8:0_19:0)+H,622.44428,481.42517,355.32072,201.14852,127.11175,281.28395,142.02639
PE(8:0_20:0)+H,636.45988,495.44077,369.33632,201.14852,127.11175,295.29955,142.02639
PE(8:0_20:1)+H,634.44428,493.42517,367.32072,201.14852,127.11175,293.28395,142.02639
PE(8:0_20:2)+H,632.42858,491.40947,365.30502,201.14852,127.11175,291.26825,142.02639
PE(8:0_20:3)+H,630.41298,489.39387,363.28942,201.14852,127.11175,289.25265,142.02639
PE(8:0_20:4)+H,628.39728,487.37817,361.27372,201.14852,127.11175,287.23695,142.02639
PE(8:0_20:5)+H,626.38168,485.36257,359.25812,201.14852,127.11175,285.22135,142.02639
PE(8:0_21:0)+H,650.47558,509.45647,383.35202,201.14852,127.11175,309.31525,142.02639
PE(8:0_22:0)+H,664.49118,523.47207,397.36762,201.14852,127.11175,323.33085,142.02639
PE(8:0_22:1)+H,662.47558,521.45647,395.35202,201.14852,127.11175,321.31525,142.02639
PE(8:0_22:2)+H,660.45988,519.44077,393.33632,201.14852,127.11175,319.29955,142.02639
PE(8:0_22:3)+H,658.44428,517.42517,391.32072,201.14852,127.11175,317.28395,142.02639
PE(8:0_22:4)+H,656.42858,515.40947,389.30502,201.14852,127.11175,315.26825,142.02639
PE(8:0_22:5)+H,654.41298,513.39387,387.28942,201.14852,127.11175,313.25265,142.02639
