PE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
PE(8:0_8:0)+Na,490.2540178,447.2118178,349.2349235,303.0969378,303.0969378,164.00888
PE(8:0_10:0)+Na,518.2853178,475.2431178,377.2662235,331.1282378,303.0969378,164.00888
PE(8:0_12:0)+Na,546.3166178,503.2744178,405.2975235,359.1595378,303.0969378,164.00888
PE(8:0_13:0)+Na,560.3323178,517.2901178,419.3132235,373.1752378,303.0969378,164.00888
PE(8:0_14:0)+Na,574.3479178,531.3057178,433.3288235,387.1908378,303.0969378,164.00888
PE(8:0_14:1)+Na,572.3323178,529.2901178,431.3132235,385.1752378,303.0969378,164.00888
PE(8:0_15:0)+Na,588.3636178,545.3214178,447.3445235,401.2065378,303.0969378,164.00888
PE(8:0_15:1)+Na,586.3479178,543.3057178,445.3288235,399.1908378,303.0969378,164.00888
PE(8:0_16:0)+Na,602.3792178,559.3370178,461.3601235,415.2221378,303.0969378,164.00888
PE(8:0_16:1)+Na,600.3636178,557.3214178,459.3445235,413.2065378,303.0969378,164.00888
PE(8:0_17:0)+Na,616.3949178,573.3527178,475.3758235,429.2378378,303.0969378,164.00888
PE(8:0_17:1)+Na,614.3792178,571.3370178,473.3601235,427.2221378,303.0969378,164.00888
PE(8:0_17:2)+Na,612.3636178,569.3214178,471.3445235,425.2065378,303.0969378,164.00888
PE(8:0_18:0)+Na,630.4105178,587.3683178,489.3914235,443.2534378,303.0969378,164.00888
PE(8:0_18:1)+Na,628.3949178,585.3527178,487.3758235,441.2378378,303.0969378,164.00888
PE(8:0_18:2)+Na,626.3792178,583.3370178,485.3601235,439.2221378,303.0969378,164.00888
PE(8:0_18:3)+Na,624.3636178,581.3214178,483.3445235,437.2065378,303.0969378,164.00888
PE(8:0_18:4)+Na,622.3479178,579.3057178,481.3288235,435.1908378,303.0969378,164.00888
PE(8:0_19:0)+Na,644.4262178,601.3840178,503.4071235,457.2691378,303.0969378,164.00888
PE(8:0_20:0)+Na,658.4418178,615.3996178,517.4227235,471.2847378,303.0969378,164.00888
PE(8:0_20:1)+Na,656.4262178,613.3840178,515.4071235,469.2691378,303.0969378,164.00888
PE(8:0_20:2)+Na,654.4105178,611.3683178,513.3914235,467.2534378,303.0969378,164.00888
PE(8:0_20:3)+Na,652.3949178,609.3527178,511.3758235,465.2378378,303.0969378,164.00888
PE(8:0_20:4)+Na,650.3792178,607.3370178,509.3601235,463.2221378,303.0969378,164.00888
PE(8:0_20:5)+Na,648.3636178,605.3214178,507.3445235,461.2065378,303.0969378,164.00888
PE(8:0_21:0)+Na,672.4575178,629.4153178,531.4384235,485.3004378,303.0969378,164.00888
PE(8:0_22:0)+Na,686.4731178,643.4309178,545.4540235,499.3160378,303.0969378,164.00888
PE(8:0_22:1)+Na,684.4575178,641.4153178,543.4384235,497.3004378,303.0969378,164.00888
PE(8:0_22:2)+Na,682.4418178,639.3996178,541.4227235,495.2847378,303.0969378,164.00888
PE(8:0_22:3)+Na,680.4262178,637.3840178,539.4071235,493.2691378,303.0969378,164.00888
PE(8:0_22:4)+Na,678.4105178,635.3683178,537.3914235,491.2534378,303.0969378,164.00888
PE(8:0_22:5)+Na,676.3949178,633.3527178,535.3758235,489.2378378,303.0969378,164.00888
PE(8:0_22:6)+Na,674.3792178,631.3370178,533.3601235,487.2221378,303.0969378,164.00888
PE(8:0_23:0)+Na,700.4888178,657.4466178,559.4697235,513.3317378,303.0969378,164.00888
PE(8:0_24:0)+Na,714.5044178,671.4622178,573.4853235,527.3473378,303.0969378,164.00888
PE(8:0_24:1)+Na,712.4888178,669.4466178,571.4697235,525.3317378,303.0969378,164.00888
