PE,[M-H]-,NL_T1Ketene&serene,NL_T2Ketene&serene,NL_T1RCOOH,NL_T2RCOOH,T1_RCOO-,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
PE(8:0_8:0)-H,466.25752,340.15305,340.15305,322.14249,322.14249,143.10775,143.10775,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_10:0)-H,494.28882,368.18435,340.15305,350.17379,322.14249,143.10775,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_12:0)-H,522.32012,396.21565,340.15305,378.20509,322.14249,143.10775,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_13:0)-H,536.33582,410.23135,340.15305,392.22079,322.14249,143.10775,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_14:0)-H,550.35142,424.24695,340.15305,406.23639,322.14249,143.10775,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_14:1)-H,548.33582,422.23135,340.15305,404.22079,322.14249,143.10775,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_15:0)-H,564.36712,438.26265,340.15305,420.25209,322.14249,143.10775,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_15:1)-H,562.35142,436.24695,340.15305,418.23639,322.14249,143.10775,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_16:0)-H,578.38272,452.27825,340.15305,434.26769,322.14249,143.10775,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_16:1)-H,576.36712,450.26265,340.15305,432.25209,322.14249,143.10775,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_17:0)-H,592.39842,466.29395,340.15305,448.28339,322.14249,143.10775,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_17:1)-H,590.38272,464.27825,340.15305,446.26769,322.14249,143.10775,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_17:2)-H,588.36712,462.26265,340.15305,444.25209,322.14249,143.10775,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_18:0)-H,606.41402,480.30955,340.15305,462.29899,322.14249,143.10775,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_18:1)-H,604.39842,478.29395,340.15305,460.28339,322.14249,143.10775,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_18:2)-H,602.38272,476.27825,340.15305,458.26769,322.14249,143.10775,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_18:3)-H,600.36712,474.26265,340.15305,456.25209,322.14249,143.10775,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_18:4)-H,598.35142,472.24695,340.15305,454.23639,322.14249,143.10775,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_19:0)-H,620.42972,494.32525,340.15305,476.31469,322.14249,143.10775,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_20:0)-H,634.44532,508.34085,340.15305,490.33029,322.14249,143.10775,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_20:1)-H,632.42972,506.32525,340.15305,488.31469,322.14249,143.10775,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_20:2)-H,630.41402,504.30955,340.15305,486.29899,322.14249,143.10775,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_20:3)-H,628.39842,502.29395,340.15305,484.28339,322.14249,143.10775,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
