PG,[M+NH4]+,NL Head,NL_head&H2O
PG(16:0)+NH4,516.29326,345.28736,327.253027
PG(18:0)+NH4,544.32456,373.31866,355.284327
PG(20:0)+NH4,572.35586,401.34996,383.315627
PG(21:0)+NH4,586.37156,415.36566,397.331327
PG(22:0)+NH4,600.38716,429.38126,411.346927
PG(22:1)+NH4,598.37156,427.36566,409.331327
PG(23:0)+NH4,614.40286,443.39696,425.362627
PG(23:1)+NH4,612.38716,441.38126,423.346927
PG(24:0)+NH4,628.41846,457.41256,439.378227
PG(24:1)+NH4,626.40286,455.39696,437.362627
PG(25:0)+NH4,642.43416,471.42826,453.393927
PG(25:1)+NH4,640.41846,469.41256,451.378227
PG(25:2)+NH4,638.40286,467.39696,449.362627
PG(26:0)+NH4,656.44976,485.44386,467.409527
PG(26:1)+NH4,654.43416,483.42826,465.393927
PG(26:2)+NH4,652.41846,481.41256,463.378227
PG(26:3)+NH4,650.40286,479.39696,461.362627
PG(26:4)+NH4,648.38716,477.38126,459.346927
PG(27:0)+NH4,670.46546,499.45956,481.425227
PG(27:1)+NH4,668.44976,497.44386,479.409527
PG(27:2)+NH4,666.43416,495.42826,477.393927
PG(28:0)+NH4,684.48106,513.47516,495.440827
PG(28:1)+NH4,682.46546,511.45956,493.425227
PG(28:2)+NH4,680.44976,509.44386,491.409527
PG(28:3)+NH4,678.43416,507.42826,489.393927
PG(28:4)+NH4,676.41846,505.41256,487.378227
PG(28:5)+NH4,674.40286,503.39696,485.362627
PG(29:0)+NH4,698.49676,527.49086,509.456527
PG(29:1)+NH4,696.48106,525.47516,507.440827
PG(29:2)+NH4,694.46546,523.45956,505.425227
PG(30:0)+NH4,712.51236,541.50646,523.472127
PG(30:1)+NH4,710.49676,539.49086,521.456527
PG(30:2)+NH4,708.48106,537.47516,519.440827
PG(30:3)+NH4,706.46546,535.45956,517.425227
PG(30:4)+NH4,704.44976,533.44386,515.409527
PG(30:5)+NH4,702.43416,531.42826,513.393927
PG(30:6)+NH4,700.41846,529.41256,511.378227
PG(31:0)+NH4,726.52806,555.52216,537.487827
PG(31:1)+NH4,724.51246,553.50656,535.472227
PG(31:2)+NH4,722.49676,551.49086,533.456527
PG(31:3)+NH4,720.48116,549.47526,531.440927
PG(31:4)+NH4,718.46546,547.45956,529.425227
PG(32:0)+NH4,740.54366,569.53776,551.503427
PG(32:1)+NH4,738.52806,567.52216,549.487827
PG(32:2)+NH4,736.51236,565.50646,547.472127
PG(32:3)+NH4,734.49676,563.49086,545.456527
PG(32:4)+NH4,732.48106,561.47516,543.440827
PG(32:5)+NH4,730.46546,559.45956,541.425227
PG(32:6)+NH4,728.44976,557.44386,539.409527
PG(33:0)+NH4,754.55936,583.55346,565.519127
PG(33:1)+NH4,752.54376,581.53786,563.503527
PG(33:2)+NH4,750.52806,579.52216,561.487827
PG(33:3)+NH4,748.51246,577.50656,559.472227
PG(33:4)+NH4,746.49676,575.49086,557.456527
PG(33:5)+NH4,744.48116,573.47526,555.440927
PG(34:0)+NH4,768.57496,597.56906,579.534727
PG(34:1)+NH4,766.55936,595.55346,577.519127
PG(34:2)+NH4,764.54366,593.53776,575.503427
PG(34:3)+NH4,762.52806,591.52216,573.487827
PG(34:4)+NH4,760.51236,589.50646,571.472127
PG(34:5)+NH4,758.49676,587.49086,569.456527
PG(34:6)+NH4,756.48106,585.47516,567.440827
PG(35:0)+NH4,782.59066,611.58476,593.550427
PG(35:1)+NH4,780.57506,609.56916,591.534827
PG(35:2)+NH4,778.55936,607.55346,589.519127
PG(35:3)+NH4,776.54376,605.53786,587.503527
PG(35:4)+NH4,774.52806,603.52216,585.487827
PG(35:5)+NH4,772.51246,601.50656,583.472227
PG(35:6)+NH4,770.49676,599.49086,581.456527
PG(36:0)+NH4,796.60626,625.60036,607.566027
PG(36:1)+NH4,794.59066,623.58476,605.550427
PG(36:2)+NH4,792.57496,621.56906,603.534727
PG(36:3)+NH4,790.55936,619.55346,601.519127
PG(36:4)+NH4,788.54366,617.53776,599.503427
PG(36:5)+NH4,786.52806,615.52216,597.487827
PG(36:6)+NH4,784.51236,613.50646,595.472127
PG(36:7)+NH4,782.49676,611.49086,593.456527
PG(36:8)+NH4,780.48106,609.47516,591.440827
PG(37:0)+NH4,810.62196,639.61606,621.581727
PG(37:1)+NH4,808.60636,637.60046,619.566127
PG(37:2)+NH4,806.59066,635.58476,617.550427
PG(37:3)+NH4,804.57506,633.56916,615.534827
PG(37:4)+NH4,802.55936,631.55346,613.519127
PG(37:5)+NH4,800.54376,629.53786,611.503527
PG(37:6)+NH4,798.52806,627.52216,609.487827
PG(37:7)+NH4,796.51236,625.50646,607.472127
PG(38:0)+NH4,824.63756,653.63166,635.597327
PG(38:1)+NH4,822.62196,651.61606,633.581727
PG(38:2)+NH4,820.60636,649.60046,631.566127
PG(38:3)+NH4,818.59066,647.58476,629.550427
PG(38:4)+NH4,816.57496,645.56906,627.534727
PG(38:5)+NH4,814.55936,643.55346,625.519127
PG(38:6)+NH4,812.54366,641.53776,623.503427
PG(38:7)+NH4,810.52806,639.52216,621.487827
PG(38:8)+NH4,808.51246,637.50656,619.472227
PG(38:9)+NH4,806.49676,635.49086,617.456527
PG(39:0)+NH4,838.65326,667.64736,649.613027
PG(39:1)+NH4,836.63766,665.63176,647.597427
PG(39:2)+NH4,834.62196,663.61606,645.581727
PG(39:3)+NH4,832.60636,661.60046,643.566127
PG(39:4)+NH4,830.59066,659.58476,641.550427
PG(39:5)+NH4,828.57506,657.56916,639.534827
PG(39:6)+NH4,826.55936,655.55346,637.519127
PG(39:7)+NH4,824.54366,653.53776,635.503427
PG(39:8)+NH4,822.52806,651.52216,633.487827
PG(40:0)+NH4,852.66886,681.66296,663.628627
PG(40:1)+NH4,850.65326,679.64736,661.613027
PG(40:10)+NH4,832.51236,661.50646,643.472127
PG(40:2)+NH4,848.63766,677.63176,659.597427
PG(40:3)+NH4,846.62196,675.61606,657.581727
PG(40:4)+NH4,844.60626,673.60036,655.566027
PG(40:5)+NH4,842.59066,671.58476,653.550427
PG(40:6)+NH4,840.57496,669.56906,651.534727
PG(40:7)+NH4,838.55936,667.55346,649.519127
PG(40:8)+NH4,836.54366,665.53776,647.503427
PG(40:9)+NH4,834.52806,663.52216,645.487827
PG(41:0)+NH4,866.68456,695.67866,677.644327
PG(41:1)+NH4,864.66886,693.66296,675.628627
PG(41:2)+NH4,862.65326,691.64736,673.613027
PG(41:3)+NH4,860.63766,689.63176,671.597427
PG(41:4)+NH4,858.62196,687.61606,669.581727
PG(41:5)+NH4,856.60636,685.60046,667.566127
PG(41:6)+NH4,854.59066,683.58476,665.550427
PG(42:0)+NH4,880.70016,709.69426,691.659927
PG(42:1)+NH4,878.68456,707.67866,689.644327
PG(42:10)+NH4,860.54366,689.53776,671.503427
