PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(12:0_12:0)+NH4,568.39732,439.3782,351.1932,351.1932,257.2113,257.2113,183.1742,183.1742,169.026
PMeOH(12:0_13:0)+NH4,582.41292,453.3938,365.2089,351.1932,271.2269,257.2112,197.1899,183.1742,169.026
PMeOH(12:0_13:1)+NH4,580.39732,451.3782,363.1932,351.1932,269.2113,257.2113,195.1742,183.1742,169.026
PMeOH(12:0_14:0)+NH4,596.42862,467.4095,379.2245,351.1933,285.2426,257.2113,211.2055,183.1742,169.026
PMeOH(12:0_14:1)+NH4,594.41292,465.3938,377.2089,351.1932,283.2269,257.2112,209.1899,183.1742,169.026
PMeOH(12:0_15:0)+NH4,610.44422,481.4251,393.2401,351.1932,299.2582,257.2112,225.2211,183.1742,169.026
PMeOH(12:0_15:1)+NH4,608.42862,479.4095,391.2245,351.1933,297.2426,257.2113,223.2055,183.1742,169.026
PMeOH(12:0_16:0)+NH4,624.45992,495.4408,407.2559,351.1933,313.2739,257.2113,239.2368,183.1742,169.026
PMeOH(12:0_16:1)+NH4,622.44422,493.4251,405.2401,351.1932,311.2582,257.2112,237.2211,183.1742,169.026
PMeOH(12:0_16:2)+NH4,620.42862,491.4095,403.2245,351.1933,309.2426,257.2113,235.2055,183.1742,169.026
PMeOH(12:0_16:3)+NH4,618.41292,489.3938,401.2089,351.1932,307.2269,257.2112,233.1899,183.1742,169.026
PMeOH(12:0_16:4)+NH4,616.39732,487.3782,399.1932,351.1932,305.2113,257.2113,231.1742,183.1742,169.026
PMeOH(12:0_17:0)+NH4,638.47552,509.4564,421.2715,351.1932,327.2895,257.2113,253.2524,183.1742,169.026
PMeOH(12:0_17:1)+NH4,636.45992,507.4408,419.2559,351.1933,325.2739,257.2113,251.2368,183.1742,169.026
PMeOH(12:0_17:2)+NH4,634.44422,505.4251,417.2401,351.1932,323.2582,257.2112,249.2211,183.1742,169.026
PMeOH(12:0_18:0)+NH4,652.49112,523.472,435.287,351.1932,341.3051,257.2112,267.2681,183.1742,169.026
PMeOH(12:0_18:1)+NH4,650.47552,521.4564,433.2715,351.1932,339.2895,257.2113,265.2524,183.1742,169.026
PMeOH(12:0_18:2)+NH4,648.46002,519.4409,431.2559,351.1933,337.2739,257.2113,263.2368,183.1742,169.026
PMeOH(12:0_18:3)+NH4,646.44422,517.4251,429.2401,351.1932,335.2582,257.2112,261.2212,183.1742,169.026
PMeOH(12:0_18:4)+NH4,644.42862,515.4095,427.2245,351.1933,333.2426,257.2113,259.2055,183.1742,169.026
PMeOH(12:0_18:5)+NH4,642.41302,513.3939,425.2089,351.1932,331.2269,257.2112,257.1899,183.1742,169.026
PMeOH(12:0_19:0)+NH4,666.50682,537.4877,449.3028,351.1933,355.3208,257.2113,281.2837,183.1742,169.026
PMeOH(12:0_19:1)+NH4,664.49112,535.472,447.287,351.1932,353.3051,257.2112,279.2681,183.1742,169.026
PMeOH(12:0_19:2)+NH4,662.47552,533.4564,445.2715,351.1932,351.2895,257.2113,277.2524,183.1742,169.026
PMeOH(12:0_20:0)+NH4,680.52252,551.5034,463.3184,351.1932,369.3364,257.2112,295.2993,183.1742,169.026
PMeOH(12:0_20:1)+NH4,678.50682,549.4877,461.3028,351.1933,367.3208,257.2113,293.2837,183.1742,169.026
PMeOH(12:0_20:2)+NH4,676.49112,547.472,459.287,351.1932,365.3051,257.2112,291.2681,183.1742,169.026
PMeOH(12:0_20:3)+NH4,674.47552,545.4564,457.2715,351.1932,363.2895,257.2113,289.2524,183.1742,169.026
PMeOH(12:0_20:4)+NH4,672.46002,543.4409,455.2559,351.1933,361.2739,257.2113,287.2368,183.1742,169.026
