PS,[M+H]+,NL_head
PS(16:0)+H,512.26196,327.25301
PS(18:0)+H,540.29326,355.28431
PS(20:0)+H,568.32456,383.31561
PS(21:0)+H,582.34026,397.33131
PS(22:0)+H,596.35586,411.34691
PS(22:1)+H,594.34026,409.33131
PS(23:0)+H,610.37156,425.36261
PS(23:1)+H,608.35586,423.34691
PS(24:0)+H,624.38716,439.37821
PS(24:1)+H,622.37156,437.36261
PS(25:0)+H,638.40286,453.39391
PS(25:1)+H,636.38716,451.37821
PS(25:2)+H,634.37156,449.36261
PS(26:0)+H,652.41846,467.40951
PS(26:1)+H,650.40286,465.39391
PS(26:2)+H,648.38716,463.37821
PS(26:3)+H,646.37156,461.36261
PS(26:4)+H,644.35586,459.34691
PS(27:0)+H,666.43416,481.42521
PS(27:1)+H,664.41846,479.40951
PS(27:2)+H,662.40286,477.39391
PS(28:0)+H,680.44976,495.44081
PS(28:1)+H,678.43416,493.42521
PS(28:2)+H,676.41846,491.40951
PS(28:3)+H,674.40286,489.39391
PS(28:4)+H,672.38716,487.37821
PS(28:5)+H,670.37156,485.36261
PS(29:0)+H,694.46546,509.45651
PS(29:1)+H,692.44976,507.44081
PS(29:2)+H,690.43416,505.42521
PS(30:0)+H,708.48106,523.47211
PS(30:1)+H,706.46546,521.45651
PS(30:2)+H,704.44976,519.44081
PS(30:3)+H,702.43416,517.42521
PS(30:4)+H,700.41846,515.40951
PS(30:5)+H,698.40286,513.39391
PS(30:6)+H,696.38716,511.37821
PS(31:0)+H,722.49676,537.48781
PS(31:1)+H,720.48116,535.47221
PS(31:2)+H,718.46546,533.45651
PS(31:3)+H,716.44986,531.44091
PS(31:4)+H,714.43416,529.42521
PS(32:0)+H,736.51236,551.50341
PS(32:1)+H,734.49676,549.48781
PS(32:2)+H,732.48106,547.47211
PS(32:3)+H,730.46546,545.45651
PS(32:4)+H,728.44976,543.44081
PS(32:5)+H,726.43416,541.42521
PS(32:6)+H,724.41846,539.40951
PS(33:0)+H,750.52806,565.51911
PS(33:1)+H,748.51246,563.50351
PS(33:2)+H,746.49676,561.48781
PS(33:3)+H,744.48116,559.47221
PS(33:4)+H,742.46546,557.45651
PS(33:5)+H,740.44986,555.44091
PS(34:0)+H,764.54366,579.53471
PS(34:1)+H,762.52806,577.51911
PS(34:2)+H,760.51236,575.50341
PS(34:3)+H,758.49676,573.48781
PS(34:4)+H,756.48106,571.47211
PS(34:5)+H,754.46546,569.45651
PS(34:6)+H,752.44976,567.44081
PS(35:0)+H,778.55936,593.55041
PS(35:1)+H,776.54376,591.53481
PS(35:2)+H,774.52806,589.51911
PS(35:3)+H,772.51246,587.50351
PS(35:4)+H,770.49676,585.48781
PS(35:5)+H,768.48116,583.47221
PS(35:6)+H,766.46546,581.45651
PS(36:0)+H,792.57496,607.56601
PS(36:1)+H,790.55936,605.55041
PS(36:2)+H,788.54366,603.53471
PS(36:3)+H,786.52806,601.51911
PS(36:4)+H,784.51236,599.50341
PS(36:5)+H,782.49676,597.48781
PS(36:6)+H,780.48106,595.47211
PS(36:7)+H,778.46546,593.45651
PS(36:8)+H,776.44976,591.44081
PS(37:0)+H,806.59066,621.58171
PS(37:1)+H,804.57506,619.56611
PS(37:2)+H,802.55936,617.55041
PS(37:3)+H,800.54376,615.53481
PS(37:4)+H,798.52806,613.51911
PS(37:5)+H,796.51246,611.50351
PS(37:6)+H,794.49676,609.48781
PS(37:7)+H,792.48106,607.47211
PS(38:0)+H,820.60626,635.59731
PS(38:1)+H,818.59066,633.58171
PS(38:2)+H,816.57506,631.56611
PS(38:3)+H,814.55936,629.55041
PS(38:4)+H,812.54366,627.53471
PS(38:5)+H,810.52806,625.51911
PS(38:6)+H,808.51236,623.50341
PS(38:7)+H,806.49676,621.48781
PS(38:8)+H,804.48116,619.47221
PS(38:9)+H,802.46546,617.45651
PS(39:0)+H,834.62196,649.61301
PS(39:1)+H,832.60636,647.59741
PS(39:2)+H,830.59066,645.58171
PS(39:3)+H,828.57506,643.56611
PS(39:4)+H,826.55936,641.55041
PS(39:5)+H,824.54376,639.53481
PS(39:6)+H,822.52806,637.51911
PS(39:7)+H,820.51236,635.50341
PS(39:8)+H,818.49676,633.48781
PS(40:0)+H,848.63756,663.62861
PS(40:1)+H,846.62196,661.61301
PS(40:10)+H,828.48106,643.47211
PS(40:2)+H,844.60636,659.59741
PS(40:3)+H,842.59066,657.58171
PS(40:4)+H,840.57496,655.56601
PS(40:5)+H,838.55936,653.55041
PS(40:6)+H,836.54366,651.53471
PS(40:7)+H,834.52806,649.51911
PS(40:8)+H,832.51236,647.50341
PS(40:9)+H,830.49676,645.48781
PS(41:0)+H,862.65326,677.64431
PS(41:1)+H,860.63756,675.62861
PS(41:2)+H,858.62196,673.61301
PS(41:3)+H,856.60636,671.59741
PS(41:4)+H,854.59066,669.58171
PS(41:5)+H,852.57506,667.56611
PS(41:6)+H,850.55936,665.55041
PS(42:0)+H,876.66886,691.65991
PS(42:1)+H,874.65326,689.64431
PS(42:10)+H,856.51236,671.50341
PS(42:11)+H,854.49676,669.48781
PS(42:2)+H,872.63766,687.62871
PS(42:3)+H,870.62196,685.61301
PS(42:4)+H,868.60636,683.59741
PS(42:5)+H,866.59066,681.58171
PS(42:6)+H,864.57496,679.56601
PS(42:7)+H,862.55936,677.55041
PS(42:8)+H,860.54366,675.53471
PS(42:9)+H,858.52806,673.51911
PS(43:0)+H,890.68456,705.67561
PS(43:1)+H,888.66886,703.65991
PS(43:2)+H,886.65326,701.64431
PS(43:3)+H,884.63766,699.62871
PS(43:4)+H,882.62196,697.61301
PS(43:5)+H,880.60636,695.59741
PS(43:6)+H,878.59066,693.58171
PS(44:0)+H,904.70016,719.69121
PS(44:1)+H,902.68456,717.67561
PS(44:10)+H,884.54366,699.53471
PS(44:11)+H,882.52806,697.51911
PS(44:12)+H,880.51236,695.50341
PS(44:2)+H,900.66886,715.65991
PS(44:3)+H,898.65326,713.64431
PS(44:4)+H,896.63756,711.62861
PS(44:5)+H,894.62196,709.61301
PS(44:6)+H,892.60636,707.59741
PS(44:7)+H,890.59066,705.58171
PS(44:8)+H,888.57496,703.56601
PS(44:9)+H,886.55936,701.55041
PS(45:0)+H,918.71586,733.70691
PS(45:1)+H,916.70026,731.69131
PS(45:2)+H,914.68456,729.67561
PS(45:3)+H,912.66896,727.66001
PS(45:4)+H,910.65326,725.64431
PS(45:5)+H,908.63766,723.62871
PS(45:6)+H,906.62196,721.61301
PS(46:0)+H,932.73146,747.72251
PS(46:1)+H,930.71586,745.70691
PS(46:2)+H,928.70016,743.69121
PS(46:3)+H,926.68456,741.67561
PS(46:4)+H,924.66886,739.65991
PS(46:5)+H,922.65326,737.64431
PS(46:6)+H,920.63766,735.62871
PS(46:7)+H,918.62196,733.61301
PS(47:0)+H,946.74716,761.73821
PS(47:1)+H,944.73156,759.72261
PS(47:2)+H,942.71586,757.70691
PS(47:3)+H,940.70026,755.69131
PS(47:4)+H,938.68456,753.67561
PS(47:5)+H,936.66896,751.66001
PS(47:6)+H,934.65326,749.64431
PS(48:0)+H,960.76276,775.75381
PS(48:1)+H,958.74716,773.73821
PS(48:2)+H,956.73146,771.72251
PS(48:3)+H,954.71586,769.70691
PS(48:4)+H,952.70016,767.69121
PS(48:5)+H,950.68456,765.67561
PS(48:6)+H,948.66886,763.65991
PS(49:0)+H,974.77846,789.76951
PS(49:1)+H,972.76286,787.75391
PS(50:0)+H,988.79406,803.78511
PS(50:1)+H,986.77846,801.76951
PS(51:0)+H,1002.80976,817.80081
PS(52:0)+H,1016.82536,831.81641
