PS,[M+Na]+,Phosphoserine+Na
PS(16:0)+Na,534.2438249,207.99872
PS(18:0)+Na,562.2751249,207.99872
PS(20:0)+Na,590.3064249,207.99872
PS(21:0)+Na,604.3221249,207.99872
PS(22:0)+Na,618.3377249,207.99872
PS(22:1)+Na,616.3221249,207.99872
PS(23:0)+Na,632.3534249,207.99872
PS(23:1)+Na,630.3377249,207.99872
PS(24:0)+Na,646.3690249,207.99872
PS(24:1)+Na,644.3534249,207.99872
PS(25:0)+Na,660.3847249,207.99872
PS(25:1)+Na,658.3690249,207.99872
PS(25:2)+Na,656.3534249,207.99872
PS(26:0)+Na,674.4003249,207.99872
PS(26:1)+Na,672.3847249,207.99872
PS(26:2)+Na,670.3690249,207.99872
PS(26:3)+Na,668.3534249,207.99872
PS(26:4)+Na,666.3377249,207.99872
PS(27:0)+Na,688.4160249,207.99872
PS(27:1)+Na,686.4003249,207.99872
PS(27:2)+Na,684.3847249,207.99872
PS(28:0)+Na,702.4316249,207.99872
PS(28:1)+Na,700.4160249,207.99872
PS(28:2)+Na,698.4003249,207.99872
PS(28:3)+Na,696.3847249,207.99872
PS(28:4)+Na,694.3690249,207.99872
PS(28:5)+Na,692.3534249,207.99872
PS(29:0)+Na,716.4473249,207.99872
PS(29:1)+Na,714.4316249,207.99872
PS(29:2)+Na,712.4160249,207.99872
PS(30:0)+Na,730.4629249,207.99872
PS(30:1)+Na,728.4473249,207.99872
PS(30:2)+Na,726.4316249,207.99872
PS(30:3)+Na,724.4160249,207.99872
PS(30:4)+Na,722.4003249,207.99872
PS(30:5)+Na,720.3847249,207.99872
PS(30:6)+Na,718.3690249,207.99872
PS(31:0)+Na,744.4786249,207.99872
PS(31:1)+Na,742.4630249,207.99872
PS(31:2)+Na,740.4473249,207.99872
PS(31:3)+Na,738.4317249,207.99872
PS(31:4)+Na,736.4160249,207.99872
PS(32:0)+Na,758.4942249,207.99872
PS(32:1)+Na,756.4786249,207.99872
PS(32:2)+Na,754.4629249,207.99872
PS(32:3)+Na,752.4473249,207.99872
PS(32:4)+Na,750.4316249,207.99872
PS(32:5)+Na,748.4160249,207.99872
PS(32:6)+Na,746.4003249,207.99872
PS(33:0)+Na,772.5099249,207.99872
PS(33:1)+Na,770.4943249,207.99872
PS(33:2)+Na,768.4786249,207.99872
PS(33:3)+Na,766.4630249,207.99872
PS(33:4)+Na,764.4473249,207.99872
PS(33:5)+Na,762.4317249,207.99872
PS(34:0)+Na,786.5255249,207.99872
PS(34:1)+Na,784.5099249,207.99872
PS(34:2)+Na,782.4942249,207.99872
PS(34:3)+Na,780.4786249,207.99872
PS(34:4)+Na,778.4629249,207.99872
PS(34:5)+Na,776.4473249,207.99872
PS(34:6)+Na,774.4316249,207.99872
PS(35:0)+Na,800.5412249,207.99872
PS(35:1)+Na,798.5256249,207.99872
PS(35:2)+Na,796.5099249,207.99872
PS(35:3)+Na,794.4943249,207.99872
PS(35:4)+Na,792.4786249,207.99872
PS(35:5)+Na,790.4630249,207.99872
PS(35:6)+Na,788.4473249,207.99872
PS(36:0)+Na,814.5568249,207.99872
PS(36:1)+Na,812.5412249,207.99872
PS(36:2)+Na,810.5255249,207.99872
PS(36:3)+Na,808.5099249,207.99872
PS(36:4)+Na,806.4942249,207.99872
PS(36:5)+Na,804.4786249,207.99872
PS(36:6)+Na,802.4629249,207.99872
PS(36:7)+Na,800.4473249,207.99872
PS(36:8)+Na,798.4316249,207.99872
PS(37:0)+Na,828.5725249,207.99872
PS(37:1)+Na,826.5569249,207.99872
PS(37:2)+Na,824.5412249,207.99872
PS(37:3)+Na,822.5256249,207.99872
PS(37:4)+Na,820.5099249,207.99872
PS(37:5)+Na,818.4943249,207.99872
PS(37:6)+Na,816.4786249,207.99872
PS(37:7)+Na,814.4629249,207.99872
PS(38:0)+Na,842.5881249,207.99872
PS(38:1)+Na,840.5725249,207.99872
PS(38:2)+Na,838.5569249,207.99872
PS(38:3)+Na,836.5412249,207.99872
PS(38:4)+Na,834.5255249,207.99872
PS(38:5)+Na,832.5099249,207.99872
PS(38:6)+Na,830.4942249,207.99872
PS(38:7)+Na,828.4786249,207.99872
PS(38:8)+Na,826.4630249,207.99872
PS(38:9)+Na,824.4473249,207.99872
PS(39:0)+Na,856.6038249,207.99872
PS(39:1)+Na,854.5882249,207.99872
PS(39:2)+Na,852.5725249,207.99872
PS(39:3)+Na,850.5569249,207.99872
PS(39:4)+Na,848.5412249,207.99872
PS(39:5)+Na,846.5256249,207.99872
PS(39:6)+Na,844.5099249,207.99872
PS(39:7)+Na,842.4942249,207.99872
PS(39:8)+Na,840.4786249,207.99872
PS(40:0)+Na,870.6194249,207.99872
PS(40:1)+Na,868.6038249,207.99872
PS(40:10)+Na,850.4629249,207.99872
PS(40:2)+Na,866.5882249,207.99872
PS(40:3)+Na,864.5725249,207.99872
PS(40:4)+Na,862.5568249,207.99872
PS(40:5)+Na,860.5412249,207.99872
PS(40:6)+Na,858.5255249,207.99872
PS(40:7)+Na,856.5099249,207.99872
PS(40:8)+Na,854.4942249,207.99872
PS(40:9)+Na,852.4786249,207.99872
PS(41:0)+Na,884.6351249,207.99872
PS(41:1)+Na,882.6194249,207.99872
PS(41:2)+Na,880.6038249,207.99872
PS(41:3)+Na,878.5882249,207.99872
PS(41:4)+Na,876.5725249,207.99872
PS(41:5)+Na,874.5569249,207.99872
PS(41:6)+Na,872.5412249,207.99872
PS(42:0)+Na,898.6507249,207.99872
PS(42:1)+Na,896.6351249,207.99872
PS(42:10)+Na,878.4942249,207.99872
PS(42:11)+Na,876.4786249,207.99872
PS(42:2)+Na,894.6195249,207.99872
PS(42:3)+Na,892.6038249,207.99872
PS(42:4)+Na,890.5882249,207.99872
PS(42:5)+Na,888.5725249,207.99872
PS(42:6)+Na,886.5568249,207.99872
PS(42:7)+Na,884.5412249,207.99872
PS(42:8)+Na,882.5255249,207.99872
PS(42:9)+Na,880.5099249,207.99872
PS(43:0)+Na,912.6664249,207.99872
PS(43:1)+Na,910.6507249,207.99872
