PS,[M-H]-,M-Serine,GlyceroPC_NLCH3&H2O, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PS(16:0)-H,510.2474,423.21538,224.06881,152.99586,96.96964,78.95852
PS(18:0)-H,538.2787,451.24668,224.06881,152.99586,96.96964,78.95852
PS(20:0)-H,566.31,479.27798,224.06881,152.99586,96.96964,78.95852
PS(21:0)-H,580.3257,493.29368,224.06881,152.99586,96.96964,78.95852
PS(22:0)-H,594.3413,507.30928,224.06881,152.99586,96.96964,78.95852
PS(22:1)-H,592.3257,505.29368,224.06881,152.99586,96.96964,78.95852
PS(23:0)-H,608.357,521.32498,224.06881,152.99586,96.96964,78.95852
PS(23:1)-H,606.3413,519.30928,224.06881,152.99586,96.96964,78.95852
PS(24:0)-H,622.3726,535.34058,224.06881,152.99586,96.96964,78.95852
PS(24:1)-H,620.357,533.32498,224.06881,152.99586,96.96964,78.95852
PS(25:0)-H,636.3883,549.35628,224.06881,152.99586,96.96964,78.95852
PS(25:1)-H,634.3726,547.34058,224.06881,152.99586,96.96964,78.95852
PS(25:2)-H,632.357,545.32498,224.06881,152.99586,96.96964,78.95852
PS(26:0)-H,650.4039,563.37188,224.06881,152.99586,96.96964,78.95852
PS(26:1)-H,648.3883,561.35628,224.06881,152.99586,96.96964,78.95852
PS(26:2)-H,646.3726,559.34058,224.06881,152.99586,96.96964,78.95852
PS(26:3)-H,644.357,557.32498,224.06881,152.99586,96.96964,78.95852
PS(26:4)-H,642.3413,555.30928,224.06881,152.99586,96.96964,78.95852
PS(27:0)-H,664.4196,577.38758,224.06881,152.99586,96.96964,78.95852
PS(27:1)-H,662.4039,575.37188,224.06881,152.99586,96.96964,78.95852
PS(27:2)-H,660.3883,573.35628,224.06881,152.99586,96.96964,78.95852
PS(28:0)-H,678.4352,591.40318,224.06881,152.99586,96.96964,78.95852
PS(28:1)-H,676.4196,589.38758,224.06881,152.99586,96.96964,78.95852
PS(28:2)-H,674.4039,587.37188,224.06881,152.99586,96.96964,78.95852
PS(28:3)-H,672.3883,585.35628,224.06881,152.99586,96.96964,78.95852
PS(28:4)-H,670.3726,583.34058,224.06881,152.99586,96.96964,78.95852
PS(28:5)-H,668.357,581.32498,224.06881,152.99586,96.96964,78.95852
PS(29:0)-H,692.4509,605.41888,224.06881,152.99586,96.96964,78.95852
