Plasmanyl-PC,[M+H]+,MH-PC,NL_sn1_ether,NL_sn1_59,NL_sn2_acyl,sn2_NL_H2O,LPC_T2_H,RCOO+58_T2,RCO_T2,PC_Head
Plasmanyl-PC(O-16:0/10:0)+H,636.4962576,453.4302176,396.2510926,337.1775926,482.3605776,464.3500176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-16:0/12:0)+H,664.5275576,481.4615176,424.2823926,365.2088926,482.3605776,464.3500176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-16:0/13:0)+H,678.5432576,495.4772176,438.2980926,379.2245926,482.3605776,464.3500176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-16:0/14:0)+H,692.5588576,509.4928176,452.3136926,393.2401926,482.3605776,464.3500176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-16:0/14:1)+H,690.5432576,507.4772176,450.2980926,391.2245926,482.3605776,464.3500176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-16:0/15:0)+H,706.5745576,523.5085176,466.3293926,407.2558926,482.3605776,464.3500176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-16:0/15:1)+H,704.5588576,521.4928176,464.3136926,405.2401926,482.3605776,464.3500176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-16:0/16:0)+H,720.5901576,537.5241176,480.3449926,421.2714926,482.3605776,464.3500176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-16:0/16:1)+H,718.5745576,535.5085176,478.3293926,419.2558926,482.3605776,464.3500176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-16:0/17:0)+H,734.6058576,551.5398176,494.3606926,435.2871926,482.3605776,464.3500176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-16:0/17:1)+H,732.5901576,549.5241176,492.3449926,433.2714926,482.3605776,464.3500176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-16:0/17:2)+H,730.5745576,547.5085176,490.3293926,431.2558926,482.3605776,464.3500176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-16:0/18:0)+H,748.6214576,565.5554176,508.3762926,449.3027926,482.3605776,464.3500176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-16:0/18:1)+H,746.6058576,563.5398176,506.3606926,447.2871926,482.3605776,464.3500176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-16:0/18:2)+H,744.5901576,561.5241176,504.3449926,445.2714926,482.3605776,464.3500176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-16:0/18:3)+H,742.5745576,559.5085176,502.3293926,443.2558926,482.3605776,464.3500176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-16:0/18:4)+H,740.5588576,557.4928176,500.3136926,441.2401926,482.3605776,464.3500176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-16:0/19:0)+H,762.6371576,579.5711176,522.3919926,463.3184926,482.3605776,464.3500176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-16:0/20:0)+H,776.6527576,593.5867176,536.4075926,477.3340926,482.3605776,464.3500176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-16:0/20:1)+H,774.6371576,591.5711176,534.3919926,475.3184926,482.3605776,464.3500176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-16:0/20:2)+H,772.6214576,589.5554176,532.3762926,473.3027926,482.3605776,464.3500176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-16:0/20:3)+H,770.6058576,587.5398176,530.3606926,471.2871926,482.3605776,464.3500176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-16:0/20:4)+H,768.5901576,585.5241176,528.3449926,469.2714926,482.3605776,464.3500176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-16:0/20:5)+H,766.5745576,583.5085176,526.3293926,467.2558926,482.3605776,464.3500176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-16:0/21:0)+H,790.6684576,607.6024176,550.4232926,491.3497926,482.3605776,464.3500176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-16:0/22:0)+H,804.6840576,621.6180176,564.4388926,505.3653926,482.3605776,464.3500176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-16:0/22:1)+H,802.6684576,619.6024176,562.4232926,503.3497926,482.3605776,464.3500176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-16:0/22:2)+H,800.6527576,617.5867176,560.4075926,501.3340926,482.3605776,464.3500176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-16:0/22:3)+H,798.6371576,615.5711176,558.3919926,499.3184926,482.3605776,464.3500176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-16:0/22:4)+H,796.6214576,613.5554176,556.3762926,497.3027926,482.3605776,464.3500176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-16:0/22:5)+H,794.6058576,611.5398176,554.3606926,495.2871926,482.3605776,464.3500176,570.35549,387.28943,313.2532,184.07332
